Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;62,75;63,76;62,06;63,23;566.862;47.047.032
2019-05-02;61,78;63,03;61,21;61,93;732.403;63.100.859
2019-05-01;64,38;65,14;63,11;63,11;462.041;40.005.442
2019-04-30;64,50;64,63;63,72;64,12;1.027.686;111.679.512
2019-04-29;64,02;64,41;63,37;63,92;435.156;34.005.547
2019-04-26;63,49;64,20;62,77;63,85;841.611;74.521.526
2019-04-25;66,46;67,12;63,95;64,18;1.313.545;105.161.813
2019-04-24;67,70;68,17;65,76;65,85;745.063;68.114.847
2019-04-23;67,50;68,08;66,89;67,46;545.070;42.893.982
2019-04-22;66,95;68,26;66,28;67,88;708.826;62.484.799
2019-04-18;66,05;66,55;65,69;65,86;686.158;63.866.354
2019-04-17;66,65;66,97;65,74;65,92;452.369;35.251.836
2019-04-16;65,24;66,47;64,69;66,31;602.558;48.629.660
2019-04-15;65,70;66,26;65,25;65,54;504.504;42.572.841
2019-04-12;65,00;66,25;64,62;66,10;756.216;58.123.456
2019-04-11;62,97;63,68;62,23;63,29;347.697;26.816.420
2019-04-10;62,96;63,62;62,84;63,36;1.059.475;64.823.844
2019-04-09;62,71;63,29;61,90;62,54;846.723;50.628.247
2019-04-08;63,10;63,61;62,60;63,08;976.174;57.866.520
2019-04-05;61,00;63,10;60,88;63,00;2.136.923;131.886.717
2019-04-04;59,50;60,81;59,13;60,75;581.150;32.891.154
2019-04-03;60,55;60,80;59,31;59,56;612.237;34.391.104
2019-04-02;61,55;61,55;60,14;60,35;1.112.697;65.288.404
2019-04-01;61,08;61,44;60,42;60,84;601.963;34.066.381
2019-03-29;61,50;61,93;60,12;60,23;889.988;51.942.590
2019-03-28;59,61;61,03;59,54;60,96;432.586;24.422.473
2019-03-27;61,03;61,37;59,86;60,26;601.492;34.158.112
2019-03-26;60,69;61,51;60,19;61,09;631.432;53.409.462
2019-03-25;58,60;59,81;58,05;59,54;780.808;59.587.921
2019-03-22;59,70;60,21;57,96;58,75;726.302;53.093.294
2019-03-21;59,81;60,97;59,61;60,80;359.031;27.877.674
2019-03-20;57,93;60,63;57,44;59,95;829.058;66.393.401
2019-03-19;59,63;59,65;57,63;57,99;773.834;62.781.391
2019-03-18;58,47;59,32;58,28;59,13;602.883;47.072.514
2019-03-15;57,54;58,61;57,29;58,25;1.889.237;175.636.976
2019-03-14;57,8007;58,5578;57,5218;57,7409;656.143;51.558.676
2019-03-13;57,6513;58,2191;57,183;57,8406;1.220.015;112.168.939
2019-03-12;56,1669;57,4321;55,888;56,9938;576.965;40.175.673
2019-03-11;55,5891;56,2267;54,9714;55,7186;547.204;36.730.555
2019-03-08;54,7921;54,9814;54,0798;54,7921;700.826;44.096.250
2019-03-07;56,7049;57,0137;55,7983;56,396;907.987;72.274.750
2019-03-06;57,7808;57,8505;55,7883;56,5255;866.938;51.597.508
2019-03-05;59,7035;59,7035;58,5379;58,9264;1.659.614;163.266.022
2019-03-04;59,6437;59,7732;57,8017;59,1058;704.405;53.459.467
2019-03-01;58,0398;59,4843;58,0398;59,0061;753.467;54.096.033
2019-02-28;58,1095;58,1095;56,8941;57,6313;1.594.495;161.253.603
2019-02-27;57,98;59,6836;57,7011;57,9203;763.395;50.122.957
2019-02-26;57,1731;58,1295;56,9938;57,472;502.467;39.380.768
2019-02-25;56,4458;57,8156;56,3661;57,3225;416.051;26.927.523
2019-02-22;58,1295;58,2191;56,8045;56,944;587.505;41.502.526
2019-02-21;58,0996;58,3387;57,2627;57,462;507.603;35.277.967
2019-02-20;57,1532;58,6873;57,1332;58,4184;572.463;48.214.693
2019-02-19;56,7945;57,5118;56,3462;57,3723;824.127;67.008.332
2019-02-15;57,5417;57,98;57,0735;57,3624;600.967;42.647.752
2019-02-14;55,4994;57,3723;55,34;56,8543;944.949;88.658.376
2019-02-13;55,1508;57,4421;55,1508;55,7883;656.552;47.412.095
2019-02-12;54,6128;55,3201;54,3538;54,9316;552.828;36.709.531
2019-02-11;51,6341;53,4871;51,1758;53,3775;541.861;34.690.096
2019-02-08;52,1123;52,3315;50,9069;52,2717;664.972;43.243.081
2019-02-07;53,9951;54,2043;51,8134;52,2019;618.049;36.417.823
2019-02-06;54,3837;54,9416;54,0151;54,7323;1.135.678;101.071.165
2019-02-05;55,1906;55,6289;54,0798;54,2043;526.712;35.056.721
2019-02-04;54,563;55,5891;54,1047;55,4596;548.663;40.337.699
2019-02-01;54,3936;56,396;54,2243;55,4496;852.036;57.428.075
2019-01-31;53,8357;55,1408;53,6664;53,7959;2.796.348;253.296.187
2019-01-30;52,72;53,8158;51,0961;53,7262;789.512;52.219.329
2019-01-29;52,0525;52,3613;51,5146;51,6739;1.376.885;119.122.494
2019-01-28;51,3651;51,8931;50,9367;51,5345;713.314;45.164.567
2019-01-25;51,3452;53,4273;51,2854;52,8993;786.363;50.961.521
2019-01-24;50,7076;51,6939;50,1796;50,8072;863.747;50.866.723
2019-01-23;52,1521;52,1521;49,8907;50,857;588.377;38.274.619
2019-01-22;51,7437;52,3713;51,3053;51,6739;648.780;44.645.713
2019-01-18;52,2318;52,7299;51,5943;52,6104;1.194.567;78.528.880
2019-01-17;50,5681;52,2019;50,4187;51,6441;420.971;27.856.964
2019-01-16;51,654;51,9031;50,9666;51,0862;807.964;52.607.773
2019-01-15;51,405;52,1521;51,2356;51,6241;1.139.453;65.048.586
2019-01-14;50,2095;51,1858;50,0202;50,618;1.007.799;61.894.122
2019-01-11;50,8172;51,1061;50,0202;51,0762;720.356;45.446.753
2019-01-10;49,4922;51,8383;48,9642;51,7536;1.739.551;108.922.789
2019-01-09;49,0937;50,3589;48,4661;49,9704;1.234.022;75.509.573
2019-01-08;48,4562;48,5906;47,3802;48,2968;1.790.580;131.071.383
2019-01-07;45,6369;47,9879;44,9594;47,699;1.671.441;101.259.169
2019-01-04;43,3854;45,6867;42,8375;45,5173;1.680.161;95.694.664
2019-01-03;42,2397;42,688;40,4615;42,2298;1.376.540;58.130.975
2019-01-02;39,1913;42,2397;39,002;42,0803;805.379;33.890.630
2018-12-31;40,4964;41,1439;39,9385;40,3469;989.298;149.573.919
2018-12-28;41,5623;41,6918;40,0182;40,2274;5.191.316;190.751.116
2018-12-27;39,54;41,4527;38,9124;41,383;8.033.570;293.770.652
2018-12-26;37,1192;40,327;35,458;40,2971;10.503.218;359.453.311
2018-12-24;40,4864;40,7056;36,2923;36,2923;7.457.128;258.542.906
2018-12-21;43,1065;43,5348;41,0941;41,3332;8.622.920;309.999.241
2018-12-20;45,2384;45,9457;43,236;43,3455;5.931.267;227.958.277
2018-12-19;47,4799;48,5159;45,7265;45,8261;6.265.553;218.701.303
2018-12-18;49,562;49,6417;47,1013;47,1312;6.655.817;271.660.629
2018-12-17;50,5383;51,0065;49,0838;49,5719;4.191.477;159.435.246
2018-12-14;51,2356;52,0824;50,3091;50,7076;4.322.868;193.463.920
2018-12-13;51,3211;53,1462;51,1525;51,7873;5.765.179;233.969.797
2018-12-12;52,3924;53,3843;50,9839;51,3211;4.292.988;198.674.696
2018-12-11;52,2138;52,5114;51,0533;51,5592;3.308.225;148.974.300
2018-12-10;51,331;52,1444;49,9622;51,0731;4.524.239;197.513.670
2018-12-07;54,1381;54,8523;52,0849;52,1841;4.377.245;203.638.505
2018-12-06;53,1462;53,662;51,8468;52,9379;4.986.763;226.143.382
2018-12-04;56,0029;56,7369;54,4456;54,4754;6.223.305;235.018.794
2018-12-03;55,6855;56,6873;54,4357;55,993;4.246.097;196.252.932
2018-11-30;53,2553;54,2472;52,6106;53,4537;3.967.357;185.314.142
2018-11-29;53,662;54,9217;53,4339;53,9992;2.752.456;123.166.513
2018-11-28;52,9577;54,2075;52,313;53,5926;3.154.583;144.641.000
2018-11-27;52,6503;52,9379;51,8667;52,7693;3.241.441;132.640.675
2018-11-26;53,7909;54,6043;52,0948;52,6701;6.797.865;306.883.133
2018-11-23;53,2355;54,2274;52,7792;53,2156;2.955.312;141.105.720
2018-11-21;55,2689;56,725;54,9812;55,7351;2.775.079;130.869.364
2018-11-20;55,3482;55,3582;53,5231;54,4158;4.341.958;200.747.070
2018-11-19;56,2211;57,0444;56,0029;56,4988;2.026.813;91.723.458
2018-11-16;56,8758;57,6296;56,4592;57,213;2.485.068;119.976.482
2018-11-15;55,3582;57,0742;55,0507;56,7567;3.004.089;140.398.719
2018-11-14;56,8956;57,7982;54,892;55,5665;3.063.089;143.414.704
2018-11-13;56,8262;57,5403;55,0407;55,5069;4.101.020;189.863.370
2018-11-12;59,3754;59,663;56,8857;57,7288;2.412.954;23.834.291
2018-11-09;57,4213;59,058;56,8857;58,6711;2.924.949;145.210.888
2018-11-08;60,1491;60,5855;58,5422;58,7505;3.104.427;159.214.109
2018-11-07;59,1274;60,7938;58,6017;60,3871;4.643.222;242.616.321
2018-11-06;58,3537;58,8993;57,1634;58,1851;3.257.832;159.813.535
2018-11-05;56,5782;58,5124;56,4889;58,1652;3.938.162;175.734.085
2018-11-02;57,6594;58,1256;55,2094;55,8938;3.494.011;166.030.676
2018-11-01;57,4412;58,2248;56,5385;57,3717;3.850.692;177.729.361
2018-10-31;59,663;60,6648;56,6873;56,9353;7.788.190;395.609.353
2018-10-30;55,7549;56,7567;54,6737;56,6179;3.766.202;172.710.286
2018-10-29;57,9371;58,1256;54,9912;55,7053;3.187.985;139.551.931
2018-10-26;57,3618;58,7207;56,2905;57,6395;3.246.913;146.485.058
2018-10-25;58,4331;59,3159;57,9173;58,5124;3.441.369;172.752.895
2018-10-24;61,5476;61,875;57,5999;57,6891;4.232.859;180.071.825
2018-10-23;61,4683;61,7857;59,6184;60,9327;5.310.845;255.888.039
2018-10-22;62,857;63,1148;61,8849;62,4304;2.189.740;106.051.883
2018-10-19;63,9778;65,1978;62,6982;63,0454;3.212.404;169.479.145
2018-10-18;63,0752;63,7298;62,5395;63,591;3.998.648;206.413.174
2018-10-17;64,93;65,0348;63,1446;64,2555;4.589.404;250.308.930
2018-10-16;65,2574;65,6839;64,5928;65,2673;2.475.017;136.344.678
2018-10-15;65,9616;66,398;64,9399;65,1086;2.357.090;118.562.576
2018-10-12;66,7155;66,775;64,563;65,6244;2.584.063;144.509.212
2018-10-11;66,2493;66,8345;63,9084;64,9697;3.769.687;204.612.745
2018-10-10;71,4766;71,6651;66,3584;66,646;6.885.127;415.250.168
2018-10-09;70,7525;72,5974;70,5442;71,9825;2.260.292;138.122.742
2018-10-08;70,9707;71,5262;70,1673;70,5343;2.629.651;163.327.702
2018-10-05;72,1511;72,5875;71,0997;71,8535;2.743.165;177.085.019
2018-10-04;72,7462;73,3116;71,5064;71,9924;2.468.047;149.111.241
2018-10-03;73,3711;73,391;72,3098;73,3811;2.929.063;173.692.109
2018-10-02;74,006;74,1349;72,6272;72,7661;2.477.418;150.993.417
2018-10-01;71,308;74,2043;70,8815;73,9861;4.519.854;294.041.926
2018-09-28;70,5144;73,4753;70,5144;71,0005;5.693.744;361.475.444
2018-09-27;70,812;71,2088;70,5295;71,0005;3.062.890;184.469.380
2018-09-26;70,4549;70,9286;69,6614;69,8697;2.999.447;181.903.120
2018-09-25;72,28;72,657;70,931;71,06;3.554.119;230.641.082
2018-09-24;71,0402;72,4883;70,9509;71,4568;4.172.504;257.837.931
2018-09-21;69,0861;70,2417;68,729;69,9391;4.474.011;286.004.981
2018-09-20;69,4333;69,8498;68,5703;68,8183;2.520.225;145.156.086
2018-09-19;67,9256;69,4333;67,9256;68,858;2.963.178;171.117.015
2018-09-18;66,9634;68,7985;66,4576;67,9653;3.001.883;180.251.697
2018-09-17;66,16;67,0378;65,7632;66,2294;2.085.071;117.228.395
2018-09-14;64,3944;65,8624;64,3944;65,4756;2.545.169;140.946.296
2018-09-13;64,0976;64,8787;62,7876;64,503;2.676.546;151.259.155
2018-09-12;64,2855;65,2544;63,9197;64,325;2.636.995;146.722.249
2018-09-11;61,4677;63,8702;61,4677;63,6527;1.908.673;106.155.293
2018-09-10;62,229;62,7233;61,7445;61,8434;1.389.592;72.500.276
2018-09-07;61,5468;62,4069;60,6273;61,9225;2.709.738;149.987.958
2018-09-06;64,5425;64,5425;62,0609;62,2586;2.429.753;133.762.143
2018-09-05;64,4733;64,9875;63,7022;64,6711;2.537.080;109.532.715
2018-09-04;66,6682;66,8017;64,7897;64,938;1.896.263;104.345.980
2018-08-31;67,0637;67,0934;66,1047;66,5793;1.899.526;109.796.871
2018-08-30;66,6682;67,8448;66,1245;67,3999;2.735.955;163.217.543
2018-08-29;65,5906;67,1132;65,4719;66,4507;3.347.875;201.538.115
2018-08-28;65,4225;65,7488;64,6619;65,0369;1.754.962;99.466.560
2018-08-27;64,5129;65,5115;64,2064;65,4027;1.394.775;77.206.346
2018-08-24;64,8095;65,0468;64,1471;64,4041;1.818.547;104.316.225
2018-08-23;64,0877;64,1055;63,2869;63,8208;1.443.139;75.416.933
2018-08-22;63,6725;64,6513;63,2869;64,4536;1.711.285;93.547.846
2018-08-21;62,8716;63,5044;62,5849;62,6838;1.966.860;103.939.981
2018-08-20;61,5171;63,0793;61,5171;62,2487;1.949.082;105.826.849
2018-08-17;62,4959;62,6541;61,5468;61,6456;2.261.327;118.021.030
2018-08-16;61,3985;62,4761;60,9239;62,0312;1.963.661;103.651.116
2018-08-15;62,318;62,4959;59,7078;60,8052;4.614.908;242.861.428
2018-08-14;63,4352;63,6527;62,7826;63,1979;1.950.390;103.678.683
2018-08-13;63,4154;63,6725;62,3971;62,6146;2.137.426;112.434.181
2018-08-10;63,1485;63,8109;62,842;63,5439;2.859.133;157.496.846
2018-08-09;65,2149;65,5016;63,188;63,277;3.659.399;202.394.568
2018-08-08;65,7784;66,3123;64,3942;65,1852;2.966.648;164.306.168
2018-08-07;67,1527;67,5383;66,2036;66,4903;2.798.468;163.182.782
2018-08-06;65,7784;66,7276;64,849;66,2036;2.223.799;118.416.418
2018-08-03;64,6908;65,7488;64,4338;65,551;3.104.755;174.690.332
2018-08-02;63,7219;65,2544;63,1287;65,0764;2.271.084;125.110.952
2018-08-01;64,0383;64,3942;63,0891;64,068;2.735.117;148.516.561
2018-07-31;63,979;65,3137;63,801;64,8886;2.844.572;155.949.012
2018-07-30;63,8307;64,503;63,7021;63,9493;2.102.219;116.552.928
2018-07-27;63,0891;63,9295;62,575;62,8914;2.389.942;126.202.422
2018-07-26;63,9197;64,8589;62,3872;63,6033;4.126.011;232.585.895
2018-07-25;64,2459;64,2855;62,0906;64,1471;4.148.971;231.066.475
2018-07-24;64,1075;65,1456;63,5143;64,325;3.504.177;195.092.025
2018-07-23;63,4451;63,9197;62,753;63,5143;3.647.770;208.429.714
2018-07-20;64,0086;64,0086;62,8222;63,3165;2.383.770;125.856.066
2018-07-19;63,4154;64,2657;63,366;63,7713;2.427.598;134.107.314
2018-07-18;62,3674;63,712;61,3194;63,4154;2.806.368;148.759.821
2018-07-17;62,5058;63,1188;61,9126;62,7431;3.667.222;204.582.490
2018-07-16;64,3942;65,0666;62,6541;63,1584;3.527.920;187.102.313
2018-07-13;66,0553;66,6979;65,6499;65,7883;3.075.693;175.204.005
2018-07-12;66,6584;67,0143;64,9084;65,986;3.131.366;166.858.786
2018-07-11;67,7064;68,2403;65,2742;66,0651;3.831.515;211.405.843
2018-07-10;69,1103;70,3363;68,2205;68,8137;2.530.855;139.779.891
2018-07-09;67,3801;68,4677;67,0115;68,4281;2.612.069;148.872.939
2018-07-06;64,9677;67,1231;64,8886;66,7869;2.153.189;121.509.349
2018-07-05;65,8674;66,164;65,0764;65,6301;2.239.944;123.015.232
2018-07-03;65,1654;66,9154;64,8194;65,2149;1.718.864;96.530.221
2018-07-02;65,1259;65,4818;63,7071;64,1569;2.896.103;163.944.536
2018-06-29;65,5214;67,6273;65,3434;66,1343;5.445.017;327.581.887
2018-06-28;65,1852;65,5807;64,1471;64,8194;3.271.925;187.277.680
2018-06-27;64,1569;66,3914;64,1174;64,8293;5.383.137;315.450.376
2018-06-26;62,0115;63,2374;61,2106;63,0496;2.508.003;130.953.180
2018-06-25;63,4451;63,8504;61,438;61,5863;4.345.593;236.451.859
2018-06-22;62,8815;64,4832;62,575;63,8406;6.766.148;391.524.115
2018-06-21;61,5072;61,6011;60,6668;61,0129;3.422.888;183.435.235
2018-06-20;61,5962;62,4465;61,0228;61,9324;5.528.329;309.357.533
2018-06-19;59,3617;61,1091;59,3617;60,7064;2.531.979;133.750.605
2018-06-18;59,3617;61,1809;58,7201;60,9041;4.611.251;213.825.351
2018-06-15;59,4606;59,7572;58,3928;59,3617;6.327.869;330.277.717
2018-06-14;60,1838;60,43;59,3661;60,0655;3.153.314;164.147.075
2018-06-13;59,5828;60,0163;58,8932;59,5927;2.718.922;138.458.920
2018-06-12;60,8044;61,1886;59,5138;59,573;2.920.671;151.662.951
2018-06-11;60,9522;61,2674;60,3709;60,8832;2.440.363;132.776.188
2018-06-08;61,4251;61,4398;60,5089;60,9226;2.109.973;109.598.673
2018-06-07;61,1788;61,7305;60,9128;61,4054;2.955.664;162.014.334
2018-06-06;60,2035;60,9817;59,7897;60,6566;2.693.291;116.230.495
2018-06-05;59,4646;60,6566;59,1592;60,1739;2.509.769;129.829.590
2018-06-04;61,2083;61,9078;59,6124;59,9276;2.977.194;155.984.131
2018-06-01;59,77;61,2773;59,238;60,8832;3.670.389;198.659.945
2018-05-31;59,4547;60,568;59,2084;59,5237;2.873.935;140.585.859
2018-05-30;59,2084;60,8044;58,9326;60,0557;3.491.142;158.848.725
2018-05-29;57,5632;58,903;57,376;58,5484;3.653.698;190.804.529
2018-05-25;59,8784;59,8784;57,4844;58,2824;6.174.722;308.821.932
