Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;110,00;110,00;106,00;106,00;21;2.226
2019-05-02;110,00;110,00;110,00;110,00;0;0
2019-04-30;110,00;110,00;110,00;110,00;0;0
2019-04-29;110,00;110,00;110,00;110,00;0;0
2019-04-26;110,00;110,00;110,00;110,00;0;0
2019-04-25;110,00;110,00;109,00;109,00;10;1.090
2019-04-24;110,00;110,00;110,00;110,00;1;110
2019-04-23;110,00;110,00;110,00;110,00;0;0
2019-04-18;110,00;110,00;110,00;110,00;0;0
2019-04-17;110,00;110,00;110,00;110,00;0;0
2019-04-16;110,00;110,00;110,00;110,00;0;0
2019-04-15;110,00;110,00;110,00;110,00;0;0
2019-04-12;110,00;110,00;110,00;110,00;0;0
2019-04-11;110,00;110,00;110,00;110,00;0;0
2019-04-10;110,00;110,00;110,00;110,00;0;0
2019-04-09;107,00;107,00;107,00;107,00;0;0
2019-04-08;107,00;107,00;107,00;107,00;0;0
2019-04-05;107,00;107,00;107,00;107,00;0;0
2019-04-04;107,00;107,00;107,00;107,00;0;0
2019-04-03;107,00;107,00;107,00;107,00;0;0
2019-04-02;107,00;107,00;107,00;107,00;0;0
2019-04-01;106,00;106,00;106,00;106,00;0;0
2019-03-29;106,00;106,00;106,00;106,00;0;0
2019-03-28;106,00;106,00;106,00;106,00;0;0
2019-03-27;105,00;105,00;105,00;105,00;0;0
2019-03-26;108,00;108,00;105,00;105,00;1;105
2019-03-25;108,00;108,00;108,00;108,00;0;0
2019-03-22;108,00;108,00;108,00;108,00;0;0
2019-03-21;113,00;113,00;108,00;108,00;24;2.592
2019-03-20;113,00;113,00;113,00;113,00;0;0
2019-03-19;113,00;113,00;113,00;113,00;0;0
2019-03-18;113,00;113,00;113,00;113,00;0;0
2019-03-15;116,00;116,00;116,00;116,00;0;0
2019-03-14;116,00;116,00;116,00;116,00;0;0
2019-03-13;116,00;116,00;116,00;116,00;0;0
2019-03-12;117,00;117,00;117,00;117,00;0;0
2019-03-11;117,00;117,00;117,00;117,00;0;0
2019-03-08;117,00;117,00;117,00;117,00;0;0
2019-03-07;118,00;118,00;117,00;117,00;3;351
2019-03-06;118,00;118,00;118,00;118,00;0;0
2019-03-05;118,00;118,00;118,00;118,00;0;0
2019-03-04;120,00;120,00;120,00;120,00;0;0
2019-03-01;120,00;120,00;120,00;120,00;0;0
2019-02-28;120,00;120,00;120,00;120,00;0;0
2019-02-27;120,00;120,00;120,00;120,00;0;0
2019-02-26;120,00;120,00;120,00;120,00;0;0
2019-02-25;120,00;120,00;120,00;120,00;0;0
2019-02-22;130,00;130,00;120,00;120,00;2;240
2019-02-21;130,00;130,00;130,00;130,00;0;0
2019-02-20;130,00;130,00;130,00;130,00;0;0
2019-02-19;130,00;130,00;130,00;130,00;0;0
2019-02-18;130,00;130,00;130,00;130,00;0;0
2019-02-15;135,00;135,00;135,00;135,00;0;0
2019-02-14;133,00;135,00;133,00;135,00;1;135
2019-02-13;133,00;133,00;133,00;133,00;0;0
2019-02-12;120,00;120,00;120,00;120,00;0;0
2019-02-11;122,00;122,00;119,00;119,00;10;1.190
