Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;22,48;22,50;22,26;22,32;25.618;572.134
2019-05-02;22,40;22,60;22,28;22,42;36.950;828.355
2019-04-30;22,42;22,50;22,28;22,40;62.028;1.390.383
2019-04-29;22,36;22,48;22,10;22,36;90.499;2.022.541
2019-04-26;22,88;22,88;22,04;22,22;73.880;1.645.039
2019-04-25;22,12;22,86;22,12;22,74;127.480;2.890.301
2019-04-24;22,38;22,72;21,96;22,00;108.823;2.419.110
2019-04-23;22,00;22,06;21,88;22,00;31.370;689.960
2019-04-18;21,98;22,24;21,98;22,04;61.294;1.351.629
2019-04-17;21,98;22,26;21,88;22,10;75.885;1.676.918
2019-04-16;21,58;21,96;21,54;21,86;63.317;1.379.845
2019-04-15;21,48;21,60;21,44;21,56;75.337;1.620.448
2019-04-12;21,42;21,46;21,26;21,34;82.681;1.770.937
2019-04-11;21,12;21,50;21,08;21,36;97.047;2.079.686
2019-04-10;20,72;21,12;20,68;20,96;83.239;1.742.438
2019-04-09;20,78;21,02;20,66;20,72;44.996;937.078
2019-04-08;20,88;21,26;20,86;20,90;71.212;1.493.126
2019-04-05;21,00;21,00;20,74;20,82;44.182;920.119
2019-04-04;21,00;21,22;20,88;20,98;45.121;947.691
2019-04-03;20,96;21,46;20,86;21,00;87.571;1.847.137
2019-04-02;20,48;21,10;20,08;20,98;109.373;2.267.208
2019-04-01;20,54;20,70;20,42;20,52;69.530;1.427.407
2019-03-29;20,46;20,80;20,08;20,38;115.629;2.369.612
2019-03-28;19,51;20,46;19,50;20,42;101.673;2.046.123
2019-03-27;19,27;20,10;18,41;19,35;276.309;5.311.151
2019-03-26;19,35;19,35;18,75;18,84;39.802;753.543
2019-03-25;19,12;19,34;19,03;19,34;26.246;505.041
2019-03-22;19,66;19,66;19,22;19,26;37.985;734.450
2019-03-21;19,70;19,76;19,12;19,51;63.051;1.224.228
2019-03-20;20,02;20,06;19,64;19,66;31.614;624.724
2019-03-19;20,06;20,16;19,95;20,06;28.454;571.652
2019-03-18;20,08;20,14;19,91;20,02;19.835;396.979
2019-03-15;20,02;20,10;19,83;20,02;51.637;1.032.901
2019-03-14;19,70;20,06;19,65;19,88;36.977;736.057
2019-03-13;19,37;19,67;19,37;19,57;19.766;386.708
2019-03-12;19,58;19,59;19,41;19,54;8.746;170.708
2019-03-11;19,48;19,68;19,25;19,64;31.123;608.240
2019-03-08;19,30;19,37;19,11;19,27;18.965;365.366
2019-03-07;19,87;19,87;18,89;19,30;95.223;1.824.030
2019-03-06;19,80;20,26;19,80;19,84;82.979;1.660.879
2019-03-05;19,79;19,95;19,68;19,82;29.224;579.215
2019-03-04;19,87;20,20;19,73;19,73;41.535;828.081
2019-03-01;19,35;19,83;19,35;19,73;37.265;733.947
2019-02-28;19,48;19,64;19,19;19,20;78.428;1.509.038
2019-02-27;19,62;19,79;19,40;19,59;35.599;697.897
2019-02-26;19,92;19,92;19,64;19,85;27.595;546.009
2019-02-25;19,93;20,04;19,84;19,92;26.678;531.767
2019-02-22;19,77;20,06;19,77;19,79;48.943;971.783
2019-02-21;19,96;20,10;19,82;19,96;64.900;1.296.715
2019-02-20;19,73;19,92;19,73;19,84;32.010;635.674
2019-02-19;19,93;19,93;19,63;19,76;30.664;606.206
2019-02-18;19,73;19,83;19,62;19,69;37.801;744.619
2019-02-15;19,11;19,75;19,11;19,57;63.006;1.233.061
2019-02-14;19,41;19,53;19,12;19,16;28.650;551.040
2019-02-13;19,34;19,59;19,12;19,19;48.114;929.472
2019-02-12;19,69;19,74;19,34;19,34;35.294;687.500
2019-02-11;19,68;19,68;19,40;19,48;28.330;552.351
2019-02-08;19,59;19,59;19,44;19,45;39.531;769.336
2019-02-07;19,64;20,00;19,39;19,44;60.892;1.191.303
2019-02-06;19,50;19,64;19,33;19,50;39.370;766.872
2019-02-05;19,55;19,55;19,34;19,39;29.483;572.714
2019-02-04;19,32;19,51;19,12;19,49;37.444;724.946
2019-02-01;19,61;19,69;19,21;19,27;37.971;736.909
2019-01-31;19,53;19,53;19,21;19,45;52.422;1.016.640
2019-01-30;19,59;19,73;19,25;19,32;26.072;505.675
2019-01-29;19,68;19,85;19,54;19,59;57.859;1.138.135
2019-01-28;19,79;19,83;19,45;19,45;24.170;473.049
2019-01-25;19,37;19,82;19,37;19,55;46.969;921.761
2019-01-24;19,48;19,52;19,26;19,38;35.942;697.207
2019-01-23;19,40;19,48;19,19;19,32;40.128;776.536
2019-01-22;19,68;19,68;19,11;19,24;37.882;732.726
2019-01-21;19,24;19,78;19,24;19,50;45.285;886.056
2019-01-18;19,07;19,54;19,07;19,44;70.361;1.365.125
2019-01-17;18,96;19,12;18,91;19,02;27.102;515.484
2019-01-16;19,15;19,30;18,98;19,12;34.513;660.397
2019-01-15;19,11;19,22;18,97;19,00;34.765;661.809
2019-01-14;19,11;19,15;18,74;18,97;70.246;1.332.596
2019-01-11;18,84;19,40;18,81;19,04;103.468;1.987.085
2019-01-10;18,87;19,12;18,72;19,01;45.662;868.577
2019-01-09;18,89;19,30;18,72;18,73;98.397;1.866.330
2019-01-08;18,25;18,99;18,25;18,72;57.841;1.083.591
