Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;17,10;17,90;17,10;17,90;550;9.845
2019-05-02;17,40;17,40;17,40;17,40;0;0
2019-04-30;17,40;17,40;17,40;17,40;0;0
2019-04-29;17,30;17,30;17,30;17,30;0;0
2019-04-26;18,00;18,50;17,60;17,60;42;752
2019-04-25;17,20;17,20;17,20;17,20;0;0
2019-04-24;17,50;17,50;17,50;17,50;0;0
2019-04-23;16,50;16,50;16,50;16,50;0;0
2019-04-18;16,80;16,90;16,40;16,40;6;99
2019-04-17;16,80;16,80;16,80;16,80;0;0
2019-04-16;16,70;16,70;16,70;16,70;0;0
2019-04-15;16,90;16,90;16,90;16,90;0;0
2019-04-12;16,80;16,80;16,80;16,80;0;0
2019-04-11;16,60;16,60;16,60;16,60;0;0
2019-04-10;16,90;17,20;16,90;17,20;60;1.032
2019-04-09;17,30;17,30;17,30;17,30;0;0
2019-04-08;16,60;18,00;16,60;18,00;5;90
2019-04-05;16,90;16,90;16,90;16,90;0;0
2019-04-04;18,00;18,00;18,00;18,00;0;0
2019-04-03;17,80;17,80;17,80;17,80;0;0
2019-04-02;16,80;18,50;16,80;18,50;65;1.203
2019-04-01;16,40;16,40;16,40;16,40;0;0
2019-03-29;16,50;16,50;16,50;16,50;0;0
2019-03-28;16,30;16,30;16,30;16,30;0;0
2019-03-27;15,80;15,80;15,80;15,80;0;0
2019-03-26;16,00;16,00;16,00;16,00;0;0
2019-03-25;15,80;15,80;15,80;15,80;0;0
2019-03-21;15,70;15,70;15,70;15,70;0;0
2019-03-20;15,60;16,50;15,60;16,50;65;1.073
2019-03-19;15,80;15,80;15,80;15,80;0;0
2019-03-18;16,10;16,10;16,10;16,10;0;0
2019-03-15;15,90;15,90;15,90;15,90;0;0
2019-03-14;16,40;16,40;16,40;16,40;0;0
2019-03-13;16,40;16,40;16,40;16,40;0;0
2019-03-12;16,00;16,00;16,00;16,00;0;0
2019-03-11;16,30;16,30;16,30;16,30;0;0
2019-03-08;16,30;16,30;16,30;16,30;0;0
2019-03-07;16,30;16,30;16,30;16,30;0;0
2019-03-06;16,00;16,00;16,00;16,00;0;0
2019-03-05;16,00;16,00;16,00;16,00;0;0
2019-03-04;16,00;16,00;16,00;16,00;0;0
2019-03-01;16,90;16,90;16,90;16,90;0;0
2019-02-28;16,70;16,70;16,70;16,70;0;0
2019-02-27;16,10;16,10;16,10;16,10;0;0
2019-02-26;16,60;16,60;16,60;16,60;0;0
2019-02-25;16,60;16,60;16,60;16,60;0;0
2019-02-22;16,90;16,90;16,90;16,90;0;0
2019-02-21;16,90;16,90;16,90;16,90;0;0
2019-02-20;16,90;16,90;16,90;16,90;0;0
2019-02-19;16,50;16,50;16,50;16,50;0;0
2019-02-18;17,30;17,30;17,00;17,00;700;11.960
2019-02-15;17,10;17,10;17,10;17,10;0;0
2019-02-14;16,70;16,70;16,70;16,70;0;0
2019-02-13;16,70;16,70;16,70;16,70;0;0
2019-02-12;17,20;17,20;17,20;17,20;0;0
2019-02-11;17,10;17,90;17,10;17,90;1;18
2019-02-08;17,60;17,60;17,60;17,60;0;0
2019-02-07;18,10;18,10;18,10;18,10;361;6.534
2019-02-06;18,10;18,10;18,10;18,10;0;0
2019-02-05;18,30;18,30;18,10;18,10;239;4.326
2019-02-04;18,30;18,30;18,30;18,30;0;0
2019-02-01;18,60;18,60;18,60;18,60;0;0
2019-01-31;18,50;18,50;18,50;18,50;50;925
2019-01-30;18,10;18,20;18,10;18,20;10;182
2019-01-29;17,00;17,00;17,00;17,00;0;0
2019-01-28;16,40;16,40;16,40;16,40;0;0
2019-01-25;15,60;17,80;15,60;17,80;27;481
2019-01-24;15,40;15,40;15,40;15,40;0;0
2019-01-23;15,90;15,90;15,90;15,90;0;0
2019-01-22;16,00;16,00;16,00;16,00;0;0
2019-01-21;16,00;16,00;16,00;16,00;0;0
2019-01-18;15,60;15,60;15,60;15,60;0;0
2019-01-17;15,50;15,50;15,50;15,50;0;0
2019-01-16;15,50;15,50;15,50;15,50;0;0
2019-01-15;15,40;15,40;15,40;15,40;0;0
2019-01-14;17,00;17,00;17,00;17,00;0;0
2019-01-11;17,50;17,50;17,50;17,50;0;0
2019-01-10;17,20;17,20;17,20;17,20;0;0
2019-01-09;17,20;17,20;17,20;17,20;0;0
2019-01-08;16,70;17,20;16,30;17,20;308;5.182
