Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;2,38;2,418;2,38;2,41;29.767;71.371
2019-05-02;2,45;2,45;2,37;2,382;141.971;342.118
2019-04-30;2,45;2,492;2,42;2,46;41.957;102.252
2019-04-29;2,432;2,482;2,432;2,434;27.195;66.633
2019-04-26;2,464;2,52;2,44;2,446;99.152;246.141
2019-04-25;2,502;2,502;2,438;2,482;27.662;68.229
2019-04-24;2,478;2,49;2,42;2,426;90.369;221.922
2019-04-23;2,434;2,50;2,434;2,448;73.818;182.369
2019-04-18;2,478;2,478;2,372;2,42;210.746;509.661
2019-04-17;2,482;2,494;2,41;2,44;106.365;260.646
2019-04-16;2,39;2,502;2,39;2,47;220.893;544.278
2019-04-15;2,388;2,44;2,388;2,402;58.988;142.245
2019-04-12;2,35;2,41;2,35;2,41;88.366;210.267
2019-04-11;2,362;2,396;2,35;2,35;24.237;57.396
2019-04-10;2,362;2,368;2,342;2,356;26.668;62.718
2019-04-09;2,376;2,376;2,33;2,338;135.583;319.616
2019-04-08;2,40;2,40;2,342;2,374;49.692;117.241
2019-04-05;2,356;2,41;2,356;2,406;19.808;47.282
2019-04-04;2,37;2,408;2,352;2,37;76.673;182.461
2019-04-03;2,40;2,442;2,31;2,354;212.413;500.211
2019-04-02;2,404;2,466;2,364;2,38;66.408;161.058
2019-04-01;2,422;2,47;2,396;2,422;93.106;227.393
2019-03-29;2,438;2,438;2,36;2,406;48.283;115.372
2019-03-28;2,446;2,47;2,38;2,424;67.837;164.227
2019-03-27;2,408;2,468;2,374;2,454;34.097;82.709
2019-03-26;2,532;2,55;2,384;2,388;149.370;369.523
2019-03-25;2,49;2,60;2,49;2,55;126.154;322.156
2019-03-22;2,462;2,608;2,312;2,578;249.711;625.486
2019-03-21;2,578;2,688;2,50;2,55;425.891;1.096.923
2019-03-20;2,422;2,432;2,38;2,38;42.781;102.623
2019-03-19;2,46;2,462;2,412;2,424;29.467;71.552
2019-03-18;2,488;2,488;2,398;2,414;82.338;200.712
2019-03-15;2,402;2,48;2,38;2,426;97.582;236.055
2019-03-14;2,404;2,48;2,404;2,426;52.318;127.266
2019-03-13;2,408;2,458;2,40;2,416;61.387;149.357
2019-03-12;2,404;2,44;2,404;2,406;20.106;48.683
2019-03-11;2,36;2,45;2,36;2,40;114.871;276.919
2019-03-08;2,342;2,408;2,342;2,388;85.809;203.375
2019-03-07;2,402;2,41;2,352;2,384;79.134;189.103
2019-03-06;2,37;2,468;2,348;2,41;94.204;226.226
2019-03-05;2,492;2,498;2,37;2,404;45.554;109.857
2019-03-04;2,398;2,552;2,368;2,49;183.548;451.196
2019-03-01;2,368;2,40;2,35;2,37;92.556;219.613
2019-02-28;2,332;2,382;2,33;2,352;74.721;175.734
2019-02-27;2,36;2,36;2,33;2,344;139.320;325.962
2019-02-26;2,356;2,36;2,31;2,346;86.873;203.060
2019-02-25;2,336;2,372;2,322;2,344;83.355;195.776
2019-02-22;2,352;2,42;2,30;2,366;253.181;595.638
2019-02-21;2,396;2,396;2,338;2,36;175.691;414.642
2019-02-20;2,376;2,42;2,33;2,372;277.448;664.066
2019-02-19;2,32;2,49;2,31;2,40;1.139.938;2.749.687
2019-02-18;2,226;2,258;2,092;2,156;177.897;386.670
2019-02-15;2,298;2,318;2,196;2,196;148.459;337.063
2019-02-14;2,202;2,318;2,11;2,30;73.641;162.634
2019-02-13;2,152;2,236;2,104;2,184;67.932;147.142
2019-02-12;2,184;2,274;2,14;2,182;115.262;252.666
2019-02-11;2,094;2,184;2,058;2,176;135.570;288.008
2019-02-08;2,144;2,17;2,034;2,048;152.918;321.772
2019-02-07;2,056;2,172;2,03;2,122;372.194;784.702
2019-02-06;2,198;2,198;2,012;2,028;207.225;428.685
2019-02-05;2,09;2,23;2,056;2,18;207.031;442.669
2019-02-04;2,12;2,12;1,993;2,056;275.333;566.017
2019-02-01;2,152;2,18;1,998;2,12;310.967;647.196
2019-01-31;2,156;2,214;2,046;2,134;224.169;473.476
2019-01-30;2,65;2,65;1,90;2,074;1.582.211;3.305.029
2019-01-29;2,52;2,694;2,38;2,414;197.255;498.101
2019-01-28;2,466;2,64;2,344;2,554;398.064;1.021.037
2019-01-25;2,30;2,508;2,30;2,48;666.407;1.606.272
2019-01-24;2,266;2,326;2,23;2,272;226.223;515.124
2019-01-23;2,318;2,34;2,20;2,26;119.678;272.451
2019-01-22;2,19;2,332;2,16;2,30;375.933;841.792
2019-01-21;2,192;2,21;2,118;2,14;142.938;309.212
2019-01-18;2,112;2,208;2,09;2,13;322.659;686.109
2019-01-17;2,148;2,208;2,13;2,17;82.583;178.303
2019-01-16;2,15;2,198;2,136;2,156;180.361;391.232
2019-01-15;2,202;2,202;2,148;2,178;191.845;417.767
2019-01-14;2,35;2,35;2,114;2,19;184.675;402.582
2019-01-11;2,388;2,388;2,22;2,252;131.070;298.746
2019-01-10;2,338;2,348;2,252;2,348;148.723;342.705
2019-01-09;2,24;2,35;2,24;2,30;94.638;218.838
2019-01-08;2,278;2,408;2,242;2,272;109.062;252.916
2019-01-07;2,42;2,42;2,18;2,264;129.227;290.985
2019-01-04;2,35;2,382;2,254;2,352;98.476;228.925
2019-01-03;2,398;2,398;2,272;2,348;117.483;272.471
2019-01-02;2,236;2,444;2,208;2,444;139.020;322.173
2018-12-28;2,20;2,20;2,116;2,20;134.661;290.684
2018-12-27;2,242;2,242;2,04;2,14;100.653;212.383
2018-12-21;2,052;2,194;1,999;2,194;205.057;422.624
2018-12-20;2,162;2,162;2,032;2,034;146.248;303.686
2018-12-19;2,176;2,24;2,11;2,164;240.717;517.765
2018-12-18;2,00;2,316;1,99;2,244;270.242;592.364
2018-12-17;2,152;2,162;1,989;2,00;550.569;1.114.941
2018-12-14;2,302;2,308;2,02;2,07;834.525;1.762.452
2018-12-13;2,48;2,61;2,322;2,392;557.479;1.347.839
2018-12-12;2,60;2,736;2,512;2,73;99.084;259.237
2018-12-11;2,55;2,618;2,442;2,516;268.929;672.146
2018-12-10;2,57;2,57;2,448;2,448;230.613;573.464
2018-12-07;2,506;2,548;2,49;2,50;215.593;542.277
2018-12-06;2,624;2,624;2,49;2,516;171.875;432.379
2018-12-05;2,544;2,686;2,50;2,632;201.423;521.067
2018-12-04;2,722;2,754;2,484;2,534;722.295;1.856.167
2018-12-03;2,99;2,99;2,734;2,778;273.091;772.077
2018-11-30;2,866;2,928;2,746;2,928;107.517;301.983
2018-11-29;3,03;3,04;2,81;2,854;200.816;583.009
2018-11-28;2,902;3,014;2,882;3,004;245.610;726.516
2018-11-27;2,76;2,924;2,68;2,828;137.013;378.679
2018-11-26;2,822;2,832;2,75;2,788;112.467;313.319
2018-11-23;2,948;3,00;2,76;2,85;286.737;829.058
2018-11-22;2,602;2,81;2,54;2,81;274.079;733.180
2018-11-21;2,592;2,592;2,486;2,572;118.441;299.335
2018-11-20;2,50;2,538;2,472;2,50;264.722;661.487
2018-11-19;2,278;2,614;2,278;2,522;428.571;1.063.681
2018-11-16;2,29;2,472;2,19;2,282;551.691;1.267.710
2018-11-15;2,24;2,306;2,146;2,25;843.191;1.886.947
2018-11-14;2,688;2,688;2,112;2,228;1.301.851;3.002.546
2018-11-13;3,014;3,014;2,552;2,618;931.191;2.529.059
2018-11-12;3,22;3,274;2,996;3,082;196.776;605.510
2018-11-09;3,25;3,25;3,042;3,09;229.339;707.829
2018-11-08;3,328;3,334;3,19;3,228;107.329;346.811
2018-11-07;3,384;3,434;3,294;3,344;104.083;348.569
2018-11-06;3,452;3,452;3,264;3,386;68.811;230.362
2018-11-05;3,518;3,518;3,374;3,416;127.907;438.334
2018-11-02;3,462;3,54;3,448;3,448;253.778;884.692
2018-11-01;3,50;3,50;3,356;3,38;160.663;546.144
2018-10-31;3,264;3,408;3,264;3,378;145.298;487.793
2018-10-30;3,108;3,278;3,05;3,266;139.792;441.376
2018-10-29;3,156;3,16;2,954;3,06;385.399;1.179.809
2018-10-26;3,322;3,354;3,074;3,142;184.338;583.326
2018-10-25;3,182;3,32;3,062;3,32;217.499;699.192
2018-10-24;3,20;3,20;3,06;3,17;311.038;973.569
2018-10-23;3,362;3,362;3,13;3,166;410.372;1.310.502
2018-10-22;3,442;3,47;3,322;3,346;369.439;1.243.910
2018-10-19;3,656;3,656;3,36;3,41;438.335;1.510.835
2018-10-18;3,586;3,696;3,586;3,676;135.434;494.490
2018-10-17;3,638;3,654;3,522;3,566;141.848;507.396
2018-10-16;3,622;3,704;3,568;3,60;157.476;573.767
2018-10-15;3,61;3,634;3,52;3,56;223.171;796.837
2018-10-12;3,68;3,70;3,506;3,588;259.430;929.346
2018-10-11;3,446;3,61;3,35;3,584;341.808;1.185.052
2018-10-10;3,698;3,70;3,374;3,434;353.708;1.236.288
2018-10-09;3,612;3,70;3,50;3,70;281.848;1.010.190
2018-10-08;3,782;3,814;3,49;3,594;372.922;1.341.747
2018-10-05;4,00;4,00;3,73;3,80;308.067;1.178.621
2018-10-04;4,064;4,108;3,90;3,948;429.729;1.712.548
2018-10-02;4,256;4,256;4,02;4,072;303.199;1.240.261
2018-10-01;4,116;4,362;4,048;4,18;280.825;1.187.475
2018-09-28;4,268;4,276;3,992;4,032;360.123;1.461.485
2018-09-27;4,068;4,244;4,028;4,234;314.148;1.297.707
2018-09-26;4,15;4,266;4,044;4,106;371.365;1.543.570
2018-09-25;4,054;4,138;3,99;4,082;272.681;1.106.668
2018-09-24;4,07;4,34;3,922;4,06;833.676;3.428.858
2018-09-21;4,15;4,202;4,018;4,086;626.755;2.567.227
2018-09-20;4,44;4,536;4,102;4,16;1.354.322;5.762.677
2018-09-19;5,055;5,155;4,958;4,99;308.922;1.551.072
2018-09-18;5,415;5,415;4,81;5,10;484.556;2.449.483
2018-09-17;5,495;5,67;5,46;5,495;121.911;675.929
2018-09-14;5,595;5,69;5,415;5,435;102.759;566.843
2018-09-13;5,45;5,66;5,395;5,50;116.061;639.969
2018-09-12;5,56;5,56;5,365;5,46;102.440;559.403
2018-09-11;5,775;5,775;5,48;5,515;72.460;404.656
2018-09-10;5,725;5,785;5,615;5,77;48.573;278.429
2018-09-07;5,60;5,74;5,51;5,725;94.665;533.951
2018-09-06;5,77;5,77;5,555;5,615;158.658;895.475
2018-09-05;5,91;5,92;5,71;5,75;173.081;1.002.242
2018-09-04;6,065;6,15;5,92;5,92;223.667;1.347.289
2018-09-03;6,19;6,19;6,00;6,03;134.600;815.578
2018-08-31;6,04;6,185;5,92;6,08;259.498;1.573.442
2018-08-30;6,25;6,37;6,05;6,07;127.997;791.506
2018-08-29;6,25;6,325;6,14;6,22;107.516;669.799
2018-08-28;6,33;6,44;6,12;6,235;202.671;1.270.355
2018-08-27;6,495;6,495;6,305;6,355;42.192;269.074
2018-08-24;6,495;6,495;6,38;6,445;44.036;283.405
2018-08-23;6,415;6,495;6,30;6,45;101.656;651.354
2018-08-22;6,44;6,615;6,375;6,40;99.931;647.624
2018-08-21;6,39;6,505;6,345;6,475;114.834;744.381
2018-08-20;6,36;6,605;6,36;6,395;108.352;699.343
2018-08-17;6,40;6,575;6,36;6,405;95.581;616.375
2018-08-16;6,425;6,48;6,26;6,44;122.391;781.228
2018-08-15;6,805;6,885;6,21;6,395;240.735;1.568.012
2018-08-14;6,875;6,915;6,64;6,755;152.760;1.032.140
2018-08-13;7,05;7,10;6,835;6,89;124.012;856.524
2018-08-10;7,20;7,20;6,795;7,12;280.864;1.953.622
2018-08-09;7,055;7,20;6,845;7,195;295.529;2.086.739
2018-08-08;7,05;7,30;6,865;7,02;400.326;2.841.695
2018-08-07;6,425;6,725;6,425;6,725;156.449;1.037.250
2018-08-06;6,44;6,465;6,21;6,44;78.584;501.657
2018-08-03;6,29;6,43;6,175;6,33;115.440;725.805
2018-08-02;6,35;6,365;6,165;6,33;91.200;572.586
2018-08-01;6,38;6,46;6,31;6,405;79.406;507.398
2018-07-31;6,31;6,39;6,145;6,385;134.000;842.504
2018-07-30;6,32;6,405;6,185;6,28;68.429;429.228
2018-07-27;6,40;6,515;6,255;6,31;107.268;685.414
2018-07-26;6,59;6,59;6,35;6,43;134.695;869.689
2018-07-25;6,235;6,595;6,22;6,51;125.787;811.545
2018-07-24;6,24;6,31;6,185;6,235;42.457;265.309
2018-07-23;6,205;6,215;6,10;6,185;56.022;344.822
2018-07-20;6,365;6,405;6,18;6,26;75.520;475.399
2018-07-19;6,365;6,405;6,275;6,40;120.341;763.151
2018-07-18;6,32;6,58;6,255;6,40;151.868;977.130
2018-07-17;6,185;6,44;6,09;6,255;78.843;494.208
2018-07-16;6,10;6,31;6,03;6,23;121.069;744.800
2018-07-13;5,98;6,21;5,98;6,165;93.254;573.081
2018-07-12;6,005;6,225;5,965;5,985;85.005;513.932
2018-07-11;6,155;6,19;6,00;6,00;204.255;1.241.582
2018-07-10;6,215;6,33;6,17;6,205;105.487;657.101
2018-07-09;6,455;6,48;6,15;6,24;290.687;1.823.644
2018-07-06;6,615;6,665;6,405;6,47;220.010;1.430.442
2018-07-05;6,35;6,64;6,30;6,61;242.465;1.558.888
2018-07-04;6,79;6,79;6,10;6,35;302.840;1.939.505
2018-07-03;6,755;6,905;6,645;6,80;112.895;764.094
2018-07-02;7,00;7,00;6,71;6,75;113.958;774.438
2018-06-29;6,84;7,05;6,835;7,035;132.000;917.781
2018-06-28;6,82;6,845;6,695;6,81;108.926;736.406
2018-06-27;6,985;7,00;6,70;6,91;171.866;1.179.653
2018-06-26;6,86;7,125;6,855;6,975;196.273;1.371.546
2018-06-25;7,045;7,105;6,705;6,815;188.085;1.281.880
2018-06-22;6,94;7,12;6,93;7,115;132.728;931.808
2018-06-21;6,96;7,01;6,90;7,00;139.831;972.499
2018-06-20;7,12;7,12;6,91;6,965;190.982;1.336.961
2018-06-19;7,33;7,33;7,075;7,14;124.093;884.835
2018-06-18;7,27;7,41;7,225;7,395;92.980;684.970
2018-06-15;7,83;7,87;7,30;7,31;306.274;2.303.086
2018-06-14;8,00;8,00;7,82;7,825;186.313;1.465.212
2018-06-13;8,08;8,10;7,975;8,035;69.190;556.636
2018-06-12;8,095;8,095;7,98;8,07;38.061;305.678
2018-06-11;8,035;8,095;7,995;8,06;32.061;258.244
2018-06-08;8,23;8,23;7,955;7,985;80.680;649.871
2018-06-07;8,31;8,40;8,265;8,265;39.676;330.129
2018-06-06;8,325;8,33;8,135;8,25;118.750;977.229
2018-06-05;8,24;8,58;8,24;8,30;169.382;1.430.717
2018-06-04;8,215;8,29;8,115;8,245;108.250;889.995
