Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2013-06-14;0,022;0,022;0,02;0,02;196.220;3.924
2013-06-13;0,022;0,023;0,022;0,023;1;0
2013-06-12;0,021;0,022;0,021;0,022;1;0
2013-06-11;0,021;0,021;0,021;0,021;;
2013-06-10;0,021;0,021;0,021;0,021;2.014;42
2013-06-07;0,022;0,023;0,022;0,023;86;2
2013-06-06;0,022;0,022;0,022;0,022;;
2013-06-05;0,021;0,021;0,021;0,021;;
2013-06-04;0,021;0,021;0,021;0,021;;
2013-06-03;0,022;0,022;0,022;0,022;452;10
2013-05-31;0,021;0,021;0,021;0,021;7.249;152
2013-05-30;0,021;0,021;0,021;0,021;5.000;105
2013-05-29;0,022;0,022;0,022;0,022;10.000;220
2013-05-28;0,022;0,022;0,022;0,022;;
2013-05-27;0,022;0,022;0,022;0,022;;
2013-05-24;0,022;0,022;0,022;0,022;;
2013-05-23;0,022;0,022;0,022;0,022;;
2013-05-22;0,022;0,022;0,022;0,022;;
2013-05-21;0,024;0,024;0,024;0,024;;
2013-05-20;0,024;0,024;0,024;0,024;;
2013-05-17;0,024;0,024;0,024;0,024;;
2013-05-16;0,022;0,022;0,022;0,022;;
2013-05-15;0,021;0,021;0,021;0,021;;
2013-05-14;0,029;0,029;0,029;0,029;;
2013-05-13;0,023;0,023;0,023;0,023;15.882;365
2013-05-10;0,023;0,023;0,023;0,023;;
2013-05-09;0,023;0,023;0,023;0,023;;
2013-05-08;0,023;0,023;0,023;0,023;;
2013-05-07;0,023;0,023;0,023;0,023;;
2013-05-06;0,023;0,028;0,023;0,028;100;3
2013-05-03;0,023;0,031;0,023;0,031;90.847;2.409
2013-05-02;0,023;0,023;0,023;0,023;13.265;305
2013-04-30;0,023;0,023;0,023;0,023;20.006;460
2013-04-29;0,023;0,024;0,023;0,024;12;0
2013-04-26;0,02;0,02;0,02;0,02;;
2013-04-25;0,02;0,02;0,02;0,02;;
2013-04-24;0,02;0,02;0,02;0,02;;
2013-04-23;0,02;0,02;0,02;0,02;;
