Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2011-06-10;0,014;0,014;0,011;0,011;68.105;749
2011-06-09;0,022;0,022;0,014;0,014;50.021;700
2011-06-08;0,02;0,021;0,02;0,02;290.000;5.800
2011-06-07;0,02;0,021;0,02;0,021;34.000;714
2011-06-06;0,02;0,021;0,02;0,021;15.246;320
2011-06-03;0,02;0,021;0,02;0,021;14;0
2011-06-02;0,02;0,02;0,02;0,02;20.000;400
2011-06-01;0,02;0,022;0,02;0,022;82.003;1.804
2011-05-31;0,02;0,021;0,02;0,021;19.000;399
2011-05-30;0,02;0,021;0,02;0,021;27.034;568
2011-05-27;0,02;0,02;0,02;0,02;0;0
2011-05-26;0,02;0,021;0,02;0,021;49.867;1.047
2011-05-25;0,021;0,021;0,02;0,021;310.022;6.510
2011-05-24;0,02;0,028;0,02;0,021;200.210;4.204
2011-05-23;0,023;0,024;0,022;0,023;175.000;4.025
2011-05-20;0,029;0,029;0,016;0,02;439.657;8.793
2011-05-19;0,029;0,029;0,029;0,029;0;0
2011-05-18;0,022;0,028;0,022;0,028;1.000;28
2011-05-17;0,022;0,022;0,022;0,022;0;0
2011-05-16;0,023;0,023;0,023;0,023;0;0
2011-05-13;0,023;0,023;0,023;0,023;0;0
2011-05-12;0,023;0,023;0,023;0,023;0;0
2011-05-11;0,023;0,023;0,023;0,023;0;0
2011-05-10;0,023;0,024;0,023;0,024;1.205;29
2011-05-09;0,024;0,024;0,024;0,024;2.135;51
2011-05-06;0,022;0,024;0,022;0,024;6;0
2011-05-05;0,029;0,029;0,029;0,029;4.400;128
2011-05-04;0,021;0,021;0,021;0,021;0;0
2011-05-03;0,021;0,023;0,021;0,023;1;0
2011-05-02;0,024;0,025;0,022;0,022;31.820;700
2011-04-29;0,028;0,029;0,028;0,029;60;2
2011-04-28;0,028;0,028;0,028;0,028;0;0
2011-04-27;0,026;0,026;0,026;0,026;0;0
2011-04-26;0,026;0,026;0,026;0,026;0;0
2011-04-21;0,026;0,027;0,026;0,027;12;0
2011-04-20;0,036;0,036;0,027;0,027;2.001;54
2011-04-19;0,029;0,03;0,029;0,03;3.000;90
2011-04-18;0,027;0,027;0,027;0,027;0;0
2011-04-15;0,027;0,027;0,027;0,027;0;0
2011-04-14;0,029;0,03;0,029;0,03;101;3
2011-04-13;0,036;0,036;0,026;0,026;1.000;26
2011-04-12;0,034;0,035;0,033;0,035;16.000;560
2011-04-11;0,034;0,034;0,033;0,033;203;7
2011-04-08;0,034;0,034;0,034;0,034;0;0
2011-04-07;0,024;0,033;0,024;0,033;1.050;35
2011-04-06;0,03;0,03;0,025;0,026;3.687;96
2011-04-05;0,035;0,035;0,035;0,035;0;0
2011-04-04;0,037;0,037;0,037;0,037;0;0
2011-04-01;0,037;0,037;0,037;0,037;0;0
2011-03-31;0,024;0,036;0,024;0,036;11.500;414
2011-03-30;0,025;0,025;0,024;0,024;40.000;960
2011-03-29;0,025;0,025;0,025;0,025;0;0
2011-03-28;0,026;0,026;0,026;0,026;37;1
2011-03-25;0,038;0,038;0,026;0,026;8;0
2011-03-24;0,025;0,028;0,025;0,028;2.001;56
2011-03-23;0,027;0,03;0,027;0,03;4;0
2011-03-22;0,04;0,04;0,03;0,03;20.000;600
2011-03-21;0,025;0,031;0,025;0,031;54.815;1.699
2011-03-18;0,025;0,026;0,025;0,025;16.016;400
2011-03-17;0,025;0,026;0,025;0,026;3;0
2011-03-16;0,026;0,026;0,026;0,026;971;25
2011-03-15;0,031;0,039;0,027;0,027;26.971;728
2011-03-14;0,03;0,033;0,03;0,033;7.072;233
2011-03-11;0,031;0,032;0,031;0,032;45;1
2011-03-10;0,03;0,031;0,03;0,031;20.000;620
2011-03-09;0,03;0,032;0,03;0,032;5.926;190
2011-03-08;0,035;0,035;0,028;0,035;415;15
2011-03-07;0,035;0,037;0,035;0,037;3;0
2011-03-04;0,045;0,045;0,036;0,036;50;2
2011-03-03;0,045;0,045;0,045;0,045;0;0
2011-03-02;0,043;0,044;0,036;0,044;56.000;2.464
2011-03-01;0,042;0,047;0,042;0,044;97.000;4.268
2011-02-28;0,032;0,047;0,032;0,042;200.242;8.410
2011-02-25;0,036;0,036;0,036;0,036;12;0
2011-02-24;0,04;0,04;0,033;0,037;55.505;2.054
2011-02-23;0,034;0,047;0,034;0,04;64.042;2.562
2011-02-22;0,033;0,035;0,033;0,035;4.000;140
2011-02-21;0,034;0,037;0,034;0,037;2.325;86
2011-02-18;0,042;0,047;0,034;0,042;86.000;3.612
2011-02-17;0,035;0,043;0,035;0,042;47.097;1.978
2011-02-16;0,032;0,032;0,032;0,032;0;0
2011-02-15;0,037;0,037;0,033;0,037;21.000;777
2011-02-14;0,032;0,037;0,032;0,037;84.700;3.134
2011-02-11;0,031;0,034;0,031;0,032;104.118;3.332
2011-02-10;0,028;0,05;0,026;0,039;1.061.334;41.392
2011-02-09;0,029;0,029;0,029;0,029;2.011;58
2011-02-08;0,037;0,037;0,028;0,028;75.000;2.100
2011-02-07;0,031;0,039;0,031;0,036;15.001;540
2011-02-04;0,047;0,054;0,04;0,044;591.705;26.035
2011-02-03;0,026;0,046;0,026;0,043;1.162.958;50.007
2011-02-02;0,026;0,026;0,026;0,026;0;0
2011-02-01;0,021;0,025;0,021;0,025;228.500;5.713
2011-01-31;0,021;0,023;0,021;0,022;10.135;223
2011-01-28;0,021;0,022;0,021;0,022;25.000;550
2011-01-27;0,021;0,024;0,021;0,023;28.509;656
2011-01-26;0,021;0,022;0,021;0,022;834;18
2011-01-25;0,021;0,022;0,021;0,022;400;9
2011-01-24;0,022;0,024;0,022;0,022;41.196;906
2011-01-21;0,021;0,021;0,021;0,021;0;0
2011-01-20;0,021;0,022;0,021;0,022;352;8
2011-01-19;0,022;0,023;0,022;0,023;16;0
2011-01-18;0,026;0,026;0,022;0,022;51.361;1.130
2011-01-17;0,023;0,025;0,022;0,025;48.114;1.203
2011-01-14;0,021;0,021;0,021;0,021;0;0
2011-01-13;0,021;0,021;0,021;0,021;0;0
2011-01-12;0,022;0,022;0,021;0,021;140.000;2.940
2011-01-11;0,028;0,028;0,028;0,028;0;0
2011-01-10;0,029;0,029;0,029;0,029;0;0
2011-01-07;0,034;0,034;0,022;0,028;26.285;736
