Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;23,20;23,20;23,20;23,20;0;0
2019-08-13;22,40;23,40;22,40;23,20;1.098;25.493
2019-08-12;22,60;22,60;22,60;22,60;35;791
2019-08-09;22,60;22,60;22,60;22,60;0;0
2019-08-08;22,60;22,60;22,60;22,60;0;0
2019-08-07;22,40;22,40;22,40;22,40;0;0
2019-08-06;22,40;22,40;22,40;22,40;0;0
2019-08-05;22,40;23,40;22,40;23,40;100;2.340
2019-08-02;22,60;22,60;22,60;22,60;15;339
2019-08-01;22,00;22,00;22,00;22,00;0;0
2019-07-31;23,80;23,80;23,00;23,00;600;13.880
2019-07-30;22,00;23,80;22,00;23,80;110;2.618
2019-07-29;22,00;23,60;22,00;23,60;50;1.180
2019-07-26;24,00;24,00;22,00;23,60;910;21.160
2019-07-25;24,00;24,00;24,00;24,00;0;0
2019-07-24;24,40;24,40;24,00;24,00;229;5.496
2019-07-23;24,40;24,40;24,40;24,40;0;0
2019-07-22;24,40;24,40;24,40;24,40;0;0
2019-07-19;24,90;24,90;24,50;24,50;41;1.005
2019-07-18;24,40;24,50;24,40;24,50;3;74
2019-07-17;24,40;24,40;24,40;24,40;0;0
2019-07-16;24,40;24,40;24,40;24,40;150;3.660
2019-07-15;24,40;24,40;24,40;24,40;0;0
2019-07-12;24,40;24,40;24,40;24,40;0;0
2019-07-11;24,40;24,40;24,40;24,40;0;0
2019-07-10;24,40;24,40;24,40;24,40;0;0
2019-07-09;24,40;24,40;24,40;24,40;0;0
2019-07-08;24,40;24,40;24,40;24,40;0;0
2019-07-05;24,40;24,40;24,40;24,40;0;0
2019-07-04;24,50;24,50;24,40;24,40;200;4.880
2019-07-03;24,40;24,50;24,40;24,50;2;49
2019-07-02;24,40;24,40;24,40;24,40;0;0
2019-07-01;24,20;24,55;24,20;24,45;65;1.594
2019-06-28;24,60;24,60;24,60;24,60;0;0
2019-06-27;24,60;24,60;24,60;24,60;0;0
2019-06-26;24,60;24,60;24,60;24,60;0;0
2019-06-25;24,60;24,60;24,60;24,60;0;0
2019-06-24;24,60;24,60;24,60;24,60;0;0
2019-06-21;24,60;24,60;24,60;24,60;0;0
2019-06-20;24,60;24,60;24,60;24,60;0;0
2019-06-19;24,60;24,60;24,60;24,60;0;0
2019-06-18;24,60;24,60;24,60;24,60;0;0
2019-06-17;24,60;24,60;24,60;24,60;0;0
2019-06-14;24,40;25,60;24,40;25,60;107;2.739
2019-06-13;24,20;25,60;24,20;25,60;50;1.280
2019-06-12;24,20;24,20;24,20;24,20;0;0
2019-06-11;24,20;24,20;24,20;24,20;0;0
2019-06-07;24,20;24,20;24,20;24,20;0;0
2019-06-06;24,20;24,20;24,20;24,20;0;0
2019-06-05;24,20;24,20;24,20;24,20;0;0
2019-06-04;24,00;24,00;24,00;24,00;0;0
2019-06-03;24,60;24,60;24,00;24,00;200;4.877
2019-05-31;24,60;24,60;24,60;24,60;0;0
2019-05-30;24,60;25,60;24,60;25,60;85;2.156
2019-05-29;24,60;25,40;24,60;25,40;50;1.270
2019-05-28;24,60;24,60;24,60;24,60;0;0
2019-05-27;24,60;24,60;24,60;24,60;0;0
2019-05-24;24,60;24,60;24,60;24,60;0;0
2019-05-23;24,60;24,60;24,60;24,60;0;0
2019-05-22;24,60;24,60;24,60;24,60;0;0
2019-05-21;24,60;24,60;24,60;24,60;0;0
2019-05-20;24,60;24,60;24,60;24,60;0;0
2019-05-17;24,60;24,60;24,60;24,60;0;0
2019-05-16;24,60;24,60;24,60;24,60;0;0
2019-05-15;24,60;24,60;24,60;24,60;0;0
2019-05-14;24,60;24,60;24,60;24,60;0;0
2019-05-13;24,60;24,60;24,60;24,60;0;0
2019-05-10;24,60;24,60;24,60;24,60;0;0
2019-05-09;24,60;25,40;24,60;25,40;2;51
2019-05-08;24,60;24,60;24,60;24,60;54;1.328
2019-05-07;24,60;24,60;24,60;24,60;0;0
2019-05-06;24,40;24,40;24,40;24,40;0;0
2019-05-03;24,40;24,40;24,40;24,40;0;0
2019-05-02;24,60;25,40;24,40;25,40;446;10.986
2019-04-30;25,4896;25,4896;25,4896;25,4896;0;0
2019-04-29;24,4939;25,4896;24,4939;25,4896;100;2.560
2019-04-26;24,4939;24,4939;24,4939;24,4939;0;0
2019-04-25;24,4939;24,4939;24,4939;24,4939;0;0
2019-04-24;24,2948;24,8922;24,2948;24,8922;100;2.500
2019-04-23;23,6974;23,6974;23,6974;23,6974;0;0
2019-04-18;24,2948;24,2948;24,2948;24,2948;0;0
2019-04-17;24,2948;25,2905;24,2948;25,2905;100;2.530
2019-04-16;24,2948;24,2948;24,2948;24,2948;0;0
2019-04-15;24,2948;24,4939;24,2948;24,4939;60;1.476
2019-04-12;24,2948;24,2948;24,2948;24,2948;0;0
2019-04-11;24,2948;24,2948;24,2948;24,2948;47;1.147
2019-04-10;24,4939;25,0913;24,2948;25,0913;256;6.226
2019-04-09;23,8965;23,8965;23,8965;23,8965;100;2.400
2019-04-08;24,2948;25,4896;24,2948;24,4939;122;3.097
2019-04-05;25,6887;25,6887;25,6887;25,6887;0;0
2019-04-04;24,2948;25,6887;24,2948;25,6887;389;9.985
2019-04-03;24,2948;24,2948;24,2948;24,2948;0;0
2019-04-02;24,2948;24,2948;24,2948;24,2948;0;0
2019-04-01;24,8922;24,8922;23,8965;24,2948;1.466;35.766
2019-03-29;25,0913;26,4853;24,8922;26,4853;479;12.048
2019-03-28;25,2905;25,2905;25,2905;25,2905;454;11.481
2019-03-27;25,2905;25,2905;25,2905;25,2905;0;0
2019-03-26;25,2905;25,2905;25,2905;25,2905;0;0
2019-03-25;25,2905;25,2905;25,2905;25,2905;0;0
2019-03-22;26,2862;26,2862;25,2905;25,2905;832;21.611
2019-03-21;26,087;26,2862;26,087;26,2862;14;378
2019-03-20;26,087;26,087;26,087;26,087;0;0
2019-03-19;26,087;26,087;26,087;26,087;0;0
2019-03-18;26,4853;26,4853;26,4853;26,4853;0;0
2019-03-15;26,4853;26,4853;26,4853;26,4853;386;10.214
2019-03-14;26,4853;26,6844;26,4853;26,6844;60;1.608
2019-03-13;26,4853;27,0827;26,4853;27,0827;3;82
2019-03-12;26,4853;26,4853;26,4853;26,4853;100;2.660
2019-03-11;26,4853;26,6844;26,4853;26,6844;191;5.092
2019-03-08;26,4853;26,4853;26,4853;26,4853;0;0
2019-03-07;26,6844;27,2819;26,5849;26,5849;627;16.890
2019-03-06;26,4853;26,6844;26,4853;26,6844;298;7.959
2019-03-05;26,4853;26,4853;26,4853;26,4853;0;0
2019-03-04;26,4853;26,6844;26,4853;26,6844;63;1.688
2019-03-01;25,8879;25,8879;25,8879;25,8879;0;0
2019-02-28;26,2862;27,2719;26,2862;27,2719;1;27
2019-02-27;27,1823;27,1823;27,1823;27,1823;40;1.092
2019-02-26;26,2862;26,2862;26,2862;26,2862;0;0
2019-02-25;26,2862;26,2862;26,2862;26,2862;0;0
2019-02-22;26,2862;26,2862;26,2862;26,2862;0;0
