Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-22;2,10;2,22;2,10;2,18;1.800;3.986
2019-07-19;2,18;2,18;2,10;2,10;1.700;3.698
2019-07-18;2,16;2,18;2,16;2,18;3.700;8.066
2019-07-17;2,08;2,16;2,08;2,16;300;648
2019-07-16;2,08;2,08;2,08;2,08;0;
2019-07-15;2,08;2,10;2,08;2,08;100;210
2019-07-12;2,08;2,10;2,08;2,08;100;210
2019-07-11;2,08;2,08;2,08;2,08;0;
2019-07-10;1,96;1,98;1,96;1,98;0;
2019-07-09;1,90;2,02;1,90;1,96;859;1.735
2019-07-08;2,02;2,02;1,90;1,90;2.957;5.733
2019-07-05;2,08;2,08;2,08;2,08;0;
2019-07-04;2,08;2,08;2,08;2,08;0;
2019-07-03;2,12;2,12;2,12;2,12;0;
2019-07-02;2,20;2,22;2,20;2,20;8.761;19.275
2019-07-01;2,10;2,22;2,10;2,20;50;111
2019-06-28;2,10;2,20;2,10;2,10;490;1.074
2019-06-27;2,12;2,14;2,10;2,10;680;1.441
2019-06-26;2,12;2,12;2,12;2,12;0;
2019-06-25;2,12;2,12;2,12;2,12;350;742
2019-06-24;2,12;2,14;2,12;2,12;50;107
2019-06-21;2,12;2,12;2,12;2,12;1.420;3.010
2019-06-20;2,12;2,18;2,12;2,12;140;305
2019-06-19;2,12;2,14;2,12;2,12;300;642
2019-06-18;2,04;2,04;2,04;2,04;0;234
2019-06-17;2,04;2,04;2,04;2,04;0;
2019-06-14;2,16;2,16;2,06;2,06;300;643
2019-06-13;2,14;2,16;2,14;2,16;150;321
2019-06-12;2,14;2,14;2,14;2,14;0;
2019-06-11;2,14;2,14;2,14;2,14;100;214
2019-06-07;2,14;2,18;2,14;2,14;167;364
2019-06-06;2,14;2,14;2,14;2,14;0;
2019-06-05;2,14;2,14;2,14;2,14;0;
2019-06-04;2,14;2,14;2,14;2,14;100;214
2019-06-03;2,18;2,20;2,14;2,14;1.020;2.244
2019-05-31;2,20;2,20;2,14;2,14;500;1.100
2019-05-30;2,00;2,00;2,00;2,00;0;
2019-05-29;2,20;2,20;2,20;2,20;0;
2019-05-28;2,20;2,26;2,20;2,20;1.520;3.415
2019-05-27;2,08;2,22;2,08;2,20;3.100;6.868
2019-05-24;2,00;2,08;2,00;2,08;49;102
2019-05-23;2,06;2,06;2,06;2,06;850;1.751
2019-05-22;2,06;2,06;2,06;2,06;167;344
2019-05-21;1,90;2,02;1,85;2,02;2.066;4.013
2019-05-20;1,92;1,92;1,90;1,90;489;938
2019-05-17;1,92;1,94;1,92;1,94;200;388
2019-05-16;1,92;1,92;1,92;1,92;0;
2019-05-15;1,92;1,93;1,92;1,93;1.006;1.932
2019-05-14;1,92;1,93;1,92;1,93;666;1.286
2019-05-13;1,92;1,94;1,92;1,92;300;582
2019-05-10;1,92;2,00;1,92;1,98;1.150;2.233
2019-05-09;1,92;2,00;1,92;1,92;1.536;3.070
2019-05-08;1,96;1,96;1,92;1,94;0;
2019-05-07;1,93;2,00;1,93;2,00;0;
2019-05-06;1,99;1,99;1,94;1,94;0;
2019-05-03;1,96;2,10;1,96;2,10;7.000;14.700
2019-05-02;2,08;2,08;1,97;1,97;1.251;2.595
2019-04-30;1,95;2,08;1,95;2,08;523;1.083
2019-04-29;1,94;1,96;1,94;1,96;38;74
2019-04-26;1,94;1,96;1,94;1,95;0;
2019-04-25;1,95;1,96;1,95;1,96;0;
2019-04-24;2,02;2,02;1,92;1,95;150;290
2019-04-23;2,02;2,02;2,02;2,02;76;154
2019-04-18;2,02;2,12;2,00;2,12;1.240;2.605
2019-04-17;2,20;2,20;2,20;2,20;1.800;3.960
2019-04-16;1,92;1,93;1,92;1,92;50;97
2019-04-15;1,94;1,94;1,89;1,89;0;
2019-04-12;2,10;2,10;2,00;2,00;250;525
2019-04-10;2,04;2,12;2,04;2,12;300;636
2019-04-09;1,88;2,00;1,88;2,00;333;653
2019-04-08;1,92;1,92;1,88;1,88;3.046;5.827
2019-04-04;2,06;2,06;2,06;2,06;0;
2019-04-03;1,90;2,06;1,90;2,06;2.035;4.022
2019-04-02;1,88;1,88;1,88;1,88;0;
2019-04-01;1,84;1,88;1,84;1,88;0;
2019-03-29;1,85;1,85;1,76;1,76;1.500;2.730
2019-03-28;1,85;1,86;1,85;1,86;266;495
2019-03-27;1,85;1,85;1,85;1,85;0;
2019-03-26;1,86;1,86;1,85;1,85;119;30
2019-03-25;1,85;1,85;1,85;1,85;0;
2019-03-22;1,82;1,85;1,82;1,85;0;
2019-03-21;1,76;1,85;1,76;1,82;2.300;4.209
2019-03-20;1,79;1,79;1,76;1,76;0;
2019-03-19;1,76;1,81;1,76;1,81;0;
2019-03-18;1,77;1,77;1,75;1,76;0;
2019-03-15;1,92;1,92;1,77;1,77;200;354
2019-03-14;1,90;1,92;1,75;1,92;1.900;3.494
2019-03-13;1,85;1,85;1,85;1,85;50;93
2019-03-12;1,86;1,87;1,86;1,87;600;1.123
2019-03-11;1,90;1,90;1,90;1,90;0;
2019-03-08;1,91;1,91;1,91;1,91;0;
2019-03-07;1,78;1,80;1,73;1,80;2.111;3.724
2019-03-06;1,84;1,84;1,84;1,84;0;
2019-03-05;1,83;1,84;1,83;1,84;0;
2019-03-04;1,94;1,94;1,84;1,84;1.175;2.257
2019-03-01;1,94;1,94;1,94;1,94;60;116
2019-02-28;1,89;1,94;1,89;1,94;0;
2019-02-27;1,90;1,90;1,90;1,90;0;
2019-02-26;1,85;1,91;1,85;1,91;101;193
2019-02-25;1,88;1,88;1,82;1,85;0;
2019-02-22;1,88;1,88;1,88;1,88;50;94
2019-02-21;1,88;1,88;1,88;1,88;63;118
2019-02-20;1,88;1,88;1,88;1,88;100;188
2019-02-19;1,88;1,88;1,88;1,88;50;94
2019-02-18;1,88;1,88;1,88;1,88;26;49
2019-02-15;1,98;1,98;1,98;1,98;200;396
2019-02-14;1,83;1,94;1,83;1,94;5.000;9.700
2019-02-13;1,83;1,83;1,83;1,83;0;
2019-02-12;1,81;1,83;1,81;1,83;0;
2019-02-11;1,79;1,81;1,79;1,81;30;54
2019-02-08;1,80;1,80;1,75;1,80;2.300;4.125
2019-02-07;1,94;1,94;1,75;1,75;1.000;1.750
2019-02-06;1,94;1,94;1,94;1,94;0;
2019-02-05;1,94;1,94;1,94;1,94;106;78
2019-02-04;1,94;1,94;1,92;1,94;500;960
2019-02-01;1,94;1,94;1,94;1,94;0;
2019-01-31;1,94;2,04;1,94;1,94;120;245
2019-01-30;1,94;1,96;1,94;1,95;26;51
2019-01-29;1,94;1,95;1,94;1,94;150;873
2019-01-28;1,92;1,95;1,92;1,95;0;
2019-01-25;1,91;1,94;1,91;1,94;0;
2019-01-24;1,91;1,91;1,91;1,91;0;
2019-01-23;1,91;1,91;1,91;1,91;100;191
2019-01-22;1,91;1,91;1,91;1,91;0;
2019-01-21;1,88;1,88;1,88;1,88;0;
2019-01-18;1,88;1,88;1,88;1,88;0;
2019-01-17;1,85;1,98;1,85;1,98;50;297
2019-01-16;1,82;1,86;1,82;1,86;0;
2019-01-15;1,80;1,93;1,80;1,93;1.000;1.860
2019-01-14;1,83;1,83;1,81;1,81;1.000;1.830
2019-01-11;1,71;1,71;1,71;1,71;0;
2019-01-10;1,72;1,72;1,72;1,72;0;0
2019-01-09;1,71;1,74;1,71;1,74;;
2019-01-08;1,71;1,73;1,71;1,71;0;
2019-01-07;1,73;1,73;1,71;1,71;600;1.038
2019-01-04;1,74;1,89;1,74;1,89;200;1.134
2019-01-03;1,72;1,72;1,72;1,72;0;
2019-01-02;1,68;1,89;1,68;1,89;750;2.335
2018-12-28;1,68;1,83;1,68;1,70;1.250;2.218
2018-12-27;1,72;1,72;1,69;1,69;1.320;2.231
2018-12-21;1,69;1,69;1,69;1,69;0;
2018-12-20;1,72;1,72;1,72;1,72;0;
2018-12-19;1,69;1,72;1,69;1,72;0;
2018-12-18;1,69;1,72;1,69;1,72;0;
2018-12-17;1,69;1,69;1,69;1,69;546;923
2018-12-14;1,55;1,69;1,55;1,69;815;1.351
2018-12-13;1,50;1,50;1,50;1,50;0;
2018-12-12;1,62;1,62;1,53;1,53;10.100;16.353
2018-12-11;1,69;1,69;1,62;1,62;4.200;6.810
2018-12-10;1,69;1,69;1,69;1,69;100;169
2018-12-07;1,68;1,70;1,68;1,70;6.350;10.783
2018-12-06;1,68;1,70;1,68;1,68;350;593
2018-12-05;1,69;1,69;1,68;1,68;5.400;9.089
2018-12-04;1,69;1,69;1,69;1,69;300;507
2018-12-03;1,69;1,69;1,69;1,69;1.600;2.704
2018-11-30;1,61;1,70;1,61;1,69;3.600;6.120
2018-11-29;1,61;1,61;1,61;1,61;0;
2018-11-28;1,61;1,61;1,61;1,61;0;
2018-11-27;1,61;1,61;1,61;1,61;0;
2018-11-26;1,61;1,61;1,61;1,61;0;
2018-11-23;1,61;1,61;1,61;1,61;0;
2018-11-22;1,61;1,61;1,61;1,61;0;
2018-11-21;1,51;1,51;1,51;1,51;0;
2018-11-20;1,55;1,55;1,51;1,51;0;
2018-11-19;1,55;1,55;1,55;1,55;356;552
2018-11-16;1,65;1,65;1,62;1,63;50;82
2018-11-15;1,65;1,65;1,65;1,65;0;
2018-11-14;1,65;1,70;1,65;1,70;0;
2018-11-13;1,62;1,65;1,62;1,65;0;
2018-11-12;1,65;1,65;1,65;1,65;0;
2018-11-09;1,64;1,79;1,64;1,79;150;269
2018-11-08;1,64;1,64;1,64;1,64;33;54
2018-11-07;1,64;1,64;1,64;1,64;0;
2018-11-06;1,55;1,74;1,55;1,74;100;174
2018-11-05;1,55;1,55;1,55;1,55;0;
2018-11-02;1,67;1,68;1,67;1,68;500;838
