Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;7,05;7,05;7,05;7,05;100;705
2019-08-13;7,35;7,35;7,35;7,35;20;147
2019-08-12;7,45;7,45;7,00;7,00;2.693;19.883
2019-08-09;7,45;7,50;7,45;7,50;1.523;11.354
2019-08-08;7,50;7,50;7,45;7,45;8.807;65.836
2019-08-07;7,70;7,70;7,50;7,50;1.600;12.200
2019-08-06;7,70;7,85;7,70;7,70;1.099;8.553
2019-08-05;7,70;7,85;7,70;7,85;819;6.381
2019-08-02;7,35;7,80;7,35;7,70;779;6.041
2019-08-01;7,45;7,45;7,45;7,45;160;1.192
2019-07-31;7,45;7,60;7,45;7,60;2.250;16.766
2019-07-30;7,35;7,35;7,35;7,35;535;3.932
2019-07-29;7,40;7,40;7,25;7,25;550;4.063
2019-07-26;6,75;6,85;6,75;6,85;1.964;13.365
2019-07-25;6,65;6,80;6,60;6,60;2.203;14.722
2019-07-24;6,45;6,45;6,45;6,45;50;323
2019-07-22;6,45;6,50;6,45;6,50;4.440;28.745
2019-07-19;6,45;6,55;6,45;6,55;131;852
2019-07-18;6,05;6,50;6,05;6,45;5.333;33.855
2019-07-16;6,10;6,10;6,10;6,10;1.000;6.100
2019-07-15;6,00;6,00;6,00;6,00;520;3.120
2019-07-08;6,30;6,30;6,30;6,30;950;5.985
2019-07-03;6,30;6,30;6,30;6,30;100;630
2019-07-02;6,30;6,30;6,30;6,30;160;1.008
2019-06-28;6,40;6,40;6,40;6,40;300;1.920
2019-06-27;6,35;6,35;6,35;6,35;12;76
2019-06-25;6,20;6,30;6,20;6,30;890;5.563
2019-06-24;6,25;6,45;6,15;6,15;1.410;8.870
2019-06-20;6,20;6,35;6,20;6,30;1.200;7.575
2019-06-17;6,20;6,20;6,20;6,20;165;1.023
2019-06-13;6,30;6,30;6,30;6,30;180;1.134
2019-06-12;6,40;6,40;6,40;6,40;24;154
2019-06-11;6,40;6,40;6,40;6,40;42;269
2019-06-10;6,20;6,20;6,20;6,20;74;459
2019-06-07;6,40;6,40;6,40;6,40;500;3.200
2019-06-06;5,80;6,25;5,80;6,25;2.425;14.456
2019-06-05;5,95;5,95;5,65;5,80;1.958;11.397
2019-06-04;5,75;5,75;5,75;5,75;347;1.995
2019-06-03;5,35;5,35;5,35;5,35;650;3.478
2019-05-28;5,40;5,40;5,40;5,40;98;529
2019-05-27;5,30;5,45;5,30;5,40;1.564;8.453
2019-05-24;5,40;5,50;5,30;5,30;740;4.053
2019-05-21;5,30;5,40;5,30;5,40;1.018;5.495
2019-05-17;5,30;5,30;5,30;5,30;220;1.166
2019-05-16;5,15;5,15;5,15;5,15;202;1.040
2019-05-14;5,45;5,45;5,45;5,45;200;1.090
2019-05-13;5,35;5,40;5,35;5,40;351;1.883
2019-05-10;5,40;5,55;5,40;5,55;445;2.405
2019-05-09;5,25;5,25;5,25;5,25;385;2.021
2019-05-07;5,05;5,05;5,00;5,00;2.220;11.111
2019-05-02;5,30;5,30;5,10;5,20;1.900;9.935
2019-04-30;5,30;5,40;5,10;5,10;2.200;11.721
2019-04-29;5,05;5,20;5,05;5,20;842;4.345
2019-04-26;5,00;5,00;4,90;4,90;805;4.005
2019-04-25;4,80;4,96;4,80;4,84;670;3.257
2019-04-23;4,92;4,92;4,92;4,92;420;2.066
2019-04-18;4,54;4,88;4,50;4,74;5.276;24.721
2019-04-17;4,54;4,54;4,54;4,54;244;1.108
2019-04-16;4,52;4,54;4,46;4,46;4.035;18.167
2019-04-15;4,16;4,54;4,16;4,50;18.772;83.582
2019-04-12;4,14;4,14;4,14;4,14;6;25
2019-04-11;4,14;4,14;4,14;4,14;36;149
2019-04-09;4,16;4,16;4,16;4,16;162;674
2019-04-08;4,14;4,18;4,14;4,14;978;4.055
2019-04-02;4,14;4,14;4,14;4,14;50;207
2019-03-29;4,12;4,12;4,12;4,12;200;824
2019-03-27;4,15;4,15;4,15;4,15;10;42
2019-03-19;4,10;4,10;4,05;4,05;899;3.673
2019-03-18;4,12;4,13;4,12;4,13;550;2.269
2019-03-15;4,11;4,11;4,11;4,11;450;1.850
2019-03-12;4,10;4,10;4,10;4,10;2.000;8.200
2019-03-11;4,16;4,16;4,16;4,16;540;2.246
2019-03-08;4,05;4,15;4,01;4,15;2.350;9.488
2019-03-07;4,09;4,09;4,08;4,09;1.300;5.309
2019-03-06;4,08;4,08;4,08;4,08;1.000;4.080
2019-03-04;4,01;4,01;4,01;4,01;44;176
2019-02-28;4,15;4,15;4,15;4,15;12;50
2019-02-25;4,14;4,14;4,13;4,13;331;1.370
2019-02-21;4,18;4,18;4,18;4,18;25;105
2019-02-20;4,15;4,15;4,14;4,14;514;2.131
2019-02-15;4,18;4,18;4,15;4,15;3.270;13.631
2019-02-14;4,24;4,24;4,18;4,18;559;2.351
2019-02-13;4,19;4,19;4,19;4,19;2.000;8.380
2019-02-12;4,18;4,18;4,18;4,18;270;1.129
2019-02-11;4,15;4,15;4,15;4,15;46;191
2019-02-08;4,18;4,18;4,12;4,12;240;1.003
2019-02-07;4,15;4,15;4,15;4,15;16;66
2019-02-06;4,17;4,17;4,17;4,17;270;1.126
2019-02-04;4,14;4,14;4,14;4,14;35;145
2019-01-29;4,13;4,13;4,13;4,13;240;991
2019-01-28;4,15;4,15;4,15;4,15;270;1.121
2019-01-24;4,10;4,10;4,10;4,10;1.006;4.125
2019-01-22;4,02;4,06;3,97;3,97;890;3.588
2019-01-18;3,98;4,02;3,98;4,02;340;1.365
2019-01-15;4,05;4,05;4,05;4,05;250;1.013
2019-01-14;4,01;4,01;4,01;4,01;250;1.003
2019-01-09;4,01;4,01;4,01;4,01;250;1.003
2019-01-08;3,95;3,95;3,95;3,95;110;435
2019-01-02;4,03;4,03;4,03;4,03;40;161
2018-12-28;3,89;3,89;3,83;3,83;1.440;5.559
2018-12-27;3,93;3,93;3,89;3,89;2.448;9.563
2018-12-21;3,99;3,99;3,99;3,99;250;998
2018-12-20;4,00;4,00;3,96;3,96;10.978;43.628
2018-12-19;4,00;4,00;3,98;3,98;2.240;8.955
2018-12-18;4,00;4,00;3,98;3,98;2.000;7.980
2018-12-17;4,00;4,00;4,00;4,00;1.000;4.000
2018-12-13;4,02;4,02;4,02;4,02;2.000;8.040
2018-12-12;4,00;4,00;4,00;4,00;2.000;8.000
2018-12-11;3,97;4,04;3,97;4,04;668;2.653
2018-12-10;3,98;3,98;3,97;3,97;2.374;9.429
2018-12-07;4,00;4,00;3,97;3,99;5.406;21.555
2018-12-06;3,98;3,98;3,96;3,96;4.000;15.900
2018-12-04;3,98;3,98;3,90;3,90;2.800;11.000
2018-12-03;3,90;4,00;3,90;3,98;6.076;24.246
2018-11-30;3,89;4,02;3,89;4,02;4.640;18.086
2018-11-29;3,79;3,80;3,65;3,65;5.650;21.389
2018-11-26;3,92;3,92;3,92;3,92;30;118
2018-11-21;3,74;3,74;3,74;3,74;250;935
2018-11-20;3,68;3,79;3,67;3,79;1.835;6.770
2018-11-19;3,82;3,82;3,81;3,81;3.520;13.436
2018-11-16;3,82;3,82;3,82;3,82;280;1.070
2018-11-14;3,70;3,70;3,70;3,70;70;259
2018-11-13;3,87;3,87;3,75;3,75;1.296;4.971
2018-11-07;3,81;3,81;3,61;3,61;1.680;6.152
2018-10-30;3,52;3,79;3,52;3,79;455;1.680
2018-10-29;3,67;3,67;3,52;3,52;2.720;9.927
2018-10-26;3,72;3,72;3,65;3,66;2.306;8.457
2018-10-25;3,75;3,75;3,70;3,70;1.310;4.909
2018-10-24;3,81;3,81;3,76;3,76;1.300;4.938
2018-10-22;3,82;3,84;3,82;3,82;750;2.866
2018-10-19;3,72;3,72;3,72;3,72;2;7
2018-10-16;3,75;3,75;3,74;3,74;600;2.247
2018-10-15;3,74;3,75;3,74;3,75;1.300;4.865
2018-10-12;3,89;3,89;3,89;3,89;1.342;5.220
2018-10-11;3,91;3,92;3,84;3,85;3.910;15.182
2018-10-09;3,90;3,90;3,90;3,90;1.524;5.944
2018-10-08;4,02;4,02;3,99;3,99;1.290;5.156
2018-10-05;4,07;4,07;4,06;4,06;1.000;4.063
2018-10-04;3,97;3,97;3,97;3,97;280;1.112
2018-10-02;4,14;4,14;4,14;4,14;30;124
2018-09-25;4,21;4,21;4,20;4,20;1.270;5.337
2018-09-24;4,29;4,29;4,19;4,19;145;609
2018-09-21;4,20;4,21;4,20;4,21;1.270;5.337
