Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;16,30;16,30;15,70;15,70;650;10.455
2019-05-02;16,40;16,50;16,30;16,40;2.089;34.422
2019-04-30;16,90;16,90;16,80;16,80;200;3.380
2019-04-29;16,90;16,90;16,80;16,80;510;8.619
2019-04-26;16,40;16,80;16,40;16,80;954;16.006
2019-04-25;16,70;16,90;16,50;16,60;5.032;83.847
2019-04-24;17,10;17,10;16,60;16,60;4.997;84.027
2019-04-23;17,50;17,50;17,50;17,50;7;123
2019-04-18;17,50;17,60;17,40;17,40;352;6.155
2019-04-17;17,70;17,70;17,70;17,70;101;1.788
2019-04-16;17,50;17,50;17,10;17,20;330;5.671
2019-04-15;17,40;17,60;17,40;17,50;465;8.151
2019-04-12;17,40;17,60;17,10;17,10;2.149;37.345
2019-04-11;17,60;17,60;17,60;17,60;20;352
2019-04-10;17,50;17,50;17,50;17,50;152;2.660
2019-04-09;17,40;17,50;17,40;17,40;1.213;21.211
2019-04-08;17,50;17,50;17,30;17,30;300;5.250
2019-04-05;17,30;17,50;17,10;17,10;2.800;48.857
2019-04-04;17,40;17,40;17,20;17,20;141;2.436
2019-04-03;17,90;17,90;17,50;17,50;896;15.766
2019-04-02;18,00;18,00;17,80;17,80;557;9.985
2019-04-01;17,60;18,40;17,60;18,20;1.644;29.396
2019-03-29;17,80;17,80;17,35;17,75;694;12.189
2019-03-28;17,90;17,90;17,80;17,80;150;2.685
2019-03-27;17,80;17,90;17,80;17,80;1.066;19.025
2019-03-26;17,85;17,90;17,60;17,90;1.362;24.270
2019-03-25;17,75;17,80;17,70;17,75;400;7.115
2019-03-22;17,95;17,95;17,60;17,90;280;4.962
2019-03-21;17,85;17,90;17,75;17,75;883;15.791
2019-03-20;17,50;17,75;17,50;17,75;300;5.250
2019-03-19;17,85;17,85;17,85;17,85;0;0
2019-03-18;17,90;17,95;17,70;17,85;470;8.408
2019-03-15;17,90;17,90;17,90;17,90;0;0
2019-03-14;17,80;17,95;17,80;17,85;900;16.065
2019-03-13;17,85;17,85;17,85;17,85;0;0
2019-03-12;17,95;17,95;17,85;17,85;268;4.811
2019-03-11;17,80;17,90;17,80;17,90;1.170;20.835
2019-03-08;17,65;17,75;17,45;17,75;981;17.323
2019-03-07;17,25;18,50;17,25;17,50;5.790;102.854
2019-03-06;16,90;17,00;16,90;16,90;1.607;27.278
2019-03-05;16,70;16,90;16,60;16,75;1.311;21.900
2019-03-04;16,65;16,90;16,60;16,65;745;12.447
2019-03-01;16,25;16,70;16,20;16,70;2.934;47.955
2019-02-28;16,05;16,05;16,05;16,05;0;0
2019-02-27;16,00;16,05;16,00;16,05;200;3.200
2019-02-26;16,05;16,05;15,80;15,90;2.371;37.935
2019-02-25;16,10;16,25;16,05;16,25;500;8.044
2019-02-22;16,35;16,65;16,35;16,40;706;11.626
2019-02-21;16,15;16,25;16,15;16,25;110;1.777
2019-02-20;16,45;16,45;16,45;16,45;0;0
2019-02-19;16,50;16,50;16,45;16,45;70;1.155
2019-02-18;16,65;16,70;16,15;16,30;1.350;22.234
2019-02-15;17,20;17,25;17,00;17,05;749;12.830
2019-02-14;17,10;17,20;17,10;17,20;702;12.004
2019-02-13;17,00;17,00;17,00;17,00;0;0
2019-02-12;17,10;17,15;17,00;17,00;800;13.719
2019-02-11;17,15;17,15;17,00;17,00;550;9.433
2019-02-08;17,40;17,40;16,80;17,10;2.828;48.911
