Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2008-10-24;0,17;0,25;0,17;0,25;9.966;2.492
2008-10-23;0,17;0,20;0,17;0,20;0;0
2008-10-22;0,19;0,19;0,19;0,19;5.148;978
2008-10-21;0,19;0,21;0,19;0,21;1.517;319
2008-10-20;0,19;0,19;0,19;0,19;0;0
2008-10-17;0,19;0,191;0,19;0,191;19;4
2008-10-16;0,19;0,23;0,181;0,21;2.137;449
2008-10-15;0,25;0,25;0,23;0,23;4.463;1.026
2008-10-14;0,21;0,25;0,17;0,25;38.969;9.742
2008-10-13;0,24;0,25;0,24;0,24;35.648;8.556
2008-10-10;0,15;0,179;0,15;0,179;3.439;616
2008-10-09;0,195;0,195;0,19;0,19;5.000;950
2008-10-08;0,161;0,161;0,13;0,155;63;10
2008-10-07;0,15;0,19;0,15;0,19;10.005;1.901
2008-10-06;0,191;0,191;0,17;0,17;7.000;1.190
2008-10-03;0,151;0,151;0,151;0,151;2;0
2008-10-02;0,15;0,18;0,15;0,18;4.000;720
2008-10-01;0,144;0,19;0,144;0,19;3.000;570
2008-09-30;0,11;0,184;0,11;0,184;62.100;11.426
2008-09-29;0,17;0,20;0,17;0,17;4.448;756
2008-09-26;0,20;0,21;0,20;0,21;6;1
2008-09-25;0,20;0,239;0,20;0,22;6.023;1.325
2008-09-24;0,20;0,20;0,20;0,20;0;0
2008-09-23;0,20;0,22;0,20;0,22;0;0
2008-09-22;0,20;0,215;0,20;0,215;2;0
2008-09-19;0,21;0,24;0,21;0,22;5.610;1.234
2008-09-18;0,239;0,25;0,22;0,25;163;41
2008-09-17;0,18;0,279;0,18;0,279;6.950;1.939
2008-09-16;0,18;0,24;0,18;0,22;10.390;2.286
2008-09-15;0,219;0,22;0,219;0,22;70;15
2008-09-12;0,15;0,22;0,15;0,22;6;1
2008-09-11;0,15;0,21;0,15;0,18;4.403;793
2008-09-10;0,16;0,18;0,16;0,18;3.500;630
2008-09-09;0,15;0,20;0,15;0,20;1;0
2008-09-08;0,15;0,19;0,15;0,182;5.105;929
2008-09-05;0,20;0,20;0,19;0,19;6.077;1.155
2008-09-04;0,20;0,20;0,19;0,19;5.001;950
2008-09-03;0,21;0,22;0,21;0,22;0;0
2008-09-02;0,21;0,21;0,21;0,21;0;0
2008-09-01;0,21;0,211;0,21;0,21;2.010;422
2008-08-29;0,22;0,23;0,22;0,23;1.000;230
2008-08-28;0,22;0,23;0,22;0,221;4.084;903
2008-08-27;0,22;0,23;0,22;0,23;3;1
2008-08-26;0,24;0,24;0,221;0,221;2.500;553
2008-08-25;0,23;0,25;0,23;0,25;965;241
2008-08-22;0,23;0,272;0,225;0,272;13.102;3.564
2008-08-21;0,23;0,23;0,23;0,23;0;0
2008-08-20;0,23;0,24;0,23;0,24;0;0
2008-08-19;0,23;0,24;0,23;0,24;12.212;2.931
2008-08-18;0,23;0,25;0,23;0,25;10.006;2.502
2008-08-15;0,24;0,25;0,24;0,25;0;0
2008-08-14;0,24;0,251;0,24;0,251;45;11
2008-08-13;0,24;0,26;0,24;0,26;16.184;4.208
2008-08-12;0,26;0,26;0,26;0,26;4.000;1.040
2008-08-11;0,27;0,27;0,25;0,26;14.879;3.869
2008-08-08;0,27;0,271;0,27;0,27;9.219;2.489
2008-08-07;0,27;0,27;0,26;0,26;8.843;2.299
2008-08-06;0,23;0,23;0,23;0,27;1.096;296
2008-08-05;0,27;0,27;0,27;0,27;0;0
2008-08-04;0,24;0,25;0,24;0,25;4.023;1.006
2008-08-01;0,23;0,27;0,23;0,27;14.200;3.834
2008-07-31;0,25;0,25;0,25;0,25;16;4
2008-07-30;0,23;0,23;0,23;0,23;0;0
2008-07-29;0,23;0,23;0,23;0,23;0;0
2008-07-28;0,27;0,27;0,27;0,27;3;1
2008-07-25;0,26;0,27;0,26;0,26;8.000;2.080
2008-07-24;0,26;0,26;0,26;0,26;0;0
2008-07-23;0,23;0,27;0,23;0,25;9.500;2.375
2008-07-22;0,23;0,23;0,23;0,23;0;0
2008-07-21;0,231;0,25;0,231;0,25;4.036;1.009
2008-07-18;0,225;0,25;0,225;0,25;19.820;4.955
2008-07-17;0,25;0,26;0,25;0,26;5.000;1.300
2008-07-16;0,21;0,25;0,21;0,25;4.300;1.075
