Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;17,75;17,75;17,40;17,50;6.766;118.664
2019-05-02;18,45;18,55;17,70;17,70;6.683;121.297
2019-04-30;17,75;18,75;17,75;18,50;16.158;298.082
2019-04-29;18,15;18,25;17,90;18,05;5.759;103.884
2019-04-26;17,90;17,95;17,75;17,95;2.828;50.593
2019-04-25;17,70;18,15;17,70;17,70;4.599;82.615
2019-04-24;17,95;18,05;17,80;17,95;2.887;51.736
2019-04-23;17,80;18,00;17,70;17,95;2.884;51.594
2019-04-18;17,60;17,75;17,55;17,75;3.891;68.723
2019-04-17;18,25;18,25;17,40;17,55;21.125;374.443
2019-04-16;18,30;18,30;17,95;18,10;10.896;197.113
2019-04-15;17,70;18,30;17,70;18,30;13.085;236.688
2019-04-12;17,90;17,95;17,80;17,90;316;5.652
2019-04-11;17,90;17,90;17,80;17,80;1.295;23.135
2019-04-10;17,65;17,90;17,60;17,85;16.299;289.388
2019-04-09;17,70;17,75;17,60;17,70;1.668;29.545
2019-04-08;17,50;17,70;17,45;17,60;4.257;74.922
2019-04-05;17,40;17,65;17,40;17,50;1.687;29.492
2019-04-04;17,40;17,55;17,35;17,40;1.300;22.669
2019-04-03;17,30;17,50;17,10;17,40;3.479;60.079
2019-04-02;17,05;17,40;17,00;17,30;15.867;273.747
2019-04-01;16,80;17,30;16,80;17,00;5.885;100.209
2019-03-29;17,20;17,20;16,90;16,90;1.082;18.414
2019-03-28;17,10;17,10;16,95;17,00;1.206;20.573
2019-03-27;17,50;17,60;17,00;17,05;11.072;191.979
2019-03-26;17,65;17,70;17,20;17,50;7.789;136.454
2019-03-25;17,25;17,55;17,00;17,55;7.187;123.855
2019-03-22;17,50;17,60;17,50;17,50;2.437;42.705
2019-03-21;17,55;17,55;17,50;17,55;8.210;143.732
2019-03-20;17,55;17,60;17,50;17,55;11.645;203.808
2019-03-19;16,70;17,80;16,70;17,55;14.626;254.507
2019-03-18;16,20;17,20;16,10;17,20;19.806;327.844
2019-03-15;16,25;16,40;16,10;16,10;2.512;40.612
2019-03-14;15,95;16,20;15,80;16,20;24.108;385.198
2019-03-13;16,30;16,30;15,90;15,90;29.890;478.240
2019-03-12;16,50;16,50;16,25;16,25;400;6.548
2019-03-11;16,30;16,45;16,05;16,45;8.413;137.326
2019-03-08;16,20;16,20;16,00;16,00;1.485;23.791
2019-03-07;16,05;16,20;16,00;16,05;886;14.314
2019-03-06;16,05;16,10;16,00;16,00;21.339;341.488
2019-03-05;15,85;16,05;15,85;16,05;13.257;211.928
2019-03-04;16,00;16,00;15,60;15,95;8.292;131.134
2019-03-01;15,95;16,10;15,65;15,80;4.543;72.244
2019-02-28;15,80;15,80;15,65;15,70;1.315;20.706
2019-02-27;15,90;15,90;15,70;15,75;1.201;18.950
2019-02-26;15,80;15,80;15,65;15,65;2.068;32.467
2019-02-25;16,00;16,00;15,80;16,00;4.678;74.794
2019-02-22;15,95;16,15;15,90;15,90;842;13.503
2019-02-21;16,05;16,15;15,80;16,10;6.629;106.008
2019-02-20;16,10;16,25;15,95;16,10;5.972;96.519
2019-02-19;16,00;16,15;15,95;16,05;4.173;66.893
2019-02-18;16,10;16,10;15,95;16,00;4.920;78.680
2019-02-15;15,90;16,00;15,80;15,95;5.107;80.931
2019-02-14;16,05;16,05;15,90;15,90;1.961;31.225
2019-02-13;16,00;16,00;15,90;15,90;3.545;56.700
2019-02-12;16,10;16,20;16,00;16,00;3.708;59.455
2019-02-11;16,00;16,20;16,00;16,20;10.397;167.952
2019-02-08;16,00;16,00;15,85;15,85;1.042;16.647
2019-02-07;15,95;16,10;15,80;16,05;3.396;54.348
2019-02-06;16,20;16,35;15,60;15,85;12.319;196.161
2019-02-05;16,05;16,80;16,00;16,30;26.886;440.097
2019-02-04;16,10;16,15;16,00;16,10;2.461;39.415
2019-02-01;16,10;16,25;15,95;16,15;8.336;134.339
2019-01-31;16,20;16,20;15,95;15,95;3.384;54.174
2019-01-30;16,30;16,30;16,10;16,25;3.556;57.686
