Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2009-08-18;1,26;1,27;1,26;1,27;666;846
2009-08-17;1,29;1,29;1,29;1,29;0;0
2009-08-14;1,35;1,35;1,35;1,35;0;0
2009-08-13;1,33;1,33;1,33;1,33;0;0
2009-08-12;1,34;1,34;1,34;1,34;0;0
2009-08-11;1,28;1,28;1,28;1,28;0;0
2009-08-10;1,26;1,26;1,26;1,26;0;0
2009-08-07;1,26;1,31;1,26;1,31;140;183
2009-08-06;1,26;1,26;1,26;1,26;0;0
2009-08-05;1,26;1,26;1,26;1,26;450;567
2009-08-04;1,26;1,26;1,26;1,26;111;140
2009-08-03;1,26;1,26;1,26;1,26;0;0
2009-07-31;1,27;1,27;1,27;1,27;750;953
2009-07-30;1,26;1,26;1,26;1,26;0;0
2009-07-29;1,26;1,26;1,26;1,26;0;0
2009-07-28;1,26;1,26;1,26;1,26;0;0
2009-07-27;1,26;1,26;1,26;1,26;1.000;1.260
2009-07-24;1,29;1,29;1,29;1,29;0;0
2009-07-23; ; ; ;1,29;0;0
2009-07-22;1,29;1,29;1,29;1,29;0;0
2009-07-21;1,30;1,30;1,30;1,30;0;0
2009-07-20;1,31;1,31;1,31;1,31;0;0
2009-07-17;1,35;1,35;1,35;1,35;0;0
2009-07-16;1,30;1,30;1,30;1,30;0;0
2009-07-15;1,29;1,29;1,29;1,29;0;0
2009-07-14;1,29;1,29;1,29;1,29;0;0
2009-07-13;1,30;1,30;1,30;1,30;0;0
2009-07-10;1,29;1,29;1,29;1,29;0;0
2009-07-09;1,25;1,25;1,25;1,25;0;0
2009-07-08;1,25;1,25;1,25;1,25;0;0
2009-07-07;1,22;1,22;1,22;1,22;0;0
2009-07-06;1,27;1,27;1,27;1,27;0;0
2009-07-03;1,29;1,29;1,29;1,29;0;0
2009-07-02;1,31;1,31;1,31;1,31;0;0
2009-07-01;1,38;1,38;1,38;1,38;0;0
2009-06-30;1,27;1,27;1,27;1,27;0;0
2009-06-29;1,27;1,27;1,27;1,27;0;0
2009-06-26;1,29;1,29;1,29;1,29;0;0
2009-06-25;1,30;1,30;1,30;1,30;0;0
2009-06-24;1,29;1,29;1,29;1,29;0;0
2009-06-23;1,29;1,29;1,29;1,29;0;0
2009-06-22;1,29;1,29;1,29;1,29;0;0
2009-06-19;1,27;1,27;1,27;1,27;0;0
2009-06-18; ; ; ;1,27;0;0
2009-06-17;1,27;1,27;1,27;1,27;0;0
2009-06-16;1,27;1,27;1,27;1,27;0;0
2009-06-15;1,27;1,27;1,27;1,27;1.000;1.270
2009-06-12;1,31;1,31;1,31;1,31;0;0
2009-06-11;1,32;1,32;1,32;1,32;0;0
2009-06-10;1,28;1,28;1,28;1,28;0;0
2009-06-09;1,32;1,32;1,32;1,32;0;0
2009-06-08;1,30;1,30;1,30;1,30;0;0
2009-06-05;1,28;1,28;1,28;1,28;0;0
2009-06-04;1,28;1,28;1,28;1,28;0;0
2009-06-03;1,28;1,28;1,28;1,28;0;0
2009-06-02;1,28;1,28;1,28;1,28;0;0
2009-06-01;1,26;1,26;1,26;1,26;0;0
2009-05-29;1,31;1,31;1,31;1,31;0;0
2009-05-28;1,32;1,32;1,32;1,32;0;0
2009-05-27;1,34;1,34;1,34;1,34;0;0
2009-05-26;1,32;1,32;1,32;1,32;0;0
2009-05-25;1,34;1,34;1,34;1,34;0;0
2009-05-22;1,34;1,34;1,34;1,34;0;0
2009-05-21;1,34;1,34;1,32;1,32;0;0
2009-05-20;1,40;1,40;1,37;1,37;44;60
2009-05-19;1,40;1,40;1,39;1,39;177;246
2009-05-18; ; ; ;1,40;0;0
2009-05-15;1,42;1,42;1,42;1,42;0;0
2009-05-14;1,42;1,42;1,42;1,42;0;0
2009-05-13;1,42;1,42;1,42;1,42;0;0
2009-05-12;1,40;1,40;1,40;1,40;107;150
2009-05-11;1,42;1,42;1,42;1,42;0;0
2009-05-08;1,40;1,40;1,40;1,40;0;0
2009-05-07;1,40;1,40;1,40;1,40;0;0
2009-05-06;1,40;1,40;1,40;1,40;38;53
2009-05-05;1,45;1,45;1,45;1,45;0;0
2009-05-04;1,40;1,40;1,40;1,40;0;0
2009-04-30;1,41;1,43;1,41;1,43;0;0
2009-04-29;1,40;1,40;1,40;1,40;0;0
2009-04-28;1,40;1,40;1,40;1,40;0;0
2009-04-27;1,40;1,40;1,40;1,40;0;0
2009-04-24;1,41;1,41;1,41;1,41;0;0
2009-04-23;1,41;1,41;1,41;1,41;0;0
2009-04-22;1,41;1,41;1,41;1,41;0;0
2009-04-21;1,43;1,43;1,42;1,42;0;0
2009-04-20;1,41;1,41;1,41;1,41;0;0
2009-04-17;1,41;1,44;1,41;1,44;69;99
2009-04-16;1,41;1,41;1,41;1,41;0;0
2009-04-15;1,41;1,41;1,41;1,41;0;0
2009-04-14;1,35;1,36;1,35;1,36;0;0
2009-04-09;1,42;1,42;1,42;1,42;0;0
2009-04-08;1,37;1,42;1,37;1,41;0;0
2009-04-07;1,40;1,40;1,40;1,40;0;0
2009-04-06;1,45;1,45;1,45;1,45;0;0
2009-04-03;1,42;1,42;1,42;1,42;0;0
2009-04-02;1,36;1,36;1,36;1,36;0;0
2009-04-01;1,36;1,44;1,36;1,44;0;0
2009-03-31;1,35;1,41;1,35;1,41;0;0
2009-03-30;1,36;1,36;1,36;1,36;0;0
2009-03-27;1,35;1,36;1,35;1,36;2.500;3.400
2009-03-26;1,37;1,37;1,35;1,35;0;0
2009-03-25;1,37;1,41;1,37;1,41;0;0
2009-03-24;1,35;1,40;1,35;1,40;0;0
2009-03-23;1,37;1,40;1,37;1,40;0;0
2009-03-20;1,35;1,35;1,35;1,35;0;0
2009-03-19;1,30;1,35;1,30;1,35;0;0
2009-03-18;1,30;1,30;1,30;1,30;0;0
2009-03-17;1,30;1,30;1,30;1,30;0;0
