Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;51,50;52,00;51,50;51,80;355;18.431
2019-05-02;52,70;52,70;51,60;51,60;1.921;100.156
2019-04-30;51,60;53,10;51,60;53,10;4.540;237.781
2019-04-29;53,20;53,50;51,90;52,00;2.725;143.162
2019-04-26;53,00;53,50;53,00;53,20;2.055;109.638
2019-04-25;52,90;53,40;52,90;53,00;782;41.486
2019-04-24;52,40;53,40;52,40;53,00;1.920;101.432
2019-04-23;52,70;53,10;52,20;53,10;1.263;66.699
2019-04-18;53,00;53,00;52,50;52,60;600;31.620
2019-04-17;53,40;54,00;52,80;53,40;8.662;464.075
2019-04-16;53,40;53,70;53,10;53,40;7.801;417.052
2019-04-15;53,50;53,50;52,80;53,50;304;16.203
2019-04-12;52,30;53,50;52,10;52,90;8.671;462.196
2019-04-11;51,90;52,90;51,70;52,90;861;44.917
2019-04-10;51,90;52,50;51,20;51,30;1.111;57.318
2019-04-09;52,30;52,30;51,10;51,20;2.123;109.270
2019-04-08;52,70;53,30;51,60;52,70;3.688;193.484
2019-04-05;52,80;53,30;52,20;53,30;954;50.110
2019-04-04;52,80;53,60;52,30;52,50;11.368;604.494
2019-04-03;52,50;53,30;51,90;53,30;1.992;105.045
2019-04-02;51,50;52,60;51,30;52,50;991;51.701
2019-04-01;54,00;54,00;48,65;51,50;9.355;482.959
2019-03-29;56,50;56,50;53,20;53,20;16.353;883.781
2019-03-28;54,20;56,20;54,10;56,20;2.679;146.724
2019-03-27;54,30;54,90;54,00;54,90;943;51.216
2019-03-26;54,00;54,60;54,00;54,00;1.915;103.695
2019-03-25;54,70;55,30;53,80;54,00;1.538;84.078
2019-03-22;55,80;55,80;54,70;54,70;1.204;66.542
2019-03-21;56,00;56,10;55,10;55,90;1.670;92.880
2019-03-20;56,40;57,00;55,70;55,70;3.141;177.193
2019-03-19;57,20;57,40;56,50;56,60;1.472;83.946
2019-03-18;57,10;57,40;56,70;57,40;3.862;221.048
2019-03-15;57,20;57,20;56,60;57,20;2.646;150.831
2019-03-14;57,10;57,10;56,70;56,80;283;16.128
2019-03-13;57,50;57,70;57,10;57,10;536;30.742
2019-03-12;57,80;58,00;57,10;57,50;2.390;137.422
2019-03-11;56,90;57,10;56,20;57,00;2.769;156.159
2019-03-08;57,00;57,10;56,30;56,30;1.498;84.548
2019-03-07;56,50;57,20;56,20;56,70;2.688;151.937
2019-03-06;57,20;57,20;56,50;56,60;829;47.054
2019-03-05;56,00;57,10;55,60;56,90;4.085;228.732
