Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;16,69;17,37;16,55;16,75;340.952;5.790.512
2019-05-02;17,55;17,55;16,44;16,69;386.921;6.481.879
2019-04-30;16,50;17,50;16,35;17,50;968.677;16.522.689
2019-04-29;16,21;16,43;16,15;16,39;163.690;2.674.270
2019-04-26;16,05;16,25;15,80;16,22;209.870;3.371.749
2019-04-25;16,17;16,28;15,79;15,94;260.357;4.175.007
2019-04-24;16,24;16,43;16,14;16,18;170.199;2.767.637
2019-04-23;16,28;16,50;16,13;16,35;99.948;1.631.474
2019-04-18;16,18;16,44;16,09;16,24;102.162;1.661.244
2019-04-17;16,49;16,50;16,01;16,18;185.866;3.008.499
2019-04-16;16,24;16,55;16,10;16,45;207.192;3.382.079
2019-04-15;15,58;16,33;15,58;16,20;306.138;4.911.656
2019-04-12;15,53;15,61;15,40;15,58;207.387;3.221.759
2019-04-11;15,60;15,62;15,34;15,55;195.398;3.030.734
2019-04-10;15,52;15,58;15,36;15,55;171.918;2.667.803
2019-04-09;15,71;15,84;15,13;15,40;443.058;6.818.913
2019-04-08;15,30;15,41;15,14;15,39;134.005;2.047.552
2019-04-05;15,50;15,54;15,17;15,28;147.634;2.266.295
2019-04-04;15,17;15,76;15,14;15,38;248.308;3.843.740
2019-04-03;15,27;15,49;15,10;15,22;386.205;5.907.585
2019-04-02;15,26;15,41;14,78;15,01;362.904;5.476.671
2019-04-01;14,80;15,46;14,78;15,14;407.262;6.159.734
2019-03-29;15,00;15,38;13,75;14,70;684.378;9.922.081
2019-03-28;13,71;14,45;13,63;14,45;446.163;6.309.710
2019-03-27;13,61;13,69;13,41;13,65;124.763;1.693.380
2019-03-26;13,48;13,66;13,20;13,64;108.169;1.462.713
2019-03-25;13,35;13,41;13,01;13,29;159.518;2.112.699
2019-03-22;13,84;13,93;13,44;13,51;167.448;2.279.041
2019-03-21;14,17;14,24;13,42;13,63;342.225;4.673.864
2019-03-20;14,24;14,28;13,93;14,01;263.310;3.709.121
2019-03-19;13,72;14,56;13,72;14,15;409.906;5.813.543
2019-03-18;12,94;13,72;12,94;13,62;547.189;7.355.770
2019-03-15;13,01;13,01;12,67;12,83;336.268;4.314.537
2019-03-14;13,11;13,15;12,95;12,98;155.788;2.027.095
2019-03-13;13,14;13,24;13,00;13,10;128.262;1.682.646
2019-03-12;13,29;13,32;12,98;13,14;209.020;2.739.510
2019-03-11;12,90;13,26;12,90;13,15;211.758;2.784.133
2019-03-08;12,59;12,87;12,37;12,87;180.198;2.274.398
2019-03-07;13,07;13,09;12,66;12,72;181.149;2.322.453
2019-03-06;13,20;13,25;12,98;13,04;166.327;2.178.052
2019-03-05;13,28;13,39;12,97;13,29;240.325;3.172.807
2019-03-04;12,77;13,40;12,65;13,30;391.366;5.124.842
2019-03-01;12,88;12,98;12,42;12,76;285.100;3.622.595
2019-02-28;12,05;12,88;11,82;12,81;529.893;6.646.110
2019-02-27;12,20;12,50;11,87;12,08;249.103;3.018.005
2019-02-26;12,19;12,28;11,69;12,13;371.036;4.467.229
2019-02-25;12,27;12,45;11,96;12,00;381.450;4.641.434
2019-02-22;12,26;12,36;12,05;12,18;229.987;2.797.376
2019-02-21;12,81;12,85;12,02;12,18;415.109;5.102.825
2019-02-20;13,00;13,07;12,53;12,70;279.392;3.564.629
2019-02-19;12,87;13,04;12,60;12,91;234.221;3.005.240
2019-02-18;12,69;12,91;12,38;12,87;399.808;5.076.761
2019-02-15;12,81;12,90;12,25;12,52;442.748;5.552.587
2019-02-14;12,55;13,48;11,96;12,71;1.164.893;14.992.873
2019-02-13;12,03;12,27;11,86;11,86;247.831;2.972.834
2019-02-12;12,38;12,57;11,81;12,00;290.755;3.506.806
2019-02-11;11,78;12,36;11,62;12,26;256.235;3.102.352
2019-02-08;12,13;12,28;11,31;11,64;643.179;7.538.429
2019-02-07;12,98;13,00;12,03;12,04;412.953;5.144.506
2019-02-06;12,51;13,10;12,42;12,90;289.427;3.720.152
2019-02-05;12,62;12,68;12,48;12,62;323.603;4.082.204
2019-02-04;12,48;12,51;12,16;12,51;221.118;2.736.832
2019-02-01;12,65;12,72;12,09;12,29;278.260;3.439.176
2019-01-31;12,22;12,66;11,97;12,65;446.555;5.538.100
2019-01-30;12,00;12,36;11,90;12,31;349.052;4.214.751
2019-01-29;12,05;12,41;11,95;11,99;174.611;2.105.815
2019-01-28;12,24;12,50;12,00;12,06;178.750;2.181.461
2019-01-25;12,56;12,74;12,16;12,27;269.793;3.355.879
2019-01-24;12,27;12,50;12,00;12,30;310.104;3.798.799
2019-01-23;11,95;12,32;11,80;12,09;306.902;3.718.875
2019-01-22;12,26;12,35;11,50;11,97;352.717;4.200.826
2019-01-21;12,19;12,29;11,91;12,17;206.981;2.507.093
2019-01-18;11,48;12,24;11,48;12,08;431.981;5.130.646
2019-01-17;11,42;11,43;11,21;11,34;163.358;1.847.573
2019-01-16;11,48;11,64;11,37;11,54;242.728;2.792.688
2019-01-15;11,32;11,45;11,11;11,35;187.275;2.113.907
2019-01-14;11,38;11,38;11,20;11,30;215.370;2.432.186
2019-01-11;11,40;11,78;11,18;11,53;231.695;2.659.931
2019-01-10;11,21;11,47;11,05;11,37;283.903;3.206.703
2019-01-09;11,20;11,56;10,97;11,41;429.126;4.842.471
2019-01-08;11,24;11,37;10,97;11,20;287.615;3.220.208
2019-01-07;11,00;11,23;10,80;11,19;262.045;2.904.346
2019-01-04;10,67;11,03;10,47;11,00;288.471;3.106.348
2019-01-03;11,18;11,19;9,935;10,49;355.841;3.772.478
2019-01-02;11,85;11,85;11,08;11,37;292.331;3.309.331
2018-12-28;11,44;11,96;11,40;11,83;471.560;5.495.489
2018-12-27;11,25;11,57;10,99;11,37;593.138;6.736.695
2018-12-21;10,48;11,36;10,35;11,26;585.916;6.438.338
2018-12-20;10,39;10,94;10,20;10,60;513.792;5.467.680
2018-12-19;10,57;10,72;10,30;10,64;402.806;4.253.751
2018-12-18;9,62;10,73;9,50;10,62;839.907;8.487.439
2018-12-17;9,815;9,86;9,37;9,55;477.233;4.558.052
2018-12-14;9,45;9,67;9,40;9,55;546.202;5.225.174
2018-12-13;9,75;9,77;9,325;9,615;695.750;6.651.656
2018-12-12;9,655;9,725;9,40;9,67;845.055;8.049.148
2018-12-11;9,68;10,02;9,00;9,415;1.435.528;13.629.930
2018-12-10;12,61;12,61;8,88;9,44;3.305.179;32.554.464
2018-12-07;12,64;13,23;12,55;12,94;432.098;5.587.548
2018-12-06;12,80;12,80;12,21;12,58;346.949;4.329.236
2018-12-05;13,01;13,40;12,70;12,86;236.570;3.062.748
2018-12-04;13,34;13,39;12,88;13,27;218.498;2.871.218
2018-12-03;13,28;13,82;13,15;13,35;299.626;4.035.983
2018-11-30;13,51;13,60;12,45;12,88;504.055;6.536.097
2018-11-29;13,47;13,88;13,40;13,45;447.423;6.098.961
2018-11-28;12,91;13,45;12,91;13,07;331.540;4.362.504
2018-11-27;12,74;13,00;12,50;12,87;249.097;3.180.811
2018-11-26;12,51;12,70;12,26;12,70;238.190;2.981.100
2018-11-23;12,24;12,53;12,09;12,41;244.105;3.011.151
2018-11-22;12,51;12,58;12,15;12,32;158.473;1.954.345
2018-11-21;11,90;12,57;11,85;12,45;499.995;6.146.411
2018-11-20;12,20;12,20;11,30;11,72;369.259;4.339.927
2018-11-19;12,31;12,87;12,17;12,32;292.865;3.665.157
2018-11-16;12,65;12,94;12,22;12,37;355.717;4.466.688
2018-11-15;12,61;12,92;12,13;12,45;397.413;4.942.569
2018-11-14;12,60;12,78;12,36;12,50;651.105;8.203.268
2018-11-13;13,25;13,25;12,60;12,78;469.640;6.024.965
2018-11-12;14,21;14,21;12,93;13,06;590.526;7.916.472
2018-11-09;14,64;14,64;14,04;14,04;341.711;4.865.826
2018-11-08;14,55;14,89;14,34;14,56;202.499;2.958.945
2018-11-07;14,25;14,60;14,10;14,55;315.606;4.561.800
2018-11-06;14,21;14,49;13,85;13,99;364.878;5.156.728
2018-11-05;15,31;15,43;14,12;14,15;617.988;8.951.339
2018-11-02;15,16;15,48;15,01;15,11;448.595;6.831.554
2018-11-01;15,39;15,59;14,46;14,88;593.480;8.900.597
2018-10-31;15,41;15,97;14,05;15,28;1.566.174;23.410.046
2018-10-30;14,25;14,34;13,91;14,12;207.122;2.913.772
2018-10-29;13,54;14,40;13,54;14,03;304.500;4.290.009
2018-10-26;14,04;14,20;13,35;13,53;423.106;5.749.724
2018-10-25;13,67;14,49;13,50;14,04;399.334;5.629.736
2018-10-24;14,19;14,38;13,46;13,83;451.609;6.284.774
2018-10-23;14,44;14,67;13,94;14,09;331.200;4.709.976
2018-10-22;15,38;15,38;14,67;14,70;201.401;2.990.232
2018-10-19;16,03;16,13;14,50;15,21;604.375;9.158.945
2018-10-18;16,07;16,53;15,76;16,04;302.553;4.885.275
2018-10-17;16,17;16,48;15,55;15,95;355.351;5.711.252
2018-10-16;15,83;16,10;15,04;16,06;364.148;5.665.853
2018-10-15;15,69;15,74;15,30;15,74;147.665;2.292.186
2018-10-12;16,19;16,41;15,38;15,48;293.974;4.619.892
2018-10-11;14,78;16,16;14,06;15,93;538.517;8.305.614
2018-10-10;15,64;15,66;15,23;15,36;268.511;4.149.266
2018-10-09;16,05;16,26;14,81;15,47;623.630;9.668.080
2018-10-08;16,19;16,70;15,77;16,15;424.538;6.900.750
2018-10-05;17,88;17,88;15,84;16,29;777.804;12.844.696
2018-10-04;18,30;18,42;17,74;17,82;119.261;2.148.757
2018-10-02;18,45;18,54;17,83;18,20;214.124;3.872.425
2018-10-01;18,34;18,74;18,18;18,54;131.016;2.413.075
2018-09-28;18,36;18,74;18,27;18,27;133.720;2.464.691
2018-09-27;18,84;18,84;18,20;18,26;168.315;3.096.101
2018-09-26;19,54;19,79;18,62;18,83;242.822;4.649.379
2018-09-25;18,80;19,26;18,50;19,10;154.122;2.915.237
2018-09-24;19,02;19,05;18,49;18,80;181.635;3.418.823
2018-09-21;19,61;19,61;18,87;18,95;562.396;10.723.395
2018-09-20;19,67;19,67;19,2501;19,37;145.242;2.817.878
2018-09-19;19,91;20,18;19,50;19,50;243.542;4.825.709
2018-09-18;19,71;20,34;19,22;20,06;359.942;7.158.589
2018-09-17;19,70;19,91;19,48;19,65;69.320;1.364.385
2018-09-14;19,67;19,74;19,38;19,64;109.954;2.151.726
2018-09-13;19,82;20,02;19,48;19,70;151.931;2.997.115
2018-09-12;20,08;20,08;19,56;19,81;54.194;1.070.016
2018-09-11;20,00;20,08;19,69;19,86;135.630;2.695.606
2018-09-10;19,70;20,18;19,44;19,78;144.297;2.847.022
2018-09-07;19,33;19,93;19,29;19,67;274.401;5.368.841
2018-09-06;19,91;20,18;19,32;19,44;376.308;7.426.069
2018-09-05;20,30;20,64;19,50;20,08;442.059;8.877.718
2018-09-04;19,77;20,98;19,70;20,26;492.905;10.014.334
2018-09-03;19,60;19,87;19,40;19,70;204.923;4.033.289
2018-08-31;20,60;20,70;18,92;19,70;725.263;14.213.635
2018-08-30;20,14;20,78;19,99;20,74;289.329;5.933.449
2018-08-29;20,96;21,30;19,41;20,16;512.966;10.310.420
2018-08-28;21,96;22,38;20,56;20,76;407.441;8.711.690
2018-08-27;21,14;22,40;21,04;21,76;597.473;12.977.962
2018-08-24;21,40;21,74;20,52;20,90;429.962;9.105.114
2018-08-23;19,21;21,04;19,04;20,92;821.039;16.596.814
2018-08-22;18,50;18,84;18,28;18,80;148.386;2.768.780
2018-08-21;18,01;18,60;17,91;18,52;141.653;2.592.985
2018-08-20;18,05;18,12;17,95;18,08;133.800;2.418.289
2018-08-17;18,27;18,40;17,59;17,93;186.129;3.351.578
2018-08-16;18,51;18,92;18,17;18,22;117.053;2.160.749
2018-08-15;19,36;19,36;18,14;18,28;267.016;4.965.719
2018-08-14;19,00;19,95;19,00;19,15;273.139;5.338.781
2018-08-13;19,00;19,58;18,99;19,06;76.478;1.467.984
2018-08-10;19,01;19,30;18,86;19,16;111.828;2.132.871
2018-08-09;18,99;19,25;18,78;19,19;82.788;1.579.235
2018-08-08;19,40;19,41;18,86;18,91;184.588;3.521.863
2018-08-07;19,30;19,73;19,20;19,27;114.674;2.219.956
2018-08-06;19,49;19,52;19,00;19,31;183.741;3.530.864
2018-08-03;19,22;19,69;19,03;19,37;210.617;4.076.672
2018-08-02;18,54;19,29;18,45;19,11;236.771;4.477.423
2018-08-01;18,89;18,90;18,20;18,68;358.433;6.627.438
2018-07-31;21,10;21,18;18,20;19,00;1.198.960;22.944.022
2018-07-30;20,72;21,10;20,10;20,60;279.450;5.812.949
2018-07-27;20,58;20,98;20,56;20,76;128.423;2.668.310
2018-07-26;20,22;20,94;20,22;20,56;234.267;4.824.279
2018-07-25;19,82;20,20;19,42;20,04;163.614;3.250.673
2018-07-24;19,12;20,20;19,10;19,92;278.363;5.510.199
2018-07-23;18,76;19,04;18,20;18,96;235.842;4.403.413
