Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;1,57;1,57;1,57;1,57;0;0
2019-05-02;1,57;1,57;1,57;1,57;0;0
2019-04-30;1,57;1,57;1,57;1,57;0;0
2019-04-29;1,52;1,62;1,51;1,57;5.657;8.746
2019-04-26;1,56;1,56;1,56;1,56;0;0
2019-04-25;1,56;1,56;1,56;1,56;0;0
2019-04-24;1,57;1,57;1,57;1,57;0;0
2019-04-23;1,62;1,62;1,57;1,57;1.000;1.620
2019-04-18;1,62;1,62;1,57;1,57;1.500;2.430
2019-04-17;1,62;1,62;1,59;1,59;2.752;4.458
2019-04-16;1,62;1,62;1,62;1,62;0;0
2019-04-15;1,68;1,69;1,65;1,66;4.000;6.678
2019-04-12;1,64;1,64;1,64;1,64;0;0
2019-04-11;1,64;1,64;1,64;1,64;0;0
2019-04-10;1,64;1,64;1,64;1,64;0;0
2019-04-09;1,64;1,64;1,64;1,64;0;0
2019-04-08;1,60;1,65;1,60;1,65;273;437
2019-04-05;1,58;1,58;1,58;1,58;0;0
2019-04-04;1,56;1,56;1,56;1,56;0;0
2019-04-03;1,56;1,56;1,56;1,56;0;0
2019-04-02;1,52;1,56;1,52;1,56;248;377
2019-04-01;1,55;1,55;1,55;1,55;0;0
2019-03-29;1,55;1,55;1,55;1,55;0;0
2019-03-28;1,55;1,55;1,55;1,55;0;0
2019-03-27;1,57;1,57;1,55;1,55;368;578
2019-03-26;1,50;1,53;1,50;1,53;368;552
2019-03-25;1,50;1,51;1,50;1,51;889;1.334
2019-03-22;1,55;1,55;1,55;1,55;0;0
2019-03-21;1,55;1,55;1,55;1,55;0;0
2019-03-20;1,58;1,59;1,55;1,55;3.222;5.097
2019-03-19;1,53;1,53;1,53;1,53;0;0
2019-03-18;1,54;1,54;1,54;1,54;0;0
2019-03-15;1,57;1,57;1,56;1,56;2.000;3.140
2019-03-14;1,50;1,54;1,50;1,52;6.500;9.830
2019-03-13;1,56;1,56;1,56;1,56;2.000;3.120
2019-03-12;1,62;1,62;1,62;1,62;0;0
2019-03-11;1,58;1,61;1,52;1,61;5.302;8.395
2019-03-08;1,62;1,62;1,62;1,62;0;0
2019-03-07;1,63;1,63;1,63;1,63;0;0
2019-03-06;1,63;1,63;1,63;1,63;0;0
2019-03-05;1,63;1,63;1,63;1,63;0;0
2019-03-04;1,63;1,63;1,63;1,63;0;0
2019-03-01;1,63;1,63;1,63;1,63;0;0
2019-02-28;1,63;1,63;1,63;1,63;0;0
2019-02-27;1,64;1,64;1,64;1,64;0;0
2019-02-26;1,64;1,64;1,64;1,64;0;0
2019-02-25;1,64;1,64;1,64;1,64;0;0
2019-02-22;1,64;1,64;1,64;1,64;0;0
2019-02-21;1,64;1,64;1,64;1,64;0;0
2019-02-20;1,64;1,64;1,64;1,64;0;0
2019-02-19;1,62;1,62;1,62;1,62;0;0
2019-02-18;1,62;1,62;1,62;1,62;0;0
2019-02-15;1,62;1,62;1,62;1,62;0;0
2019-02-14;1,62;1,62;1,62;1,62;0;0
2019-02-13;1,60;1,60;1,60;1,60;0;0
2019-02-12;1,61;1,61;1,61;1,61;0;0
2019-02-11;1,59;1,62;1,59;1,62;1.050;1.675
2019-02-08;1,56;1,56;1,56;1,56;0;0
2019-02-07;1,52;1,58;1,52;1,56;2.400;3.732
2019-02-06;1,56;1,56;1,56;1,56;0;0
2019-02-05;1,59;1,59;1,56;1,56;1.000;1.590
