Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;20,83;20,83;19,595;19,715;2.531.792;50.339.972
2019-05-02;21,05;21,42;20,96;21,24;492.182;10.457.534
2019-04-30;20,80;20,95;20,70;20,90;611.321;12.751.580
2019-04-29;20,72;20,83;20,48;20,74;586.268;12.145.073
2019-04-26;20,90;20,99;20,56;20,59;636.835;13.148.762
2019-04-25;20,75;20,85;20,67;20,77;526.128;10.916.394
2019-04-24;21,06;21,07;20,59;20,63;568.169;11.778.267
2019-04-23;21,33;21,40;20,99;20,99;722.339;15.260.509
2019-04-18;21,10;21,34;20,93;21,18;583.314;12.316.277
2019-04-17;21,22;21,25;20,90;21,03;535.221;11.253.688
2019-04-16;20,84;21,15;20,75;21,07;537.607;11.288.584
2019-04-15;20,10;20,71;20,07;20,67;599.659;12.327.342
2019-04-12;20,12;20,15;19,965;19,97;456.419;9.142.076
2019-04-11;20,05;20,08;19,675;20,04;409.758;8.161.175
2019-04-10;19,935;20,11;19,875;19,92;388.414;7.757.779
2019-04-09;20,08;20,18;19,785;19,90;574.845;11.482.548
2019-04-08;20,06;20,20;20,01;20,08;564.939;11.356.530
2019-04-05;20,10;20,18;20,02;20,06;339.114;6.812.458
2019-04-04;20,10;20,20;19,92;20,06;534.053;10.708.581
2019-04-03;19,70;20,11;19,60;20,10;649.142;12.966.662
2019-04-02;19,70;19,81;19,27;19,555;573.877;11.198.404
2019-04-01;19,34;19,725;19,185;19,69;773.894;15.131.112
2019-03-29;19,29;19,345;18,67;19,155;769.528;14.631.462
2019-03-28;19,735;19,765;19,175;19,19;593.794;11.484.469
2019-03-27;19,725;19,95;19,505;19,575;550.752;10.836.654
2019-03-26;19,52;19,66;19,33;19,61;493.922;9.661.746
2019-03-25;19,65;19,76;19,42;19,545;500.568;9.803.523
2019-03-22;19,91;19,965;19,57;19,58;438.837;8.650.001
2019-03-21;19,83;20,00;19,68;19,82;579.221;11.496.567
2019-03-20;20,13;20,29;19,85;19,85;776.380;15.507.574
2019-03-19;20,02;20,19;19,80;20,08;688.311;13.802.120
2019-03-18;19,86;20,33;19,77;19,955;670.711;13.402.461
2019-03-15;19,865;19,95;19,57;19,775;2.848.102;56.326.072
2019-03-14;19,56;19,835;19,55;19,705;753.616;14.839.116
2019-03-13;19,65;19,80;19,42;19,57;1.027.668;20.116.888
2019-03-12;19,51;19,645;19,325;19,47;621.073;12.094.172
2019-03-11;19,24;19,46;19,215;19,43;555.785;10.761.947
2019-03-08;19,08;19,22;18,88;19,115;587.810;11.203.903
2019-03-07;19,35;19,35;19,03;19,165;619.031;11.870.057
2019-03-06;19,46;19,475;19,255;19,31;615.024;11.893.606
2019-03-05;19,35;19,795;19,345;19,435;722.366;14.117.260
2019-03-04;19,48;19,48;19,18;19,395;547.507;10.593.128
2019-03-01;18,725;19,57;18,67;19,365;1.280.730;24.728.078
2019-02-28;18,38;18,745;17,405;18,515;2.461.038;44.603.928
2019-02-27;18,64;19,055;18,355;18,955;789.167;14.851.368
2019-02-26;18,45;18,59;18,19;18,465;474.651;8.749.721
2019-02-25;18,55;18,745;18,425;18,46;480.936;8.906.377
2019-02-22;18,735;18,75;18,485;18,53;545.716;10.146.520
2019-02-21;18,66;18,835;18,34;18,735;573.753;10.678.002
2019-02-20;18,53;18,705;18,315;18,57;419.585;7.779.874
2019-02-19;18,495;18,61;18,145;18,515;475.706;8.772.032
2019-02-18;18,105;18,505;18,07;18,38;625.847;11.475.163
2019-02-15;17,735;18,10;17,57;18,005;600.794;10.739.340
2019-02-14;17,605;17,71;17,315;17,665;575.810;10.116.691
2019-02-13;17,415;17,67;17,40;17,495;355.365;6.225.193
2019-02-12;17,60;17,71;17,305;17,31;656.891;11.449.826
2019-02-11;17,405;17,545;17,32;17,445;393.304;6.861.361
2019-02-08;17,51;17,565;17,15;17,30;687.720;11.930.016
2019-02-07;18,625;18,625;17,425;17,52;1.239.747;21.974.712
2019-02-06;18,55;18,965;18,415;18,715;665.290;12.458.912
2019-02-05;18,215;18,51;18,14;18,455;601.682;11.045.862
2019-02-04;18,565;18,715;18,11;18,20;625.545;11.425.579
2019-02-01;18,70;18,815;18,38;18,56;701.173;13.003.981
2019-01-31;18,65;18,94;18,285;18,58;1.163.094;21.589.008
2019-01-30;18,25;18,675;18,035;18,60;946.434;17.424.120
2019-01-29;17,93;18,005;17,805;17,87;345.459;6.183.657
2019-01-28;18,095;18,255;17,885;17,90;787.140;14.183.661
2019-01-25;18,20;18,285;17,89;17,975;685.199;12.350.834
2019-01-24;17,74;18,395;17,74;18,01;951.783;17.214.096
2019-01-23;17,20;17,85;17,01;17,725;879.626;15.412.562
2019-01-22;17,45;17,50;17,13;17,275;496.539;8.584.994
2019-01-21;17,50;17,57;17,15;17,405;592.549;10.306.746
2019-01-18;17,00;17,485;16,88;17,455;474.455;8.208.862
2019-01-17;16,80;17,12;16,78;16,94;496.348;8.409.031
2019-01-16;16,41;16,855;16,41;16,755;751.507;12.562.371
2019-01-15;17,145;17,235;16,235;16,26;963.160;15.866.769
2019-01-14;17,085;17,175;16,84;16,95;621.671;10.545.165
2019-01-11;17,00;17,10;16,81;17,035;443.588;7.539.570
2019-01-10;17,04;17,205;16,73;16,865;509.859;8.631.790
2019-01-09;17,85;17,935;16,935;17,06;964.631;16.667.006
2019-01-08;17,795;17,94;17,56;17,68;542.219;9.602.740
2019-01-07;17,78;17,915;17,51;17,825;540.697;9.601.628
2019-01-04;17,29;17,565;17,175;17,555;501.492;8.740.303
2019-01-03;17,02;17,445;16,92;17,09;591.401;10.153.679
2019-01-02;16,945;17,455;16,735;17,085;535.320;9.175.471
2018-12-28;16,61;17,025;16,57;16,945;265.564;4.484.121
2018-12-27;16,475;16,805;16,115;16,61;1.077.155;17.802.462
2018-12-21;16,305;16,70;16,305;16,49;734.642;12.123.376
2018-12-20;16,37;16,835;16,34;16,43;878.160;14.503.644
2018-12-19;16,85;16,895;16,115;16,63;1.527.433;25.364.012
2018-12-18;17,405;17,445;16,885;16,93;829.389;14.167.003
2018-12-17;17,10;17,785;17,075;17,48;729.436;12.773.301
2018-12-14;16,77;17,18;16,71;17,10;534.147;9.088.412
2018-12-13;17,685;17,685;16,815;16,835;1.385.066;23.536.274
2018-12-12;17,185;17,765;17,11;17,695;760.034;13.298.171
2018-12-11;16,54;17,50;16,45;17,12;839.501;14.271.621
2018-12-10;17,28;17,315;16,455;16,51;1.068.936;17.844.194
2018-12-07;17,465;17,625;17,31;17,345;486.274;8.473.672
2018-12-06;17,695;17,765;17,315;17,365;620.495;10.852.083
2018-12-05;17,745;18,275;17,495;17,875;500.653;8.957.308
2018-12-04;17,84;18,005;17,725;17,75;510.238;9.095.630
2018-12-03;18,50;18,615;17,805;17,845;795.668;14.386.096
2018-11-30;18,305;18,395;18,085;18,175;624.294;11.371.381
2018-11-29;18,39;18,735;18,22;18,27;413.462;7.611.236
2018-11-28;18,245;18,43;18,145;18,29;443.822;8.120.353
2018-11-27;18,08;18,36;17,915;18,135;589.369;10.690.249
2018-11-26;17,495;18,29;17,495;18,08;500.568;8.981.640
2018-11-23;17,25;17,605;17,25;17,39;378.534;6.600.847
2018-11-22;17,47;17,535;17,22;17,245;446.855;7.759.554
2018-11-21;17,515;17,615;17,27;17,515;738.280;12.920.274
2018-11-20;17,705;17,80;17,35;17,565;904.354;15.919.088
2018-11-19;17,725;17,965;17,535;17,835;485.919;8.639.708
2018-11-16;17,30;17,755;17,30;17,625;696.276;12.238.469
2018-11-15;17,725;17,85;17,12;17,23;721.963;12.590.000
2018-11-14;17,50;17,955;17,32;17,68;763.720;13.508.040
2018-11-13;17,90;17,97;17,28;17,54;958.618;16.779.520
2018-11-12;17,90;18,04;17,595;17,79;886.791;15.788.142
2018-11-09;18,535;18,535;17,415;17,765;3.829.487;68.109.208
2018-11-08;20,03;20,03;18,715;18,795;1.723.525;32.906.306
2018-11-07;20,06;20,47;19,915;19,97;580.591;11.644.751
2018-11-06;19,96;20,08;19,705;19,92;443.133;8.820.296
2018-11-05;20,20;20,34;19,745;19,83;569.734;11.335.782
2018-11-02;20,76;20,77;20,14;20,17;517.487;10.541.512
2018-11-01;19,935;20,71;19,895;20,38;618.847;12.565.786
2018-10-31;20,19;20,28;19,765;19,89;593.596;11.837.512
2018-10-30;20,00;20,13;19,61;19,99;479.056;9.552.180
2018-10-29;19,20;20,24;19,195;19,955;728.327;14.517.774
2018-10-26;19,53;19,64;19,03;19,135;474.573;9.116.335
2018-10-25;19,405;19,775;19,345;19,725;461.711;9.067.232
2018-10-24;19,90;20,03;19,57;19,595;443.441;8.775.507
2018-10-23;19,955;20,0717;19,74;19,755;408.226;8.101.317
2018-10-22;20,40;20,45;19,97;20,04;366.032;7.355.716
2018-10-19;20,30;20,30;19,935;20,21;562.625;11.340.741
2018-10-18;19,885;20,35;19,88;20,28;820.116;16.581.674
2018-10-17;19,805;20,09;19,705;19,84;1.573.974;31.379.774
2018-10-16;19,13;19,79;19,055;19,65;1.178.811;23.062.472
2018-10-15;18,76;19,105;18,76;19,005;701.538;13.315.059
2018-10-12;19,04;19,10;18,655;18,795;1.207.597;22.768.696
2018-10-11;18,85;19,285;18,63;18,90;1.531.567;29.028.540
2018-10-10;19,00;19,45;18,99;19,025;965.144;18.500.042
2018-10-09;19,40;19,40;18,665;19,03;1.413.546;26.928.336
2018-10-08;19,90;20,07;19,67;19,725;576.517;11.442.369
2018-10-05;20,64;20,64;19,715;20,00;1.183.470;23.699.440
2018-10-04;20,61;20,72;20,52;20,56;642.122;13.232.943
2018-10-02;20,78;20,81;20,63;20,69;483.618;10.011.269
2018-10-01;20,80;20,93;20,72;20,82;754.515;15.743.936
2018-09-28;20,85;20,92;20,63;20,70;552.472;11.450.661
2018-09-27;20,75;20,95;20,61;20,87;504.112;10.491.818
2018-09-26;20,76;20,87;20,64;20,83;308.106;6.405.818
2018-09-25;20,68;21,03;20,68;20,75;649.817;13.526.434
2018-09-24;21,17;21,18;20,68;20,68;761.606;15.889.714
2018-09-21;21,20;21,47;21,10;21,10;1.989.240;42.041.712
2018-09-20;21,22;21,29;21,02;21,10;744.190;15.722.335
2018-09-19;21,42;21,45;21,13;21,25;544.676;11.581.479
2018-09-18;21,56;21,56;21,25;21,50;616.107;13.212.554
2018-09-17;21,50;21,60;21,45;21,53;358.149;7.713.571
2018-09-14;21,25;21,58;21,21;21,49;419.959;9.008.804
2018-09-13;21,33;21,40;21,14;21,24;392.543;8.338.552
2018-09-12;21,21;21,41;21,10;21,32;457.901;9.745.759
2018-09-11;21,74;21,76;21,06;21,18;890.638;18.943.634
2018-09-10;21,62;21,89;21,45;21,62;511.684;11.084.819
2018-09-07;21,60;21,71;21,35;21,58;482.654;10.388.019
2018-09-06;21,81;21,94;21,46;21,54;650.622;14.103.134
2018-09-05;22,10;22,19;21,6735;21,79;594.740;12.996.645
