Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;1,75;1,75;1,69;1,69;4.005;6.769
2019-05-02;1,77;1,77;1,71;1,72;5.967;10.402
2019-04-30;1,82;1,82;1,82;1,82;0;0
2019-04-29;1,80;1,82;1,72;1,82;8.358;14.585
2019-04-26;1,86;1,96;1,82;1,93;11.516;21.384
2019-04-25;1,80;1,86;1,77;1,86;4.118;7.545
2019-04-24;1,74;1,80;1,74;1,77;4.852;8.549
2019-04-23;1,71;1,71;1,71;1,71;940;1.607
2019-04-18;1,81;1,81;1,77;1,77;50;91
2019-04-17;1,73;1,81;1,73;1,78;2.200;3.822
2019-04-16;1,78;1,78;1,78;1,78;0;0
2019-04-15;1,78;1,78;1,78;1,78;0;0
2019-04-12;1,74;1,75;1,69;1,75;67.885;118.248
2019-04-11;1,79;1,79;1,79;1,79;0;0
2019-04-10;1,80;1,80;1,76;1,76;7;13
2019-04-09;1,82;1,82;1,77;1,77;1;2
2019-04-08;1,82;1,82;1,77;1,77;2;4
2019-04-05;1,73;1,77;1,73;1,77;3;5
2019-04-04;1,75;1,78;1,75;1,78;2.000;3.500
2019-04-03;1,74;1,74;1,70;1,70;5.441;9.467
2019-04-02;1,71;1,74;1,70;1,70;1.203;2.057
2019-04-01;1,70;1,70;1,70;1,70;0;0
2019-03-29;1,70;1,71;1,70;1,70;2.001;3.412
2019-03-28;1,72;1,72;1,71;1,71;1.229;2.114
2019-03-27;1,72;1,72;1,72;1,72;0;0
2019-03-26;1,75;1,82;1,68;1,73;6.851;11.832
2019-03-25;1,68;1,78;1,68;1,73;5.041;8.516
2019-03-22;1,66;1,70;1,66;1,67;551;915
2019-03-21;1,71;1,80;1,70;1,74;8.252;14.170
2019-03-20;1,68;1,74;1,63;1,66;7.540;12.574
2019-03-19;1,61;1,64;1,60;1,63;5.813;9.343
2019-03-18;1,60;1,63;1,53;1,63;19.087;30.312
2019-03-15;1,64;1,64;1,59;1,63;6.073;9.718
2019-03-14;1,64;1,65;1,60;1,60;8.300;13.452
2019-03-13;1,68;1,75;1,65;1,68;10.329;17.437
2019-03-12;1,70;1,82;1,63;1,63;12.877;21.863
2019-03-11;1,68;1,70;1,53;1,60;8.255;13.459
2019-03-08;1,70;1,72;1,70;1,72;333;566
2019-03-07;1,69;1,69;1,69;1,69;0;0
2019-03-06;1,69;1,69;1,69;1,69;0;0
2019-03-05;1,74;1,79;1,74;1,74;110;192
2019-03-04;1,69;1,69;1,69;1,69;0;0
2019-03-01;1,74;1,74;1,74;1,74;0;0
2019-02-28;1,74;1,74;1,74;1,74;0;0
2019-02-27;1,74;1,74;1,74;1,74;0;0
2019-02-26;1,74;1,74;1,74;1,74;0;0
2019-02-25;1,81;1,81;1,75;1,75;1.400;2.524
2019-02-22;1,66;1,76;1,66;1,76;2.616;4.503
2019-02-21;1,85;1,95;1,72;1,72;5.333;9.614
2019-02-20;1,62;1,82;1,62;1,82;7.500;12.343
2019-02-19;1,53;1,59;1,53;1,57;275;436
2019-02-18;1,57;1,57;1,57;1,57;0;0
2019-02-15;1,59;1,59;1,57;1,57;2.288;3.638
2019-02-14;1,56;1,56;1,56;1,56;0;0
2019-02-13;1,58;1,58;1,58;1,58;0;0
2019-02-12;1,53;1,58;1,53;1,58;2;3
2019-02-11;1,60;1,60;1,55;1,57;1.038;1.661
2019-02-08;1,53;1,57;1,53;1,57;2;3
2019-02-07;1,53;1,56;1,53;1,56;110;168
2019-02-06;1,56;1,56;1,56;1,56;0;0
2019-02-05;1,57;1,57;1,57;1,57;0;0
2019-02-04;1,60;1,60;1,57;1,57;20;32
2019-02-01;1,52;1,59;1,51;1,58;15.508;23.809
2019-01-31;1,56;1,61;1,51;1,57;14.600;22.286
2019-01-30;1,61;1,61;1,61;1,61;0;0
2019-01-29;1,60;1,60;1,60;1,60;0;0
2019-01-28;1,60;1,60;1,60;1,60;4.358;6.973
2019-01-25;1,65;1,65;1,65;1,65;0;0
2019-01-24;1,70;1,70;1,65;1,65;7.152;11.932
2019-01-22;1,59;1,63;1,50;1,50;6.202;9.766
2019-01-21;1,71;1,80;1,63;1,63;10.303;17.549
2019-01-18;1,69;1,69;1,66;1,66;80;135
2019-01-17;1,66;1,66;1,66;1,66;0;0
