Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-12-21;99,704;99,704;99,704;99,704;0;0
2018-12-20;99,696;99,696;99,696;99,696;0;0
2018-12-19;99,707;99,707;99,707;99,707;0;0
2018-12-18;99,728;99,728;99,728;99,728;0;0
2018-12-17;99,711;99,711;99,711;99,711;0;0
2018-12-14;99,693;99,693;99,693;99,693;0;0
2018-12-13;99,715;99,715;99,715;99,715;0;0
2018-12-12;99,688;99,688;99,688;99,688;0;0
2018-12-11;99,667;99,667;99,667;99,667;0;0
2018-12-10;99,675;99,675;99,675;99,675;0;0
2018-12-07;99,614;99,614;99,614;99,614;0;0
2018-12-06;99,618;99,618;99,618;99,618;0;0
2018-12-05;99,613;99,613;99,613;99,613;0;0
2018-12-04;99,611;99,611;99,611;99,611;0;0
2018-12-03;99,716;99,716;99,716;99,716;0;0
2018-11-30;99,697;99,697;99,697;99,697;0;0
2018-11-29;99,718;99,718;99,718;99,718;0;0
2018-11-28;99,717;99,717;99,717;99,717;0;0
2018-11-27;99,728;99,728;99,728;99,728;0;0
2018-11-26;99,793;99,793;99,793;99,793;0;0
2018-11-23;99,789;99,789;99,789;99,789;0;0
2018-11-22;99,787;99,787;99,787;99,787;0;0
2018-11-21;99,715;99,715;99,715;99,715;0;0
2018-11-20;99,766;99,766;99,766;99,766;0;0
2018-11-19;99,746;99,746;99,746;99,746;0;0
2018-11-16;99,691;99,691;99,691;99,691;0;0
2018-11-15;99,685;99,685;99,685;99,685;0;0
2018-11-14;99,683;99,683;99,683;99,683;0;0
2018-11-13;99,677;99,677;99,677;99,677;0;0
2018-11-12;99,699;99,699;99,699;99,699;0;0
2018-11-09;99,687;99,687;99,687;99,687;0;0
2018-11-08;99,705;99,705;99,705;99,705;0;0
2018-11-07;99,683;99,683;99,683;99,683;0;0
2018-11-06;99,694;99,694;99,694;99,694;0;0
2018-11-05;99,771;99,771;99,771;99,771;0;0
2018-11-02;99,735;99,735;99,735;99,735;0;0
2018-11-01;99,755;99,755;99,755;99,755;0;0
2018-10-31;99,789;99,789;99,789;99,789;0;0
2018-10-30;99,759;99,759;99,759;99,759;0;0
2018-10-29;99,697;99,697;99,697;99,697;0;0
2018-10-26;99,757;99,757;99,757;99,757;0;0
2018-10-25;99,722;99,722;99,722;99,722;0;0
2018-10-24;99,705;99,705;99,705;99,705;0;0
2018-10-23;99,666;99,666;99,666;99,666;0;0
2018-10-22;99,679;99,679;99,679;99,679;0;0
2018-10-19;99,687;99,687;99,687;99,687;0;0
2018-10-18;99,754;99,754;99,754;99,754;0;0
2018-10-17;99,695;99,695;99,695;99,695;0;0
2018-10-16;99,724;99,724;99,724;99,724;0;0
2018-10-15;99,733;99,733;99,733;99,733;0;0
2018-10-12;99,821;99,821;99,821;99,821;0;0
2018-10-11;99,764;99,764;99,764;99,764;0;0
2018-10-10;100,00;100,00;100,00;100,00;100.000;100.000
2018-10-09;100,00;100,00;100,00;100,00;0;0
2018-10-08;100,00;100,00;100,00;100,00;0;0
2018-10-05;100,00;100,00;100,00;100,00;0;0
2018-10-04;99,98;99,98;99,98;99,98;0;0
2018-10-02;100,111;100,111;100,111;100,111;0;0
2018-10-01;100,049;100,049;100,049;100,049;0;0
2018-09-28;100,139;100,139;100,139;100,139;0;0
2018-09-27;100,235;100,235;100,235;100,235;0;0
2018-09-26;100,232;100,232;100,232;100,232;0;0
2018-09-25;100,666;100,666;100,666;100,666;0;0
