Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;2,58;2,58;2,58;2,58;0;0
2019-05-02;2,64;2,64;2,64;2,64;1;3
2019-04-30;2,60;2,60;2,60;2,60;1;3
2019-04-29;2,62;2,62;2,62;2,62;6;16
2019-04-26;2,70;2,70;2,70;2,70;250;675
2019-04-25;2,70;2,70;2,70;2,70;0;0
2019-04-24;2,60;2,72;2,60;2,72;368;1.001
2019-04-23;2,58;2,58;2,58;2,58;0;0
2019-04-18;2,58;2,58;2,58;2,58;71;183
2019-04-17;2,60;2,60;2,60;2,60;2.000;5.200
2019-04-16;2,58;2,58;2,58;2,58;0;0
2019-04-15;2,56;2,56;2,56;2,56;0;0
2019-04-12;2,60;2,62;2,40;2,62;1.044;2.703
2019-04-11;2,60;2,60;2,60;2,60;0;0
2019-04-10;2,60;2,74;2,60;2,74;337;923
2019-04-09;2,58;2,78;2,58;2,78;192;533
2019-04-08;2,66;2,66;2,66;2,66;752;2.000
2019-04-05;2,70;2,70;2,60;2,60;809;2.119
2019-04-04;2,56;2,74;2,56;2,74;400;1.078
2019-04-03;2,54;2,70;2,54;2,54;387;1.042
2019-04-02;2,54;2,70;2,54;2,60;656;1.743
2019-04-01;2,64;2,76;2,64;2,68;686;1.862
2019-03-29;2,62;2,62;2,62;2,62;111;291
2019-03-28;2,84;2,84;2,74;2,74;419;1.190
2019-03-27;2,84;2,84;2,84;2,84;0;0
2019-03-26;2,84;2,84;2,84;2,84;1;3
2019-03-25;2,86;2,86;2,78;2,78;1.932;5.510
2019-03-22;2,86;2,86;2,86;2,86;0;0
2019-03-21;2,74;2,92;2,74;2,86;696;2.011
2019-03-20;2,74;2,86;2,74;2,80;750;2.120
2019-03-19;2,74;2,74;2,74;2,74;0;0
2019-03-18;2,70;2,74;2,70;2,70;527;1.438
2019-03-15;2,70;2,70;2,70;2,70;0;0
2019-03-14;2,76;2,80;2,76;2,80;555;1.554
2019-03-13;2,70;2,80;2,70;2,80;1.355;3.792
2019-03-12;2,76;3,00;2,76;2,86;3.021;8.920
2019-03-11;2,70;2,70;2,70;2,70;0;0
2019-03-08;2,74;2,74;2,74;2,74;42;115
2019-03-07;2,84;2,84;2,84;2,84;0;0
2019-03-06;2,70;3,00;2,70;3,00;695;2.051
2019-03-05;2,72;2,88;2,72;2,82;355;1.022
2019-03-04;2,80;3,00;2,80;2,80;653;1.938
2019-03-01;2,82;2,82;2,82;2,82;300;846
2019-02-28;2,70;2,70;2,70;2,70;0;0
2019-02-27;2,70;2,70;2,70;2,70;0;0
2019-02-26;2,50;2,80;2,50;2,80;3.000;8.300
2019-02-25;2,56;2,56;2,56;2,56;2;5
2019-02-22;2,70;2,70;2,70;2,70;6;16
2019-02-21;2,70;2,70;2,70;2,70;0;0
2019-02-20;2,72;2,72;2,72;2,72;1.081;2.940
2019-02-19;2,50;2,90;2,50;2,80;1.229;3.454
2019-02-18;2,66;2,66;2,66;2,66;376;1.000
2019-02-15;2,56;2,64;2,56;2,60;1.785;4.650
2019-02-14;2,38;2,60;2,38;2,60;5.269;13.310
2019-02-13;2,36;2,36;2,36;2,36;3;7
2019-02-12;2,36;2,46;2,36;2,46;28;69
2019-02-11;2,34;2,44;2,34;2,44;500;1.220
2019-02-08;2,30;2,30;2,30;2,30;20;46
2019-02-07;2,30;2,30;2,30;2,30;0;0
2019-02-06;2,42;2,42;2,42;2,42;462;1.118
2019-02-05;2,40;2,40;2,40;2,40;0;0
2019-02-04;2,40;2,40;2,40;2,40;37;89
2019-02-01;2,38;2,38;2,38;2,38;0;0
2019-01-31;2,40;2,40;2,40;2,40;0;0
2019-01-30;2,50;2,50;2,50;2,50;2.100;5.250
2019-01-29;2,54;2,60;2,54;2,60;230;598
2019-01-28;2,30;2,70;2,30;2,70;662;1.656
2019-01-25;2,24;2,34;2,24;2,34;3.190;7.295
2019-01-24;2,16;2,20;2,16;2,20;1.000;2.200
2019-01-23;2,20;2,20;2,06;2,20;1.700;3.642
2019-01-22;2,04;2,24;2,04;2,24;1.500;3.240
2019-01-21;2,04;2,04;2,04;2,04;0;0
2019-01-18;2,04;2,04;2,04;2,04;0;0
2019-01-17;2,04;2,04;2,04;2,04;0;0
2019-01-16;2,04;2,04;2,04;2,04;0;0
2019-01-15;2,04;2,04;2,04;2,04;0;0
2019-01-14;2,04;2,04;2,04;2,04;0;0
2019-01-11;1,96;1,96;1,96;1,96;0;0
2019-01-10;1,97;1,97;1,97;1,97;2;4
2019-01-09;1,91;2,10;1,91;2,10;400;840
2019-01-08;2,04;2,04;2,04;2,04;490;1.000
2019-01-07;2,02;2,02;2,02;2,02;35;71
2019-01-04;2,00;2,00;2,00;2,00;0;0
2019-01-03;1,96;1,96;1,96;1,96;0;0
2019-01-02;1,97;1,97;1,97;1,97;0;0
2018-12-28;1,99;1,99;1,99;1,99;0;0
2018-12-27;1,90;2,02;1,90;2,02;402;812
2018-12-21;1,87;2,04;1,87;2,04;491;1.002
2018-12-20;1,96;1,96;1,96;1,96;2;4
2018-12-19;2,38;2,38;2,02;2,02;3.407;7.559
2018-12-18;2,32;2,32;2,32;2,32;0;0
2018-12-17;2,34;2,34;2,34;2,34;2;5
2018-12-14;2,38;2,38;2,38;2,38;0;0
2018-12-13;2,42;2,42;2,42;2,42;0;0
2018-12-12;2,38;2,38;2,38;2,38;0;0
2018-12-11;2,32;2,32;2,32;2,32;0;0
2018-12-10;2,28;2,28;2,28;2,28;0;0
2018-12-07;2,24;2,50;2,24;2,50;2;5
2018-12-06;2,28;2,40;2,28;2,40;1;2
2018-12-05;2,30;2,30;2,30;2,30;4;9
2018-12-04;2,32;2,32;2,32;2,32;0;0
2018-12-03;2,36;2,36;2,36;2,36;0;0
2018-11-30;2,42;2,42;2,20;2,32;864;2.039
2018-11-29;2,50;2,54;2,50;2,54;600;1.504
2018-11-28;2,40;2,40;2,40;2,40;0;0
2018-11-27;2,42;2,42;2,42;2,42;2;5
2018-11-26;2,34;2,50;2,34;2,50;422;1.055
2018-11-23;2,30;2,30;2,30;2,30;0;0
2018-11-22;2,32;2,32;2,32;2,32;0;0
2018-11-21;2,32;2,32;2,32;2,32;0;0
2018-11-20;2,30;2,30;2,30;2,30;0;0
2018-11-19;2,36;2,58;2,36;2,44;1.110;2.774
2018-11-16;2,38;2,38;2,38;2,38;0;0
2018-11-15;2,40;2,40;2,40;2,40;0;0
2018-11-14;2,42;2,42;2,42;2,42;0;0
2018-11-13;2,50;2,50;2,50;2,50;4;10
2018-11-12;2,60;2,60;2,60;2,60;2;5
2018-11-09;2,48;2,48;2,48;2,48;0;0
2018-11-08;2,44;2,68;2,44;2,56;361;948
2018-11-07;2,60;2,60;2,60;2,60;0;0
2018-11-06;2,56;2,56;2,56;2,56;0;0
2018-11-05;2,60;2,60;2,60;2,60;0;0
2018-11-02;2,80;2,80;2,80;2,80;0;0
2018-11-01;2,62;2,62;2,62;2,62;0;0
2018-10-31;2,76;2,80;2,76;2,80;900;2.506
2018-10-30;2,68;2,68;2,68;2,68;0;0
2018-10-29;2,76;2,76;2,76;2,76;550;1.518
2018-10-26;2,54;2,54;2,44;2,44;242;614
2018-10-25;2,44;2,54;2,44;2,54;7;18
2018-10-24;2,40;2,40;2,40;2,40;0;0
2018-10-23;2,44;2,44;2,44;2,44;0;0
2018-10-22;2,42;2,66;2,42;2,66;305;810
2018-10-19;2,46;2,50;2,30;2,50;1.357;3.234
2018-10-18;2,54;2,78;2,30;2,50;1.884;4.814
2018-10-17;2,78;2,78;2,40;2,56;1.920;4.886
2018-10-16;2,76;2,76;2,76;2,76;0;0
2018-10-15;2,76;2,76;2,76;2,76;0;0
2018-10-12;2,82;2,82;2,82;2,82;300;846
2018-10-11;2,80;2,80;2,80;2,80;200;560
2018-10-10;3,14;3,14;3,00;3,00;3.158;9.516
2018-10-09;2,80;3,00;2,80;3,00;300;900
2018-10-08;2,66;2,98;2,66;2,98;3.200;9.512
2018-10-05;2,72;2,72;2,60;2,60;1.986;5.277
2018-10-04;2,84;2,84;2,80;2,80;329;921
2018-10-02;2,60;2,84;2,60;2,80;864;2.438
2018-10-01;2,60;2,80;2,60;2,80;359;1.005
2018-09-28;2,72;2,80;2,70;2,80;750;2.047
2018-09-27;2,60;2,60;2,60;2,60;0;0
2018-09-26;2,62;2,62;2,62;2,62;0;0
2018-09-25;2,68;2,68;2,68;2,68;0;0
2018-09-24;2,78;2,78;2,74;2,74;2;5
2018-09-21;2,74;2,74;2,74;2,74;0;0
2018-09-20;2,80;2,80;2,80;2,80;304;851
2018-09-19;2,80;2,80;2,80;2,80;0;0
2018-09-18;2,74;2,80;2,74;2,80;33;92
2018-09-17;2,84;2,84;2,82;2,82;590;1.668
2018-09-14;2,82;2,82;2,82;2,82;0;0
2018-09-13;2,84;2,84;2,84;2,84;300;852
2018-09-12;2,82;2,82;2,82;2,82;0;0
2018-09-11;2,82;2,82;2,82;2,82;0;0
2018-09-10;2,82;2,82;2,82;2,82;0;0
2018-09-07;2,82;2,82;2,82;2,82;0;0
2018-09-06;2,82;3,04;2,82;3,04;109;309
2018-09-05;2,82;2,82;2,82;2,82;7;20
2018-09-04;2,82;2,82;2,82;2,82;0;0
2018-09-03;2,82;2,82;2,82;2,82;0;0
2018-08-31;2,80;2,80;2,80;2,80;0;0
2018-08-30;3,00;3,00;3,00;3,00;500;1.500
2018-08-29;3,12;3,12;3,12;3,12;0;0
2018-08-28;3,10;3,14;3,10;3,14;150;471
2018-08-27;3,06;3,06;3,06;3,06;0;0
2018-08-24;3,04;3,10;3,04;3,10;1.329;4.060
2018-08-23;2,84;2,84;2,84;2,84;3;9
2018-08-22;2,74;2,74;2,74;2,74;0;0
2018-08-21;2,80;2,80;2,80;2,80;50;140
2018-08-20;2,84;2,84;2,84;2,84;0;0
2018-08-17;2,80;2,80;2,80;2,80;0;0
2018-08-16;2,68;2,68;2,68;2,68;0;0
2018-08-15;2,98;2,98;2,98;2,98;300;894
2018-08-14;2,86;2,98;2,82;2,98;437;1.238
2018-08-13;2,76;2,76;2,76;2,76;0;0
2018-08-10;2,98;3,00;2,90;2,90;1.152;3.445
2018-08-09;2,98;2,98;2,98;2,98;0;0
2018-08-08;2,98;3,22;2,98;2,98;22;68
2018-08-07;3,00;3,00;3,00;3,00;325;975
2018-08-06;3,00;3,00;3,00;3,00;0;0
2018-08-03;3,02;3,02;3,02;3,02;0;0
2018-08-02;3,16;3,24;2,50;3,00;3.925;11.022
2018-08-01;3,10;3,10;3,10;3,10;0;0
2018-07-31;3,00;3,14;3,00;3,14;500;1.570
2018-07-30;3,20;3,20;2,40;3,10;3.618;10.591
2018-07-27;3,16;3,42;3,16;3,42;632;2.152
2018-07-26;3,16;3,16;3,16;3,16;14;44
2018-07-25;3,14;3,24;3,14;3,24;300;972
2018-07-24;3,16;3,16;3,16;3,16;300;948
2018-07-23;3,20;3,20;3,20;3,20;0;0
2018-07-20;3,30;3,34;3,30;3,34;604;2.006
2018-07-19;3,30;3,58;3,30;3,58;278;991
2018-07-18;3,40;3,40;3,40;3,40;0;0
2018-07-17;3,50;3,50;3,50;3,50;300;1.050
2018-07-16;3,50;3,74;3,50;3,74;94;342
2018-07-13;3,56;3,60;3,56;3,60;1.400;5.040
