Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;3,24;3,24;3,13;3,16;32.760;104.358
2019-08-13;3,18;3,23;3,18;3,23;45.905;148.108
2019-08-12;3,16;3,20;3,16;3,18;13.631;43.172
2019-08-09;3,17;3,19;3,10;3,19;29.555;93.991
2019-08-08;3,15;3,17;3,11;3,17;8.223;25.845
2019-08-07;3,10;3,14;3,06;3,13;9.656;29.962
2019-08-06;3,14;3,14;3,03;3,08;19.383;59.448
2019-08-05;3,13;3,17;3,06;3,14;23.104;72.521
2019-08-02;3,02;3,13;3,02;3,13;24.500;75.557
2019-08-01;3,03;3,05;3,02;3,05;22.040;66.662
2019-07-31;3,03;3,08;3,03;3,07;5.450;16.676
2019-07-30;3,03;3,03;3,02;3,03;6.698;20.278
2019-07-29;3,07;3,07;3,03;3,03;5.399;16.500
2019-07-26;3,07;3,07;3,05;3,05;9.011;27.654
2019-07-25;3,04;3,05;3,03;3,04;8.390;25.506
2019-07-24;3,07;3,07;3,03;3,05;11.588;35.462
2019-07-23;3,06;3,06;3,05;3,05;29.834;91.004
2019-07-22;3,07;3,07;3,02;3,06;14.807;45.281
2019-07-19;3,06;3,07;3,06;3,06;6.329;19.368
2019-07-18;3,05;3,05;3,03;3,05;16.999;51.657
2019-07-17;3,04;3,05;3,04;3,05;1.790;5.458
2019-07-16;3,04;3,05;3,01;3,03;6.401;19.352
2019-07-15;3,01;3,04;2,99;3,02;12.738;38.317
2019-07-12;2,99;3,01;2,97;3,00;33.280;99.231
2019-07-11;3,05;3,05;2,99;3,00;40.989;123.068
2019-07-10;3,06;3,06;3,03;3,04;14.507;44.284
2019-07-09;3,03;3,05;2,98;3,05;15.128;45.740
2019-07-08;3,05;3,05;3,02;3,04;3.445;10.485
2019-07-05;3,02;3,02;3,02;3,02;5.000;15.100
2019-07-04;3,00;3,01;2,98;3,01;32.681;97.987
2019-07-03;3,01;3,04;3,00;3,00;14.969;45.089
2019-07-02;3,01;3,01;2,98;3,01;27.600;82.891
2019-07-01;3,00;3,02;2,98;3,02;49.014;146.769
2019-06-28;2,96;3,02;2,94;3,01;14.854;44.171
2019-06-27;2,91;2,97;2,90;2,93;63.790;186.350
2019-06-26;2,98;2,98;2,90;2,92;68.790;200.472
2019-06-25;2,92;2,99;2,92;2,97;49.078;145.235
