Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-22;11,50;12,30;11,50;12,10;1.145;13.526
2019-07-19;11,80;11,80;11,40;11,70;1.475;17.313
2019-07-18;12,10;12,10;12,00;12,00;800;9.680
2019-07-17;12,40;12,40;12,30;12,30;205;2.542
2019-07-16;12,30;12,60;12,20;12,20;1.822;22.427
2019-07-15;12,60;12,90;12,40;12,40;1.837;23.048
2019-07-12;12,70;12,80;12,60;12,80;4.508;57.201
2019-07-11;12,20;13,10;11,50;12,80;3.817;47.273
2019-07-10;11,70;12,20;11,70;12,00;1.091;12.803
2019-07-09;11,60;11,60;11,50;11,50;1.500;17.354
2019-07-08;10,60;11,20;10,60;11,20;1.031;10.933
2019-07-05;10,30;10,50;10,30;10,50;1.680;17.504
2019-07-04;10,30;10,60;10,30;10,50;802;8.311
2019-07-03;10,30;10,50;10,20;10,50;1.432;14.813
2019-07-02;10,20;10,20;10,20;10,20;0;0
2019-07-01;9,90;10,10;9,60;10,10;2.412;23.954
2019-06-28;10,10;10,10;10,10;10,10;149;1.505
2019-06-27;9,80;9,90;9,80;9,90;725;7.175
2019-06-26;9,95;9,95;9,95;9,95;100;995
2019-06-25;9,95;9,95;9,95;9,95;0;0
2019-06-24;10,10;10,10;9,80;9,95;16;161
2019-06-21;9,95;9,95;9,95;9,95;0;0
2019-06-20;9,95;9,95;9,95;9,95;0;0
2019-06-19;10,00;10,00;9,90;9,95;309;3.059
2019-06-18;10,00;10,20;10,00;10,10;1.590;16.094
2019-06-17;10,10;10,10;10,10;10,10;0;0
2019-06-14;10,10;10,10;10,10;10,10;0;0
2019-06-13;10,10;10,10;10,10;10,10;0;0
2019-06-12;10,00;10,10;10,00;10,10;507;5.070
2019-06-11;9,80;9,90;9,80;9,90;4;39
2019-06-07;9,90;9,90;9,80;9,80;251;2.485
2019-06-06;9,80;9,80;9,80;9,80;296;2.901
2019-06-05;10,20;10,40;9,90;10,00;4.526;46.328
2019-06-04;9,95;10,00;9,95;10,00;1.100;10.945
2019-06-03;9,85;9,85;9,80;9,80;700;6.895
2019-05-31;9,60;9,70;9,60;9,70;150;1.440
2019-05-30;9,90;9,90;9,80;9,80;1;10
2019-05-29;9,65;9,80;9,65;9,80;3.070;29.734
2019-05-28;9,65;9,65;9,60;9,60;1.300;12.495
2019-05-27;9,70;9,85;9,70;9,85;12;116
2019-05-24;9,75;9,80;9,75;9,80;100;975
2019-05-23;9,85;9,85;9,85;9,85;0;0
2019-05-22;10,00;10,00;9,85;9,85;6;60
2019-05-21;9,80;9,80;9,80;9,80;0;0
2019-05-20;9,65;9,90;9,65;9,85;410;3.959
2019-05-17;9,90;9,95;9,70;9,85;2.560;24.997
2019-05-16;10,00;10,10;10,00;10,10;300;3.000
2019-05-15;10,00;10,30;10,00;10,10;1.960;19.816
2019-05-14;9,50;10,30;9,50;9,70;5.718;56.301
2019-05-13;9,15;9,40;9,15;9,40;2.500;23.170
2019-05-10;9,10;9,20;9,10;9,20;110;1.001
2019-05-09;9,30;9,30;9,15;9,25;1.373;12.716
2019-05-08;9,15;9,15;9,15;9,15;300;2.745
2019-05-07;9,25;9,35;9,10;9,15;2.999;27.646
2019-05-06;9,05;9,10;9,05;9,10;793;7.177
2019-05-03;9,40;9,45;9,10;9,20;1.008;9.394
2019-05-02;8,75;8,95;8,75;8,90;1.669;14.718
2019-04-30;8,60;8,75;8,60;8,65;61;530
2019-04-29;9,00;9,00;8,70;8,75;505;4.427
2019-04-26;8,70;8,95;8,70;8,85;3.042;26.576
2019-04-25;8,20;8,60;8,20;8,45;2.851;23.450
2019-04-24;8,50;8,50;8,15;8,35;6.944;58.049
2019-04-23;8,45;8,80;8,45;8,65;4.500;38.885
2019-04-18;8,25;8,60;8,25;8,30;5.536;46.065
2019-04-17;8,10;8,25;7,95;8,10;4.216;33.979
2019-04-16;8,10;8,20;8,10;8,15;238;1.942
2019-04-15;8,10;8,10;7,95;7,95;30;243
2019-04-12;8,00;8,00;7,95;7,95;2.494;19.952
2019-04-11;7,85;7,95;7,85;7,85;1.960;15.516
2019-04-10;7,80;7,80;7,80;7,80;0;0
2019-04-09;7,90;7,90;7,85;7,85;300;2.370
2019-04-08;7,75;7,80;7,75;7,80;231;1.790
2019-04-05;7,80;7,85;7,80;7,85;635;4.953
2019-04-04;7,45;7,85;7,45;7,80;4.360;33.686
2019-04-03;7,65;7,65;7,50;7,60;3.460;26.243
2019-04-02;7,20;7,50;7,20;7,50;1.375;10.005
2019-04-01;7,50;7,50;7,30;7,40;3.700;27.450
2019-03-29;7,75;7,75;7,65;7,65;439;3.402
2019-03-28;7,85;7,95;7,40;7,65;4.718;36.582
2019-03-27;7,80;7,90;7,75;7,90;1.250;9.731
2019-03-26;7,80;8,00;7,80;7,90;226;1.783
2019-03-25;7,95;8,15;7,95;8,05;401;3.191
2019-03-22;7,80;7,90;7,80;7,85;1.301;10.148
2019-03-21;7,90;7,90;7,90;7,90;0;0
2019-03-20;7,85;7,85;7,85;7,85;1.301;10.213
2019-03-19;7,75;7,95;7,75;7,95;41;318
2019-03-18;7,80;7,90;7,80;7,90;500;3.900
2019-03-15;7,90;7,90;7,90;7,90;0;0
2019-03-14;8,10;8,10;7,90;7,90;1.003;7.974
2019-03-13;7,95;7,95;7,95;7,95;0;0
2019-03-12;7,95;7,95;7,90;7,90;100;795
2019-03-11;7,90;7,90;7,90;7,90;0;0
2019-03-08;7,90;7,90;7,90;7,90;0;0
2019-03-07;7,90;7,90;7,90;7,90;0;0
2019-03-06;7,85;7,85;7,85;7,85;0;0
2019-03-05;7,95;7,95;7,90;7,90;201;1.598
2019-03-04;7,95;7,95;7,90;7,90;10;80
2019-03-01;7,80;8,00;7,75;7,90;551;4.300
2019-02-28;7,95;8,00;7,95;8,00;1;8
2019-02-27;7,90;7,90;7,90;7,90;0;0
2019-02-26;7,80;8,00;7,80;7,90;11;86
2019-02-25;7,75;7,95;7,75;7,90;1.385;10.981
2019-02-22;8,00;8,00;7,90;7,90;75;600
2019-02-21;8,00;8,00;7,90;7,90;15;120
2019-02-20;7,90;7,90;7,90;7,90;0;0
2019-02-19;7,80;8,00;7,80;7,85;1.711;13.386
2019-02-18;7,70;7,70;7,70;7,70;0;0
2019-02-15;7,60;7,65;7,60;7,65;7;53
2019-02-14;7,50;7,95;7,50;7,80;610;4.655
2019-02-13;7,65;7,75;7,25;7,65;3.897;29.633
2019-02-12;7,80;7,80;7,80;7,80;0;0
2019-02-11;7,85;8,00;7,60;7,80;1.448;11.191
2019-02-08;7,35;7,80;7,35;7,65;6.028;45.500
2019-02-07;7,25;7,25;7,15;7,20;215;1.539
2019-02-06;7,40;7,40;7,40;7,40;0;0
2019-02-05;7,25;7,50;7,25;7,40;1.076;7.860
2019-02-04;7,20;7,20;7,20;7,20;400;2.880
2019-02-01;7,10;7,20;7,10;7,20;4.733;33.604
2019-01-31;7,10;7,10;6,95;6,95;20;142
2019-01-30;6,90;6,95;6,90;6,95;300;2.070
2019-01-29;7,05;7,05;7,05;7,05;0;0
2019-01-28;6,95;6,95;6,95;6,95;0;0
2019-01-25;7,00;7,00;6,90;6,90;65;455
2019-01-24;6,75;6,85;6,75;6,85;196;1.323
2019-01-23;6,90;6,90;6,90;6,90;0;0
2019-01-22;7,15;7,25;6,90;6,90;6.459;45.249
2019-01-21;7,15;7,25;7,15;7,25;300;2.145
2019-01-18;7,25;7,25;7,25;7,25;420;3.045
2019-01-17;7,20;7,30;7,20;7,30;1.650;11.905
2019-01-16;6,95;7,05;6,95;7,05;5.161;36.325
2019-01-15;6,95;6,95;6,85;6,85;2.520;17.514
2019-01-14;6,90;6,90;6,85;6,85;1.150;7.935
2019-01-11;7,00;7,00;7,00;7,00;0;0
2019-01-10;7,00;7,00;7,00;7,00;0;0
2019-01-09;7,00;7,00;7,00;7,00;0;0
2019-01-08;6,95;6,95;6,95;6,95;0;0
2019-01-07;6,95;6,95;6,90;6,90;10;70
2019-01-04;6,90;6,90;6,85;6,85;30;207
2019-01-03;6,80;6,80;6,80;6,80;0;0
2019-01-02;6,75;6,75;6,75;6,75;0;0
2018-12-28;6,65;6,65;6,65;6,65;548;3.644
2018-12-27;6,75;6,75;6,75;6,75;0;0
2018-12-21;6,85;6,90;6,75;6,75;1.850;12.690
2018-12-20;6,60;7,00;6,60;7,00;1.082;7.369
2018-12-19;6,75;6,75;6,75;6,75;0;0
2018-12-18;6,75;6,75;6,70;6,70;350;2.363
2018-12-17;6,70;6,70;6,70;6,70;0;0
2018-12-14;6,70;6,70;6,70;6,70;0;0
2018-12-13;6,75;6,75;6,75;6,75;0;0
2018-12-12;6,75;6,75;6,75;6,75;0;0
2018-12-11;6,75;6,75;6,75;6,75;0;0
2018-12-10;6,85;6,85;6,70;6,75;490;3.356
2018-12-07;6,85;6,85;6,85;6,85;200;1.370
2018-12-06;6,85;6,85;6,85;6,85;0;0
2018-12-05;6,90;6,90;6,90;6,90;0;0
2018-12-04;6,95;6,95;6,95;6,95;0;0
2018-12-03;7,10;7,10;6,95;6,95;500;3.550
2018-11-30;6,95;6,95;6,95;6,95;0;0
2018-11-29;7,05;7,05;7,00;7,00;547;3.856
2018-11-28;6,90;6,90;6,90;6,90;0;0
2018-11-27;6,80;6,90;6,80;6,90;200;1.360
2018-11-26;6,80;7,10;6,80;7,00;73;501
2018-11-23;6,95;6,95;6,95;6,95;0;0
2018-11-22;6,90;6,95;6,90;6,95;625;4.325
2018-11-21;7,05;7,15;7,00;7,05;720;5.101
2018-11-20;7,20;7,20;7,20;7,20;0;0
2018-11-19;7,20;7,20;7,20;7,20;0;0
2018-11-16;7,15;7,25;7,15;7,25;600;4.290
2018-11-15;7,60;7,65;7,30;7,30;1.321;9.908
2018-11-14;7,50;7,50;7,50;7,50;0;0
2018-11-13;7,55;7,55;7,55;7,55;0;0
2018-11-12;7,70;7,80;7,60;7,60;3.085;23.707
2018-11-09;8,20;8,20;7,70;7,85;4.135;32.361
2018-11-08;8,15;8,25;8,15;8,20;1.823;14.897
2018-11-07;8,20;8,30;8,20;8,30;347;2.863
2018-11-06;8,05;8,35;7,95;8,20;9.317;76.262
2018-11-05;7,75;8,35;7,75;8,20;4.219;33.750
2018-11-02;7,55;7,85;7,40;7,55;7.172;54.888
2018-11-01;7,15;7,40;7,15;7,40;1.973;14.425
2018-10-31;7,10;7,15;7,10;7,10;1.330;9.509
2018-10-30;7,05;7,05;7,00;7,00;800;5.640
2018-10-29;6,85;7,05;6,85;7,00;1.111;7.670
2018-10-26;7,00;7,10;6,90;7,00;1.246;8.723
2018-10-25;7,00;7,00;7,00;7,00;25;175
2018-10-24;6,80;7,00;6,80;7,00;2.584;17.621
2018-10-23;6,80;6,80;6,65;6,70;53;353
2018-10-22;6,75;6,75;6,75;6,75;0;0
2018-10-19;6,95;6,95;6,75;6,75;800;5.535
2018-10-18;6,95;7,05;6,95;7,05;750;5.213
2018-10-17;6,95;7,10;6,95;7,10;808;5.623
2018-10-16;6,80;7,00;6,80;6,95;1.800;12.345
2018-10-15;6,80;6,90;6,75;6,75;955;6.525
2018-10-12;6,65;6,65;6,65;6,65;0;0
2018-10-11;6,65;6,65;6,65;6,65;0;0
2018-10-10;6,60;7,00;6,60;6,80;9.782;66.949
2018-10-09;6,45;6,50;6,45;6,50;1.675;10.804
2018-10-08;6,45;6,50;6,45;6,50;900;5.805
2018-10-05;6,50;6,50;6,50;6,50;0;0
2018-10-04;6,40;6,45;6,40;6,45;430;2.752
2018-10-02;6,50;6,50;6,50;6,50;0;0
2018-10-01;6,40;6,70;6,40;6,55;272;1.769
2018-09-28;6,55;6,60;6,55;6,55;750;4.925
2018-09-27;6,45;6,50;6,45;6,50;1.346;8.682
2018-09-26;6,50;6,50;6,50;6,50;0;0
2018-09-25;6,45;6,45;6,45;6,45;0;0
2018-09-24;6,50;6,50;6,45;6,50;251;1.619
2018-09-21;6,45;6,50;6,45;6,50;1.925;12.416
2018-09-20;6,60;6,60;6,60;6,60;0;0
2018-09-19;6,55;6,60;6,40;6,60;621;4.067
