Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;26,60;26,70;25,95;26,10;239.091;6.261.021
2019-05-02;26,15;26,55;26,10;26,45;217.013;5.736.439
2019-04-30;26,50;26,50;26,10;26,25;178.244;4.687.387
2019-04-29;26,40;26,55;26,35;26,50;97.817;2.589.290
2019-04-26;26,85;26,90;26,40;26,40;104.600;2.769.338
2019-04-25;27,35;27,40;26,80;26,80;124.893;3.364.507
2019-04-24;27,00;27,25;26,80;27,25;101.926;2.763.197
2019-04-23;27,00;27,05;26,80;26,90;87.211;2.345.471
2019-04-18;26,90;27,00;26,65;26,90;153.403;4.116.303
2019-04-17;26,55;26,85;26,35;26,75;208.453;5.553.617
2019-04-16;26,30;26,65;26,30;26,60;110.535;2.934.041
2019-04-15;26,65;26,75;26,30;26,45;171.330;4.529.649
2019-04-12;27,15;27,30;26,50;26,60;155.871;4.177.374
2019-04-11;27,30;27,40;27,15;27,25;84.548;2.304.597
2019-04-10;26,95;27,30;26,80;27,30;314.614;8.574.812
2019-04-09;27,25;27,30;26,85;26,90;154.128;4.164.060
2019-04-08;27,25;27,40;27,05;27,20;220.159;5.986.409
2019-04-05;27,15;27,60;27,00;27,20;220.892;6.013.178
2019-04-04;27,10;27,20;26,90;27,10;279.817;7.574.191
2019-04-03;27,00;27,25;26,85;27,00;109.358;2.953.070
2019-04-02;26,85;27,00;26,75;26,95;120.875;3.250.968
2019-04-01;26,95;26,95;26,55;26,75;87.452;2.338.264
2019-03-29;26,74;26,86;26,62;26,84;145.170;3.891.149
2019-03-28;26,70;26,80;26,58;26,76;109.577;2.926.384
2019-03-27;26,72;26,82;26,42;26,80;129.181;3.445.144
2019-03-26;26,58;26,70;26,44;26,70;135.379;3.604.366
2019-03-25;26,42;26,72;26,28;26,50;97.158;2.572.453
2019-03-22;26,58;26,80;26,50;26,50;142.275;3.786.821
2019-03-21;25,94;26,26;25,62;26,18;168.431;4.388.518
2019-03-20;26,46;26,66;26,10;26,12;154.737;4.065.602
2019-03-19;26,00;26,12;25,86;26,12;78.249;2.038.293
2019-03-18;26,00;26,10;25,82;25,98;85.477;2.219.122
2019-03-15;26,06;26,08;25,90;26,00;214.909;5.587.668
2019-03-14;25,92;26,10;25,88;26,02;177.828;4.623.058
2019-03-13;25,90;25,94;25,58;25,94;174.263;4.511.566
2019-03-12;25,90;25,94;25,74;25,86;77.550;2.005.069
2019-03-11;26,22;26,22;25,74;25,82;76.979;1.989.586
2019-03-08;25,50;26,06;25,46;25,94;93.668;2.425.010
