Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;48,90;50,15;48,44;49,80;503.011;24.842.772
2019-07-18;48,42;48,42;47,98;48,32;101.973;4.919.319
2019-07-17;49,08;49,08;48,28;48,44;109.167;5.291.385
2019-07-16;48,26;48,92;48,14;48,90;218.061;10.631.263
2019-07-15;48,62;48,80;48,14;48,46;128.066;6.201.742
2019-07-12;49,28;49,28;48,36;48,54;185.608;9.015.701
2019-07-11;48,66;49,22;48,66;49,06;198.278;9.726.384
2019-07-10;48,80;48,84;48,32;48,64;98.617;4.795.782
2019-07-09;48,70;49,30;48,40;48,56;310.284;15.156.967
2019-07-08;49,10;49,48;48,62;48,70;322.269;15.809.553
2019-07-05;48,88;49,40;48,54;49,00;226.046;11.066.771
2019-07-04;48,60;49,02;48,60;48,80;135.356;6.610.110
2019-07-03;48,18;48,66;48,16;48,66;178.165;8.646.617
2019-07-02;48,24;48,34;47,86;48,08;184.588;8.872.788
2019-07-01;47,00;48,10;46,84;48,10;388.491;18.554.850
2019-06-28;46,64;46,92;46,56;46,72;227.442;10.619.526
2019-06-27;46,78;46,82;46,24;46,76;237.272;11.037.989
2019-06-26;46,48;46,54;46,32;46,50;209.190;9.720.059
2019-06-25;46,28;46,56;46,22;46,42;239.976;11.139.105
2019-06-24;46,12;46,36;46,10;46,26;190.530;8.809.646
2019-06-21;46,14;46,22;45,94;46,18;400.432;18.482.234
2019-06-20;46,34;46,34;45,94;46,00;165.510;7.620.700
2019-06-19;46,20;46,34;45,84;46,10;152.532;7.021.064
2019-06-18;45,58;46,14;45,32;46,14;263.070;12.085.085
2019-06-17;45,40;45,84;45,34;45,76;157.341;7.186.460
2019-06-14;45,34;45,62;45,16;45,50;253.012;11.505.906
2019-06-13;45,78;46,06;45,66;45,80;266.477;12.207.793
2019-06-12;45,54;45,96;45,54;45,80;223.497;10.235.977
2019-06-11;45,06;46,10;45,00;45,70;406.345;18.595.342
2019-06-07;44,98;45,14;44,74;44,92;245.153;11.018.525
2019-06-06;44,14;44,84;44,08;44,62;291.807;13.024.394
2019-06-05;44,70;44,70;44,10;44,10;213.186;9.424.572
2019-06-04;44,96;44,96;43,88;44,32;350.196;15.491.661
2019-06-03;45,48;45,48;44,38;44,84;367.410;16.448.877
2019-05-31;44,24;44,66;44,10;44,46;288.895;12.834.287
2019-05-30;44,12;44,66;44,12;44,66;150.369;6.702.580
2019-05-29;44,80;45,02;44,08;44,16;207.590;9.203.838
2019-05-28;44,84;45,32;44,84;45,02;127.678;5.751.290
2019-05-27;45,24;45,40;44,92;45,10;78.600;3.541.975
2019-05-24;45,04;45,48;45,04;45,10;209.890;9.494.323
2019-05-23;44,98;45,16;44,38;45,00;244.813;11.008.570
2019-05-22;44,70;45,08;44,66;45,00;277.572;12.478.575
2019-05-21;44,20;44,94;43,84;44,66;393.192;17.524.794
2019-05-20;44,50;44,50;43,76;43,76;635.178;27.833.184
2019-05-17;44,52;44,72;43,90;44,50;186.099;8.247.302
2019-05-16;44,20;44,92;44,18;44,60;523.056;23.324.834
2019-05-15;43,50;44,50;43,50;44,50;423.479;18.666.228
2019-05-14;46,00;46,00;42,00;43,50;1.515.112;65.362.636
2019-05-13;45,72;45,88;45,38;45,74;208.835;9.536.493
2019-05-10;45,16;46,36;45,14;46,36;321.902;14.816.627
2019-05-09;44,50;45,50;44,44;45,50;707.959;31.812.578
2019-05-08;45,00;45,22;44,70;45,00;754.239;33.952.660
2019-05-07;45,06;45,38;44,92;45,00;666.508;30.051.342
2019-05-06;45,30;45,30;44,54;45,20;772.650;34.797.568
2019-05-03;45,40;45,46;45,10;45,36;801.920;36.338.968
2019-05-02;45,90;45,96;44,98;45,12;811.134;36.813.904
2019-04-30;46,02;46,04;45,82;45,90;628.339;28.843.110
2019-04-29;46,06;46,18;45,96;46,04;339.787;15.640.903
2019-04-26;45,96;46,20;45,94;46,12;465.971;21.470.106
2019-04-25;46,02;46,10;45,92;45,92;415.314;19.103.164
2019-04-24;46,04;46,08;46,00;46,02;196.090;9.028.159
2019-04-23;46,00;46,08;45,88;46,06;357.410;16.440.444
2019-04-18;46,04;46,12;45,96;46,02;481.098;22.142.108
2019-04-17;46,04;46,06;46,00;46,06;274.433;12.629.564
2019-04-16;46,02;46,08;46,00;46,02;316.325;14.561.466
2019-04-15;46,10;46,16;46,00;46,00;302.794;13.939.859
2019-04-12;46,16;46,20;46,06;46,08;286.929;13.229.940
2019-04-11;46,14;46,30;46,08;46,08;205.132;9.467.254
2019-04-10;46,14;46,18;46,12;46,16;102.255;4.719.239
2019-04-09;46,10;46,40;46,08;46,10;258.097;11.906.089
2019-04-08;46,10;46,20;46,08;46,10;186.263;8.592.063
2019-04-05;46,08;46,20;46,08;46,08;185.015;8.529.272
2019-04-04;46,12;46,20;46,06;46,08;300.421;13.851.177
2019-04-03;46,14;46,20;46,08;46,14;326.156;15.041.346
2019-04-02;46,20;46,22;46,08;46,10;214.732;9.904.982
2019-04-01;46,48;46,48;46,04;46,16;351.840;16.231.529
2019-03-29;46,04;46,20;46,04;46,16;355.043;16.375.376
2019-03-28;46,04;46,12;46,00;46,08;364.168;16.777.131
2019-03-27;46,04;46,10;46,00;46,06;448.655;20.652.914
2019-03-26;46,04;46,10;45,98;46,08;303.379;13.970.935
2019-03-25;46,04;46,10;46,00;46,06;270.703;12.463.392
2019-03-22;46,02;46,16;46,00;46,02;522.465;24.056.922
2019-03-21;46,00;46,08;46,00;46,00;195.118;8.977.263
2019-03-20;46,00;46,10;45,98;46,00;242.266;11.150.760
2019-03-19;46,00;46,08;46,00;46,00;242.759;11.170.172
2019-03-18;45,98;46,10;45,98;46,02;361.141;16.615.331
2019-03-15;46,08;46,18;46,00;46,02;356.450;16.409.827
2019-03-14;46,00;46,16;46,00;46,06;381.507;17.566.130
2019-03-13;46,00;46,10;45,98;46,00;249.365;11.476.394
2019-03-12;46,00;46,06;45,94;46,00;537.996;24.749.238
2019-03-11;46,02;46,08;45,98;46,00;278.219;12.801.697
2019-03-08;46,02;46,08;45,98;46,00;622.824;28.655.068
2019-03-07;46,02;46,12;46,00;46,06;327.792;15.095.989
2019-03-06;46,02;46,30;45,96;46,02;504.302;23.221.762
2019-03-05;46,06;46,14;46,00;46,06;482.425;22.217.328
2019-03-04;46,18;46,32;46,04;46,04;608.059;28.034.540
2019-03-01;46,20;46,40;46,16;46,18;568.003;26.268.434
2019-02-28;46,12;46,40;46,12;46,30;236.883;10.964.544
2019-02-27;46,06;46,30;46,02;46,30;379.318;17.501.810
2019-02-26;46,10;46,16;46,02;46,10;229.814;10.594.792
2019-02-25;46,06;46,14;46,00;46,10;223.839;10.312.527
2019-02-22;46,06;46,12;45,98;46,04;719.634;33.113.936
2019-02-21;46,04;46,18;46,00;46,00;458.781;21.112.510
2019-02-20;46,14;46,28;45,92;46,06;591.769;27.263.906
2019-02-19;46,08;46,30;46,04;46,10;507.793;23.415.350
2019-02-18;46,06;46,44;46,00;46,16;647.769;29.899.554
2019-02-15;46,10;46,86;45,96;46,00;3.830.714;177.132.016
2019-02-14;41,26;41,54;41,00;41,48;187.664;7.766.888
2019-02-13;41,12;41,50;40,86;41,28;205.858;8.495.696
2019-02-12;41,40;41,74;40,14;40,90;429.311;17.585.824
2019-02-11;40,34;41,10;40,34;40,70;225.474;9.192.796
2019-02-08;40,50;40,78;40,26;40,68;217.496;8.826.548
2019-02-07;41,40;41,40;40,20;40,60;251.233;10.220.417
2019-02-06;41,50;41,76;41,16;41,54;219.088;9.092.452
2019-02-05;41,44;41,94;40,94;41,56;265.642;11.040.616
2019-02-04;41,58;41,68;41,02;41,44;136.502;5.646.466
2019-02-01;40,84;41,80;40,84;41,52;199.446;8.277.187
2019-01-31;40,46;40,98;40,32;40,98;335.998;13.704.373
2019-01-30;40,78;41,18;40,00;40,60;347.881;14.132.744
