Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-04-23;13,00;13,00;13,00;13,00;77;1.001
2019-04-10;12,90;12,90;12,90;12,90;100;1.290
2019-04-08;13,90;13,90;13,00;13,00;723;9.721
2019-04-05;14,00;14,00;14,00;14,00;135;1.890
2019-04-02;14,90;14,90;14,90;14,90;56;834
2019-04-01;14,60;14,60;13,40;14,60;270;3.738
2019-03-29;15,40;15,40;15,40;15,40;110;1.694
2019-03-28;14,80;15,10;14,80;15,10;100;1.495
2019-03-27;14,666;14,666;14,666;14,666;60;880
2019-03-26;10,50;10,50;10,50;10,50;0;0
2019-03-21;10,50;10,50;10,50;10,50;0;0
2019-03-20;10,50;10,50;10,50;10,50;0;0
2019-03-19;10,50;10,50;10,50;10,50;50;525
2019-02-28;15,00;15,00;15,00;15,00;200;3.000
2019-02-27;15,00;15,00;15,00;15,00;0;0
2019-02-25;15,00;15,00;15,00;15,00;40;600
2019-02-21;13,00;13,00;13,00;13,00;5;65
2019-02-18;13,00;13,00;13,00;13,00;6;78
2019-02-15;15,00;15,00;15,00;15,00;10;150
2019-02-13;16,948;16,948;16,50;16,50;473;7.807
2019-02-12;16,95;17,00;16,95;17,00;865;14.690
2019-02-11;14,00;14,00;12,00;12,00;25;340
2019-02-06;15,00;15,00;15,00;15,00;5;75
2019-01-31;15,00;15,00;15,00;15,00;5;75
2019-01-25;15,00;15,00;15,00;15,00;0;0
2019-01-24;15,00;15,00;15,00;15,00;5;75
2019-01-23;12,00;12,00;12,00;12,00;5;60
2019-01-22;16,998;16,998;16,998;16,998;5;85
2019-01-21;16,998;16,998;16,998;16,998;50;850
2019-01-18;17,264;17,264;15,50;15,50;287;4.760
2019-01-16;26,00;26,00;26,00;26,00;51;1.326
2019-01-15;28,00;28,00;26,00;26,00;176;4.810
2019-01-14;28,00;31,50;28,00;31,50;57;1.600
2019-01-11;19,30;22,00;19,30;22,00;169;3.448
2019-01-10;10,70;10,70;10,70;10,70;0;0
2019-01-09;11,25;11,25;11,25;11,25;30;338
2019-01-08;13,00;13,00;13,00;13,00;0;0
2019-01-07;13,00;13,00;13,00;13,00;0;0
2019-01-03;13,50;13,50;13,50;13,50;0;0
2018-12-28;13,336;13,336;13,336;13,336;0;0
2018-12-20;14,50;14,50;14,50;14,50;5;73
2018-11-29;20,00;20,00;20,00;20,00;5;100
2018-11-28;20,775;20,775;20,775;20,775;0;0
2018-11-26;20,48;20,48;20,48;20,48;0;0
2018-11-22;20,775;20,775;20,775;20,775;10;208
2018-11-20;18,998;18,998;18,998;18,998;20;380
2018-11-19;18,002;18,002;18,00;18,00;26;468
2018-11-16;22,105;22,105;22,105;22,105;5;111
2018-11-08;19,00;19,00;19,00;19,00;224;4.256
2018-11-06;22,325;22,325;22,325;22,325;97;2.166
2018-11-02;12,374;30,00;12,374;30,00;90;2.700





