Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;23,20;23,65;23,20;23,55;793;18.518
2019-05-02;23,15;23,15;22,85;23,15;499;11.499
2019-04-30;23,55;23,95;22,95;23,20;1.907;44.744
2019-04-29;23,10;23,85;23,10;23,55;1.833;43.104
2019-04-26;23,95;23,95;22,95;23,00;3.625;85.204
2019-04-25;23,80;24,00;23,80;24,00;1.133;26.989
2019-04-24;24,65;24,65;23,80;23,80;2.311;56.004
2019-04-23;25,40;25,40;24,65;25,15;291;7.234
2019-04-18;24,50;25,45;24,50;25,45;517;12.962
2019-04-17;24,00;24,70;24,00;24,45;1.948;47.945
2019-04-16;23,30;24,65;23,30;23,80;1.120;27.122
2019-04-15;24,60;24,60;23,30;23,30;1.409;33.764
2019-04-12;23,00;25,00;23,00;24,65;4.441;106.518
2019-04-11;24,00;24,00;22,95;22,95;964;22.773
2019-04-10;23,90;24,10;23,90;24,10;3;72
2019-04-09;25,00;25,00;24,30;24,30;737;18.022
2019-04-08;24,75;26,50;24,75;25,10;3.020;76.682
2019-04-05;22,95;24,50;22,95;23,80;2.682;63.831
2019-04-04;24,25;24,30;22,40;22,40;3.667;85.876
2019-04-03;25,55;25,55;24,15;24,25;1.984;49.245
2019-04-02;25,50;25,70;24,15;24,15;2.008;50.517
2019-04-01;25,65;26,65;25,05;25,60;2.448;63.446
2019-03-29;25,25;25,45;25,05;25,30;657;16.612
2019-03-28;25,45;25,45;25,05;25,35;639;16.243
2019-03-27;26,50;26,50;25,00;25,20;2.712;68.875
2019-03-26;26,65;26,65;26,30;26,30;957;25.430
2019-03-25;27,00;28,00;26,65;26,65;1.260;34.090
2019-03-22;27,70;27,70;26,40;27,00;163;4.451
2019-03-21;27,95;28,40;27,70;27,90;1.220;34.157
2019-03-20;27,85;28,55;27,85;28,15;1.703;47.884
2019-03-19;27,00;28,80;27,00;27,85;2.938;82.589
2019-03-18;28,60;28,60;26,45;26,60;1.373;36.645
2019-03-15;26,60;29,00;26,60;29,00;512;13.964
2019-03-14;27,00;27,10;26,50;26,80;325;8.659
2019-03-13;26,60;26,70;26,50;26,50;575;15.308
2019-03-12;26,65;26,90;26,60;26,90;814;21.669
2019-03-11;27,20;27,20;26,45;26,55;63;1.693
2019-03-08;26,30;27,05;26,30;27,05;714;19.250
2019-03-07;26,75;27,35;26,70;26,80;342;9.172
2019-03-06;26,70;26,70;26,35;26,45;58;1.540
2019-03-05;26,45;26,65;26,25;26,65;872;23.043
2019-03-04;27,55;27,55;26,10;26,10;1.070;28.726
2019-03-01;27,05;27,80;27,05;27,40;479;13.227
2019-02-28;27,30;27,35;26,90;27,35;142;3.841
2019-02-27;27,70;27,90;27,70;27,75;123;3.427
2019-02-26;26,75;27,30;26,75;27,20;194;5.239
2019-02-25;27,25;27,90;26,10;26,65;1.034;28.202
2019-02-22;26,20;27,40;26,20;27,10;216;5.821
2019-02-21;26,55;26,55;26,00;26,20;664;17.382
2019-02-20;27,80;27,80;26,50;26,50;732;19.849
2019-02-19;26,60;27,70;26,60;27,30;353;9.605
2019-02-18;27,60;27,60;25,80;26,30;4.213;111.306
2019-02-15;28,10;28,45;27,75;27,75;2.205;61.955
2019-02-14;25,90;30,30;25,90;27,65;16.781;488.265
2019-02-13;25,40;25,90;25,30;25,85;771;19.805
2019-02-12;25,90;25,90;25,40;25,40;647;16.619
2019-02-11;23,50;26,20;23,50;25,95;4.331;108.679
2019-02-08;24,20;24,20;23,10;23,30;1.262;29.910
2019-02-07;24,90;24,95;24,00;24,25;2.693;65.669
2019-02-06;25,70;25,75;24,60;25,00;3.890;97.585
2019-02-05;27,20;27,20;24,00;25,80;7.010;176.080
2019-02-04;27,45;28,50;27,45;27,80;844;23.593
2019-02-01;28,50;28,90;28,00;28,25;1.648;46.896
2019-01-31;28,85;29,00;27,00;28,40;6.185;171.286
2019-01-30;31,25;31,25;28,30;29,70;4.809;144.109
2019-01-29;31,60;31,60;31,00;31,25;3.723;115.990
2019-01-28;33,10;33,20;31,75;31,75;5.065;163.976
2019-01-25;29,00;33,25;29,00;33,05;9.185;287.211
2019-01-24;28,50;28,90;28,50;28,70;191;5.503
2019-01-23;28,70;29,05;27,35;27,90;2.256;64.179
2019-01-22;28,50;29,00;28,50;28,90;685;19.677
2019-01-21;27,30;28,25;27,30;28,25;461;12.882
2019-01-18;27,25;27,40;26,95;26,95;1.170;31.911
2019-01-17;26,50;28,45;26,50;27,35;1.694;45.990
2019-01-16;26,60;30,90;25,40;25,40;5.496;155.169
2019-01-15;24,75;26,45;24,55;25,25;3.758;97.233
2019-01-14;24,80;24,80;24,75;24,75;9;223
2019-01-11;24,70;24,90;24,50;24,65;131;3.227
2019-01-10;25,20;25,50;24,15;24,60;792;19.784
2019-01-09;25,50;26,20;25,30;25,45;2.487;64.041
2019-01-08;26,00;26,00;25,65;25,70;1.113;28.668
2019-01-07;25,40;25,90;24,55;25,90;1.876;47.833
2019-01-04;22,70;24,95;22,70;24,95;2.196;53.194
2019-01-03;22,45;22,45;22,45;22,45;0;0
2019-01-02;22,05;23,05;22,05;23,05;531;12.061
2018-12-28;21,60;22,60;21,50;22,10;349;7.572
2018-12-27;22,65;24,00;22,55;22,55;719;16.924
2018-12-21;22,80;24,45;22,60;22,60;1.020;23.461
2018-12-20;24,50;24,50;22,85;22,85;1.140;27.486
2018-12-19;25,55;25,55;24,50;24,50;1.027;25.898
2018-12-18;26,05;26,70;25,10;26,05;3.474;91.075
2018-12-17;24,50;27,10;24,50;27,10;3.042;76.951
2018-12-14;25,60;26,40;24,05;24,95;2.700;68.880
