Datum;Erster;Hoch;Tief;Schlusskurs;Vol. (nom.);Volumen
2019-05-03;100,00;100,00;100,00;100,00;0;0
2019-05-02;100,00;100,00;100,00;100,00;0;0
2019-04-30;101,00;101,00;101,00;101,00;0;0
2019-04-29;102,50;102,50;102,50;102,50;0;0
2019-04-26;104,00;104,00;104,00;104,00;0;0
2019-04-25;104,00;104,00;104,00;104,00;0;0
2019-04-24;104,00;104,00;104,00;104,00;0;0
2019-04-23;104,00;104,00;104,00;104,00;0;0
2019-04-18;104,00;104,00;104,00;104,00;0;0
2019-04-17;104,00;104,00;104,00;104,00;0;0
2019-04-16;104,00;104,00;104,00;104,00;0;0
2019-04-15;104,00;104,00;104,00;104,00;0;0
2019-04-12;104,00;104,00;104,00;104,00;0;0
2019-04-11;104,00;104,00;104,00;104,00;0;0
2019-04-10;104,00;104,00;104,00;104,00;0;0
2019-04-09;104,00;104,00;104,00;104,00;0;0
2019-04-08;104,00;104,00;104,00;104,00;0;0
2019-04-05;104,00;104,00;104,00;104,00;0;0
2019-04-04;104,00;104,00;104,00;104,00;0;0
2019-04-03;104,00;104,00;104,00;104,00;0;0
2019-04-02;104,00;104,00;104,00;104,00;0;0
2019-04-01;104,00;104,00;104,00;104,00;0;0
2019-03-29;104,00;104,00;104,00;104,00;0;0
2019-03-28;104,00;104,00;104,00;104,00;0;0
2019-03-27;104,00;104,00;104,00;104,00;0;0
2019-03-26;104,00;104,00;104,00;104,00;0;0
2019-03-25;104,00;104,00;104,00;104,00;0;0
2019-03-22;104,00;104,00;104,00;104,00;0;0
2019-03-21;104,00;104,00;104,00;104,00;0;0
2019-03-20;104,00;104,00;104,00;104,00;0;0
2019-03-19;104,00;104,00;104,00;104,00;0;0
2019-03-18;104,00;104,00;104,00;104,00;0;0
2019-03-15;104,00;104,00;104,00;104,00;0;0
2019-03-14;104,00;104,00;104,00;104,00;0;0
2019-03-13;104,00;104,00;104,00;104,00;0;0
2019-03-12;104,00;104,00;104,00;104,00;0;0
2019-03-11;104,00;104,00;104,00;104,00;0;0
2019-03-08;104,00;104,00;104,00;104,00;0;0
2019-03-07;104,00;104,00;104,00;104,00;0;0
2019-03-06;104,00;104,00;104,00;104,00;0;0
2019-03-05;104,00;104,00;104,00;104,00;0;0
2019-03-04;104,00;104,00;104,00;104,00;0;0
2019-03-01;104,00;104,00;104,00;104,00;0;0
2019-02-28;104,00;104,00;104,00;104,00;0;0
2019-02-27;104,00;104,00;104,00;104,00;0;0
2019-02-26;104,00;104,00;104,00;104,00;0;0
2019-02-25;104,00;104,00;104,00;104,00;0;0
2019-02-22;104,00;104,00;104,00;104,00;0;0
2019-02-21;104,00;104,00;104,00;104,00;0;0
2019-02-20;104,00;104,00;104,00;104,00;0;0
2019-02-19;104,00;104,00;104,00;104,00;0;0
2019-02-18;104,00;104,00;104,00;104,00;0;0
2019-02-15;104,00;104,00;104,00;104,00;0;0
2019-02-14;104,00;104,00;104,00;104,00;0;0
2019-02-13;104,00;104,00;104,00;104,00;0;0
2019-02-12;104,00;104,00;104,00;104,00;0;0
2019-02-11;104,00;104,00;104,00;104,00;0;0
2019-02-08;104,00;104,00;104,00;104,00;0;0
2019-02-07;104,00;104,00;104,00;104,00;0;0
2019-02-06;104,00;104,00;104,00;104,00;0;0
2019-02-05;104,00;104,00;104,00;104,00;0;0
2019-02-04;104,00;104,00;104,00;104,00;0;0
2019-02-01;104,00;104,00;104,00;104,00;0;0
2019-01-31;104,00;104,00;104,00;104,00;0;0
2019-01-30;104,00;104,00;104,00;104,00;0;0
2019-01-29;104,00;104,00;104,00;104,00;0;0
2019-01-28;104,00;104,00;104,00;104,00;0;0
