Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;48,32;48,60;47,86;48,28;108.617;5.233.847
2019-05-02;48,26;49,10;48,02;48,46;142.650;6.934.792
2019-04-30;49,02;49,54;48,22;48,46;123.049;6.005.208
2019-04-29;48,68;49,58;48,68;49,18;115.876;5.686.696
2019-04-26;48,40;49,08;48,12;48,72;141.205;6.872.196
2019-04-25;48,60;49,64;48,48;48,50;245.639;12.001.110
2019-04-24;48,52;49,38;48,42;48,94;264.493;12.967.165
2019-04-23;49,16;49,92;48,66;48,90;254.784;12.525.570
2019-04-18;48,04;49,24;47,48;49,24;234.128;11.428.966
2019-04-17;47,48;48,54;47,22;48,16;215.260;10.345.577
2019-04-16;46,72;47,42;46,58;47,36;158.677;7.473.614
2019-04-15;45,90;46,70;45,70;46,70;171.760;7.972.847
2019-04-12;44,50;45,80;44,08;45,68;194.570;8.850.351
2019-04-11;46,00;46,00;42,56;44,60;322.579;14.315.007
2019-04-10;44,92;44,92;44,30;44,72;385.958;17.238.990
2019-04-09;45,02;45,68;44,38;44,56;192.094;8.632.271
2019-04-08;45,22;45,30;44,68;45,10;148.513;6.685.062
2019-04-05;44,26;45,42;44,26;45,38;209.112;9.420.864
2019-04-04;44,20;44,60;43,84;44,42;268.408;11.910.393
2019-04-03;43,56;44,88;43,54;44,18;289.605;12.844.319
2019-04-02;41,98;42,98;41,72;42,82;195.159;8.305.316
2019-04-01;39,92;42,06;39,90;42,06;330.776;13.704.291
2019-03-29;39,26;39,62;38,70;39,20;187.530;7.333.244
2019-03-28;39,56;40,46;38,72;38,90;216.824;8.551.840
2019-03-27;39,92;40,26;39,54;39,86;151.551;6.052.455
2019-03-26;39,28;39,70;39,00;39,60;122.703;4.846.693
2019-03-25;39,52;39,72;39,08;39,34;82.180;3.237.831
2019-03-22;40,74;40,90;39,58;39,82;182.154;7.271.310
2019-03-21;40,30;40,66;39,94;40,46;89.336;3.607.201
2019-03-20;41,96;41,96;40,36;40,60;140.483;5.729.953
2019-03-19;40,74;41,98;40,52;41,90;223.168;9.290.159
2019-03-18;41,74;41,82;40,68;40,86;157.489;6.450.857
2019-03-15;41,00;42,12;40,76;41,92;255.716;10.693.354
2019-03-14;40,86;41,40;40,60;40,90;217.983;8.947.737
2019-03-13;40,00;40,86;40,00;40,70;193.591;7.868.820
2019-03-12;40,26;40,60;40,02;40,22;215.248;8.673.560
2019-03-11;39,42;39,82;39,26;39,78;89.645;3.553.013
2019-03-08;39,00;39,54;38,68;39,42;139.624;5.471.839
2019-03-07;39,76;39,92;39,24;39,62;231.209;9.160.551
2019-03-06;40,04;40,10;39,64;40,00;97.495;3.890.262
2019-03-05;40,80;40,80;40,02;40,34;149.894;6.042.649
2019-03-04;40,98;41,00;40,60;40,72;88.880;3.621.051
2019-03-01;40,18;41,30;40,12;41,04;144.016;5.905.730
2019-02-28;39,92;40,00;39,60;39,80;89.263;3.555.691
2019-02-27;40,42;40,58;39,86;40,12;100.035;4.008.116
2019-02-26;40,58;40,58;40,00;40,30;97.738;3.939.451
2019-02-25;39,40;40,82;39,40;40,70;191.450;7.748.343
2019-02-22;39,22;39,32;38,72;39,02;93.849;3.658.298
2019-02-21;39,46;39,54;38,20;38,98;194.708;7.591.266
2019-02-20;38,56;39,62;38,56;39,26;210.349;8.244.282
2019-02-19;38,68;38,82;38,08;38,26;130.746;5.005.742
2019-02-18;38,10;38,90;37,82;38,56;127.807;4.913.331
2019-02-15;37,22;38,28;36,54;37,94;208.029;7.845.429
2019-02-14;38,60;38,66;37,24;37,34;203.399;7.677.752
2019-02-13;37,44;38,58;37,40;38,50;177.079;6.795.161
2019-02-12;36,30;37,76;36,28;37,32;173.146;6.447.399
2019-02-11;36,40;36,48;35,78;35,96;182.142;6.574.877
2019-02-08;37,50;37,76;36,08;36,28;279.676;10.301.192
2019-02-07;39,52;39,70;37,76;37,76;194.860;7.455.023
2019-02-06;39,20;40,04;39,20;40,02;137.643;5.488.005
2019-02-05;39,40;39,68;39,24;39,52;134.961;5.326.698
2019-02-04;40,50;40,56;39,02;39,16;135.333;5.322.310
2019-02-01;40,00;40,50;39,56;40,38;177.855;7.123.133
2019-01-31;39,88;40,54;39,42;39,66;192.758;7.676.411
2019-01-30;39,70;40,24;39,50;39,68;122.985;4.892.004
2019-01-29;40,56;40,56;39,42;40,02;125.085;5.003.151
2019-01-28;40,94;41,32;40,02;40,34;116.967;4.736.104
2019-01-25;40,88;41,56;40,86;41,36;132.788;5.492.079
2019-01-24;39,76;40,72;39,76;40,54;129.000;5.215.937
2019-01-23;40,24;40,50;39,70;40,10;193.747;7.773.498
2019-01-22;40,66;40,92;40,32;40,34;116.492;4.712.041
2019-01-21;40,94;40,94;40,40;40,90;114.580;4.672.729
2019-01-18;40,00;41,26;39,76;41,06;275.866;11.250.861
