Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;5,40;5,52;5,40;5,52;2.655;14.606
2019-05-02;5,78;5,84;5,38;5,48;32.844;183.294
2019-04-30;5,90;5,90;5,68;5,76;15.160;88.678
2019-04-29;6,04;6,04;5,66;5,92;53.366;316.117
2019-04-26;6,38;6,38;6,02;6,08;23.202;142.616
2019-04-25;6,62;6,68;6,26;6,42;61.614;396.541
2019-04-24;6,48;6,76;6,48;6,64;92.937;614.118
2019-04-23;5,94;6,50;5,94;6,40;93.481;583.162
2019-04-18;5,86;6,18;5,60;5,92;41.988;242.805
2019-04-17;5,70;5,80;5,54;5,80;27.428;156.085
2019-04-16;5,36;5,70;5,36;5,56;21.787;120.110
2019-04-15;5,16;5,56;5,16;5,38;25.514;135.501
2019-04-12;5,04;5,26;4,99;5,12;16.368;83.500
2019-04-11;5,32;5,32;4,99;5,10;50.323;257.974
2019-04-10;5,34;5,40;5,14;5,20;13.636;71.694
2019-04-09;5,36;5,46;5,20;5,32;12.182;64.208
2019-04-08;5,38;5,64;5,30;5,30;56.749;308.703
2019-04-05;5,22;5,50;5,22;5,30;7.771;41.545
2019-04-04;5,38;5,42;5,20;5,22;8.988;47.519
2019-04-03;5,46;5,50;5,30;5,30;38.678;209.575
2019-04-02;5,28;5,68;5,28;5,32;34.375;186.956
2019-04-01;5,30;5,34;5,10;5,24;6.588;34.679
2019-03-29;5,393;5,48;5,302;5,385;24.039;130.418
2019-03-28;5,25;5,349;5,25;5,349;5.993;31.502
2019-03-27;5,55;5,595;5,286;5,341;13.483;74.181
2019-03-26;5,501;5,60;5,423;5,50;59.466;329.219
2019-03-25;5,70;5,797;5,484;5,532;13.292;74.682
2019-03-22;5,999;6,006;5,802;5,802;37.330;223.088
2019-03-21;6,188;6,213;5,872;5,899;24.770;150.454
2019-03-20;6,52;6,52;6,293;6,293;6.175;39.073
2019-03-19;6,501;6,501;6,396;6,436;4.638;29.836
2019-03-18;6,70;6,70;6,50;6,535;5.055;33.220
2019-03-15;6,50;6,594;6,495;6,495;295;1.919
2019-03-14;6,703;6,703;6,495;6,495;10.058;65.507
2019-03-13;6,65;6,765;6,50;6,584;18.396;122.028
2019-03-12;6,572;6,979;6,531;6,979;16.142;109.786
2019-03-11;6,10;6,869;6,10;6,58;29.948;198.315
