Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;2,16;2,16;2,06;2,13;5.661;11.982
2019-08-13;2,26;2,37;2,20;2,20;24.449;55.039
2019-08-12;2,24;2,24;2,14;2,14;2.688;5.879
2019-08-09;2,24;2,24;2,16;2,16;9.924;22.055
2019-08-08;2,16;2,24;2,16;2,24;7.831;17.355
2019-08-07;2,25;2,25;2,11;2,21;5.151;11.117
2019-08-06;2,20;2,25;2,14;2,25;2.705;6.005
2019-08-05;2,24;2,29;2,17;2,28;9.403;21.171
2019-08-02;2,26;2,26;2,07;2,22;10.250;22.325
2019-08-01;2,20;2,31;2,17;2,26;9.098;20.081
2019-07-31;2,09;2,34;2,09;2,34;8.613;18.985
2019-07-30;2,03;2,18;2,03;2,04;32.226;67.519
2019-07-29;2,11;2,19;2,11;2,17;2.730;5.838
2019-07-26;2,12;2,18;2,08;2,18;4.776;10.193
2019-07-25;2,22;2,22;2,03;2,16;18.645;38.926
2019-07-24;2,17;2,19;2,03;2,03;29.055;61.128
2019-07-23;2,21;2,24;2,16;2,24;2.806;6.195
2019-07-22;2,27;2,27;2,16;2,27;15.241;33.628
2019-07-19;2,31;2,31;2,09;2,16;20.434;44.934
2019-07-18;2,31;2,31;2,31;2,31;600;1.386
2019-07-17;2,31;2,35;2,31;2,32;1.650;3.827
2019-07-16;2,33;2,36;2,32;2,36;5.751;13.428
2019-07-15;2,43;2,43;2,31;2,43;10.596;25.107
2019-07-12;2,38;2,38;2,30;2,30;4.943;11.664
2019-07-11;2,43;2,47;2,27;2,41;20.756;49.918
2019-07-10;2,34;2,37;2,33;2,33;905;2.133
2019-07-09;2,30;2,39;2,28;2,28;512;1.194
2019-07-08;2,43;2,43;2,30;2,36;33.297;78.954
2019-07-05;2,44;2,44;2,39;2,41;3.387;8.158
2019-07-04;2,36;2,44;2,36;2,44;2.775;6.675
2019-07-03;2,42;2,47;2,35;2,35;5.980;14.380
2019-07-02;2,45;2,52;2,33;2,46;49.500;117.299
2019-07-01;2,55;2,61;2,44;2,61;7.978;19.841
2019-06-28;2,69;2,69;2,44;2,50;23.031;58.055
2019-06-27;2,61;2,63;2,59;2,61;11.600;30.363
2019-06-26;2,59;2,66;2,56;2,66;4.320;11.211
2019-06-25;2,67;2,68;2,55;2,55;2.430;6.284
2019-06-24;2,43;2,69;2,43;2,59;26.252;68.399
2019-06-21;2,58;2,59;2,42;2,59;15.912;39.684
2019-06-20;2,65;2,66;2,61;2,66;6.038;15.941
2019-06-19;2,66;2,66;2,51;2,51;9.686;25.126
2019-06-18;2,70;2,71;2,58;2,71;5.280;14.037
2019-06-17;2,66;2,70;2,48;2,70;9.940;26.049
2019-06-14;2,81;2,81;2,55;2,70;12.839;34.207
2019-06-13;2,73;2,79;2,67;2,71;8.776;24.023
2019-06-12;2,78;2,78;2,66;2,68;4.764;12.902
2019-06-11;2,76;2,83;2,63;2,75;42.790;115.966
2019-06-10;2,82;2,82;2,82;2,82;250;705
2019-06-07;2,80;2,84;2,76;2,82;4.067;11.360
2019-06-06;2,82;2,84;2,71;2,80;2.441;6.819
2019-06-05;2,77;2,94;2,70;2,94;12.859;36.597
2019-06-04;2,84;2,92;2,82;2,91;10.576;30.284
2019-06-03;2,84;2,89;2,63;2,80;23.302;64.500
2019-05-31;2,93;2,94;2,88;2,94;2.983;8.694
2019-05-30;2,85;2,95;2,83;2,88;10.703;30.681
2019-05-29;2,99;3,02;2,85;2,85;2.601;7.736
2019-05-28;2,83;2,99;2,83;2,92;825;2.425
2019-05-27;2,83;2,98;2,83;2,93;6.251;18.193
2019-05-24;2,85;2,97;2,84;2,84;13.929;40.379
2019-05-23;2,90;2,93;2,86;2,90;9.729;28.097
2019-05-22;3,04;3,04;2,92;2,92;18.625;55.184
2019-05-21;3,06;3,08;2,96;3,08;4.610;13.852
2019-05-20;2,96;3,01;2,95;3,01;5.050;15.015
2019-05-17;2,95;3,02;2,95;2,95;1.519;4.526
2019-05-16;3,05;3,09;3,00;3,01;2.759;8.352
2019-05-15;3,08;3,12;2,97;3,03;28.957;88.451
2019-05-14;3,00;3,07;2,96;2,96;12.162;36.885
2019-05-13;3,05;3,09;2,85;3,07;9.885;29.937
2019-05-10;3,10;3,10;2,92;2,92;6.843;20.544
2019-05-09;3,19;3,37;3,00;3,12;6.219;19.400
2019-05-08;3,22;3,32;3,22;3,32;1.300;4.286
2019-05-07;3,34;3,34;3,12;3,15;10.871;34.693
2019-05-06;3,30;3,34;3,21;3,31;10.741;35.297
2019-05-03;3,40;3,42;3,22;3,38;16.602;55.683
2019-05-02;3,39;3,41;3,39;3,39;920;3.125
2019-04-30;3,50;3,52;3,40;3,50;5.680;19.602
2019-04-29;3,40;3,50;3,40;3,49;1.800;6.191
2019-04-26;3,47;3,54;3,44;3,54;5.356;18.553
2019-04-25;3,41;3,56;3,41;3,56;614;2.148
2019-04-24;3,42;3,54;3,42;3,44;870;2.997
2019-04-23;3,37;3,59;3,37;3,54;7.916;27.877
2019-04-18;3,50;3,56;3,44;3,44;6.110;21.445
2019-04-17;3,55;3,59;3,43;3,50;17.831;61.941
2019-04-16;3,42;3,59;3,40;3,48;7.072;24.609
2019-04-15;3,39;3,60;3,34;3,59;20.857;72.364
2019-04-12;3,25;3,53;3,25;3,53;10.247;34.537
2019-04-11;3,19;3,40;3,15;3,40;3.132;10.043
2019-04-10;3,24;3,29;3,07;3,11;24.184;77.208
2019-04-09;3,28;3,40;3,27;3,27;11.277;37.504
2019-04-08;3,17;3,47;3,17;3,36;6.277;20.961
2019-04-05;3,17;3,40;3,17;3,33;7.709;25.474
2019-04-04;3,40;3,40;3,22;3,22;4.055;13.395
2019-04-03;3,35;3,40;3,22;3,30;8.279;27.412
2019-04-02;3,67;3,67;3,26;3,46;29.998;103.899
2019-04-01;3,145;3,59;3,015;3,59;45.901;156.840
2019-03-29;3,185;3,195;2,99;3,08;15.077;45.934
2019-03-28;3,225;3,355;3,185;3,185;3.624;11.864
2019-03-27;3,285;3,32;3,145;3,15;4.823;15.391
2019-03-26;3,295;3,395;3,195;3,395;4.190;13.868
2019-03-25;3,295;3,395;3,20;3,395;9.635;31.696
2019-03-22;3,355;3,395;3,23;3,395;11.581;38.449
2019-03-21;3,395;3,395;3,305;3,315;4.494;15.095
2019-03-20;3,51;3,51;3,245;3,32;21.692;71.981
2019-03-19;3,55;3,595;3,35;3,355;20.930;72.088
2019-03-18;3,695;3,695;3,495;3,50;10.130;36.365
2019-03-15;3,40;3,69;3,40;3,655;34.707;123.187
2019-03-14;3,195;3,515;3,195;3,275;51.808;173.128
