Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;0,017;0,017;0,017;0,017;0;0
2019-05-02;0,015;0,015;0,015;0,015;0;0
2019-04-30;0,015;0,015;0,015;0,015;0;0
2019-04-29;0,026;0,026;0,015;0,015;20.000;300
2019-04-26;0,026;0,026;0,026;0,026;0;0
2019-04-25;0,026;0,026;0,026;0,026;0;0
2019-04-24;0,026;0,026;0,026;0,026;0;0
2019-04-23;0,026;0,026;0,026;0,026;0;0
2019-04-18;0,026;0,026;0,026;0,026;0;0
2019-04-17;0,026;0,026;0,026;0,026;0;0
2019-04-16;0,026;0,026;0,026;0,026;0;0
2019-04-15;0,026;0,026;0,026;0,026;0;0
2019-04-12;0,026;0,026;0,026;0,026;0;0
2019-04-11;0,026;0,026;0,026;0,026;0;0
2019-04-10;0,026;0,026;0,026;0,026;0;0
2019-04-09;0,022;0,022;0,022;0,022;0;0
2019-04-08;0,022;0,022;0,022;0,022;0;0
2019-04-05;0,022;0,022;0,022;0,022;0;0
2019-04-04;0,02;0,02;0,02;0,02;0;0
2019-04-03;0,02;0,02;0,02;0,02;0;0
2019-04-02;0,02;0,02;0,02;0,02;500;10
2019-04-01;0,02;0,02;0,02;0,02;0;0
2019-03-29;0,021;0,021;0,021;0,021;0;0
2019-03-28;0,021;0,021;0,021;0,021;0;0
2019-03-27;0,021;0,021;0,021;0,021;0;0
2019-03-26;0,021;0,021;0,021;0,021;0;0
2019-03-25;0,021;0,021;0,021;0,021;0;0
2019-03-21;0,021;0,021;0,021;0,021;0;0
2019-03-20;0,021;0,021;0,021;0,021;0;0
2019-03-19;0,021;0,021;0,021;0,021;0;0
2019-03-18;0,021;0,021;0,021;0,021;0;0
2019-03-15;0,021;0,021;0,021;0,021;0;0
2019-03-14;0,021;0,021;0,021;0,021;0;0
2019-03-13;0,021;0,021;0,021;0,021;0;0
2019-03-12;0,021;0,021;0,021;0,021;0;0
2019-03-11;0,021;0,021;0,021;0,021;0;0
2019-03-08;0,021;0,021;0,021;0,021;0;0
2019-03-07;0,021;0,021;0,021;0,021;0;0
2019-03-06;0,021;0,021;0,021;0,021;0;0
2019-03-05;0,021;0,021;0,021;0,021;0;0
2019-03-04;0,021;0,021;0,021;0,021;0;0
2019-03-01;0,021;0,021;0,021;0,021;0;0
2019-02-28;0,021;0,021;0,021;0,021;0;0
2019-02-27;0,021;0,021;0,021;0,021;0;0
2019-02-26;0,021;0,021;0,021;0,021;0;0
2019-02-25;0,021;0,021;0,021;0,021;0;0
2019-02-22;0,021;0,021;0,021;0,021;0;0
2019-02-21;0,021;0,021;0,021;0,021;0;0
2019-02-20;0,021;0,021;0,021;0,021;0;0
2019-02-19;0,021;0,021;0,021;0,021;0;0
2019-02-18;0,021;0,021;0,021;0,021;0;0
2019-02-15;0,021;0,021;0,021;0,021;0;0
2019-02-14;0,021;0,021;0,021;0,021;0;0
2019-02-13;0,021;0,021;0,021;0,021;0;0
2019-02-12;0,021;0,021;0,021;0,021;0;0
2019-02-11;0,021;0,021;0,021;0,021;0;0
2019-02-08;0,021;0,021;0,021;0,021;0;0
2019-02-07;0,021;0,021;0,021;0,021;0;0
2019-02-06;0,021;0,021;0,021;0,021;0;0
2019-02-05;0,021;0,021;0,021;0,021;0;0
