Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;0,86;0,86;0,86;0,86;2.500;2.150
2019-08-13;0,918;0,918;0,88;0,88;2.000;1.836
2019-08-12;0,92;0,92;0,86;0,86;1.932;1.693
2019-08-09;0,82;0,87;0,82;0,87;4.305;3.674
2019-08-08;0,942;0,942;0,834;0,846;11.100;9.759
2019-08-07;0,946;0,946;0,946;0,946;0;0
2019-08-06;0,934;0,934;0,934;0,934;0;0
2019-08-05;0,984;0,984;0,95;0,95;300;295
2019-08-02;0,872;0,918;0,872;0,918;150;131
2019-08-01;0,938;0,938;0,906;0,906;100;94
2019-07-31;0,90;0,904;0,90;0,904;50;45
2019-07-30;0,852;0,872;0,82;0,872;6.480;5.486
2019-07-29;0,92;0,92;0,876;0,876;2.410;2.205
2019-07-26;0,92;0,95;0,92;0,936;570;533
2019-07-25;0,94;0,944;0,94;0,944;500;470
2019-07-24;0,968;0,968;0,968;0,968;0;0
2019-07-23;0,956;0,962;0,92;0,962;5.309;5.020
2019-07-22;1,00;1,02;0,988;0,988;2.090;2.127
2019-07-19;1,03;1,03;1,03;1,03;0;0
2019-07-18;1,01;1,03;1,01;1,03;150;152
2019-07-17;1,10;1,14;1,01;1,015;101.725;112.459
2019-07-16;1,105;1,105;1,05;1,085;8.869;9.679
2019-07-15;0,968;1,10;0,968;1,095;11.915;12.395
2019-07-12;1,11;1,11;1,00;1,02;12.762;13.468
2019-07-11;0,992;1,17;0,992;1,17;43.298;46.414
2019-07-10;1,005;1,005;0,978;0,978;24;24
2019-07-09;0,978;0,978;0,978;0,978;0;0
2019-07-08;0,974;0,984;0,974;0,978;1.652;1.611
2019-07-05;1,00;1,00;0,974;0,974;1.300;1.300
2019-07-04;0,974;0,974;0,974;0,974;0;0
2019-07-03;0,958;1,00;0,958;0,98;420;419
2019-07-02;1,04;1,04;0,99;0,99;4.860;4.870
2019-07-01;1,05;1,06;1,01;1,04;3.196;3.363
2019-06-28;0,914;1,055;0,884;1,02;18.197;18.100
2019-06-27;0,85;0,88;0,822;0,88;5.001;4.208
2019-06-26;0,924;0,93;0,882;0,896;11.895;10.882
2019-06-25;0,958;0,958;0,958;0,958;0;0
2019-06-24;0,94;0,94;0,94;0,94;2.000;1.880
2019-06-21;0,864;0,93;0,864;0,906;9.603;8.384
2019-06-20;0,934;0,934;0,91;0,91;2.395;2.237
2019-06-19;0,87;0,902;0,87;0,902;6.270;5.464
2019-06-17;0,962;0,962;0,856;0,856;19.166;17.717
2019-06-14;0,998;1,005;0,97;0,996;23.268;23.079
2019-06-13;0,998;0,998;0,974;0,974;400;399
2019-06-12;0,94;0,964;0,94;0,964;25;24
2019-06-11;0,902;0,932;0,90;0,932;1.282;1.156
