Datum;Erster;Hoch;Tief;Schlusskurs;Vol. (nom.);Volumen
2019-05-03;113,99;115,04;113,99;115,04;0;0
2019-05-02;114,07;114,09;114,07;114,09;0;0
2019-04-30;114,02;114,17;114,02;114,17;0;0
2019-04-29;113,90;114,01;113,90;114,01;0;0
2019-04-26;113,86;113,90;113,86;113,90;0;0
2019-04-25;113,98;113,98;113,89;113,89;0;0
2019-04-24;114,04;114,04;113,98;113,98;0;0
2019-04-23;114,01;114,01;113,97;113,97;0;0
2019-04-18;114,05;114,07;114,05;114,07;0;0
2019-04-17;114,08;114,10;114,08;114,10;0;0
2019-04-16;114,01;114,06;114,01;114,06;0;0
2019-04-15;114,00;114,00;114,00;114,00;0;0
2019-04-12;113,63;114,75;113,63;114,75;0;0
2019-04-11;113,48;113,61;113,48;113,61;0;0
2019-04-10;113,25;113,54;113,25;113,54;0;0
2019-04-09;112,94;113,22;112,94;113,22;0;0
2019-04-08;112,90;113,00;112,90;113,00;0;0
2019-04-05;112,76;112,91;112,76;112,91;0;0
2019-04-04;112,57;112,83;112,57;112,83;0;0
2019-04-03;112,49;112,72;112,49;112,72;0;0
2019-04-02;112,43;112,43;112,42;112,42;0;0
2019-04-01;112,05;112,05;112,05;112,05;0;0
2019-03-29;111,89;111,94;111,89;111,94;0;0
2019-03-28;111,77;112,55;111,77;112,55;0;0
2019-03-27;111,85;111,85;111,79;111,79;0;0
2019-03-26;111,79;111,82;111,79;111,82;0;0
2019-03-25;111,88;111,88;111,82;111,82;0;0
2019-03-22;112,33;112,33;112,07;112,07;0;0
2019-03-21;112,59;112,59;112,33;112,33;0;0
2019-03-20;112,86;112,86;112,86;112,86;0;0
2019-03-19;112,67;112,69;112,67;112,69;0;0
2019-03-18;112,66;112,66;112,66;112,66;0;0
2019-03-15;112,14;112,29;112,14;112,29;0;0
2019-03-14;111,90;112,13;111,90;112,13;0;0
2019-03-13;111,83;112,07;111,83;112,07;0;0
2019-03-12;111,47;111,78;111,47;111,78;0;0
2019-03-11;110,61;111,46;110,61;111,46;0;0
2019-03-08;111,30;111,30;111,27;111,27;0;0
2019-03-07;111,26;111,26;111,22;111,22;0;0
2019-03-06;111,14;111,27;111,14;111,27;0;0
2019-03-05;111,72;111,72;111,42;111,42;0;0
2019-03-04;111,53;111,78;111,53;111,78;0;0
2019-03-01;111,62;111,74;111,62;111,74;0;0
2019-02-28;111,54;111,63;111,54;111,63;0;0
2019-02-27;111,29;111,47;111,29;111,47;0;0
2019-02-26;110,47;111,22;110,47;111,22;0;0
2019-02-25;110,47;111,16;110,47;111,16;0;0
2019-02-22;111,04;111,10;111,04;111,10;0;0
2019-02-21;110,97;111,05;110,97;111,05;0;0
2019-02-20;110,88;110,92;110,88;110,92;0;0
2019-02-19;110,56;110,75;110,56;110,75;0;0
2019-02-18;110,40;110,42;110,40;110,42;0;0
2019-02-15;110,30;110,30;110,08;110,08;0;0
2019-02-14;110,28;110,30;110,28;110,30;0;0
2019-02-13;110,14;110,28;110,14;110,28;0;0
2019-02-12;109,67;110,00;109,67;110,00;0;0
2019-02-11;109,73;109,73;109,64;109,64;0;0
2019-02-08;109,64;109,71;109,64;109,71;0;0
2019-02-07;109,82;109,82;109,82;109,82;0;0
2019-02-06;109,10;109,81;109,10;109,81;0;0
2019-02-05;109,10;109,12;109,10;109,12;0;0
2019-02-04;109,25;109,25;109,05;109,05;0;0
2019-02-01;109,30;109,30;109,05;109,05;0;0
2019-01-31;109,08;109,18;109,08;109,18;0;0
2019-01-30;108,93;108,93;108,80;108,80;0;0
2019-01-29;108,86;108,86;108,86;108,86;0;0
2019-01-28;108,81;109,00;108,81;109,00;0;0
2019-01-25;108,66;108,75;108,66;108,75;0;0
2019-01-24;108,60;108,75;108,60;108,75;0;0
2019-01-23;108,67;108,67;108,60;108,60;0;0
2019-01-22;108,77;108,77;108,67;108,67;0;0
2019-01-21;108,95;108,95;108,95;108,95;0;0
2019-01-18;108,52;108,94;108,52;108,94;0;0
2019-01-17;108,87;108,87;108,79;108,79;0;0
2019-01-16;108,47;108,59;108,47;108,59;0;0
2019-01-15;108,19;108,35;108,19;108,35;0;0
2019-01-14;108,53;108,53;108,15;108,15;0;0
2019-01-11;107,95;108,28;107,95;108,28;0;0
2019-01-10;107,81;107,92;107,81;107,92;0;0
2019-01-09;107,70;107,86;107,70;107,86;0;0
2019-01-08;107,74;107,75;107,74;107,75;0;0
2019-01-07;107,77;107,77;107,77;107,77;0;0
2019-01-04;107,75;107,76;107,75;107,76;0;0
2019-01-03;108,01;108,03;108,01;108,03;0;0
2019-01-02;106,82;106,82;106,82;106,82;0;0
2018-12-28;107,64;107,64;107,64;107,64;0;0
2018-12-27;107,64;107,64;107,64;107,64;0;0
2018-12-21;105,02;105,02;105,02;105,02;0;0
2018-12-20;107,82;107,82;106,82;106,82;0;0
2018-12-19;107,91;108,02;107,91;108,02;0;0
2018-12-18;108,02;108,02;107,91;107,91;0;0
2018-12-17;108,31;108,31;108,20;108,20;0;0
2018-12-14;108,29;108,29;107,90;107,90;0;0
2018-12-13;108,31;108,31;108,29;108,29;0;0
2018-12-12;108,54;108,54;108,25;108,25;0;0
2018-12-11;108,56;108,56;108,35;108,35;0;0
2018-12-10;108,46;108,46;108,35;108,35;0;0
2018-12-07;108,56;108,56;108,54;108,54;0;0
2018-12-06;108,71;108,71;108,64;108,64;0;0
2018-12-05;109,01;109,01;108,73;108,73;0;0
2018-12-04;109,13;109,13;109,00;109,00;0;0
2018-12-03;109,13;109,52;109,13;109,52;0;0
2018-11-30;109,22;109,22;109,05;109,05;0;0
2018-11-29;109,96;109,96;109,96;109,96;0;0
2018-11-28;110,50;110,50;110,50;110,50;0;0
2018-11-27;110,35;110,35;110,17;110,17;0;0
2018-11-26;110,39;110,40;110,39;110,40;0;0
2018-11-23;109,83;110,31;109,83;110,31;0;0
2018-11-22;110,10;110,34;110,10;110,34;0;0
2018-11-21;109,27;110,00;109,27;110,00;0;0
2018-11-20;109,87;109,87;109,17;109,17;0;0
2018-11-19;110,29;110,29;109,84;109,84;0;0
2018-11-16;110,91;110,91;110,33;110,33;0;0
2018-11-15;111,32;111,32;111,04;111,04;0;0
2018-11-14;111,77;111,77;111,51;111,51;0;0
2018-11-13;111,79;111,79;111,75;111,75;0;0
2018-11-12;112,02;112,02;111,96;111,96;0;0
2018-11-09;112,17;112,17;112,08;112,08;0;0
2018-11-08;112,36;112,53;112,30;112,30;100.000;112.530
2018-11-07;112,52;112,52;112,36;112,36;0;0
2018-11-06;112,38;112,40;112,38;112,40;0;0
2018-11-05;112,52;112,52;112,50;112,50;0;0
2018-11-02;112,40;112,59;112,40;112,59;0;0
2018-11-01;111,77;112,22;111,77;112,22;0;0
2018-10-31;111,50;111,77;111,50;111,77;0;0
2018-10-30;111,50;111,53;111,50;111,53;0;0
2018-10-26;111,40;111,40;111,40;111,40;0;0
2018-10-25;111,54;111,54;111,44;111,44;0;0
