Datum;Erster;Hoch;Tief;Schlusskurs;Vol. (nom.);Volumen
2019-07-19;99,15;99,15;99,10;99,10;0;0
2019-07-18;99,10;99,15;99,10;99,15;0;0
2019-07-17;99,10;99,10;99,10;99,10;0;0
2019-07-16;99,00;99,15;99,00;99,15;0;0
2019-07-15;99,26;99,50;99,26;99,50;0;0
2019-07-12;99,80;99,80;99,26;99,26;0;0
2019-07-11;99,80;100,90;99,80;99,80;25.000;25.225
2019-07-10;99,70;99,85;99,70;99,85;0;0
2019-07-09;99,35;99,77;99,35;99,77;0;0
2019-07-08;99,50;99,75;99,50;99,75;0;0
2019-07-05;100,00;100,00;99,55;99,55;0;0
2019-07-04;100,00;100,00;100,00;100,00;0;0
2019-07-03;99,90;100,00;99,90;100,00;0;0
2019-07-02;100,18;100,18;99,65;99,65;0;0
2019-07-01;100,05;100,07;100,05;100,07;0;0
2019-06-28;100,80;101,25;100,80;101,25;0;0
2019-06-27;100,80;101,20;100,80;101,20;0;0
2019-06-26;100,80;100,80;100,80;100,80;0;0
2019-06-25;100,80;100,80;100,80;100,80;0;0
2019-06-24;100,80;100,80;100,80;100,80;0;0
2019-06-21;100,80;100,80;100,80;100,80;0;0
2019-06-20;100,80;101,01;100,80;101,01;0;0
2019-06-19;100,80;100,80;100,80;100,80;0;0
2019-06-18;100,80;100,80;100,80;100,80;0;0
2019-06-17;101,00;101,00;100,80;100,80;0;0
2019-06-14;100,50;101,00;100,50;101,00;0;0
2019-06-13;100,27;100,35;100,27;100,35;0;0
2019-06-12;100,02;100,15;100,02;100,15;0;0
2019-06-11;100,00;100,02;100,00;100,02;0;0
2019-06-07;99,25;99,50;99,25;99,50;0;0
2019-06-06;99,20;100,00;99,20;100,00;0;0
2019-06-05;100,05;100,05;100,05;100,05;0;0
2019-06-04;100,00;100,05;100,00;100,05;0;0
2019-06-03;99,55;100,50;99,55;100,50;0;0
2019-05-31;98,70;99,30;98,70;99,30;0;0
2019-05-30;97,65;98,70;97,65;98,70;0;0
2019-05-29;100,30;100,30;97,60;97,60;0;0
2019-05-28;100,90;100,90;100,30;100,30;0;0
2019-05-27;99,75;100,25;99,75;100,25;0;0
2019-05-24;100,30;100,30;100,08;100,08;0;0
2019-05-23;101,25;101,25;100,30;100,30;0;0
2019-05-22;101,00;101,25;101,00;101,25;0;0
2019-05-21;101,00;101,75;101,00;101,75;0;0
2019-05-20;101,00;101,00;101,00;101,00;0;0
2019-05-17;101,50;101,50;101,00;101,00;0;0
2019-05-16;101,60;101,60;101,50;101,50;0;0
2019-05-15;101,50;101,60;101,50;101,60;0;0
2019-05-14;101,00;101,00;101,00;101,00;;
2019-05-13;101,00;101,00;101,00;101,00;0;0
2019-05-10;101,45;101,45;101,00;101,00;0;0
2019-05-09;101,45;101,45;101,45;101,45;0;0
2019-05-08;101,60;101,60;101,45;101,45;0;0
2019-05-07;102,80;102,80;101,60;101,60;0;0
2019-05-06;102,80;102,80;102,80;102,80;0;0
2019-05-03;102,60;102,80;102,60;102,80;0;0
2019-05-02;101,30;102,60;101,30;102,60;0;0
2019-04-30;102,80;102,80;102,50;102,50;0;0
2019-04-29;102,50;102,80;102,50;102,80;0;0
2019-04-26;102,50;103,00;102,50;103,00;0;0
2019-04-25;102,50;102,50;102,50;102,50;0;0
2019-04-24;102,40;102,50;102,40;102,50;0;0
2019-04-23;103,00;103,00;102,40;102,40;0;0
2019-04-18;102,10;102,10;102,10;102,10;0;0
2019-04-17;102,50;102,50;102,17;102,17;0;0
2019-04-16;102,50;102,50;102,50;102,50;0;0
2019-04-15;102,10;103,00;102,10;103,00;0;0
2019-04-12;101,85;102,50;101,85;102,50;0;0
2019-04-11;101,50;102,00;101,50;102,00;0;0
2019-04-10;102,00;102,00;102,00;102,00;0;0
2019-04-09;101,50;101,50;101,50;101,50;0;0
2019-04-08;101,55;101,55;101,55;101,55;0;0
2019-04-05;101,50;101,78;101,50;101,78;0;0
2019-04-04;101,50;101,97;101,50;101,97;0;0
2019-04-03;101,70;101,70;101,50;101,50;0;0
2019-04-02;101,75;101,75;101,50;101,50;0;0
2019-04-01;101,60;102,00;101,60;102,00;0;0
2019-03-29;101,50;101,50;101,50;101,50;0;0
2019-03-28;102,00;102,00;101,50;101,50;0;0
2019-03-27;102,00;102,00;102,00;102,00;0;0
2019-03-26;101,50;101,50;101,50;101,50;0;0
2019-03-25;101,60;102,00;101,60;102,00;0;0
2019-03-22;101,85;101,85;101,60;101,60;0;0
2019-03-21;101,50;101,80;101,50;101,80;0;0
2019-03-20;101,50;101,50;101,50;101,50;0;0
2019-03-19;101,50;101,75;101,50;101,75;0;0
2019-03-18;101,50;101,75;101,50;101,75;0;0
2019-03-15;101,50;101,50;101,50;101,50;0;0
2019-03-14;101,50;101,50;101,50;101,50;0;0
2019-03-13;101,55;101,67;101,55;101,67;0;0
2019-03-12;101,65;102,20;101,65;102,20;0;0
2019-03-11;101,50;102,00;101,50;102,00;0;0
2019-03-08;101,50;101,50;101,50;101,50;0;0
2019-03-07;102,30;102,30;101,50;101,50;0;0
2019-03-06;102,30;102,30;102,30;102,30;0;0
2019-03-05;102,30;102,30;102,30;102,30;0;0
2019-03-04;102,00;102,30;102,00;102,30;0;0
2019-03-01;102,00;102,00;102,00;102,00;0;0
2019-02-28;100,65;102,00;100,65;102,00;0;0
2019-02-27;100,23;100,23;100,23;100,23;0;0
2019-02-26;100,50;101,58;100,50;101,58;0;0
2019-02-25;100,50;100,50;100,50;100,50;0;0
2019-02-22;102,12;102,12;101,87;101,87;0;0
2019-02-21;101,85;101,85;100,70;100,70;0;0
2019-02-20;101,82;101,85;101,82;101,85;0;0
2019-02-19;102,25;102,25;101,57;101,57;0;0
2019-02-15;101,50;101,50;101,50;101,50;0;0
2019-02-14;101,50;101,50;101,50;101,50;0;0
2019-02-13;101,50;101,50;101,50;101,50;0;0
2019-02-12;101,60;101,60;100,25;100,25;0;0
2019-02-11;101,40;101,40;101,40;101,40;0;0
2019-02-08;101,40;101,40;101,40;101,40;0;0
2019-02-07;101,40;101,40;101,40;101,40;0;0
2019-02-06;101,40;101,40;101,40;101,40;0;0
2019-02-05;101,30;102,00;101,30;102,00;0;0
2019-02-04;101,50;101,50;100,82;100,82;0;0
2019-02-01;100,77;100,80;100,77;100,80;0;0
2019-01-31;100,80;100,80;100,80;100,80;0;0
2019-01-30;101,25;101,25;100,75;100,75;0;0
2019-01-29;100,90;100,90;100,90;100,90;0;0
2019-01-28;100,90;101,10;100,90;101,10;0;0
2019-01-25;100,90;100,90;100,90;100,90;0;0
2019-01-24;101,40;101,40;101,15;101,15;0;0
2019-01-23;100,85;101,42;100,85;101,42;0;0
2019-01-22;100,75;100,75;100,75;100,75;0;0
2019-01-21;100,75;100,75;100,75;100,75;0;0
2019-01-18;100,77;100,77;100,76;100,76;0;0
2019-01-17;100,25;100,50;100,25;100,50;0;0
2019-01-16;100,50;100,95;100,30;100,30;20.000;20.190
2019-01-15;101,00;101,00;100,85;100,85;0;0
2019-01-14;101,00;101,00;101,00;101,00;0;0
2019-01-11;100,60;101,02;100,60;101,02;0;0
2019-01-10;100,60;100,60;100,60;100,60;0;0
2019-01-09;100,33;101,55;100,33;101,55;0;0
2019-01-08;100,30;100,30;100,30;100,30;0;0
2019-01-07;100,32;100,32;100,30;100,30;0;0
2019-01-04;100,10;102,10;100,10;102,10;0;0
2019-01-03;100,10;100,10;100,10;100,10;0;0
2019-01-02;100,10;100,10;100,10;100,10;0;0
2018-12-28;100,12;100,12;100,10;100,10;0;0
2018-12-27;100,82;100,82;100,42;100,42;0;0
2018-12-21;101,02;101,02;100,95;100,95;0;0
2018-12-20;100,82;101,25;100,82;101,25;0;0
2018-12-19;100,82;100,82;100,80;100,80;0;0
2018-12-18;100,80;100,80;100,80;100,80;0;0
