Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;9,40;9,40;8,85;9,00;9.186;84.215
2019-05-02;8,60;9,40;8,60;9,35;7.723;69.543
2019-04-30;8,55;8,55;8,50;8,50;250;2.138
2019-04-29;8,35;8,50;8,35;8,50;3.365;28.218
2019-04-26;8,30;8,30;8,30;8,30;0;0
2019-04-25;8,40;8,40;8,40;8,40;0;0
2019-04-24;8,30;8,30;8,30;8,30;0;0
2019-04-23;8,30;8,30;8,30;8,30;0;0
2019-04-18;8,25;8,25;8,25;8,25;400;3.300
2019-04-17;8,15;8,15;8,15;8,15;0;0
2019-04-16;7,90;8,20;7,90;8,20;2.100;16.785
2019-04-15;7,85;8,00;7,85;8,00;120;942
2019-04-12;8,10;8,15;8,00;8,00;400;3.242
2019-04-11;8,10;8,10;8,00;8,00;1.200;9.720
2019-04-10;8,40;8,40;8,25;8,25;1.560;13.104
2019-04-09;8,55;8,55;8,55;8,55;0;0
2019-04-08;8,60;8,60;8,55;8,55;60;516
2019-04-05;8,50;8,50;8,50;8,50;0;0
2019-04-04;8,75;8,75;8,55;8,55;23;201
2019-04-03;8,60;8,60;8,50;8,55;1.006;8.562
2019-04-02;8,50;8,50;8,45;8,45;100;850
2019-04-01;8,40;8,40;8,40;8,40;0;0
2019-03-29;8,60;8,70;8,50;8,50;1.500;12.910
2019-03-28;8,30;8,30;8,30;8,30;0;0
2019-03-27;7,95;8,30;7,95;8,20;3.092;25.093
2019-03-26;7,90;7,90;7,90;7,90;0;0
2019-03-25;7,90;7,90;7,90;7,90;0;0
2019-03-22;7,90;7,90;7,90;7,90;0;0
2019-03-21;7,90;7,90;7,90;7,90;0;0
2019-03-20;7,90;7,90;7,90;7,90;0;0
2019-03-19;7,90;7,90;7,90;7,90;0;0
2019-03-18;7,90;7,90;7,90;7,90;0;0
2019-03-15;7,90;7,90;7,90;7,90;0;0
2019-03-14;7,90;7,90;7,90;7,90;0;0
2019-03-13;7,90;7,90;7,90;7,90;0;0
2019-03-12;7,90;7,90;7,90;7,90;0;0
2019-03-11;7,90;7,90;7,80;7,90;703;5.494
2019-03-08;8,05;8,05;7,95;7,95;375;3.019
2019-03-07;8,05;8,05;7,95;7,95;2.329;18.688
2019-03-06;7,85;7,85;7,85;7,85;0;0
2019-03-05;7,85;7,85;7,85;7,85;0;0
2019-03-04;7,75;7,85;7,75;7,85;300;2.325
2019-03-01;7,85;7,85;7,85;7,85;0;0
2019-02-28;7,85;7,85;7,85;7,85;0;0
2019-02-27;7,85;7,85;7,85;7,85;0;0
2019-02-26;7,85;7,85;7,85;7,85;0;0
2019-02-25;7,85;7,85;7,85;7,85;0;0
2019-02-22;7,90;7,90;7,90;7,90;0;0
2019-02-21;7,85;7,95;7,85;7,90;1.900;14.965
2019-02-20;7,55;7,75;7,55;7,70;2.868;21.963
2019-02-19;7,50;7,50;7,50;7,50;0;0
2019-02-18;7,40;7,40;7,40;7,40;0;0
2019-02-15;7,40;7,40;7,40;7,40;0;0
2019-02-14;7,40;7,40;7,40;7,40;0;0
2019-02-13;7,50;7,55;7,40;7,40;900;6.775
2019-02-12;7,70;7,70;7,65;7,65;489;3.765
2019-02-11;7,80;7,80;7,60;7,60;1.800;13.975
2019-02-08;7,90;7,90;7,90;7,90;0;0
2019-02-07;7,95;7,95;7,95;7,95;1.000;7.950
2019-02-06;8,10;8,10;8,10;8,10;0;0
2019-02-05;8,10;8,10;8,10;8,10;0;0
2019-02-04;8,05;8,05;8,05;8,05;0;0
2019-02-01;8,10;8,10;8,05;8,05;1.300;10.530
