Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2015-06-25;99,95;99,95;99,95;99,95;0;0
2015-06-24;99,89;99,89;99,89;99,89;0;0
2015-06-23;99,89;99,89;99,89;99,89;0;0
2015-06-22;99,89;99,89;99,89;99,89;0;0
2015-06-19;99,89;99,89;99,89;99,89;0;0
2015-06-18;99,89;99,89;99,89;99,89;0;0
2015-06-17;99,89;99,89;99,89;99,89;0;0
2015-06-16;99,89;99,89;99,89;99,89;0;0
2015-06-15;99,89;99,89;99,89;99,89;0;0
2015-06-12;99,89;99,89;99,89;99,89;0;0
2015-06-11;99,89;99,89;99,89;99,89;0;0
2015-06-10;99,89;99,89;99,89;99,89;0;0
2015-06-09;99,89;99,89;99,89;99,89;0;0
2015-06-08;99,89;99,89;99,89;99,89;0;0
2015-06-05;100,00;100,00;100,00;100,00;0;0
2015-06-04;100,00;100,00;100,00;100,00;0;0
2015-06-03;100,00;100,00;100,00;100,00;0;0
2015-06-02;100,00;100,00;100,00;100,00;0;0
2015-06-01;100,00;100,00;100,00;100,00;0;0
2015-05-29;100,00;100,00;100,00;100,00;0;0
2015-05-28;100,00;100,00;100,00;100,00;0;0
2015-05-27;100,00;100,00;100,00;100,00;8.000;8.000
2015-05-26;100,00;100,00;100,00;100,00;0;0
2015-05-22;100,00;100,00;100,00;100,00;0;0
2015-05-21;100,95;100,95;100,95;100,95;0;0
2015-05-20;100,95;100,95;100,95;100,95;0;0
2015-05-19;100,95;100,95;100,95;100,95;0;0
2015-05-18;100,95;100,95;100,95;100,95;0;0
2015-05-15;101,15;101,15;101,15;101,15;0;0
2015-05-14;101,15;101,15;101,15;101,15;0;0
2015-05-13;101,15;101,15;101,15;101,15;0;0
2015-05-12;101,15;101,15;101,15;101,15;0;0
2015-05-11;101,15;101,15;101,15;101,15;0;0
2015-05-08;101,29;101,29;101,29;101,29;0;0
2015-05-07;101,29;101,29;101,29;101,29;0;0
2015-05-06;101,29;101,29;101,29;101,29;0;0
2015-05-05;101,29;101,29;101,29;101,29;0;0
2015-05-04;101,29;101,29;101,29;101,29;0;0
2015-04-30;101,47;101,47;101,47;101,47;0;0
2015-04-29;101,47;101,47;101,47;101,47;1.000;1.015
2015-04-28;101,47;101,47;101,47;101,47;0;0
2015-04-27;101,47;101,47;101,47;101,47;0;0
2015-04-24;101,65;101,65;101,65;101,65;0;0
2015-04-23;101,65;101,65;101,65;101,65;0;0
2015-04-22;101,65;101,65;101,65;101,65;0;0
2015-04-21;101,65;101,65;101,65;101,65;0;0
2015-04-20;101,65;101,65;101,65;101,65;0;0
2015-04-17;101,97;101,97;101,97;101,97;0;0
2015-04-16;101,97;101,97;101,97;101,97;0;0
2015-04-15;101,97;101,97;101,97;101,97;0;0
2015-04-14;101,97;101,97;101,97;101,97;0;0
2015-04-13;101,97;101,97;101,97;101,97;0;0
2015-04-10;101,97;101,97;101,97;101,97;0;0
2015-04-09;101,97;101,97;101,97;101,97;0;0
2015-04-08;101,97;101,97;101,97;101,97;0;0
2015-04-07;101,97;101,97;101,97;101,97;0;0
2015-04-02;102,07;102,07;102,07;102,07;0;0
2015-04-01;102,07;102,07;102,07;102,07;0;0
2015-03-31;102,07;102,07;102,07;102,07;0;0
2015-03-30;102,07;102,07;102,07;102,07;0;0
2015-03-27;102,00;102,00;102,00;102,00;0;0
2015-03-26;102,00;102,00;102,00;102,00;0;0
2015-03-25;102,00;102,00;102,00;102,00;0;0
