Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-03-06;181,50;181,50;163,35;163,35;4;708
2017-02-17;192,50;192,50;192,50;192,50;4;770
2017-02-15;192,50;192,50;192,50;192,50;4;770
2017-02-14;194,45;194,45;194,45;194,45;10;1.945
2017-02-10;169,40;169,40;169,40;169,40;10;1.694
2017-02-09;175,00;175,00;175,00;175,00;2;350
2017-02-08;154,00;154,00;154,00;154,00;10;1.540
2017-01-04;120,00;120,00;120,00;120,00;115;13.800
2016-09-22;137,00;144,00;137,00;144,00;433;62.247
2016-08-03;137,00;137,00;137,00;137,00;5;685
2016-07-29;135,63;135,63;135,63;135,63;100;13.563





