Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;42,78;43,66;42,74;43,60;306.441;13.327.265
2019-07-18;42,98;43,16;42,48;42,71;497.340;21.297.274
2019-07-17;43,22;43,90;42,50;43,40;833.471;36.084.828
2019-07-16;43,37;43,78;43,20;43,74;371.574;16.150.666
2019-07-15;43,44;43,96;42,98;43,38;419.757;18.190.946
2019-07-12;42,66;43,24;42,61;43,14;406.798;17.484.526
2019-07-11;42,99;43,54;42,42;42,51;248.983;10.625.161
2019-07-10;42,35;42,99;42,23;42,63;323.001;13.786.536
2019-07-09;43,80;43,80;41,87;42,53;768.797;32.560.188
2019-07-08;44,11;44,37;43,77;44,00;206.168;9.067.210
2019-07-05;44,08;44,27;43,39;44,15;375.418;16.479.211
2019-07-04;44,00;44,36;44,00;44,04;121.302;5.348.665
2019-07-03;44,01;44,23;43,69;44,09;244.635;10.768.057
2019-07-02;44,06;44,25;43,70;44,00;258.665;11.360.871
2019-07-01;43,67;44,23;43,45;44,00;371.916;16.343.496
2019-06-28;42,35;43,80;42,35;43,31;607.930;26.300.704
2019-06-27;41,34;42,58;41,34;42,33;710.753;30.014.686
2019-06-26;42,19;42,19;39,70;41,40;1.852.204;75.766.448
2019-06-25;43,25;43,67;42,74;42,96;493.106;21.275.950
2019-06-24;43,34;43,61;43,04;43,36;246.657;10.688.037
2019-06-21;43,14;43,61;42,97;43,26;667.275;28.877.348
2019-06-20;43,00;43,58;42,96;43,37;301.066;13.041.802
2019-06-19;42,84;43,12;42,75;42,84;291.940;12.521.119
2019-06-18;41,89;42,85;41,13;42,72;371.271;15.655.462
2019-06-17;42,43;42,44;41,93;41,95;304.735;12.804.545
2019-06-14;42,85;42,97;41,88;42,24;227.321;9.604.250
2019-06-13;42,5609;42,8234;42,3372;42,5025;243.597;10.358.073
2019-06-12;42,5803;42,6581;42,1428;42,5901;275.612;11.710.472
2019-06-11;42,2594;43,0373;42,0066;42,7456;250.887;10.709.413
2019-06-07;41,3649;42,0552;41,2385;41,8122;241.797;10.102.311
2019-06-06;41,5107;42,0358;41,1607;41,219;206.731;8.557.262
2019-06-05;41,7052;41,8899;41,2482;41,5788;229.461;9.543.502
2019-06-04;40,9856;41,7052;40,7036;41,7052;314.835;13.087.940
2019-06-03;40,2661;41,2093;39,9257;41,1315;385.507;15.761.812
2019-05-31;40,937;40,937;40,1299;40,4314;540.329;21.852.144
2019-05-30;41,6274;41,6274;41,1898;41,3162;322.469;13.327.655
2019-05-29;41,7441;41,9094;41,1996;41,1996;198.888;8.220.118
2019-05-28;42,415;42,5803;42,0844;42,1622;322.889;13.617.156
2019-05-27;42,5998;42,6776;42,24;42,3761;108.657;4.607.703
2019-05-24;43,4944;43,4944;42,0747;42,1233;332.152;14.094.931
2019-05-23;43,7472;43,7472;43,0082;43,0665;314.041;13.560.573
2019-05-22;43,9028;44,4084;43,7666;44,1459;196.038;8.646.656
2019-05-21;43,7666;44,2236;43,6986;44,0292;268.492;11.828.471
2019-05-20;44,1167;44,1167;43,2221;43,3777;219.161;9.519.361
2019-05-17;44,3987;44,3987;43,8444;44,00;204.154;8.984.474
2019-05-16;43,2999;44,4959;43,2999;44,4376;346.123;15.279.157
2019-05-15;43,7472;43,8639;42,9887;43,6597;358.638;15.599.545
2019-05-14;43,4166;43,8639;43,3777;43,7569;398.860;17.417.022
2019-05-13;43,7569;43,7569;42,7359;42,9207;338.456;14.580.700
2019-05-10;44,0681;44,4959;43,5819;43,7569;988.644;43.310.976
2019-05-09;44,3403;44,4765;43,3485;43,4069;644.344;28.199.170
2019-05-08;45,0404;45,5461;44,8654;45,2933;338.727;15.313.273
2019-05-07;45,8961;46,1101;44,8071;45,0404;399.002;18.058.162
2019-05-06;45,5558;45,7308;44,9724;45,7017;148.071;6.745.814
2019-05-03;46,4309;46,5768;46,2462;46,4309;215.089;9.984.753
2019-05-02;46,8491;46,9949;46,2073;46,324;288.700;13.393.552
2019-04-30;46,3629;46,9463;46,3629;46,7324;343.189;16.036.448
2019-04-29;45,9156;46,6449;45,9156;46,4601;379.082;17.588.902
2019-04-26;46,1392;46,2656;45,8281;46,0614;270.292;12.445.647
2019-04-25;46,7615;47,1116;45,4002;46,0712;360.644;16.648.498
2019-04-24;46,9269;47,413;46,8685;46,8685;297.399;13.968.161
2019-04-23;46,8782;47,3158;46,6254;47,2964;223.019;10.520.267
2019-04-18;47,1699;47,3644;46,7324;46,8782;287.083;13.481.068
2019-04-17;47,8895;48,1131;47,0338;47,0338;377.427;17.829.988
2019-04-16;46,5282;46,674;46,2559;46,674;263.678;12.282.940
2019-04-15;46,4698;46,6351;46,2948;46,5379;175.629;8.169.736
2019-04-12;46,0323;46,8004;45,7892;46,2267;231.899;10.748.709
2019-04-11;45,7989;46,0809;45,6725;45,8961;251.967;11.570.078
2019-04-10;45,6628;46,1101;45,585;45,7503;388.764;17.803.634
2019-04-09;46,2365;46,5087;45,5364;45,5364;191.425;8.753.995
2019-04-08;46,6351;46,6546;45,9836;46,324;224.023;10.361.418
2019-04-05;46,3045;46,7713;46,2851;46,5962;267.091;12.438.433
2019-04-04;46,0614;46,3143;45,935;46,2559;252.448;11.669.382
2019-04-03;46,3337;46,7129;46,1878;46,3629;302.413;14.028.988
2019-04-02;45,8281;46,0517;45,6239;45,867;188.420;8.635.932
2019-04-01;45,0793;45,7892;45,0793;45,6433;319.618;14.568.279
2019-03-29;44,2042;44,632;43,9611;44,632;459.026;20.434.158
2019-03-28;43,8541;44,2139;43,6694;43,7666;215.329;9.450.376
2019-03-27;43,7569;44,1945;43,5722;43,7764;321.729;14.101.575
2019-03-26;44,2139;44,2917;43,7569;44,00;256.327;11.271.204
2019-03-25;44,4862;44,4959;43,893;44,0778;304.508;13.425.703
2019-03-22;45,9059;46,0225;44,2236;44,6126;401.735;17.946.104
2019-03-21;45,5461;45,867;45,1766;45,867;230.756;10.537.951
2019-03-20;46,0128;46,0128;45,4002;45,5169;284.088;12.944.767
2019-03-19;45,7406;46,3726;45,7114;46,0225;363.855;16.775.403
2019-03-18;45,6628;45,7989;45,371;45,7989;339.767;15.508.377
2019-03-15;45,5947;46,0517;45,196;45,7017;933.490;42.634.880
2019-03-14;45,371;45,7697;45,2349;45,371;389.541;17.705.662
2019-03-13;44,6807;45,2155;44,6612;45,1571;269.903;12.152.975
2019-03-12;44,632;45,0502;44,4473;44,8751;470.537;21.107.882
2019-03-11;43,1735;44,2431;42,9887;44,1264;350.006;15.372.721
2019-03-08;43,9708;44,00;42,8137;43,261;331.306;14.338.153
2019-03-07;44,7001;44,7001;43,9028;44,2431;597.865;26.426.172
2019-03-06;43,9806;45,478;43,8541;44,5348;802.695;35.968.108
2019-03-05;43,2999;43,611;42,9304;43,0276;335.977;14.472.392
