Datum;Erster;Hoch;Tief;Schlusskurs;Vol. (nom.);Volumen
2019-07-19;20,50;20,50;20,50;20,50;0;0
2019-07-18;20,50;20,50;20,50;20,50;0;0
2019-07-17;20,50;20,50;20,50;20,50;0;0
2019-07-16;20,50;20,501;20,50;20,501;1.000;205
2019-07-11;21,10;21,10;21,10;21,10;0;0
2019-07-10;21,10;21,10;21,10;21,10;0;0
2019-07-09;21,10;21,10;21,10;21,10;0;0
2019-07-08;21,10;21,10;21,10;21,10;0;0
2019-07-05;21,10;21,10;21,10;21,10;0;0
2019-07-04;21,10;21,10;21,10;21,10;0;0
2019-07-03;21,10;21,10;21,10;21,10;0;0
2019-07-02;21,10;21,10;21,10;21,10;0;0
2019-07-01;21,10;21,10;21,10;21,10;0;0
2019-06-28;21,20;21,20;21,20;21,20;0;0
2019-06-27;21,20;21,20;21,20;21,20;0;0
2019-06-26;21,20;21,20;21,20;21,20;0;0
2019-06-25;21,20;21,20;21,20;21,20;0;0
2019-06-24;20,50;20,50;20,50;20,50;0;0
2019-06-19;22,00;22,00;22,00;22,00;0;0
2019-06-18;22,00;22,00;22,00;22,00;0;0
2019-06-17;22,00;22,00;22,00;22,00;0;0
2019-06-14;21,00;22,00;21,00;22,00;0;0
2019-06-13;20,00;20,00;20,00;20,00;0;0
2019-06-11;32,00;32,00;32,00;32,00;0;0
2019-06-07;32,10;33,00;32,10;33,00;40.000;13.196
2019-06-06;31,00;31,00;31,00;31,00;0;0
2019-06-05;31,00;32,60;31,00;32,60;30.000;9.765
2019-06-04;31,00;31,00;31,00;31,00;0;0
2019-06-03;29,00;32,00;29,00;32,00;50.000;16.000
2019-05-31;29,00;29,00;29,00;29,00;0;0
2019-05-30;29,00;29,00;29,00;29,00;0;0
2019-05-29;29,00;29,00;29,00;29,00;1.000;290
2019-05-28;30,50;30,50;30,50;30,50;0;0
2019-05-27;29,00;30,50;29,00;30,50;0;0
2019-05-24;30,00;30,00;30,00;30,00;0;0
2019-05-23;30,50;30,50;30,50;30,50;0;0
2019-05-22;30,50;30,50;30,50;30,50;0;0
2019-05-21;30,50;30,50;30,50;30,50;0;0
2019-05-20;30,50;30,50;30,50;30,50;0;0
2019-05-17;30,50;30,50;30,50;30,50;0;0
2019-05-16;30,50;30,50;30,50;30,50;0;0
2019-05-15;30,00;31,00;30,00;31,00;70.000;21.100
2019-05-14;31,20;31,20;31,20;31,20;0;0
2019-05-13;31,20;31,20;31,20;31,20;0;0
2019-05-10;31,20;31,20;31,20;31,20;0;0
2019-05-09;31,20;31,20;31,20;31,20;0;0
2019-05-08;31,20;31,20;31,20;31,20;0;0
2019-05-07;31,20;31,20;31,20;31,20;0;0
2019-05-06;31,20;31,20;31,20;31,20;0;0
2019-05-03;31,20;31,20;31,20;31,20;15.000;4.680
2019-05-02;31,40;31,40;31,00;31,40;10.000;3.128
2019-04-30;31,40;31,40;31,40;31,40;0;0
2019-04-29;31,00;31,00;31,00;31,00;0;0
2019-04-26;31,00;31,00;31,00;31,00;0;0
2019-04-25;31,00;31,00;31,00;31,00;0;0
2019-04-24;31,00;31,00;31,00;31,00;0;0
2019-04-23;31,00;31,00;31,00;31,00;0;0
2019-04-18;30,80;30,80;30,80;30,80;0;0
2019-04-17;30,60;30,80;30,60;30,80;23.000;7.084
2019-04-16;30,60;30,60;30,60;30,60;0;0
2019-04-15;30,60;30,60;30,60;30,60;5.000;1.530
2019-04-12;30,60;30,60;30,60;30,60;0;0
2019-04-11;30,60;30,60;30,60;30,60;0;0
2019-04-10;30,60;30,60;30,60;30,60;0;0
2019-04-09;30,60;30,60;30,60;30,60;0;0
2019-04-08;30,60;30,60;30,60;30,60;0;0
2019-04-05;31,00;31,00;31,00;31,00;0;0
2019-04-04;30,60;30,60;30,60;30,60;0;0
2019-04-03;30,60;33,00;30,60;33,00;3.000;990
2019-04-02;30,60;30,60;30,60;30,60;0;0
2019-04-01;30,60;30,60;30,60;30,60;0;0
2019-03-29;30,51;30,51;30,51;30,51;0;0
2019-03-28;30,51;30,51;30,51;30,51;24.000;7.322
2019-03-27;31,10;31,10;31,00;31,00;15.000;4.660
2019-03-26;31,10;31,10;31,10;31,10;0;0
2019-03-25;31,10;31,10;31,10;31,10;0;0
2019-03-22;31,10;31,10;31,10;31,10;0;0
2019-03-21;31,10;31,10;31,10;31,10;0;0
2019-03-20;31,10;31,10;31,10;31,10;0;0
2019-03-19;31,10;31,10;31,10;31,10;0;0
2019-03-18;31,10;31,10;31,10;31,10;0;0
2019-03-15;31,10;31,10;31,10;31,10;0;0
2019-03-14;31,10;31,10;31,10;31,10;0;0
2019-03-13;31,10;31,10;31,10;31,10;0;0
2019-03-12;31,10;31,10;31,10;31,10;10.000;3.110
2019-03-11;31,10;31,10;31,10;31,10;0;0
2019-03-08;31,10;31,10;31,10;31,10;0;0
2019-03-07;31,10;31,10;31,10;31,10;4.000;1.244
2019-03-06;31,15;31,15;31,15;31,15;0;0
