Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;3,60;3,60;3,60;3,60;1.689;6.080
2019-07-18;3,60;3,60;3,60;3,60;861;3.100
2019-07-17;3,60;3,60;3,60;3,60;0;
2019-07-16;3,60;3,60;3,60;3,60;600;2.160
2019-07-15;3,48;3,60;3,46;3,60;4.416;15.581
2019-07-12;3,48;3,48;3,48;3,48;0;
2019-07-11;3,56;3,62;3,46;3,62;1.000;3.560
2019-07-10;3,62;3,62;3,62;3,62;0;
2019-07-09;3,72;3,72;3,72;3,72;0;
2019-07-08;3,74;3,74;3,72;3,72;750;2.805
2019-07-05;3,74;3,74;3,74;3,74;0;
2019-07-04;3,80;3,80;3,80;3,80;0;
2019-07-03;3,80;3,80;3,80;3,80;0;
2019-07-02;3,74;3,74;3,74;3,74;0;
2019-07-01;3,82;3,82;3,74;3,74;0;
2019-06-28;3,74;3,84;3,74;3,84;0;
2019-06-27;3,84;3,84;3,84;3,84;0;
2019-06-26;3,84;3,84;3,84;3,84;0;
2019-06-25;3,84;3,84;3,84;3,84;0;
2019-06-24;3,84;3,84;3,84;3,84;0;
2019-06-21;4,00;4,00;4,00;4,00;0;
2019-06-20;4,00;4,00;4,00;4,00;0;
2019-06-19;3,84;4,00;3,84;4,00;0;
2019-06-18;3,84;3,84;3,84;3,84;0;
2019-06-17;3,84;3,84;3,84;3,84;0;
2019-06-14;3,84;3,84;3,84;3,84;0;
2019-06-13;3,84;3,84;3,84;3,84;0;
2019-06-12;3,84;3,84;3,84;3,84;0;
2019-06-11;3,82;3,84;3,82;3,84;0;
2019-06-07;3,84;3,84;3,84;3,84;0;
2019-06-06;3,84;3,84;3,84;3,84;0;
2019-06-05;3,84;3,84;3,84;3,84;0;
2019-06-04;3,84;3,84;3,84;3,84;0;
2019-06-03;3,84;3,84;3,84;3,84;0;
2019-05-31;3,84;3,84;3,84;3,84;0;
2019-05-30;4,02;4,02;3,82;3,82;0;
2019-05-29;4,02;4,02;4,02;4,02;0;
2019-05-28;4,02;4,02;4,02;4,02;0;
2019-05-27;4,02;4,02;4,02;4,02;0;
2019-05-24;4,05903;4,05903;4,05903;4,05903;0;
2019-05-23;4,09806;4,09806;4,09806;4,09806;0;
2019-05-22;4,09806;4,09806;4,09806;4,09806;0;
2019-05-21;4,09806;4,09806;4,09806;4,09806;0;
2019-05-20;4,09806;4,09806;4,09806;4,09806;0;
2019-05-17;4,05903;4,05903;4,05903;4,05903;0;
2019-05-16;4,05903;4,05903;4,05903;4,05903;0;
2019-05-15;4,05903;4,05903;4,05903;4,05903;0;
2019-05-14;4,05903;4,05903;4,05903;4,05903;0;
2019-05-13;4,05903;4,05903;4,05903;4,05903;0;
2019-05-10;4,05903;4,05903;4,05903;4,05903;0;
2019-05-09;4,05903;4,09806;4,05903;4,05903;1;4
2019-05-08;4,05903;4,05903;4,05903;4,05903;0;
2019-05-07;4,05903;4,05903;4,05903;4,05903;0;
2019-05-06;4,05903;4,05903;4,05903;4,05903;0;
2019-05-03;4,05903;4,05903;4,05903;4,05903;0;
2019-05-02;4,03951;4,05903;4,03951;4,05903;0;
2019-04-30;4,03951;4,05903;4,03951;4,03951;51;208
2019-04-29;4,03951;4,03951;4,03951;4,03951;0;
2019-04-26;4,03951;4,03951;4,03951;4,03951;0;
2019-04-25;4,03951;4,03951;4,03951;4,03951;0;
2019-04-24;4,03951;4,03951;4,03951;4,03951;0;
2019-04-23;4,03951;4,03951;4,03951;4,03951;0;
2019-04-18;4,03951;4,03951;4,03951;4,03951;0;
2019-04-17;4,00049;4,00049;4,00049;4,00049;0;
2019-04-16;4,00049;4,00049;4,00049;4,00049;0;
2019-04-15;4,00049;4,00049;4,00049;4,00049;0;
2019-04-11;4,58592;4,58592;4,58592;4,58592;205;940
2019-04-10;4,17612;4,17612;4,17612;4,17612;0;
2019-04-09;4,17612;4,17612;4,17612;4,17612;0;
2019-04-08;3,90291;4,39078;3,90291;4,2932;1.025;4.500
2019-04-05;4,00049;4,00049;4,00049;4,00049;0;
2019-04-04;3,90291;4,09806;3,90291;4,00049;0;
2019-04-03;4,09806;4,09806;4,09806;4,09806;0;
2019-04-02;4,19563;4,19563;3,90291;3,90291;15;65
2019-04-01;3,72728;3,72728;3,72728;3,72728;0;
2019-03-29;3,72728;3,72728;3,72728;3,72728;0;
2019-03-28;3,70777;3,72728;3,70777;3,72728;0;
2019-03-27;3,66874;3,72728;3,66874;3,72728;0;
2019-03-26;3,72728;3,72728;3,66874;3,66874;0;
2019-03-25;3,72728;3,72728;3,72728;3,72728;23;84
2019-03-22;3,72728;3,72728;3,72728;3,72728;0;
2019-03-21;3,72728;3,80534;3,72728;3,80534;0;
2019-03-20;3,72728;3,72728;3,72728;3,72728;0;
2019-03-19;3,84437;3,90291;3,7468;3,7468;0;
2019-03-18;3,84437;3,84437;3,84437;3,84437;0;
2019-03-15;3,84437;3,84437;3,84437;3,84437;68;260
2019-03-14;3,84437;3,84437;3,84437;3,84437;0;
2019-03-13;3,84437;3,84437;3,84437;3,84437;0;
2019-03-12;3,84437;3,84437;3,84437;3,84437;0;
2019-03-11;3,84437;3,84437;3,84437;3,84437;0;
2019-03-08;4,02;4,02;3,82485;3,82485;0;
2019-03-07;4,02;4,02;4,02;4,02;9;37
2019-03-06;4,03951;4,03951;4,02;4,02;0;
2019-03-05;4,19563;4,19563;4,03951;4,03951;0;
2019-03-04;4,19563;4,19563;4,19563;4,19563;0;
2019-03-01;4,19563;4,19563;4,19563;4,19563;0;
2019-02-28;4,19563;4,19563;4,19563;4,19563;0;
2019-02-27;4,19563;4,19563;4,19563;4,19563;0;
2019-02-26;4,03951;4,19563;4,03951;4,19563;0;
2019-02-25;4,03951;4,03951;4,03951;4,03951;154;621
2019-02-22;4,03951;4,03951;4,03951;4,03951;12;50
2019-02-21;4,03951;4,03951;4,03951;4,03951;41;166
2019-02-20;4,03951;4,03951;4,03951;4,03951;0;
2019-02-19;4,03951;4,03951;4,03951;4,03951;6;25
2019-02-18;4,03951;4,03951;4,03951;4,03951;0;
2019-02-15;4,03951;4,03951;4,03951;4,03951;0;
2019-02-14;4,21515;4,21515;4,03951;4,03951;0;
2019-02-13;4,03951;4,21515;4,03951;4,21515;0;
2019-02-12;4,03951;4,03951;4,03951;4,03951;0;
2019-02-11;4,02;4,02;4,02;4,02;0;
2019-02-08;4,23466;4,23466;4,21515;4,21515;0;
2019-02-07;4,23466;4,23466;4,23466;4,23466;0;
2019-02-06;4,23466;4,23466;4,23466;4,23466;0;
2019-02-05;4,23466;4,23466;4,23466;4,23466;0;
2019-02-04;4,23466;4,23466;4,23466;4,23466;0;
2019-02-01;4,23466;4,23466;4,23466;4,23466;0;
2019-01-31;4,23466;4,23466;4,23466;4,23466;0;
2019-01-30;4,21515;4,23466;4,21515;4,23466;0;
2019-01-29;4,09806;4,19563;4,09806;4,19563;0;
2019-01-28;4,07854;4,09806;4,07854;4,09806;0;
2019-01-25;4,00049;4,05903;4,00049;4,05903;0;
2019-01-24;3,94194;3,94194;3,94194;3,94194;0;
2019-01-23;3,94194;3,94194;3,94194;3,94194;0;
2019-01-22;3,94194;3,94194;3,94194;3,94194;0;
2019-01-21;3,94194;3,94194;3,94194;3,94194;0;
2019-01-18;3,94194;3,94194;3,94194;3,94194;0;
2019-01-17;3,94194;3,94194;3,94194;3,94194;0;
2019-01-16;3,94194;3,94194;3,94194;3,94194;0;
2019-01-15;3,94194;3,94194;3,94194;3,94194;0;
2019-01-14;3,94194;3,94194;3,94194;3,94194;0;
2019-01-11;3,94194;3,94194;3,94194;3,94194;0;
2019-01-10;3,51262;3,53214;3,51262;3,53214;0;0
2019-01-09;3,3565;3,37602;3,3565;3,37602;;
2019-01-08;3,3565;3,3565;3,3565;3,3565;0;
2019-01-07;3,3565;3,3565;3,3565;3,3565;0;
2019-01-04;3,25893;3,3565;3,25893;3,3565;0;
2019-01-03;3,41505;3,41505;3,25893;3,25893;0;
2019-01-02;3,41505;3,41505;3,41505;3,41505;0;
2018-12-28;3,41505;3,41505;3,41505;3,41505;0;
2018-12-27;3,37602;3,41505;3,37602;3,41505;26;87
2018-12-21;3,70777;3,70777;3,70777;3,70777;307;1.140
2018-12-19;3,92243;3,92243;3,92243;3,92243;0;
2018-12-18;3,92243;3,92243;3,92243;3,92243;0;
2018-12-14;3,70777;3,70777;3,70777;3,70777;0;
2018-12-13;3,70777;3,70777;3,70777;3,70777;0;
2018-12-12;3,70777;3,70777;3,70777;3,70777;0;
2018-12-11;3,70777;3,70777;3,70777;3,70777;0;
2018-12-10;3,92243;3,92243;3,92243;3,92243;0;
2018-12-07;4,00049;4,00049;3,92243;3,92243;0;
2018-12-06;4,00049;4,00049;4,00049;4,00049;0;
2018-12-05;3,92243;4,00049;3,92243;4,00049;0;
2018-12-04;3,92243;3,92243;3,92243;3,92243;0;
2018-12-03;3,92243;3,92243;3,92243;3,92243;0;
2018-11-30;3,92243;3,92243;3,92243;3,92243;0;
2018-11-29;3,92243;3,92243;3,92243;3,92243;0;
2018-11-28;3,92243;3,94194;3,92243;3,94194;0;
2018-11-27;3,92243;3,92243;3,92243;3,92243;0;
2018-11-26;3,92243;3,92243;3,92243;3,92243;24;92
2018-11-22;4,17612;4,17612;4,1566;4,1566;102;426
2018-11-21;4,19563;4,19563;4,17612;4,17612;1.449;6.080
2018-11-20;4,25417;4,25417;4,21515;4,21515;0;
2018-11-19;4,25417;4,25417;4,25417;4,25417;0;
2018-11-16;4,25417;4,25417;4,25417;4,25417;0;
2018-11-15;4,25417;4,25417;4,25417;4,25417;0;
2018-11-14;4,25417;4,25417;4,25417;4,25417;0;
2018-11-13;4,25417;4,25417;4,25417;4,25417;0;
2018-11-12;4,25417;4,25417;4,25417;4,25417;0;
2018-11-09;4,25417;4,25417;4,25417;4,25417;0;
2018-11-08;4,25417;4,25417;4,25417;4,25417;0;
2018-11-07;4,25417;4,25417;4,25417;4,25417;0;
2018-11-06;4,25417;4,25417;4,25417;4,25417;0;
2018-11-05;4,25417;4,25417;4,25417;4,25417;0;
2018-11-02;4,25417;4,25417;4,25417;4,25417;0;
2018-11-01;4,19563;4,39078;4,19563;4,39078;0;
2018-10-31;4,21515;4,39078;4,19563;4,39078;0;
2018-10-30;4,21515;4,21515;4,19563;4,19563;0;
2018-10-29;3,90291;4,21515;3,70777;4,21515;1.548;6.135
2018-10-26;4,21515;4,21515;4,00049;4,00049;0;
2018-10-25;4,21515;4,21515;4,21515;4,21515;0;
2018-10-24;4,21515;4,21515;4,21515;4,21515;0;
2018-10-23;4,21515;4,21515;4,21515;4,21515;0;
