Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2015-07-07;0,03;0,03;0,03;0,03;250;8
2015-07-01;0,018;0,027;0,018;0,027;12.333;312
2015-06-30;0,017;0,017;0,017;0,017;333;6
2015-06-29;0,017;0,017;0,017;0,017;0;0
2015-06-26;0,017;0,017;0,017;0,017;333;6
2015-06-23;0,03;0,03;0,03;0,03;25.000;750
2015-06-18;0,045;0,045;0,045;0,045;40;2
2015-06-15;0,051;0,051;0,05;0,05;26.887;1.355
2015-06-12;0,05;0,05;0,05;0,05;8.881;444
2015-06-11;0,05;0,05;0,05;0,05;0;0
2015-06-10;0,05;0,05;0,05;0,05;0;0
2015-06-09;0,05;0,051;0,05;0,051;2.765;141
2015-06-08;0,05;0,051;0,05;0,051;4.333;221
2015-06-05;0,05;0,05;0,05;0,05;0;0
2015-06-04;0,05;0,05;0,05;0,05;0;0
2015-06-03;0,05;0,05;0,05;0,05;0;0
2015-06-02;0,05;0,05;0,05;0,05;0;0
2015-06-01;0,05;0,05;0,05;0,05;0;0
2015-05-29;0,051;0,051;0,051;0,051;999;51
2015-05-28;0,05;0,05;0,05;0,05;0;0
2015-05-27;0,052;0,052;0,052;0,052;666;35
2015-05-18;0,09;0,09;0,09;0,09;1.000;90
2015-05-13;0,05;0,075;0,05;0,075;5.000;375
2015-05-12;0,05;0,05;0,05;0,05;0;0
2015-05-11;0,05;0,05;0,05;0,05;0;0
2015-05-08;0,05;0,05;0,05;0,05;0;0
2015-05-07;0,05;0,05;0,05;0,05;0;0
2015-05-06;0,05;0,06;0,05;0,06;333;20
2015-05-05;0,05;0,05;0,05;0,05;0;0
2015-05-04;0,05;0,05;0,05;0,05;0;0
2015-04-30;0,05;0,05;0,05;0,05;0;0
2015-04-29;0,05;0,05;0,05;0,05;0;0
2015-04-28;0,05;0,05;0,05;0,05;0;0
2015-04-27;0,052;0,052;0,052;0,052;108;6
2015-04-20;0,083;0,083;0,083;0,083;25.000;2.075
2015-04-08;0,08;0,08;0,079;0,079;25.000;1.995
2015-04-07;0,058;0,08;0,058;0,08;5.000;400
2015-04-02;0,059;0,059;0,059;0,059;23;1
2015-04-01;0,039;0,039;0,039;0,039;400;16
2015-03-30;0,077;0,078;0,077;0,078;7.046;549
2015-03-26;0,085;0,085;0,078;0,083;18.504;1.566
2015-03-25;0,06;0,06;0,06;0,06;1.100;66
2015-03-24;0,066;0,068;0,066;0,068;7.899;529
2015-03-19;0,03;0,045;0,03;0,045;20.000;900
2015-03-18;0,03;0,03;0,03;0,03;0;0
2015-03-17;0,03;0,03;0,03;0,03;0;0
