Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;0,0005;0,0005;0,0005;0,0005;0;
2019-07-18;0,0005;0,0005;0,0005;0,0005;0;
2019-07-17;0,0005;0,0005;0,0005;0,0005;0;
2019-07-16;48,24;48,44;47,94;48,26;128.820;6.216.853
2019-07-15;0,0005;0,0005;0,0005;0,0005;0;
2019-07-12;0,01;0,01;0,005;0,005;5.000;50
2019-07-11;47,10;48,32;47,00;48,02;265.310;12.740.186
2019-07-10;0,01;0,01;0,01;0,01;0;
2019-07-09;0,01;0,01;0,01;0,01;0;
2019-07-08;0,01;0,01;0,01;0,01;0;
2019-07-05;0,012;0,012;0,012;0,012;0;
2019-07-04;0,01;0,012;0,01;0,012;0;
2019-07-03;0,01;0,01;0,01;0,01;0;
2019-07-02;0,01;0,01;0,01;0,01;0;
2019-07-01;0,002;0,0025;0,002;0,002;159;0
2019-06-28;0,0005;0,0005;0,0005;0,0005;0;
2019-06-27;0,0005;0,0005;0,0005;0,0005;0;
2019-06-26;0,0005;0,0005;0,0005;0,0005;0;
2019-06-25;0,0005;0,001;0,0005;0,0005;1.200;1
2019-06-24;0,0005;0,0005;0,0005;0,0005;0;
2019-06-21;0,0005;0,0005;0,0005;0,0005;0;
2019-06-20;0,0005;0,0005;0,0005;0,0005;0;
2019-06-19;0,0005;0,0005;0,0005;0,0005;100.000;50
2019-06-18;0,004;0,004;0,004;0,004;0;500
2019-06-17;0,004;0,004;0,004;0,004;0;
2019-06-14;0,0005;0,0005;0,0005;0,0005;0;
2019-06-13;0,0005;0,0005;0,0005;0,0005;0;
2019-06-12;0,0005;0,0005;0,0005;0,0005;0;
2019-06-11;0,0005;0,0005;0,0005;0,0005;0;
2019-06-07;0,0005;0,0005;0,0005;0,0005;0;
2019-06-06;0,005;0,005;0,0005;0,0005;0;
2019-06-05;0,005;0,005;0,0005;0,0005;0;
2019-06-04;0,005;0,009;0,005;0,009;0;
2019-06-03;0,005;0,005;0,005;0,005;0;
2019-05-30;0,005;0,005;0,002;0,002;0;
2019-05-29;0,005;0,008;0,005;0,008;0;
2019-05-28;0,005;0,005;0,005;0,005;0;
2019-05-27;0,005;0,005;0,005;0,005;0;
2019-05-24;0,005;0,005;0,005;0,005;0;
2019-05-23;0,005;0,005;0,005;0,005;0;
2019-05-22;0,005;0,005;0,005;0,005;0;
2019-05-21;0,005;0,005;0,005;0,005;0;
2019-05-20;0,005;0,005;0,005;0,005;0;
2019-05-16;0,0005;0,0005;0,0005;0,0005;0;
2019-05-15;0,005;0,005;0,0005;0,0005;0;
2019-05-14;0,005;0,005;0,005;0,005;0;
2019-05-13;0,005;0,005;0,005;0,005;0;
2019-05-10;0,005;0,005;0,005;0,005;7.000;35
2019-05-09;0,005;0,005;0,005;0,005;0;
2019-05-08;0,005;0,005;0,005;0,005;0;
2019-05-07;0,005;0,005;0,005;0,005;0;
2019-05-06;0,005;0,005;0,005;0,005;0;
2019-05-03;0,005;0,005;0,005;0,005;0;
2019-05-02;0,005;0,005;0,005;0,005;0;
2019-04-30;0,005;0,005;0,005;0,005;0;
2019-04-29;0,005;0,005;0,005;0,005;0;
2019-04-26;0,005;0,005;0,005;0,005;0;
2019-04-25;0,005;0,005;0,005;0,005;0;
2019-04-24;0,005;0,005;0,005;0,005;0;
2019-04-23;0,005;0,005;0,005;0,005;0;
2019-04-18;0,005;0,005;0,005;0,005;0;
2019-04-17;0,005;0,005;0,005;0,005;0;
2019-04-16;0,005;0,005;0,005;0,005;0;
2019-04-15;0,005;0,005;0,005;0,005;0;
2019-04-12;0,005;0,005;0,005;0,005;0;
2019-04-11;0,005;0,005;0,005;0,005;0;
2019-04-10;0,005;0,005;0,005;0,005;0;
2019-04-09;0,005;0,005;0,005;0,005;0;
2019-04-08;0,005;0,005;0,005;0,005;0;
2019-04-05;0,005;0,005;0,005;0,005;0;
