Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;281,50;282,95;277,65;278,95;553.248;154.941.120
2019-07-18;281,00;283,15;277,05;281,85;496.325;139.527.680
2019-07-17;280,80;283,15;280,45;280,80;381.623;107.355.920
2019-07-16;278,00;280,70;277,20;280,70;434.682;121.764.192
2019-07-15;277,35;279,90;275,80;278,60;356.651;99.320.368
2019-07-12;278,95;279,90;275,45;276,50;427.715;118.321.528
2019-07-11;279,55;281,10;277,35;278,25;366.885;102.343.296
2019-07-10;282,05;282,05;277,00;278,65;459.924;128.286.736
2019-07-09;280,00;283,15;279,65;281,70;466.173;131.237.120
2019-07-08;276,05;280,65;276,05;280,00;380.068;106.182.984
2019-07-05;279,25;280,55;274,45;277,15;466.495;129.467.512
2019-07-04;280,30;280,80;276,40;278,25;292.727;81.308.560
2019-07-03;274,80;279,50;274,75;278,65;538.674;149.999.904
2019-07-02;272,00;274,45;270,95;273,80;556.001;151.876.240
2019-07-01;274,00;275,75;272,45;274,35;507.343;139.196.992
2019-06-28;267,00;272,80;267,00;271,50;788.677;213.745.312
2019-06-27;272,10;272,90;265,70;265,70;637.202;170.301.536
2019-06-26;267,00;275,60;266,55;270,90;966.175;262.139.952
2019-06-25;264,65;265,80;262,20;263,20;571.447;150.540.416
2019-06-24;269,50;270,65;264,15;265,45;507.817;135.140.752
2019-06-21;269,40;272,05;267,30;268,80;1.373.091;369.933.536
2019-06-20;269,55;272,30;269,05;269,25;426.358;115.212.224
2019-06-19;274,85;274,85;266,60;267,10;639.771;171.857.792
2019-06-18;263,25;273,45;262,15;273,30;774.633;209.429.344
2019-06-17;259,60;264,20;259,05;262,80;389.033;101.954.992
2019-06-14;258,70;261,10;257,95;260,60;347.441;90.389.184
2019-06-13;257,70;259,90;256,70;259,30;517.773;133.963.936
2019-06-12;258,00;258,90;254,30;256,80;924.917;237.525.744
2019-06-11;267,35;268,35;262,10;262,10;706.665;186.552.016
2019-06-07;261,20;266,35;261,20;265,25;495.059;130.897.496
2019-06-06;257,75;261,60;257,75;260,50;526.545;137.077.072
2019-06-05;257,45;261,65;256,30;257,40;501.306;129.559.840
2019-06-04;257,00;258,65;255,00;258,00;605.898;156.083.696
2019-06-03;254,75;259,85;254,30;259,20;537.589;138.804.400
2019-05-31;253,45;256,70;251,40;256,20;642.457;164.011.504
2019-05-30;258,60;261,25;256,65;258,25;412.991;106.839.488
2019-05-29;263,00;263,30;257,55;258,60;602.652;156.507.824
2019-05-28;263,35;265,05;260,25;264,05;598.270;157.679.232
2019-05-27;261,00;262,25;259,90;261,85;229.522;60.010.284
2019-05-24;261,45;262,70;258,50;259,25;643.368;167.198.048
2019-05-23;260,30;262,25;258,35;259,80;648.653;168.722.208
2019-05-22;258,85;264,65;257,15;263,05;890.865;233.707.792
2019-05-21;251,00;258,60;250,65;257,75;763.269;195.547.088
2019-05-20;255,00;255,80;250,55;251,00;546.628;137.749.392
2019-05-17;250,00;255,95;249,95;255,50;748.914;190.228.800
2019-05-16;252,60;253,25;249,55;251,45;771.591;193.728.608
2019-05-15;251,60;253,10;246,90;253,10;581.024;145.892.560
2019-05-14;246,00;250,65;244,30;250,45;614.025;152.637.600
2019-05-13;252,00;253,30;245,65;245,80;857.825;212.547.120
2019-05-10;250,40;254,40;250,40;252,00;993.567;250.657.360
2019-05-09;251,3585;253,0856;244,5984;246,5722;1.141.247;282.545.024
2019-05-08;245,9307;253,1843;245,9307;253,1843;1.118.467;280.670.112
2019-05-07;250,1743;251,8026;246,6708;246,7202;969.457;240.976.400
2019-05-06;239,812;250,1249;239,6146;249,4835;1.112.470;273.383.616
2019-05-03;237,0488;246,5228;237,0488;246,5228;2.055.569;498.807.744
2019-05-02;225,0088;225,9957;222,1962;225,897;834.396;187.510.816
2019-04-30;225,4529;226,7852;224,9595;226,0944;640.056;144.683.968
2019-04-29;226,1931;227,0319;223,6272;225,6009;453.216;102.098.160
2019-04-26;225,3049;226,4398;224,3673;226,1931;512.810;115.703.176
2019-04-25;225,9957;227,0813;224,2687;225,749;555.925;125.447.352
2019-04-24;227,2786;229,4498;226,6865;227,6734;621.149;141.455.168
2019-04-23;228,5616;228,759;226,3411;227,8708;596.706;135.927.072
2019-04-18;226,5878;229,1537;225,8477;229,1044;858.640;196.132.896
2019-04-17;226,6865;227,7227;224,9595;226,4398;513.383;116.150.544
2019-04-16;224,466;227,1306;224,2687;226,6865;656.111;148.505.168
