Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;41,86;42,64;41,66;42,22;160.366;6.775.887
2019-05-02;42,26;42,30;41,50;41,76;87.914;3.682.683
2019-04-30;41,84;42,86;41,84;42,14;100.265;4.255.429
2019-04-29;41,00;42,32;41,00;41,70;178.191;7.436.215
2019-04-26;42,40;42,64;40,24;40,90;239.245;9.801.394
2019-04-25;45,56;46,24;41,34;41,82;343.649;14.774.940
2019-04-24;45,94;46,00;45,16;45,44;81.755;3.725.040
2019-04-23;47,14;47,14;45,84;45,96;59.766;2.763.719
2019-04-18;46,78;47,36;46,30;47,22;43.622;2.046.965
2019-04-17;46,78;47,34;46,54;46,70;71.324;3.339.215
2019-04-16;46,32;46,82;46,14;46,70;64.576;3.008.968
2019-04-15;45,78;46,26;45,58;46,12;46.797;2.151.052
2019-04-12;44,84;46,14;44,64;45,70;121.839;5.545.446
2019-04-11;44,68;44,94;44,38;44,80;50.614;2.264.274
2019-04-10;44,80;45,40;44,36;44,60;35.329;1.583.371
2019-04-09;45,18;45,92;44,60;44,88;62.338;2.825.366
2019-04-08;45,26;45,62;45,00;45,18;54.079;2.448.097
2019-04-05;44,88;45,46;44,58;45,30;86.753;3.907.365
2019-04-04;43,86;45,04;43,68;44,80;117.026;5.224.447
2019-04-03;43,68;44,16;43,24;44,00;203.307;8.914.324
2019-04-02;44,16;44,48;43,20;43,52;108.357;4.714.585
2019-04-01;43,40;44,20;43,38;44,02;90.338;3.955.931
2019-03-29;42,70;43,68;42,52;43,26;36.023;1.555.003
2019-03-28;42,66;43,22;42,42;42,58;46.148;1.971.225
2019-03-27;43,20;44,48;42,26;42,54;76.240;3.284.199
2019-03-26;42,50;43,32;42,08;43,06;82.333;3.530.498
2019-03-25;43,48;43,76;42,24;42,40;75.037;3.209.880
2019-03-22;45,50;45,80;43,64;43,64;69.190;3.067.078
2019-03-21;44,64;45,90;44,60;45,60;87.775;3.996.853
2019-03-20;43,20;44,92;41,40;44,78;245.612;10.667.405
2019-03-19;45,34;46,84;45,14;46,46;105.333;4.843.370
2019-03-18;45,50;45,72;44,98;45,20;31.234;1.412.126
2019-03-15;45,72;46,00;45,18;45,50;92.339;4.200.597
2019-03-14;45,02;46,02;44,68;45,76;86.698;3.942.340
2019-03-13;44,98;45,38;44,70;45,00;62.107;2.791.995
2019-03-12;44,36;45,32;44,10;44,86;77.333;3.462.222
2019-03-11;44,18;44,52;43,34;44,22;107.634;4.733.065
2019-03-08;44,76;44,76;43,50;44,22;54.727;2.416.267
2019-03-07;46,18;46,18;44,54;44,66;159.645;7.169.928
2019-03-06;47,64;47,64;45,96;46,34;110.610;5.146.626
2019-03-05;48,70;48,70;47,32;47,68;43.165;2.060.368
2019-03-04;48,10;49,26;48,10;48,86;43.116;2.109.264
2019-03-01;47,30;48,88;47,30;48,02;53.192;2.568.068
2019-02-28;46,86;47,54;46,36;47,14;54.222;2.554.123
2019-02-27;46,36;47,72;45,74;47,00;83.813;3.924.631
2019-02-26;47,44;47,78;47,08;47,42;64.883;3.072.426
2019-02-25;47,60;47,66;46,80;47,60;53.772;2.552.119
2019-02-22;46,60;48,16;46,60;47,46;71.604;3.400.763
2019-02-21;47,14;47,14;46,22;46,76;38.187;1.778.477
2019-02-20;46,38;47,24;45,76;47,14;53.422;2.495.313
2019-02-19;45,78;46,84;45,78;46,22;79.238;3.664.720
2019-02-18;45,26;46,08;45,26;45,94;64.439;2.948.954
2019-02-15;44,40;45,62;44,08;45,40;79.800;3.611.809
2019-02-14;46,68;46,68;43,82;44,24;106.060;4.748.861
2019-02-13;45,00;47,68;44,52;46,60;166.935;7.691.881
2019-02-12;42,62;44,44;42,62;43,84;101.411;4.444.215
2019-02-11;41,78;42,58;41,78;42,50;99.728;4.233.528
2019-02-08;43,78;43,80;41,38;41,64;232.045;9.812.162
2019-02-07;46,50;46,50;43,70;43,90;93.287;4.160.637
2019-02-06;45,56;47,04;45,56;46,60;82.466;3.834.220
2019-02-05;45,00;45,76;44,52;45,68;132.816;5.987.862
2019-02-04;45,76;45,76;44,44;45,08;118.170;5.313.347
2019-02-01;46,02;46,58;44,58;45,74;125.547;5.719.807
2019-01-31;46,98;47,58;46,00;46,14;70.601;3.281.581
2019-01-30;44,92;47,26;44,90;47,00;88.037;4.113.401
2019-01-29;47,28;47,28;44,46;44,80;129.933;5.861.965
2019-01-28;48,92;48,96;46,86;47,08;78.513;3.758.243
2019-01-25;48,08;49,24;48,08;48,88;41.567;2.034.154
2019-01-24;47,38;48,52;47,26;47,94;86.014;4.125.220
2019-01-23;47,56;47,88;46,86;47,38;54.089;2.564.455
2019-01-22;47,22;47,90;46,74;47,86;73.216;3.482.038
2019-01-21;48,52;48,72;47,22;47,44;31.765;1.510.350
2019-01-18;47,92;49,14;47,92;48,28;76.557;3.713.028
2019-01-17;46,88;47,82;46,08;47,70;26.306;1.247.904
2019-01-16;46,74;47,28;46,74;46,94;32.363;1.519.290
2019-01-15;46,88;47,68;46,66;46,74;66.206;3.097.547
2019-01-14;46,54;47,02;46,10;46,66;64.520;3.007.220
2019-01-11;47,30;47,30;45,76;46,76;76.021;3.535.623
2019-01-10;47,40;47,66;46,42;47,08;55.164;2.593.471
2019-01-09;46,40;48,36;45,82;47,38;109.875;5.209.989
2019-01-08;44,50;46,34;44,50;45,74;121.724;5.545.405
2019-01-07;44,20;45,00;44,06;44,76;91.956;4.101.652
2019-01-04;43,32;44,20;43,24;44,04;164.818;7.243.892
2019-01-03;44,20;44,24;42,64;42,64;55.105;2.379.055
2019-01-02;42,80;44,58;42,42;44,54;76.460;3.365.383
2018-12-28;43,46;44,24;43,12;43,18;45.832;2.001.854
2018-12-27;43,80;45,36;42,82;43,44;55.876;2.431.146
2018-12-21;43,68;44,68;43,50;43,92;145.699;6.415.563
2018-12-20;44,38;44,76;43,76;43,90;120.014;5.309.394
2018-12-19;44,34;45,64;43,86;45,00;111.902;5.026.646
2018-12-18;42,40;44,90;41,28;44,34;195.514;8.508.384
2018-12-17;44,22;44,28;40,44;42,08;212.127;8.916.823
2018-12-14;48,00;48,00;44,30;44,52;182.510;8.378.778
2018-12-13;46,20;48,60;45,52;48,26;146.855;7.020.379
2018-12-12;44,00;46,72;42,60;46,56;250.445;11.184.852
2018-12-11;45,40;46,86;43,84;46,20;204.027;9.265.162
2018-12-10;48,40;48,40;46,08;46,14;89.371;4.146.924
2018-12-07;48,58;50,35;48,44;48,86;96.140;4.714.794
2018-12-06;49,74;49,74;47,42;48,00;120.366;5.805.221
2018-12-05;50,20;51,10;49,52;50,20;46.033;2.315.101
2018-12-04;52,20;52,45;50,35;50,65;40.756;2.085.376
2018-12-03;52,15;55,15;52,15;52,60;113.083;6.058.689
2018-11-30;50,70;51,65;50,30;51,15;71.093;3.634.938
2018-11-29;48,80;51,95;48,80;50,65;75.227;3.810.444
2018-11-28;48,12;48,74;47,56;48,60;69.087;3.339.362
2018-11-27;49,44;49,44;47,80;48,28;81.942;3.967.521
2018-11-26;48,96;49,56;48,84;49,20;96.242;4.733.161
