Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;3,08;3,14;3,07;3,08;12.692;38.999
2019-08-13;3,08;3,12;3,07;3,07;8.204;25.406
2019-08-12;3,09;3,14;3,02;3,10;37.906;116.297
2019-08-09;3,12;3,12;3,12;3,12;0;0
2019-08-08;3,10;3,10;3,08;3,08;5.826;18.061
2019-08-07;3,12;3,15;3,09;3,10;17.798;55.223
2019-08-06;3,14;3,14;3,12;3,13;14.091;44.085
2019-08-05;3,12;3,20;3,10;3,15;15.810;49.430
2019-08-02;3,12;3,18;3,09;3,11;54.817;171.937
2019-08-01;3,05;3,11;3,05;3,09;22.900;70.306
2019-07-31;3,04;3,04;3,03;3,03;1.956;5.946
2019-07-30;3,02;3,03;3,02;3,03;6.100;18.422
2019-07-29;2,99;3,04;2,99;3,04;603;1.808
2019-07-26;3,01;3,01;3,00;3,00;2.538;7.630
2019-07-25;3,04;3,04;3,04;3,04;0;0
2019-07-24;3,06;3,08;3,04;3,04;13.418;41.240
2019-07-23;3,03;3,09;3,03;3,07;15.428;47.099
2019-07-22;2,97;2,99;2,97;2,99;430;1.277
2019-07-19;2,97;2,99;2,97;2,99;1.000;2.970
2019-07-18;3,00;3,00;2,97;2,97;4.164;12.492
2019-07-17;3,02;3,04;3,00;3,00;10.451;31.632
2019-07-16;3,05;3,06;3,05;3,06;3.235;9.867
2019-07-15;3,05;3,05;3,05;3,05;1;3
2019-07-12;3,14;3,14;3,05;3,05;9.599;29.407
2019-07-11;3,05;3,10;3,05;3,06;5.211;15.898
2019-07-10;3,06;3,12;3,05;3,05;2.416;7.386
2019-07-09;2,93;3,10;2,93;3,07;3.388;10.286
2019-07-08;2,94;3,00;2,94;2,95;2.606;7.724
2019-07-05;3,01;3,01;2,94;2,94;9.922;29.536
2019-07-04;3,08;3,08;3,00;3,00;2.695;8.286
2019-07-03;3,12;3,12;3,08;3,10;18.189;56.630
2019-07-02;3,12;3,13;3,12;3,13;311;970
2019-07-01;3,12;3,13;3,12;3,13;83;260
2019-06-28;3,12;3,12;3,08;3,09;11.705;36.353
2019-06-27;3,10;3,12;3,10;3,11;13.605;42.293
2019-06-26;3,10;3,10;3,10;3,10;437;1.355
2019-06-25;3,13;3,14;3,10;3,11;7.138;22.241
2019-06-24;3,13;3,16;3,12;3,16;5.842;18.240
2019-06-21;3,13;3,19;3,13;3,17;377;1.190
2019-06-20;3,13;3,15;3,13;3,13;8.100;25.415
2019-06-19;3,13;3,13;3,13;3,13;554;1.734
2019-06-18;3,15;3,15;3,13;3,14;1.504;4.710
2019-06-17;3,14;3,15;3,13;3,15;1.117;3.507
2019-06-14;3,15;3,15;3,14;3,14;651;2.051
2019-06-13;3,14;3,16;3,14;3,16;1.600;5.024
2019-06-12;3,14;3,16;3,13;3,16;1.350;4.237
2019-06-11;3,15;3,18;3,15;3,15;158;502
2019-06-07;3,18;3,19;3,15;3,15;7.891;25.114
2019-06-06;3,20;3,23;3,18;3,18;6.960;22.305
2019-06-05;3,20;3,22;3,20;3,20;1.359;4.350
2019-06-04;3,20;3,22;3,20;3,22;6.700;21.440
2019-06-03;3,22;3,22;3,22;3,22;0;0
2019-05-31;3,19;3,20;3,19;3,20;300;957
2019-05-30;3,21;3,21;3,19;3,19;3.540;11.334
2019-05-29;3,20;3,22;3,17;3,22;771;2.454
2019-05-28;3,20;3,23;3,20;3,22;917;2.945
2019-05-27;3,19;3,23;3,19;3,22;5.050;16.310
2019-05-24;3,18;3,21;3,18;3,21;1.686;5.373
2019-05-23;3,19;3,21;3,18;3,21;2.606;8.299
2019-05-22;3,22;3,23;3,19;3,20;7.256;23.281
2019-05-21;3,23;3,23;3,22;3,22;3.974;12.819
2019-05-20;3,23;3,24;3,23;3,24;168;543
2019-05-17;3,24;3,26;3,23;3,25;1.127;3.652
2019-05-16;3,23;3,24;3,22;3,24;613;1.978
2019-05-15;3,24;3,25;3,23;3,25;3.742;12.111
2019-05-14;3,24;3,26;3,24;3,26;2.085;6.784
2019-05-13;3,23;3,25;3,23;3,24;1.942;6.290
2019-05-10;3,23;3,25;3,23;3,24;751;2.429
2019-05-09;3,26;3,26;3,22;3,24;2.157;6.979
2019-05-08;3,28;3,28;3,25;3,26;11.933;38.882
2019-05-07;3,28;3,28;3,26;3,27;1.371;4.486
2019-05-06;3,26;3,29;3,26;3,27;6.674;21.880
2019-05-03;3,27;3,28;3,25;3,27;1.400;4.578
2019-05-02;3,30;3,30;3,28;3,28;4.999;16.399
2019-04-30;3,27;3,30;3,27;3,30;10.034;33.106
2019-04-29;3,26;3,31;3,26;3,27;2.973;9.797
2019-04-26;3,30;3,30;3,26;3,28;6.614;21.795
2019-04-25;3,30;3,30;3,30;3,30;0;0
2019-04-24;3,25;3,26;3,25;3,26;3.177;10.340
2019-04-23;3,25;3,25;3,24;3,25;7.949;25.817
2019-04-18;3,22;3,24;3,22;3,24;7.486;24.188
2019-04-17;3,28;3,28;3,22;3,22;10.541;34.172
2019-04-16;3,28;3,28;3,28;3,28;414;1.358
