Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;2,23;2,244;2,178;2,189;3.650.136;8.015.057
2019-08-13;2,17;2,241;2,165;2,226;8.032.893;17.768.244
2019-08-12;2,196;2,209;2,165;2,168;3.723.321;8.102.548
2019-08-09;2,232;2,241;2,176;2,184;4.841.638;10.630.693
2019-08-08;2,25;2,267;2,229;2,23;5.211.830;11.663.981
2019-08-07;2,222;2,246;2,209;2,24;4.898.670;10.921.402
2019-08-06;2,214;2,256;2,198;2,221;4.743.044;10.576.334
2019-08-05;2,265;2,279;2,218;2,22;4.825.411;10.784.855
2019-08-02;2,265;2,283;2,221;2,272;6.306.100;14.231.797
2019-08-01;2,301;2,325;2,274;2,274;5.381.583;12.318.818
2019-07-31;2,263;2,297;2,243;2,281;6.179.695;14.059.548
2019-07-30;2,311;2,315;2,245;2,262;4.360.492;9.869.614
2019-07-29;2,28;2,33;2,274;2,308;5.102.333;11.766.980
2019-07-26;2,238;2,26;2,216;2,25;4.539.555;10.177.672
2019-07-25;2,25;2,277;2,214;2,23;6.687.901;14.953.397
2019-07-24;2,30;2,327;2,229;2,24;9.374.406;21.153.632
2019-07-23;2,224;2,239;2,196;2,234;3.952.125;8.800.642
2019-07-22;2,23;2,231;2,178;2,215;6.161.680;13.567.757
2019-07-19;2,21;2,231;2,199;2,227;3.627.808;8.047.997
2019-07-18;2,242;2,254;2,197;2,198;5.344.715;11.829.530
2019-07-17;2,221;2,222;2,169;2,203;6.279.984;13.794.489
2019-07-16;2,232;2,252;2,211;2,22;2.905.924;6.462.942
2019-07-15;2,275;2,283;2,23;2,238;5.158.000;11.590.708
2019-07-12;2,30;2,325;2,266;2,266;5.630.542;12.826.559
2019-07-11;2,39;2,396;2,282;2,307;7.865.203;18.269.158
2019-07-10;2,435;2,44;2,385;2,385;4.637.636;11.118.696
2019-07-09;2,431;2,46;2,423;2,449;3.739.820;9.144.175
2019-07-08;2,49;2,498;2,436;2,436;3.500.429;8.569.680
2019-07-05;2,454;2,495;2,454;2,465;2.491.300;6.154.644
2019-07-04;2,441;2,473;2,435;2,45;2.301.533;5.647.366
2019-07-03;2,422;2,438;2,422;2,427;3.224.734;7.832.946
2019-07-02;2,451;2,46;2,42;2,424;3.248.903;7.887.250
2019-07-01;2,468;2,477;2,438;2,463;4.047.046;9.948.283
2019-06-28;2,417;2,457;2,414;2,457;3.777.158;9.246.438
2019-06-27;2,437;2,45;2,415;2,419;3.136.119;7.610.986
2019-06-26;2,431;2,44;2,418;2,439;2.651.787;6.457.787
2019-06-25;2,408;2,44;2,36;2,437;6.475.218;15.692.469
2019-06-24;2,423;2,448;2,405;2,427;2.934.171;7.113.261
2019-06-21;2,46;2,481;2,395;2,416;11.730.253;28.374.458
2019-06-20;2,49;2,505;2,449;2,449;5.606.660;13.793.056
2019-06-19;2,47;2,483;2,446;2,48;5.399.853;13.344.370
2019-06-18;2,45;2,468;2,386;2,463;7.066.794;17.292.494
2019-06-17;2,483;2,483;2,442;2,442;4.923.907;12.081.462
2019-06-14;2,559;2,559;2,461;2,475;6.473.461;16.101.425
2019-06-13;2,55;2,625;2,543;2,55;7.691.094;19.817.664
2019-06-12;2,538;2,556;2,508;2,516;4.340.610;10.945.525
2019-06-11;2,575;2,576;2,541;2,542;3.403.719;8.673.205
2019-06-07;2,553;2,572;2,535;2,558;3.444.822;8.804.043
2019-06-06;2,537;2,57;2,533;2,546;3.571.968;9.100.525
2019-06-05;2,526;2,563;2,513;2,53;4.402.155;11.158.369
2019-06-04;2,471;2,559;2,471;2,534;4.143.700;10.501.358
2019-06-03;2,506;2,507;2,467;2,481;3.581.467;8.877.874
2019-05-31;2,458;2,514;2,458;2,511;4.639.820;11.583.702
2019-05-30;2,514;2,549;2,479;2,485;3.904.474;9.736.272
2019-05-29;2,495;2,534;2,446;2,515;6.422.712;16.068.767
2019-05-28;2,58;2,58;2,457;2,483;30.179.212;75.010.952
2019-05-27;2,549;2,615;2,54;2,589;4.036.049;10.460.721
2019-05-24;2,56;2,599;2,528;2,528;5.139.503;13.119.184
2019-05-23;2,602;2,625;2,551;2,551;6.360.189;16.316.841
2019-05-22;2,617;2,648;2,586;2,62;7.268.366;19.000.096
2019-05-21;2,60278;2,63088;2,56833;2,58827;8.084.658;20.911.766
2019-05-20;2,59734;2,63813;2,5792;2,60096;4.920.214;12.801.446
2019-05-17;2,60278;2,60368;2,53388;2,57467;5.846.803;15.001.402
2019-05-16;2,54385;2,61456;2,53841;2,6064;6.554.538;16.970.936
2019-05-15;2,55835;2,56017;2,50668;2,53478;4.925.921;12.471.345
2019-05-14;2,50215;2,5919;2,47223;2,54747;5.718.120;14.612.313
2019-05-13;2,61093;2,61819;2,48401;2,49308;7.377.262;18.540.136
2019-05-10;2,63813;2,6753;2,58464;2,58464;13.832.532;36.003.224
2019-05-09;2,67439;2,68981;2,60096;2,60731;5.357.293;14.045.996
2019-05-08;2,59734;2,64448;2,59371;2,59371;3.984.904;10.402.535
2019-05-07;2,62;2,65445;2,58646;2,59371;5.042.294;13.179.777
2019-05-06;2,58102;2,59462;2,56017;2,56923;3.180.467;8.180.458
2019-05-03;2,6472;2,64992;2,59008;2,59824;3.955.829;10.308.729
2019-05-02;2,63451;2,65989;2,61637;2,64085;3.475.443;9.186.780
2019-04-30;2,63632;2,65173;2,61184;2,62544;4.556.419;11.967.393
2019-04-29;2,60187;2,64357;2,58918;2,62816;2.692.751;7.064.773
2019-04-26;2,57648;2,5928;2,56651;2,58192;3.134.436;8.094.015
2019-04-25;2,56289;2,58555;2,52844;2,58102;4.033.339;10.340.929
2019-04-24;2,62907;2,63722;2,53931;2,53931;5.784.686;14.826.787
2019-04-23;2,63632;2,65808;2,62;2,63994;4.824.797;12.752.794
2019-04-18;2,5928;2,62997;2,58283;2,62635;4.865.040;12.722.811
2019-04-17;2,58646;2,60006;2,55382;2,58555;3.518.179;9.079.409
2019-04-16;2,54566;2,58192;2,54203;2,57104;3.959.700;10.165.828
2019-04-15;2,46407;2,53841;2,45319;2,53841;4.863.754;12.249.449
2019-04-12;2,46951;2,47223;2,44775;2,4541;6.098.961;14.984.081
2019-04-11;2,51393;2,51574;2,44866;2,46498;8.171.796;20.128.500
2019-04-10;2,61093;2,61093;2,50305;2,50849;7.500.461;19.015.868
2019-04-09;2,64538;2,64629;2,59824;2,61003;4.147.841;10.845.714
2019-04-08;2,6472;2,66352;2,63813;2,63813;4.088.984;10.827.403
2019-04-05;2,65626;2,66805;2,62635;2,64266;3.579.352;9.451.267
2019-04-04;2,66442;2,67983;2,62816;2,64992;4.142.115;10.965.376
2019-04-03;2,6336;2,66533;2,59824;2,66533;6.679.871;17.676.696
2019-04-02;2,56289;2,59915;2,54203;2,5919;5.398.994;13.916.271
2019-04-01;2,54747;2,57014;2,5239;2,55835;6.461.228;16.481.469
2019-03-29;2,59371;2,59371;2,52753;2,5375;6.234.074;15.861.536
2019-03-28;2,65445;2,65717;2,5783;2,58374;5.420.688;14.104.735
2019-03-27;2,68346;2,6889;2,62635;2,65264;4.382.618;11.621.247
2019-03-26;2,6617;2,68346;2,60731;2,67711;4.825.330;12.799.180
2019-03-25;2,68346;2,70522;2,66261;2,66352;4.082.116;10.920.796
2019-03-22;2,7161;2,73332;2,67983;2,68346;4.442.126;11.992.810
2019-03-21;2,67893;2,7161;2,67167;2,71338;4.973.389;13.436.359
2019-03-20;2,68346;2,69525;2,6608;2,67983;5.606.463;15.011.943
2019-03-19;2,68799;2,72516;2,66986;2,67349;5.383.880;14.465.095
2019-03-18;2,68709;2,70794;2,66896;2,67983;4.970.990;13.336.559
2019-03-15;2,66896;2,69525;2,65536;2,67077;8.471.809;22.638.148
2019-03-14;2,65898;2,68346;2,65354;2,67439;4.903.398;13.106.374
2019-03-13;2,66352;2,66896;2,64176;2,6472;3.753.276;9.944.910
2019-03-12;2,66896;2,67258;2,64992;2,66533;4.504.586;11.996.514
2019-03-11;2,67893;2,68346;2,6472;2,66624;3.506.455;9.341.814
2019-03-08;2,65173;2,67439;2,64538;2,65898;3.373.968;8.979.977
2019-03-07;2,64085;2,6608;2,62635;2,65264;4.345.026;11.505.336
2019-03-06;2,62907;2,64357;2,61456;2,62907;3.286.382;8.631.665
2019-03-05;2,62544;2,6617;2,61093;2,62907;4.561.882;12.023.243
2019-03-04;2,63813;2,64085;2,62181;2,62544;2.723.172;7.154.876
2019-03-01;2,64085;2,64266;2,5928;2,62544;5.001.869;13.124.003
2019-02-28;2,64357;2,64448;2,60731;2,61637;6.229.192;16.322.116
2019-02-27;2,66352;2,66533;2,62907;2,64629;3.342.077;8.846.028
2019-02-26;2,63813;2,66624;2,61637;2,65898;3.683.782;9.757.731
2019-02-25;2,67439;2,68527;2,63179;2,63179;3.976.334;10.542.789
2019-02-22;2,71247;2,73785;2,62907;2,65898;5.872.759;15.672.468
2019-02-21;2,69162;2,73604;2,67621;2,72335;4.144.994;11.255.962
2019-02-20;2,7723;2,78953;2,62181;2,70884;7.910.324;21.303.978
2019-02-19;2,76415;2,7723;2,73785;2,74873;4.032.087;11.082.872
2019-02-18;2,73785;2,7578;2,71428;2,75145;2.878.070;7.896.662
2019-02-15;2,63451;2,70884;2,63451;2,70794;4.274.712;11.497.346
