Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;19,20;19,35;19,20;19,35;80;1.536
2019-07-18;19,45;19,45;19,20;19,25;345;6.685
2019-07-17;19,00;19,20;19,00;19,20;110;2.093
2019-07-16;19,00;19,15;19,00;19,15;10;190
2019-07-15;19,25;19,25;19,25;19,25;0;0
2019-07-12;19,25;19,25;19,25;19,25;0;0
2019-07-11;19,00;19,15;19,00;19,15;2.711;51.509
2019-07-10;19,05;19,20;19,05;19,20;1.033;19.682
2019-07-09;19,05;19,20;19,05;19,20;379;7.223
2019-07-08;19,05;19,30;19,05;19,25;883;16.887
2019-07-05;19,00;19,25;19,00;19,25;200;3.810
2019-07-04;19,45;19,45;19,25;19,25;318;6.165
2019-07-03;19,00;19,25;19,00;19,25;717;13.623
2019-07-02;19,00;19,20;19,00;19,20;668;12.717
2019-07-01;19,00;19,30;19,00;19,30;893;17.222
2019-06-28;19,10;19,25;19,10;19,20;1.128;21.564
2019-06-26;19,45;19,45;19,15;19,25;412;7.965
2019-06-25;19,70;19,85;19,45;19,45;5.311;104.778
2019-06-24;19,80;19,80;19,35;19,60;15.438;300.056
2019-06-21;19,80;19,85;19,75;19,75;2.692;53.193
2019-06-20;19,90;19,90;19,75;19,80;15.114;298.511
2019-06-19;19,80;19,80;19,75;19,80;2.227;44.011
2019-06-18;19,90;19,90;19,80;19,80;57.864;1.145.847
2019-06-17;19,90;19,90;19,80;19,80;760;15.088
2019-06-14;19,80;19,90;19,80;19,85;6.767;134.006
2019-06-13;19,80;19,85;19,80;19,85;17.275;342.062
2019-06-12;19,80;19,90;19,80;19,80;4.526;89.632
2019-06-11;19,85;19,90;19,80;19,80;1.824;36.127
2019-06-07;19,90;19,90;19,80;19,90;4.209;83.442
2019-06-06;20,00;20,00;19,80;19,85;4.216;83.766
2019-06-05;19,80;20,10;19,80;19,90;56.183;1.112.807
2019-06-04;19,80;19,85;19,80;19,85;2.445;48.412
2019-06-03;19,80;19,90;19,80;19,85;7.305;144.646
