Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;3,34;3,34;3,34;3,34;0;0
2019-08-13;3,32;3,36;3,32;3,36;450;1.494
2019-08-12;3,60;3,60;3,30;3,36;14.647;50.213
2019-08-09;3,48;3,56;3,28;3,56;7.625;25.480
2019-08-08;3,48;3,48;3,48;3,48;0;0
2019-08-07;3,56;3,56;3,52;3,52;4.493;15.937
2019-08-06;3,64;3,68;3,64;3,68;1.114;4.060
2019-08-05;3,56;3,64;3,56;3,64;623;2.218
2019-08-02;3,66;3,66;3,66;3,66;0;0
2019-08-01;3,66;3,66;3,66;3,66;0;0
2019-07-31;3,62;3,62;3,62;3,62;2.000;7.240
2019-07-30;3,74;3,74;3,74;3,74;0;0
2019-07-29;3,74;3,76;3,70;3,70;1.500;5.617
2019-07-26;3,52;3,64;3,52;3,64;1.986;6.991
2019-07-25;3,64;3,64;3,64;3,64;0;0
2019-07-24;3,70;3,80;3,70;3,80;2.250;8.345
2019-07-23;3,46;3,58;3,46;3,58;1.080;3.818
2019-07-22;3,64;3,68;3,58;3,58;3.600;12.980
2019-07-19;3,70;3,70;3,68;3,68;150;555
2019-07-18;3,70;3,70;3,70;3,70;0;0
2019-07-17;3,72;3,72;3,72;3,72;0;0
2019-07-16;3,72;3,72;3,72;3,72;1.031;3.835
2019-07-15;3,72;3,72;3,72;3,72;0;0
2019-07-12;3,72;3,74;3,72;3,74;80;298
2019-07-11;3,82;3,82;3,72;3,74;5.127;19.315
2019-07-10;4,04;4,04;3,84;3,84;2.553;10.145
2019-07-09;3,92;4,00;3,80;3,90;7.007;27.495
2019-07-08;4,12;4,22;3,94;4,04;14.125;57.598
2019-07-05;4,26;4,26;4,16;4,16;985;4.196
2019-07-04;4,20;4,20;4,08;4,08;1.300;5.460
2019-07-03;4,10;4,20;4,10;4,12;924;3.850
2019-07-02;4,08;4,08;4,06;4,06;1.000;4.080
2019-07-01;4,10;4,10;4,06;4,06;295;1.210
2019-06-28;4,10;4,10;4,10;4,10;0;0
2019-06-27;4,16;4,16;4,16;4,16;0;0
2019-06-26;4,16;4,30;4,16;4,18;14.350;60.132
2019-06-25;4,14;4,26;4,14;4,22;5.546;23.160
2019-06-24;4,16;4,16;3,96;4,14;17.801;72.918
2019-06-21;4,04;4,14;4,04;4,10;588;2.399
2019-06-20;4,06;4,18;4,00;4,12;7.978;32.847
2019-06-19;4,38;4,48;3,86;4,20;32.107;134.922
2019-06-18;3,72;4,26;3,72;4,20;20.290;80.117
2019-06-17;3,62;3,74;3,62;3,74;2.163;8.002
2019-06-14;3,68;3,70;3,66;3,66;1.975;7.285
2019-06-13;3,70;3,70;3,64;3,64;400;1.478
2019-06-12;3,68;3,68;3,66;3,66;1.400;5.152
2019-06-11;3,56;3,80;3,56;3,58;4.650;16.805
2019-06-07;3,56;3,56;3,40;3,50;269;947
2019-06-06;3,50;3,50;3,50;3,50;1;4
2019-06-05;3,50;3,54;3,50;3,54;600;2.100
2019-06-04;3,60;3,60;3,42;3,42;15;54
2019-06-03;3,64;3,64;3,54;3,54;100;364
2019-05-31;3,64;3,64;3,54;3,54;7.412;26.980
2019-05-30;3,64;3,68;3,64;3,68;220;801
2019-05-29;3,68;3,68;3,64;3,68;6.466;23.602
2019-05-28;3,54;3,66;3,50;3,66;7.409;26.091
2019-05-27;3,62;3,68;3,62;3,68;6.512;23.604
2019-05-24;3,56;3,66;3,56;3,66;25.178;90.802
2019-05-23;3,68;3,68;3,68;3,68;0;0
2019-05-22;3,68;3,68;3,68;3,68;0;0
2019-05-21;3,66;3,68;3,62;3,68;22.505;82.001
2019-05-20;3,62;3,68;3,60;3,68;6.000;21.680
2019-05-17;3,70;3,72;3,58;3,72;8.833;31.642
2019-05-16;3,64;3,72;3,64;3,70;2.100;7.652
2019-05-15;3,72;3,80;3,64;3,74;6.367;23.949
2019-05-14;3,58;3,68;3,58;3,66;1.816;6.621
2019-05-13;3,78;3,78;3,60;3,70;19.753;71.365
2019-05-10;3,64;3,84;3,58;3,74;10.557;38.475
2019-05-09;3,98;3,98;3,64;3,76;32.986;120.533
2019-05-08;3,82;4,06;3,80;3,80;9.469;37.216
2019-05-07;3,84;3,96;3,82;3,96;1.500;5.740
2019-05-06;3,94;3,96;3,94;3,96;6.057;23.964
2019-05-03;3,64;3,90;3,58;3,90;15.493;56.624
2019-05-02;3,78;3,78;3,72;3,72;150;567
2019-04-30;3,48;3,64;3,48;3,64;8.800;31.266
2019-04-29;3,40;3,46;3,40;3,46;102;349
2019-04-26;3,46;3,46;3,46;3,46;0;0
2019-04-25;3,50;3,50;3,50;3,50;0;0
2019-04-24;3,42;3,48;3,28;3,48;2.127;7.277
2019-04-23;3,36;3,36;3,36;3,36;0;0
2019-04-18;3,30;3,30;3,30;3,30;0;0
2019-04-17;3,34;3,34;3,34;3,34;2;7
2019-04-16;3,34;3,34;3,34;3,34;0;0
2019-04-15;3,36;3,36;3,34;3,34;75;252
