Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-05;0,0215;0,0215;0,0215;0,0215;10.000;215
2019-08-01;0,0215;0,0215;0,0215;0,0215;1.000;22
2019-07-31;0,022;0,022;0,022;0,022;24.201;532
2019-07-30;0,011;0,011;0,011;0,011;40.000;440
2019-07-23;0,025;0,027;0,025;0,027;21.799;585
2019-07-22;0,018;0,018;0,018;0,018;0;0
2019-07-18;0,018;0,018;0,018;0,018;20.000;360
2019-07-17;0,011;0,016;0,011;0,016;20;0
2019-07-16;0,011;0,011;0,011;0,011;0;0
2019-07-15;0,011;0,011;0,011;0,011;0;0
2019-07-12;0,011;0,0115;0,011;0,0115;1.684;19
2019-07-11;0,011;0,012;0,011;0,012;40.000;480
2019-07-10;0,011;0,011;0,011;0,011;0;0
2019-07-09;0,011;0,011;0,011;0,011;0;0
2019-07-08;0,011;0,011;0,011;0,011;0;0
2019-07-05;0,011;0,011;0,011;0,011;0;0
2019-07-04;0,011;0,011;0,011;0,011;0;0
2019-07-03;0,0125;0,0125;0,0125;0,0125;4.500;56
2019-07-02;0,013;0,013;0,013;0,013;0;0
2019-07-01;0,013;0,0135;0,013;0,0135;540;7
2019-06-28;0,011;0,011;0,011;0,011;0;0
2019-06-27;0,011;0,011;0,011;0,011;0;0
2019-06-26;0,011;0,011;0,011;0,011;0;0
2019-06-25;0,011;0,011;0,011;0,011;0;0
2019-06-24;0,011;0,011;0,011;0,011;0;0
2019-06-21;0,011;0,011;0,011;0,011;0;0
2019-06-20;0,011;0,011;0,011;0,011;0;0
2019-06-19;0,0125;0,0125;0,0125;0,0125;200;3
2019-06-17;0,022;0,0225;0,022;0,022;74.154;1.653
2019-06-14;0,022;0,022;0,022;0,022;0;0
2019-06-13;0,022;0,022;0,022;0,022;0;0
2019-06-12;0,022;0,022;0,022;0,022;0;0
2019-06-11;0,022;0,022;0,022;0,022;0;0
2019-06-07;0,022;0,022;0,022;0,022;0;0
2019-06-06;0,022;0,022;0,022;0,022;0;0
2019-06-05;0,022;0,022;0,022;0,022;0;0
2019-06-04;0,0245;0,0245;0,0245;0,0245;1.100;27
2019-05-29;0,0355;0,0355;0,0355;0,0355;1.850;66
2019-05-02;0,0355;0,0355;0,0355;0,0355;500;18
2019-04-16;0,046;0,046;0,046;0,046;27.842;1.281
