Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;44,30;44,30;43,58;43,98;1.010.388;44.337.312
2019-07-18;43,88;44,34;43,80;44,19;968.567;42.764.660
2019-07-17;43,58;44,26;43,31;43,83;1.033.954;45.317.760
2019-07-16;43,89;43,89;43,14;43,47;1.329.497;57.742.268
2019-07-15;43,63;44,08;43,18;43,82;924.389;40.409.096
2019-07-12;44,13;44,20;43,49;43,65;1.282.169;56.048.356
2019-07-11;44,81;44,98;44,10;44,13;1.277.780;56.686.860
2019-07-10;44,86;44,86;44,07;44,55;822.222;36.555.756
2019-07-09;44,39;45,19;44,39;44,89;1.293.021;57.919.840
2019-07-08;44,09;44,64;43,97;44,45;880.179;39.047.668
2019-07-05;44,90;45,32;44,04;44,15;1.066.351;47.592.856
2019-07-04;44,68;44,96;44,35;44,79;1.294.223;57.906.736
2019-07-03;43,49;44,59;43,45;44,31;2.111.105;93.446.272
2019-07-02;42,43;43,28;42,07;43,12;1.746.719;75.031.392
2019-07-01;42,72;42,99;42,24;42,40;2.069.410;87.960.016
2019-06-28;41,88;42,06;41,71;42,00;2.621.189;109.920.080
2019-06-27;42,42;42,42;41,59;41,82;1.930.647;80.800.832
2019-06-26;42,75;42,84;42,18;42,30;1.615.706;68.529.760
2019-06-25;42,86;43,27;42,56;42,90;1.980.383;84.998.160
2019-06-24;43,02;43,27;42,69;42,93;1.708.509;73.479.472
2019-06-21;43,50;43,79;42,90;42,91;5.818.881;250.269.552
2019-06-20;44,60;44,73;43,56;43,56;2.589.500;113.621.464
2019-06-19;45,77;45,82;44,08;44,54;3.151.109;140.612.608
2019-06-18;46,31;47,27;45,86;46,05;2.261.921;104.808.360
2019-06-17;46,18;46,40;46,00;46,25;1.059.916;49.008.368
2019-06-14;45,85;46,07;45,46;46,05;1.162.256;53.330.548
2019-06-13;45,75;46,67;45,63;45,95;1.689.789;78.010.584
2019-06-12;45,39;45,75;45,22;45,60;1.526.035;69.507.208
2019-06-11;45,50;45,81;44,64;45,56;2.602.124;117.995.440
2019-06-07;45,38;45,53;44,63;44,72;2.783.317;125.041.000
2019-06-06;47,48;47,55;44,71;45,49;3.436.776;157.642.480
2019-06-05;47,85;47,85;47,15;47,72;1.381.811;65.702.668
2019-06-04;47,71;48,36;47,56;47,65;2.817.212;134.651.424
2019-06-03;47,01;47,64;46,71;47,55;1.677.101;79.457.472
2019-05-31;46,16;47,13;46,04;46,96;2.146.858;100.337.176
2019-05-30;46,34;46,42;45,89;46,29;2.292.568;106.041.744
2019-05-29;47,00;47,22;46,32;46,44;1.709.888;79.629.344
2019-05-28;48,18;48,18;47,05;47,12;2.131.954;100.996.864
2019-05-27;47,82;48,07;47,65;47,87;528.474;25.328.412
2019-05-24;47,74;47,86;47,34;47,82;1.349.296;64.381.884
2019-05-23;47,05;47,73;46,79;47,59;1.709.204;81.027.728
2019-05-22;47,39;47,65;46,99;47,16;1.235.211;58.352.412
2019-05-21;47,34;47,97;46,99;47,68;1.446.791;68.911.568
2019-05-20;47,46;47,96;47,38;47,44;1.018.218;48.431.948
2019-05-17;47,70;47,82;47,23;47,26;1.439.110;68.219.344
2019-05-16;48,35;48,90;48,18;48,84;1.541.226;75.095.832
2019-05-15;48,30;48,72;48,10;48,55;1.509.332;73.107.088
2019-05-14;48,23;48,65;47,05;48,09;3.312.087;158.712.464
2019-05-13;47,90;48,93;47,72;48,82;1.812.966;88.005.704
2019-05-10;47,85;48,14;47,53;48,00;1.625.127;77.940.064
2019-05-09;46,44;47,66;46,39;47,66;1.523.499;72.235.344
2019-05-08;46,81;47,02;46,41;46,41;1.979.019;92.159.664
2019-05-07;45,59;47,21;45,54;47,10;2.754.129;128.757.792
2019-05-06;44,87;45,04;44,53;44,76;965.846;43.209.096
2019-05-03;45,10;45,42;44,91;45,00;1.411.235;63.726.844
