Datum;Erster;Hoch;Tief;Schlusskurs;Vol. (nom.);Volumen
2019-07-19;102,15;102,30;102,11;102,30;0;0
2019-07-18;102,11;102,15;102,11;102,15;0;0
2019-07-17;102,30;102,30;102,11;102,11;0;0
2019-07-16;101,96;102,06;101,96;102,06;0;0
2019-07-15;102,30;102,30;101,96;101,96;0;0
2019-07-12;102,30;102,30;102,30;102,30;0;0
2019-07-11;101,80;102,30;101,80;102,30;0;0
2019-07-10;101,30;101,51;101,30;101,51;0;0
2019-07-09;101,55;101,55;101,30;101,31;0;0
2019-07-08;102,50;102,50;101,55;101,55;0;0
2019-07-05;102,38;102,50;101,80;102,50;0;0
2019-07-04;102,80;102,80;102,30;102,38;0;0
2019-07-03;103,40;103,40;102,80;102,80;0;0
2019-07-02;103,40;103,40;103,40;103,40;0;0
2019-07-01;102,40;102,40;102,40;102,40;0;0
2019-06-26;103,95;103,95;103,15;103,15;0;0
2019-06-25;102,90;103,97;102,90;103,95;0;0
2019-06-24;102,90;103,15;102,90;103,15;0;0
2019-06-21;102,90;102,90;102,90;102,90;0;0
2019-06-20;102,90;102,90;102,90;102,90;0;0
2019-06-19;102,90;102,90;102,90;102,90;0;0
2019-06-18;102,90;102,90;102,90;102,90;0;0
2019-06-17;103,40;103,40;102,90;102,90;0;0
2019-06-14;103,50;103,50;103,40;103,40;0;0
2019-06-13;103,00;103,50;103,00;103,50;0;0
2019-06-12;103,25;103,25;103,25;103,25;0;0
2019-06-11;103,35;103,35;103,25;103,25;0;0
2019-06-07;103,15;103,35;103,15;103,35;0;0
2019-06-06;103,03;103,15;103,03;103,15;0;0
2019-06-05;103,25;103,25;102,75;103,03;0;0
2019-06-04;102,75;103,25;102,75;103,25;0;0
2019-06-03;102,25;102,75;102,25;102,75;0;0
2019-05-31;102,25;102,25;102,25;102,25;0;0
2019-05-30;102,10;102,25;102,10;102,25;0;0
2019-05-29;102,10;102,10;102,10;102,10;0;0
2019-05-28;102,50;102,50;102,10;102,10;0;0
2019-05-27;102,10;102,25;102,10;102,25;0;0
2019-05-24;102,50;102,50;102,10;102,10;0;0
2019-05-23;102,50;102,68;102,50;102,50;0;0
2019-05-22;102,15;102,25;102,15;102,25;0;0
2019-05-21;102,10;102,15;102,10;102,15;0;0
2019-05-20;102,10;102,10;102,10;102,10;0;0
2019-05-17;102,10;102,10;102,10;102,10;0;0
2019-05-16;102,10;102,10;102,10;102,10;0;0
2019-05-15;102,50;102,50;102,25;102,25;0;0
2019-05-14;102,50;103,50;102,50;102,50;0;0
2019-05-13;102,50;102,50;102,50;102,50;0;0
2019-05-10;102,50;102,50;102,50;102,50;0;0
2019-05-09;102,10;102,50;102,10;102,50;0;0
2019-05-08;102,00;102,10;102,00;102,10;0;0
2019-05-07;102,00;102,00;102,00;102,00;0;0
2019-05-06;102,00;103,00;102,00;102,00;0;0
