Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;16,75;17,50;16,75;17,45;13.698;233.949
2019-05-02;17,20;17,20;16,95;17,00;4.823;82.289
2019-04-30;17,55;17,60;16,85;17,25;8.204;141.993
2019-04-29;17,60;17,90;17,40;17,50;5.299;93.527
2019-04-26;17,25;17,65;17,25;17,65;7.171;125.642
2019-04-25;17,30;17,50;17,25;17,45;8.175;141.734
2019-04-24;17,15;17,50;17,10;17,40;19.970;345.408
2019-04-23;16,90;17,65;16,60;17,10;31.401;538.443
2019-04-18;15,90;16,85;15,90;16,45;28.676;471.363
2019-04-17;15,60;16,00;15,25;15,75;17.514;274.471
2019-04-16;15,60;15,70;15,60;15,70;1.124;17.559
2019-04-15;15,40;15,60;15,40;15,55;309;4.800
2019-04-12;15,25;15,65;15,25;15,65;15.336;234.939
2019-04-11;15,20;15,30;15,00;15,25;5.233;79.029
2019-04-10;15,00;15,20;14,95;15,15;9.363;140.623
2019-04-09;14,80;15,15;14,60;15,15;9.223;137.918
2019-04-08;14,85;14,85;14,60;14,65;874;12.848
2019-04-05;14,55;14,80;14,55;14,70;285;4.212
2019-04-04;14,75;14,80;14,55;14,55;1.812;26.679
2019-04-03;14,20;14,95;14,20;14,95;8.022;117.962
2019-04-02;14,50;14,55;14,25;14,55;6.151;88.676
2019-04-01;13,90;14,55;13,90;14,40;11.531;163.799
2019-03-29;14,30;14,55;13,85;14,05;2.499;35.484
2019-03-28;14,50;14,60;14,35;14,45;3.221;46.637
2019-03-27;14,60;14,70;14,25;14,30;3.283;47.772
2019-03-26;14,30;14,55;14,05;14,40;6.117;87.987
2019-03-25;14,15;14,30;13,95;14,15;6.234;87.851
2019-03-22;13,35;14,40;13,35;14,25;13.469;186.838
2019-03-21;14,10;14,10;13,30;13,35;16.528;225.394
2019-03-20;14,85;14,85;14,15;14,15;11.250;161.302
2019-03-19;14,95;15,20;14,65;14,70;9.423;140.506
2019-03-18;15,00;15,00;14,60;14,65;2.925;43.256
2019-03-15;14,70;15,10;14,70;14,75;5.026;75.240
2019-03-14;14,95;14,95;14,60;14,70;8.581;126.359
2019-03-13;14,95;15,00;14,65;14,75;3.011;44.589
2019-03-12;15,20;15,20;14,80;15,10;2.631;39.553
2019-03-11;14,90;15,20;14,70;15,00;3.872;58.034
2019-03-08;14,90;14,95;14,65;14,65;1.539;22.812
2019-03-07;14,75;14,90;14,60;14,80;11.497;169.206
2019-03-06;15,00;15,20;14,80;14,90;13.086;196.630
2019-03-05;15,10;15,10;14,80;15,00;6.640;99.584
2019-03-04;15,20;15,20;14,80;14,90;10.884;162.727
2019-03-01;14,95;15,50;14,65;14,65;10.382;156.937
2019-02-28;14,85;15,20;14,65;14,85;28.059;419.704
2019-02-27;14,55;14,95;14,50;14,70;12.525;184.244
2019-02-26;14,50;15,60;14,30;14,50;166.031;2.424.922
2019-02-25;15,85;16,20;15,85;15,85;18.479;295.569
2019-02-22;16,60;16,70;15,80;16,00;36.605;602.131
2019-02-21;16,90;16,90;16,45;16,75;6.287;104.783
2019-02-20;16,85;17,15;16,75;16,90;15.861;268.687
2019-02-19;16,35;16,45;16,00;16,45;2.117;34.312
2019-02-18;16,80;16,85;16,15;16,30;5.463;89.938
2019-02-15;16,80;16,80;16,60;16,70;1.444;24.259
2019-02-14;16,60;16,70;16,50;16,60;7.661;126.903
2019-02-13;16,45;16,45;16,35;16,45;999;16.407
2019-02-12;16,00;16,55;16,00;16,15;7.844;126.937
2019-02-11;16,10;16,25;15,40;16,10;5.163;81.395
2019-02-08;16,30;16,30;15,65;15,70;4.330;68.213
2019-02-07;17,20;17,20;16,45;16,45;6.345;106.625
2019-02-06;16,75;17,15;16,75;17,10;5.494;93.668
2019-02-05;17,00;17,00;16,85;16,90;3.502;59.384
2019-02-04;16,70;17,10;16,70;16,80;9.287;156.698
2019-02-01;16,80;17,00;16,20;16,30;10.086;167.737
2019-01-31;16,85;16,95;16,50;16,90;3.492;58.503
2019-01-30;16,75;16,75;16,35;16,50;4.649;77.246
2019-01-29;16,75;17,00;16,75;16,80;27.132;456.166
2019-01-28;17,00;17,15;16,55;16,55;22.157;375.502
2019-01-25;16,50;16,80;16,40;16,45;14.082;234.476
2019-01-24;15,90;16,30;15,90;16,30;22.192;357.219
2019-01-23;15,50;16,10;15,50;15,70;11.565;183.687
2019-01-22;15,30;15,45;15,30;15,45;4.914;75.251
2019-01-21;15,20;15,50;15,15;15,30;2.041;31.173
2019-01-18;15,00;15,20;15,00;15,15;12.254;184.473
2019-01-17;14,65;15,00;14,40;15,00;18.543;273.814
2019-01-16;14,60;14,75;14,10;14,75;3.699;53.173
2019-01-15;14,90;14,90;14,40;14,40;9.624;140.980
2019-01-14;15,05;15,05;14,75;14,90;2.285;34.023
2019-01-11;14,80;15,10;14,80;15,00;7.578;113.568
2019-01-10;14,00;14,90;14,00;14,85;6.861;100.157
2019-01-09;14,05;14,55;13,85;14,20;44.496;628.525
2019-01-08;13,80;13,80;13,25;13,75;4.412;60.221
2019-01-07;13,65;13,80;13,60;13,65;1.630;22.232
2019-01-04;13,65;13,65;13,65;13,65;0;0
2019-01-03;13,70;13,80;13,35;13,55;9.216;125.557
2019-01-02;13,50;14,05;13,45;13,85;13.140;178.982
2018-12-28;13,30;13,60;13,30;13,50;7.810;105.593
2018-12-27;13,55;13,55;13,30;13,40;3.222;43.485
2018-12-21;14,10;14,10;13,70;13,70;2.783;38.565
2018-12-20;14,30;14,50;13,90;14,50;12.070;171.394
2018-12-19;13,40;14,40;13,30;14,40;8.604;118.618
2018-12-18;13,70;13,80;13,45;13,60;1.689;22.935
2018-12-17;13,00;13,80;12,95;13,75;12.664;168.547
2018-12-14;12,75;13,00;12,45;13,00;10.603;132.261
2018-12-13;12,80;12,80;12,65;12,75;2.738;34.970
2018-12-12;12,75;12,80;12,40;12,80;8.257;104.782
2018-12-11;12,60;12,80;12,15;12,55;12.394;155.048
2018-12-10;12,80;13,00;12,15;12,70;24.564;308.493
2018-12-07;13,40;13,50;13,05;13,10;6.343;83.356
2018-12-06;13,95;13,95;12,95;13,30;18.495;241.400
