Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;17,10;17,10;15,30;15,30;260;4.311
2019-05-02;16,10;16,40;16,00;16,40;402;6.483
2019-04-30;15,90;16,00;15,90;16,00;245;3.910
2019-04-29;16,00;16,00;15,80;15,80;1.025;16.304
2019-04-26;15,10;15,20;14,90;15,20;635;9.565
2019-04-25;16,50;16,50;15,90;16,50;872;14.328
2019-04-24;16,50;16,50;15,20;15,20;1.203;19.369
2019-04-23;17,70;18,10;16,80;18,10;1.516;26.790
2019-04-18;17,60;18,10;17,60;18,10;325;5.808
2019-04-17;16,30;16,30;16,30;16,30;110;1.793
2019-04-16;16,50;16,50;16,50;16,50;2;33
2019-04-15;16,60;16,60;16,60;16,60;225;3.735
2019-04-12;16,20;16,20;16,20;16,20;180;2.916
2019-04-11;16,70;16,70;16,70;16,70;60;1.002
2019-04-10;16,60;16,60;16,50;16,50;294;4.875
2019-04-09;16,50;17,50;16,50;17,20;928;15.645
2019-04-08;16,30;16,90;16,20;16,20;677;11.355
2019-04-05;16,90;16,90;16,30;16,30;225;3.770
2019-04-04;18,50;18,50;17,70;17,70;315;5.730
2019-04-03;15,70;18,20;15,70;16,20;472;7.652
2019-04-02;16,00;16,30;15,90;16,30;1.344;21.634
2019-04-01;15,30;17,30;15,30;17,30;340;5.342
2019-03-29;17,70;17,70;17,70;17,70;60;1.062
2019-03-28;18,10;18,10;17,30;17,30;170;3.061
2019-03-26;16,40;17,30;16,40;17,30;352;5.835
2019-03-25;16,40;16,40;16,40;16,40;250;4.100
2019-03-22;16,70;17,40;16,70;17,40;540;9.097
2019-03-21;16,90;17,00;16,00;16,10;740;12.141
2019-03-20;17,00;18,10;16,80;17,10;660;11.545
2019-03-19;17,20;17,20;16,20;17,20;522;8.842
2019-03-18;17,70;18,60;17,70;18,60;750;13.500
2019-03-15;17,90;17,90;17,90;17,90;15;269
2019-03-14;17,80;17,80;17,80;17,80;53;943
2019-03-13;17,90;17,90;17,90;17,90;250;4.475
2019-03-11;18,00;18,00;17,80;17,80;673;12.064
2019-03-08;17,90;17,90;17,90;17,90;53;949
2019-03-07;18,60;18,60;18,10;18,10;208;3.797
2019-03-06;18,20;18,20;18,20;18,20;55;1.001
2019-03-05;18,50;18,50;18,20;18,20;110;2.014
2019-03-04;18,20;18,50;18,20;18,20;174;3.213
2019-02-28;18,30;18,50;18,30;18,50;105;1.933
2019-02-27;19,00;19,00;18,20;18,20;694;13.025
2019-02-22;19,00;19,50;18,90;19,50;646;12.277
2019-02-21;19,00;19,00;19,00;19,00;100;1.900
2019-02-19;19,70;20,00;19,70;19,70;800;15.912
2019-02-18;19,00;19,00;19,00;19,00;600;11.400
2019-02-15;19,20;19,20;19,00;19,00;275;5.235
2019-02-14;19,70;19,70;19,70;19,70;6;118
2019-02-13;19,00;19,60;19,00;19,60;60;1.152
2019-02-11;19,50;19,50;19,50;19,50;50;975
2019-02-08;19,50;21,40;19,00;19,00;981;20.115
2019-02-07;19,30;19,30;19,30;19,30;55;1.062
2019-02-06;19,60;19,60;19,00;19,00;481;9.349
2019-02-05;21,40;21,40;21,40;21,40;20;428
2019-02-01;19,70;21,60;19,70;21,60;2;41
2019-01-31;20,60;21,80;19,70;20,80;271;5.805
2019-01-30;21,20;21,40;21,00;21,40;350;7.430
2019-01-29;19,30;21,40;19,30;21,40;325;6.376
2019-01-28;20,00;21,20;20,00;21,20;398;8.182
2019-01-25;18,40;20,00;18,40;20,00;541;10.274
2019-01-24;19,00;19,00;19,00;19,00;60;1.140
2019-01-22;18,90;18,90;18,90;18,90;55;1.040
2019-01-21;18,90;19,00;18,90;19,00;190;3.601
2019-01-16;18,90;18,90;18,90;18,90;60;1.134
2019-01-15;18,20;18,20;18,20;18,20;1;18
2019-01-11;18,80;18,80;18,00;18,00;660;11.980
2019-01-10;18,90;19,20;18,90;19,20;110;2.096
2019-01-09;18,80;18,90;18,80;18,90;70;1.318
2019-01-08;19,80;19,80;18,00;18,70;1.269;23.285
2019-01-03;20,20;20,20;20,20;20,20;100;2.020
2019-01-02;21,00;21,00;19,70;19,70;80;1.609
2018-12-28;18,60;19,50;18,60;19,50;295;5.567
2018-12-27;18,90;18,90;18,60;18,60;370;6.912
2018-12-21;18,90;19,30;18,90;19,10;53;1.012
2018-12-20;19,00;19,40;19,00;19,40;615;11.896
2018-12-19;19,00;19,00;19,00;19,00;50;950
2018-12-18;19,80;19,80;19,80;19,80;20;396
2018-12-17;21,20;21,20;19,80;19,80;120;2.516
2018-12-14;20,00;20,00;20,00;20,00;50;1.000
2018-12-13;21,20;21,40;19,80;20,00;385;7.914
2018-12-12;18,90;21,00;18,90;21,00;609;12.504
2018-12-11;18,80;19,40;18,60;18,60;228;4.339
2018-12-10;18,80;18,80;18,80;18,80;108;2.030
2018-12-07;19,20;19,90;19,20;19,20;155;3.046
2018-12-06;19,90;19,90;18,90;18,90;792;15.374
2018-12-05;20,20;20,20;20,20;20,20;200;4.040
2018-12-04;20,00;20,60;20,00;20,60;199;4.040
2018-12-03;21,00;21,00;20,40;20,40;170;3.480
2018-11-30;21,80;21,80;20,40;21,40;270;5.668
2018-11-29;22,80;24,80;22,00;23,00;541;12.503
2018-11-28;19,20;22,40;19,20;22,40;133;2.907
2018-11-27;19,60;19,60;19,60;19,60;41;804
2018-11-26;19,10;19,60;19,00;19,50;1.435;27.849
2018-11-23;19,50;20,20;19,50;20,20;105;2.083
2018-11-21;20,00;20,20;20,00;20,20;35;706
2018-11-20;19,10;19,10;19,10;19,10;160;3.056
2018-11-19;19,40;19,40;19,40;19,40;60;1.164
