Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;0,32;0,44;0,29;0,43;15.550;4.710
2019-08-13;0,35;0,35;0,34;0,34;780;273
2019-08-12;0,39;0,39;0,39;0,39;0;0
2019-08-09;0,40;0,40;0,38;0,38;3.979;1.548
2019-08-08;0,44;0,44;0,44;0,44;0;0
2019-08-07;0,40;0,44;0,40;0,44;85;34
2019-08-06;0,40;0,44;0,40;0,44;196;78
2019-08-05;0,48;0,48;0,40;0,44;250;113
2019-08-02;0,436;0,436;0,436;0,436;0;0
2019-08-01;0,436;0,436;0,436;0,436;0;0
2019-07-31;0,39;0,436;0,39;0,436;600;234
2019-07-30;0,436;0,436;0,436;0,436;0;0
2019-07-29;0,436;0,436;0,436;0,436;0;0
2019-07-26;0,39;0,436;0,39;0,436;60;23
2019-07-25;0,436;0,436;0,436;0,436;0;0
2019-07-24;0,42;0,48;0,42;0,47;2.200;935
2019-07-23;0,45;0,45;0,37;0,37;3.700;1.580
2019-07-22;0,50;0,50;0,50;0,50;551;276
2019-07-19;0,50;0,50;0,50;0,50;0;0
2019-07-18;0,45;0,50;0,45;0,50;60;27
2019-07-17;0,55;0,55;0,50;0,50;1.693;931
2019-07-16;0,50;0,50;0,50;0,50;0;0
2019-07-15;0,50;0,50;0,50;0,50;0;0
2019-07-12;0,49;0,55;0,49;0,505;2.300;1.145
2019-07-11;0,43;0,466;0,43;0,466;860;370
2019-07-10;0,43;0,466;0,43;0,466;100;43
2019-07-09;0,464;0,50;0,464;0,466;300;141
2019-07-08;0,476;0,476;0,476;0,476;0;0
2019-07-05;0,476;0,476;0,476;0,476;0;0
2019-07-04;0,476;0,476;0,476;0,476;0;0
2019-07-03;0,54;0,54;0,466;0,466;200;104
2019-07-02;0,44;0,49;0,44;0,49;1.666;733
2019-07-01;0,466;0,466;0,466;0,466;0;0
2019-06-28;0,57;0,57;0,44;0,46;3.157;1.416
2019-06-27;0,515;0,515;0,515;0,515;0;0
2019-06-26;0,52;0,52;0,52;0,52;0;0
2019-06-25;0,52;0,52;0,52;0,52;0;0
2019-06-24;0,57;0,57;0,57;0,57;101;58
2019-06-21;0,496;0,57;0,496;0,57;2.590;1.303
2019-06-20;0,44;0,454;0,42;0,454;1.783;757
2019-06-19;0,50;0,585;0,466;0,49;4.440;2.336
2019-06-18;0,43;0,62;0,43;0,50;5.181;2.608
2019-06-17;0,446;0,65;0,446;0,65;8.700;4.086
2019-06-14;0,43;0,43;0,43;0,43;0;0
2019-06-13;0,46;0,685;0,36;0,48;38.576;17.912
2019-06-12;0,48;0,48;0,41;0,46;8.060;3.529
2019-06-11;0,40;0,48;0,35;0,48;26.369;9.712
2019-06-07;0,45;0,52;0,41;0,41;10.154;4.723
2019-06-06;0,45;0,45;0,426;0,426;200;90
2019-06-05;0,43;0,43;0,40;0,416;6.491;2.661
2019-06-04;0,43;0,43;0,33;0,38;3.250;1.286
2019-06-03;0,34;0,34;0,32;0,32;2.941;1.000
2019-05-29;0,428;0,428;0,428;0,428;250;107
2019-05-28;0,40;0,40;0,366;0,366;8.458;3.371
2019-05-27;0,45;0,45;0,45;0,45;0;0
2019-05-24;0,46;0,46;0,46;0,46;0;0
2019-05-23;0,466;0,466;0,466;0,466;0;0
2019-05-22;0,44;0,54;0,44;0,49;4.100;1.914
2019-05-21;0,45;0,54;0,45;0,49;1.197;569
2019-05-20;0,476;0,476;0,476;0,476;0;0
2019-05-17;0,50;0,50;0,486;0,486;200;100
2019-05-16;0,50;0,61;0,50;0,61;2.150;1.126
2019-05-15;0,476;0,476;0,476;0,476;0;0
2019-05-14;0,54;0,54;0,432;0,476;3.842;1.951
2019-05-13;0,58;0,58;0,58;0,58;0;0
2019-05-10;0,58;0,58;0,58;0,58;0;0
2019-05-09;0,57;0,60;0,57;0,60;1.123;640
2019-05-08;0,47;0,60;0,47;0,60;8.055;4.232
2019-05-07;0,57;0,57;0,57;0,57;2.000;1.140
2019-05-06;0,665;0,665;0,62;0,62;550;366
2019-05-03;0,69;0,69;0,60;0,65;2.263;1.556
2019-05-02;0,65;0,65;0,60;0,65;1.696;1.077
2019-04-30;0,685;0,685;0,685;0,685;653;447
2019-04-29;0,65;0,72;0,65;0,695;117;83
2019-04-26;0,63;0,73;0,63;0,685;12.100;7.633
2019-04-25;0,68;0,70;0,65;0,70;1.215;828
2019-04-24;0,60;0,675;0,60;0,64;17.940;10.861
2019-04-23;0,58;0,63;0,58;0,605;2.480;1.537
2019-04-18;0,57;0,575;0,57;0,575;2.500;1.425
2019-04-17;0,60;0,60;0,49;0,494;16.181;8.209
2019-04-16;0,402;0,65;0,40;0,565;29.019;14.146
2019-04-15;0,426;0,426;0,426;0,426;0;0
2019-04-12;0,41;0,438;0,362;0,406;6.282;2.541
2019-04-11;0,432;0,45;0,43;0,45;6.891;2.967
