Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;20,60;20,60;20,60;20,60;0;0
2019-05-02;21,00;21,00;20,60;20,60;550;11.350
2019-04-30;21,00;21,00;20,80;20,80;150;3.150
2019-04-29;21,00;21,00;20,80;20,80;950;19.950
2019-04-26;21,40;21,40;21,20;21,20;3.172;67.881
2019-04-25;21,40;21,60;21,40;21,60;27;578
2019-04-24;21,20;21,20;21,00;21,00;150;3.180
2019-04-18;20,80;20,80;20,60;20,60;263;5.470
2019-04-17;21,40;21,60;21,20;21,20;49;1.049
2019-04-16;21,00;21,00;21,00;21,00;41;861
2019-04-15;20,40;20,40;20,40;20,40;4.000;81.600
2019-04-12;20,20;20,40;20,00;20,40;6.100;122.240
2019-04-11;19,60;19,60;19,60;19,60;0;0
2019-04-10;19,70;19,70;19,60;19,70;602;11.859
2019-04-09;19,40;19,40;19,40;19,40;0;0
2019-04-08;19,40;19,50;19,10;19,10;3.430;66.454
2019-04-05;19,60;19,60;19,60;19,60;0;0
2019-04-04;19,70;19,80;19,70;19,80;600;11.820
2019-04-03;19,30;19,30;19,30;19,30;0;0
2019-04-02;19,60;19,60;19,30;19,30;56;1.098
2019-04-01;19,40;19,60;19,30;19,30;1.285;25.029
2019-03-29;19,456;19,456;19,456;19,456;80;1.556
2019-03-28;19,75;19,75;19,576;19,576;730;14.418
2019-03-27;19,94;19,94;19,88;19,88;600;11.964
2019-03-26;19,47;19,47;19,47;19,47;0;0
2019-03-25;19,47;19,47;19,47;19,47;0;0
2019-03-22;19,52;19,72;19,52;19,72;250;4.880
2019-03-21;19,26;19,26;19,26;19,26;0;0
2019-03-20;19,26;19,26;19,26;19,26;0;0
2019-03-19;19,362;19,518;19,20;19,26;8.000;155.329
2019-03-18;19,00;19,182;19,00;19,182;600;11.400
2019-03-15;19,322;19,322;19,182;19,182;2.577;49.774
2019-03-13;18,998;19,416;18,998;19,416;3.585;68.364
2019-03-12;18,998;18,998;18,99;18,99;100;1.900
2019-03-11;18,998;18,998;18,99;18,99;263;4.996
2019-03-08;18,50;18,998;18,50;18,75;712;13.222
2019-03-07;19,00;19,00;18,85;18,85;1.490;28.310
2019-03-06;19,00;19,00;18,996;18,996;27;513
2019-03-05;19,00;19,00;18,996;18,996;104;1.976
2019-03-04;18,998;19,00;18,75;18,75;5.654;107.425
2019-03-01;20,35;20,35;18,50;19,00;4.389;84.245
2019-02-28;20,10;20,10;20,10;20,10;0;0
2019-02-27;20,10;20,10;20,10;20,10;0;0
2019-02-26;20,05;20,05;20,05;20,05;0;0
2019-02-25;20,075;20,075;20,075;20,075;0;0
2019-02-22;20,075;20,075;20,075;20,075;0;0
2019-02-21;20,075;20,075;20,075;20,075;0;0
2019-02-20;20,075;20,075;20,075;20,075;0;0
2019-02-19;20,075;20,075;20,075;20,075;0;0
2019-02-18;20,35;20,35;20,075;20,075;90;1.832
2019-02-15;20,35;20,35;20,075;20,075;2;41
2019-02-14;20,075;20,075;20,075;20,075;0;0
2019-02-13;20,075;20,075;20,075;20,075;0;0
2019-02-12;20,075;20,075;20,075;20,075;0;0
2019-02-11;20,075;20,075;20,075;20,075;0;0
2019-02-08;20,075;20,075;20,075;20,075;0;0
2019-02-07;20,275;20,275;20,275;20,275;0;0
2019-02-06;20,275;20,275;20,275;20,275;0;0
2019-02-05;20,095;20,10;20,05;20,05;2.975;59.797
2019-02-04;20,205;20,205;20,10;20,10;600;12.121
2019-02-01;20,50;20,70;20,50;20,70;500;10.250
2019-01-31;20,125;20,125;20,125;20,125;0;0
2019-01-30;20,30;20,30;20,30;20,30;0;0
2019-01-29;20,125;20,125;20,125;20,125;0;0
2019-01-28;20,45;20,45;20,125;20,125;120;2.454
2019-01-25;20,125;20,125;20,125;20,125;0;0
2019-01-24;20,45;20,45;20,125;20,125;48;982
2019-01-23;20,125;20,125;20,125;20,125;0;0
2019-01-22;20,125;20,125;20,125;20,125;0;0
2019-01-21;20,125;20,125;20,125;20,125;0;0
2019-01-18;20,125;20,125;20,125;20,125;0;0
2019-01-17;20,125;20,125;20,125;20,125;0;0
2019-01-16;20,125;20,125;20,125;20,125;0;0
2019-01-15;20,125;20,125;20,125;20,125;0;0
2019-01-14;20,445;20,45;20,125;20,125;440;8.998
2019-01-11;19,802;20,125;19,802;20,125;10;198
2019-01-10;20,025;20,025;20,025;20,025;0;0
2019-01-09;20,025;20,025;20,025;20,025;0;0
2019-01-08;20,025;20,025;20,025;20,025;0;0
2019-01-07;20,025;20,025;20,025;20,025;0;0
2019-01-04;20,025;20,025;20,025;20,025;0;0
2019-01-03;20,025;20,025;20,025;20,025;0;0
2019-01-02;20,05;20,05;20,05;20,05;0;0
2018-12-28;20,405;20,45;20,40;20,45;590;12.036
2018-12-27;20,80;20,80;20,80;20,80;0;0
2018-12-21;20,80;20,80;20,80;20,80;0;0
2018-12-20;20,80;20,80;20,80;20,80;0;0
2018-12-19;19,10;21,20;19,10;20,80;1.539;31.978
2018-12-18;19,40;19,40;19,40;19,40;0;0
2018-12-17;19,40;19,40;19,40;19,40;0;0
2018-12-14;19,798;19,80;19,40;19,40;1.100;21.580
2018-12-13;19,002;19,40;19,00;19,40;150;2.850
2018-12-12;19,40;19,40;19,40;19,40;0;0
2018-12-11;19,702;19,798;19,35;19,35;650;12.810
2018-12-10;20,15;20,15;20,15;20,15;0;0
2018-12-07;20,305;20,595;20,00;20,145;835;16.744
2018-12-06;21,295;21,30;20,75;20,75;170;3.621
2018-12-05;20,65;20,65;20,65;20,65;0;0
2018-12-04;20,30;21,20;20,30;20,65;1.600;34.219
2018-12-03;20,00;20,295;19,876;19,876;597;11.969
2018-11-30;20,375;20,375;20,375;20,375;0;0
2018-11-29;20,375;20,375;20,375;20,375;0;0
2018-11-28;20,75;20,75;20,00;20,625;3.997;82.279
2018-11-27;21,00;21,60;20,375;20,375;3.335;68.998
2018-11-26;20,40;21,30;20,00;20,50;1.007;20.933
2018-11-23;20,00;20,00;20,00;20,00;0;0
2018-11-22;20,00;20,00;20,00;20,00;0;0
2018-11-21;20,40;20,40;20,00;20,00;200;4.080
2018-11-20;20,395;20,395;20,00;20,00;62;1.264
2018-11-19;20,005;20,005;20,00;20,00;434;8.680
2018-11-16;20,00;20,00;20,00;20,00;0;0
2018-11-15;20,50;20,50;20,00;20,05;438;8.824
2018-11-14;20,95;20,95;20,585;20,585;47;985
2018-11-13;20,36;20,36;20,36;20,36;0;0
2018-11-12;20,945;20,95;20,585;20,585;450;9.427
2018-11-09;20,75;20,75;20,75;20,75;0;0
2018-11-08;20,505;20,95;20,50;20,95;2.500;51.250
2018-11-07;20,50;20,50;20,50;20,50;0;0
2018-11-06;20,505;20,505;20,50;20,50;500;10.251
2018-11-05;21,205;21,205;19,80;20,50;6.800;140.622
2018-11-02;21,00;21,50;21,00;21,25;1.000;21.250
2018-11-01;20,50;20,50;20,50;20,50;0;0
2018-10-31;21,10;21,10;20,50;20,50;695;14.607
2018-10-30;21,90;21,90;21,50;21,50;43;942
2018-10-29;21,50;21,50;21,50;21,50;0;0
2018-10-26;21,50;21,50;21,50;21,50;0;0
2018-10-25;21,60;22,00;21,50;21,50;2.500;54.800
2018-10-24;21,35;21,35;21,35;21,35;0;0
2018-10-23;22,00;22,00;21,35;21,35;1.890;41.580
2018-10-12;22,00;22,00;22,00;22,00;90;1.980
2018-10-11;22,90;22,90;22,00;22,00;650;14.521
2018-10-10;23,05;23,05;23,05;23,05;0;0
2018-10-09;22,90;23,05;22,90;23,05;40;916
2018-10-08;23,12;23,12;23,05;23,05;40;925
2018-10-05;23,36;23,36;23,36;23,36;0;0
2018-10-04;23,90;24,00;23,30;23,36;900;21.310
2018-10-02;23,60;23,60;23,20;23,20;263;6.119
2018-10-01;23,30;23,30;23,30;23,30;0;0
2018-09-28;22,60;23,40;22,60;23,00;800;18.280
2018-09-27;22,95;22,95;22,60;22,95;101;2.318
2018-09-26;23,00;23,00;22,80;22,80;2.500;57.500
2018-09-25;22,60;22,60;22,50;22,50;600;13.560
2018-09-24;23,90;24,00;22,30;22,30;955;21.850
