Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;1,465;1,465;1,465;1,465;0;0
2019-07-18;1,45;1,45;1,445;1,445;2.467;3.577
2019-07-17;1,45;1,495;1,45;1,475;4.584;6.849
2019-07-16;1,49;1,495;1,48;1,48;3.902;5.827
2019-07-15;1,53;1,53;1,495;1,495;11.753;17.688
2019-07-12;1,515;1,515;1,515;1,515;0;0
2019-07-11;1,515;1,515;1,515;1,515;0;0
2019-07-10;1,525;1,525;1,50;1,515;800;1.208
2019-07-09;1,515;1,525;1,495;1,495;8.250;12.559
2019-07-08;1,525;1,53;1,48;1,50;2.500;3.797
2019-07-05;1,51;1,535;1,435;1,51;18.064;27.350
2019-07-04;1,495;1,595;1,495;1,535;42.440;65.474
2019-07-03;1,495;1,495;1,465;1,465;1.300;1.944
2019-07-02;1,465;1,465;1,465;1,465;0;0
2019-07-01;1,465;1,465;1,465;1,465;0;0
2019-06-28;1,46;1,46;1,46;1,46;0;0
2019-06-27;1,425;1,46;1,425;1,46;2.135;3.042
2019-06-26;1,50;1,50;1,465;1,465;1.000;1.500
2019-06-25;1,465;1,465;1,465;1,465;0;0
2019-06-24;1,465;1,465;1,465;1,465;0;0
2019-06-21;1,49;1,49;1,46;1,465;3.000;4.440
2019-06-20;1,475;1,475;1,475;1,475;0;0
2019-06-19;1,47;1,47;1,47;1,47;0;0
2019-06-18;1,48;1,48;1,45;1,465;3.525;5.114
2019-06-17;1,48;1,50;1,45;1,485;11.240;16.779
2019-06-14;1,47;1,475;1,455;1,455;3.153;4.636
2019-06-13;1,44;1,45;1,44;1,45;9.000;12.960
2019-06-12;1,455;1,455;1,455;1,455;0;0
2019-06-11;1,47;1,47;1,45;1,45;150;221
2019-06-07;1,44;1,44;1,44;1,44;0;0
2019-06-06;1,465;1,465;1,435;1,435;250;366
2019-06-05;1,435;1,435;1,435;1,435;0;0
2019-06-04;1,445;1,45;1,425;1,425;5.010;7.242
2019-06-03;1,405;1,43;1,405;1,43;5.445;7.650
2019-05-31;1,40;1,425;1,40;1,425;5.000;7.000
2019-05-30;1,43;1,43;1,43;1,43;0;0
2019-05-29;1,455;1,455;1,43;1,43;2.400;3.492
2019-05-28;1,415;1,45;1,415;1,43;1.251;1.779
2019-05-27;1,425;1,43;1,41;1,43;7.857;11.155
2019-05-24;1,445;1,445;1,445;1,445;0;0
2019-05-23;1,435;1,46;1,43;1,46;4.822;6.910
2019-05-22;1,46;1,51;1,44;1,445;17.754;26.006
2019-05-21;1,415;1,445;1,415;1,445;1.500;2.123
2019-05-20;1,45;1,45;1,415;1,445;2.500;3.608
2019-05-17;1,525;1,525;1,47;1,495;18.065;27.021
2019-05-16;1,555;1,555;1,51;1,54;26.827;40.922
