Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2015-09-18;1,261;1,261;1,261;1,261;0;0
2015-09-17;2,13;2,133;1,50;1,50;3.510;6.408
2015-09-16;2,13;2,13;2,13;2,13;0;0
2015-09-15;2,13;2,14;2,13;2,14;1.100;2.347
2015-09-14;2,13;2,133;2,13;2,133;250;533
2015-09-11;2,13;2,13;2,13;2,13;0;0
2015-09-10;2,13;2,131;2,13;2,131;17;36
2015-09-09;2,13;2,13;2,13;2,13;0;0
2015-09-08;2,13;2,13;2,13;2,13;0;0
2015-09-07;2,13;2,13;2,13;2,13;0;0
2015-09-04;2,13;2,13;2,13;2,13;0;0
2015-09-03;2,13;2,13;2,13;2,13;0;0
2015-09-02;2,13;2,14;2,13;2,14;4;9
2015-09-01;2,13;2,13;2,13;2,13;0;0
2015-08-31;2,13;2,13;2,13;2,13;0;0
2015-08-28;2,13;2,134;2,13;2,134;1.100;2.346
2015-08-27;2,289;2,29;2,17;2,17;203;441
2015-08-26;2,289;2,289;2,289;2,289;0;0
2015-08-25;2,289;2,289;2,289;2,289;0;0
2015-08-24;2,289;2,289;2,289;2,289;0;0
2015-08-21;2,289;2,289;2,289;2,289;0;0
2015-08-20;2,289;2,289;2,289;2,289;0;0
2015-08-19;2,289;2,289;2,289;2,289;0;0
2015-08-18;2,289;2,289;2,289;2,289;0;0
2015-08-17;2,20;2,61;2,20;2,61;100;261
2015-08-14;2,20;2,20;2,20;2,20;0;0
2015-08-13;2,13;2,22;2,13;2,203;1.913;4.221
2015-08-12;2,10;2,11;2,10;2,11;50;106
2015-08-11;2,19;2,25;2,10;2,10;65;146
2015-08-10;2,19;2,19;2,19;2,19;0;0
2015-08-06;2,193;2,193;2,193;2,193;0;0
2015-08-05;2,49;2,50;2,01;2,50;253;632
2015-08-04;1,77;2,75;1,77;2,75;1.800;4.447
2015-08-03;1,477;1,78;1,477;1,78;620;1.099
2015-07-31;1,793;1,793;1,625;1,625;532;910
2015-07-30;1,542;2,00;1,542;2,00;680;1.278
2015-07-29;2,00;2,00;1,849;1,849;275;539
2015-07-28;2,00;2,147;2,00;2,147;450;966
2015-07-27;2,30;2,50;2,084;2,495;1.060;2.646
2015-07-24;2,084;2,49;2,084;2,49;104;259
2015-07-23;2,084;2,084;2,084;2,084;0;0
2015-07-22;2,084;2,084;2,084;2,084;0;0
2015-07-21;2,55;2,55;2,143;2,143;120;306
2015-07-20;2,10;2,20;1,513;2,20;3.913;7.636
2015-07-17;2,269;2,269;2,269;2,269;220;499
2015-07-16;2,80;2,80;2,70;2,70;448;1.250
2015-07-15;3,467;3,467;3,467;3,467;592;2.052
2015-07-14;3,75;3,75;3,75;3,75;0;0
2015-07-13;4,15;4,15;3,578;3,75;500;2.020
2015-07-10;4,15;4,15;4,15;4,15;0;0
2015-07-09;4,404;4,404;4,404;4,404;120;528
2015-07-08;4,15;4,80;4,15;4,80;100;480
2015-07-07;4,15;4,15;4,15;4,15;0;0
2015-07-06;4,128;4,128;4,128;4,128;0;0
2015-07-03;4,128;4,128;4,128;4,128;0;0
2015-07-02;4,128;4,128;4,128;4,128;0;0
2015-07-01;4,128;4,128;4,128;4,128;0;0
2015-06-30;4,128;4,128;4,128;4,128;0;0
2015-06-29;4,50;4,50;4,128;4,128;420;1.890
2015-06-26;4,52;4,997;4,50;4,997;2.590;11.789
2015-06-25;4,55;4,55;4,55;4,55;1.000;4.550
2015-06-24;4,55;4,58;4,55;4,58;500;2.290
2015-06-23;4,52;4,52;4,52;4,52;0;0
2015-06-22;5,39;5,39;4,577;5,00;135;689
2015-06-19;4,70;5,40;4,70;5,40;1.000;5.400
2015-06-18;4,70;4,70;4,70;4,70;0;0
2015-06-17;4,70;4,70;4,70;4,70;0;0
2015-06-16;4,70;5,00;4,70;5,00;200;1.000
2015-06-15;4,70;5,39;4,70;5,39;1.000;5.369
2015-06-12;4,70;4,70;4,70;4,70;0;0
2015-06-11;4,70;4,70;4,70;4,70;0;0
2015-06-10;4,70;4,70;4,70;4,70;0;0
2015-06-09;4,70;4,70;4,70;4,70;0;0
2015-06-08;4,65;4,65;4,65;4,65;0;0
2015-06-05;4,66;4,66;4,65;4,65;100;466
2015-06-04;4,65;4,65;4,65;4,65;0;0
2015-06-03;4,65;4,65;4,65;4,65;0;0
2015-06-02;4,66;4,66;4,65;4,654;647;3.012
2015-06-01;4,65;4,66;4,65;4,66;50;233
2015-05-29;4,70;5,00;4,70;4,70;2.621;12.362
2015-05-28;5,05;5,05;4,578;4,67;1.026;5.085
2015-05-27;5,15;5,40;5,15;5,40;1.000;5.384
2015-05-26;5,60;5,60;5,15;5,15;5.272;28.191
2015-05-22;5,50;5,50;5,50;5,50;0;0
2015-05-21;5,503;6,10;5,503;5,95;750;4.560
2015-05-20;6,00;6,00;6,00;6,00;0;0
2015-05-19;5,50;6,35;5,50;6,35;900;5.713
2015-05-18;5,50;5,55;5,50;5,55;100;555
