Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2016-05-09;0,087;0,087;0,087;0,087;0;0
2016-05-06;0,087;0,087;0,087;0,087;0;0
2016-05-05;0,087;0,087;0,087;0,087;0;0
2016-05-04;0,087;0,087;0,087;0,087;0;0
2016-05-03;0,087;0,087;0,087;0,087;0;0
2016-05-02;0,087;0,087;0,087;0,087;0;0
2016-04-29;0,086;0,086;0,086;0,086;0;0
2016-04-28;0,086;0,086;0,086;0,086;0;0
2016-04-27;0,063;0,063;0,063;0,063;0;0
2016-04-26;0,043;0,043;0,043;0,043;0;0
2016-04-25;0,027;0,027;0,027;0,027;0;0
2016-04-22;0,024;0,024;0,024;0,024;0;0
2016-04-21;0,109;0,109;0,109;0,109;0;0
2016-04-20;0,109;0,109;0,109;0,109;0;0
2016-04-19;0,109;0,109;0,109;0,109;0;0
2016-04-18;0,109;0,109;0,109;0,109;0;0
2016-04-15;0,109;0,109;0,109;0,109;0;0
2016-04-14;0,109;0,109;0,109;0,109;0;0
2016-04-13;0,109;0,109;0,109;0,109;0;0
2016-04-12;0,109;0,109;0,109;0,109;0;0
2016-04-11;0,109;0,109;0,109;0,109;0;0
2016-04-08;0,109;0,109;0,109;0,109;0;0
2016-04-07;0,109;0,109;0,109;0,109;0;0
2016-04-06;0,109;0,109;0,109;0,109;0;0
2016-04-05;0,10;0,10;0,10;0,10;0;0
2016-04-04;0,10;0,10;0,10;0,10;0;0
2016-04-01;0,10;0,10;0,10;0,10;0;0
2016-03-31;0,10;0,10;0,10;0,10;0;0
2016-03-30;0,10;0,10;0,10;0,10;0;0
2016-03-29;0,10;0,10;0,10;0,10;0;0
2016-03-24;0,10;0,10;0,10;0,10;0;0
2016-03-23;0,10;0,10;0,10;0,10;0;0
2016-03-22;0,10;0,10;0,10;0,10;0;0
2016-03-21;0,10;0,10;0,10;0,10;0;0
2016-03-18;0,109;0,109;0,109;0,109;0;0
2016-03-17;0,109;0,109;0,109;0,109;0;0
2016-03-16;0,109;0,109;0,109;0,109;0;0
2016-03-15;0,099;0,099;0,099;0,099;0;0
2016-03-14;0,099;0,099;0,099;0,099;0;0
2016-03-11;0,099;0,099;0,099;0,099;0;0
2016-03-10;0,099;0,099;0,099;0,099;0;0
2016-03-09;0,099;0,099;0,099;0,099;0;0
2016-03-08;0,099;0,099;0,099;0,099;0;0
2016-03-07;0,099;0,099;0,099;0,099;0;0
2016-03-04;0,101;0,101;0,101;0,101;0;0
2016-03-03;0,102;0,102;0,102;0,102;0;0
2016-03-02;0,099;0,099;0,099;0,099;0;0
2016-03-01;0,11;0,11;0,11;0,11;0;0
2016-02-29;0,11;0,11;0,11;0,11;2.000;220
2016-02-26;0,11;0,11;0,11;0,11;0;0
2016-02-25;0,11;0,11;0,11;0,11;0;0
2016-02-24;0,11;0,11;0,11;0,11;0;0
2016-02-23;0,11;0,11;0,11;0,11;0;0
2016-02-22;0,11;0,11;0,11;0,11;0;0
2016-02-19;0,11;0,11;0,11;0,11;0;0
2016-02-18;0,11;0,11;0,11;0,11;0;0
2016-02-17;0,11;0,11;0,11;0,11;0;0
2016-02-16;0,11;0,111;0,11;0,111;10;1
2016-02-15;0,11;0,11;0,11;0,11;0;0
2016-02-12;0,11;0,11;0,11;0,11;0;0
2016-02-11;0,11;0,11;0,11;0,11;0;0
2016-02-10;0,11;0,11;0,11;0,11;0;0
2016-02-09;0,11;0,11;0,11;0,11;0;0
2016-02-08;0,11;0,11;0,11;0,11;0;0
2016-02-05;0,11;0,11;0,11;0,11;0;0
2016-02-04;0,11;0,11;0,11;0,11;0;0
2016-02-03;0,11;0,11;0,11;0,11;0;0
2016-02-02;0,10;0,10;0,10;0,10;0;0
2016-02-01;0,11;0,11;0,11;0,11;0;0
2016-01-29;0,11;0,11;0,11;0,11;0;0
2016-01-28;0,11;0,11;0,11;0,11;0;0
2016-01-27;0,127;0,127;0,127;0,127;0;0
2016-01-26;0,15;0,15;0,15;0,15;0;0
2016-01-25;0,11;0,11;0,11;0,11;0;0
2016-01-22;0,15;0,15;0,15;0,15;0;0
2016-01-21;0,15;0,15;0,15;0,15;0;0
2016-01-20;0,15;0,15;0,15;0,15;0;0
2016-01-19;0,15;0,15;0,15;0,15;0;0
2016-01-18;0,15;0,15;0,15;0,15;0;0
2016-01-15;0,178;0,178;0,178;0,178;0;0
2016-01-14;0,15;0,15;0,15;0,15;0;0
2016-01-13;0,15;0,15;0,15;0,15;0;0
2016-01-12;0,15;0,15;0,15;0,15;0;0
2016-01-11;0,20;0,20;0,20;0,20;0;0
2016-01-08;0,20;0,20;0,20;0,20;0;0
2016-01-07;0,20;0,20;0,20;0,20;0;0
2016-01-06;0,199;0,199;0,199;0,199;0;0
2016-01-05;0,199;0,199;0,199;0,199;0;0
2016-01-04;0,199;0,199;0,199;0,199;0;0
2015-12-30;0,124;0,297;0,124;0,297;1.400;416
2015-12-29;0,152;0,152;0,152;0,152;0;0
2015-12-28;0,17;0,17;0,17;0,17;0;0
2015-12-23;0,151;0,151;0,151;0,151;0;0
2015-12-22;0,17;0,17;0,17;0,17;0;0
2015-12-21;0,17;0,17;0,17;0,17;0;0
2015-12-16;0,30;0,30;0,25;0,25;300;75
2015-12-15;0,30;0,30;0,30;0,30;0;0
2015-12-14;0,40;0,40;0,40;0,40;0;0
2015-12-11;0,40;0,40;0,40;0,40;0;0
2015-12-10;0,40;0,40;0,40;0,40;0;0
2015-12-09;0,40;0,40;0,40;0,40;0;0
2015-12-08;0,42;0,42;0,42;0,42;0;0
2015-12-07;0,45;0,45;0,45;0,45;0;0
2015-12-04;0,50;0,50;0,50;0,50;0;0
2015-12-03;0,65;0,65;0,65;0,65;0;0
2015-12-02;0,70;0,70;0,70;0,70;0;0
2015-12-01;0,81;0,81;0,81;0,81;0;0
2015-11-30;1,00;1,00;1,00;1,00;0;0
2015-11-27;1,149;1,149;1,149;1,149;0;0
2015-11-26;1,149;1,149;1,149;1,149;0;
2015-11-25;1,149;1,149;1,149;1,149;0;0
2015-11-24;1,433;1,433;1,433;1,433;0;0
2015-11-23;1,337;1,337;1,337;1,337;0;0
2015-11-20;1,562;1,562;1,562;1,562;0;0
2015-11-19;1,531;1,531;1,531;1,531;0;0
2015-11-18;1,739;1,739;1,739;1,739;0;0
2015-11-17;1,789;1,789;1,789;1,789;0;0
2015-11-16;1,739;1,739;1,739;1,739;0;0
2015-11-13;1,899;1,899;1,899;1,899;0;0
