Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;56,48;56,90;56,02;56,38;197.933;11.152.937
2019-07-18;56,74;56,74;55,98;56,32;219.121;12.341.946
2019-07-17;57,32;57,84;57,08;57,16;174.681;10.014.209
2019-07-16;57,12;57,68;56,74;57,40;256.452;14.707.767
2019-07-15;57,26;57,42;56,66;56,86;215.419;12.256.360
2019-07-12;57,34;57,68;56,92;57,00;220.836;12.620.821
2019-07-11;57,16;57,16;56,50;57,04;220.798;12.580.957
2019-07-10;56,78;57,18;56,42;56,76;207.923;11.806.157
2019-07-09;57,06;57,14;56,52;56,98;268.485;15.267.804
2019-07-08;56,90;57,66;56,78;57,28;288.242;16.510.374
2019-07-05;57,66;57,66;56,80;57,24;254.848;14.574.402
2019-07-04;57,52;57,70;56,68;57,60;338.827;19.437.258
2019-07-03;58,16;58,46;57,20;57,46;318.419;18.351.364
2019-07-02;59,02;59,50;57,46;58,00;692.918;40.496.216
2019-07-01;58,80;59,40;58,46;58,84;429.217;25.261.660
2019-06-28;57,08;58,60;57,08;58,50;528.992;30.857.042
2019-06-27;55,04;57,26;55,04;56,92;429.804;24.409.602
2019-06-26;55,00;55,44;54,50;55,00;243.780;13.410.512
2019-06-25;55,98;56,12;55,04;55,04;319.155;17.638.576
2019-06-24;56,20;56,34;55,78;56,04;193.754;10.857.754
2019-06-21;56,66;56,76;55,52;56,06;459.622;25.730.720
2019-06-20;55,60;56,88;55,60;56,48;406.464;22.946.562
2019-06-19;55,62;56,12;55,12;55,26;262.322;14.521.928
2019-06-18;54,72;55,56;54,20;55,50;500.790;27.565.800
2019-06-17;55,28;55,32;54,34;54,66;287.383;15.706.074
2019-06-14;54,68;55,28;54,18;54,70;309.694;16.966.250
2019-06-13;55,06;55,06;54,04;54,60;290.697;15.844.295
2019-06-12;56,00;56,22;54,60;55,08;367.479;20.260.274
2019-06-11;55,78;56,48;55,16;55,90;551.640;30.847.246
2019-06-07;53,06;53,82;52,80;53,62;228.813;12.241.298
2019-06-06;53,40;53,98;52,92;52,94;324.917;17.304.256
2019-06-05;53,58;54,58;53,02;53,30;391.837;20.979.162
2019-06-04;51,90;53,86;51,64;53,54;423.532;22.605.416
2019-06-03;51,90;52,30;51,54;52,16;312.683;16.271.551
2019-05-31;52,88;52,90;51,42;52,10;480.766;25.010.268
2019-05-30;54,12;54,12;53,40;53,64;159.156;8.530.980
2019-05-29;55,10;55,40;53,68;53,80;349.438;18.895.338
2019-05-28;55,52;55,74;55,02;55,48;345.524;19.157.808
2019-05-27;55,28;55,80;55,28;55,42;132.593;7.350.168
2019-05-24;55,48;55,98;55,00;55,08;361.806;19.991.508
2019-05-23;55,24;55,34;54,38;54,84;314.540;17.252.552
2019-05-22;55,02;55,76;54,70;55,56;330.711;18.337.680
2019-05-21;54,86;55,24;54,16;54,98;323.088;17.731.040
2019-05-20;56,18;56,26;54,28;54,66;329.039;18.056.010
2019-05-17;55,24;56,12;54,76;56,10;438.698;24.437.480
2019-05-16;55,1459;55,5657;54,0964;55,0505;493.132;27.042.248
2019-05-15;55,6039;55,6039;54,001;54,8979;383.956;21.004.030
2019-05-14;55,2604;55,4512;54,5544;55,1268;331.843;18.243.708
2019-05-13;57,3021;57,3021;54,9551;55,0887;554.179;30.744.722
2019-05-10;57,264;58,4089;56,9968;56,9968;707.990;40.529.696
2019-05-09;58,1227;58,2944;56,6534;56,8442;443.261;25.340.998
2019-05-08;58,3898;59,0577;58,0463;58,2944;286.204;16.710.600
2019-05-07;59,2866;59,2866;57,9509;58,4852;490.234;28.665.836
2019-05-06;59,9927;60,1644;59,0004;59,3439;414.079;24.566.176
2019-05-03;60,317;62,187;60,2789;60,9277;641.862;39.315.752
2019-05-02;57,7029;59,5347;56,0428;59,2676;1.008.470;58.307.028
2019-04-30;59,4393;59,7255;59,0195;59,3057;305.602;18.128.282
2019-04-29;58,9813;59,4774;58,3707;59,4774;200.884;11.890.397
2019-04-26;58,9813;59,134;58,4089;58,7333;182.200;10.694.482
2019-04-25;59,2103;59,4584;58,6951;58,8668;202.469;11.930.829
2019-04-24;58,9622;59,4774;58,8668;59,134;209.139;12.370.536
2019-04-23;59,8782;59,9354;58,7142;58,8478;239.284;14.101.126
2019-04-18;59,3248;59,8782;58,8478;59,6301;242.009;14.421.268
2019-04-17;59,5538;59,5729;58,7905;59,4011;230.873;13.674.208
2019-04-16;58,3898;59,5347;58,3898;59,134;325.811;19.261.480
2019-04-15;57,5884;58,3898;57,4548;58,3898;284.287;16.549.578
2019-04-12;56,8823;57,3594;56,806;57,3594;170.801;9.778.088
2019-04-11;57,2449;57,7792;56,4626;56,8442;418.896;23.821.888
2019-04-10;57,0732;57,1304;56,2717;56,7488;446.748;25.340.592
2019-04-09;58,6951;58,7905;57,0541;57,2449;334.515;19.224.146
2019-04-08;59,0386;59,1531;58,676;58,9241;258.503;15.227.010
2019-04-05;59,382;59,7255;58,5043;59,1531;341.782;20.172.816
2019-04-04;59,1531;59,363;58,8287;59,1721;218.388;12.912.005
2019-04-03;59,8209;59,8209;59,1149;59,4393;217.088;12.902.973
2019-04-02;58,8859;59,5538;58,3898;59,2103;223.045;13.179.464
2019-04-01;58,8096;59,1149;58,2944;58,8859;299.690;17.630.216
2019-03-29;57,9891;58,5043;57,8555;58,0845;329.660;19.179.544
2019-03-28;57,9128;58,4089;57,512;57,6838;229.059;13.252.181
2019-03-27;59,3057;59,3057;57,9128;58,1417;224.381;13.102.476
2019-03-26;57,9891;59,1531;57,8937;58,8668;260.173;15.270.673
2019-03-25;57,2449;58,0654;56,7488;57,9509;177.107;10.229.701
2019-03-22;59,0958;59,1149;57,2831;57,512;271.124;15.652.893
2019-03-21;59,3439;59,4202;58,5615;58,7714;259.490;15.288.643
2019-03-20;60,0499;60,1071;59,3057;59,3057;224.473;13.370.330
2019-03-19;59,5156;60,6414;58,5043;60,2216;223.264;13.438.255
2019-03-18;59,8591;59,8591;58,9432;59,382;198.833;11.796.225
2019-03-15;60,1262;60,7559;59,7064;59,9545;329.698;19.793.162
2019-03-14;58,7714;60,0499;58,4852;59,9736;333.548;19.911.232
2019-03-13;58,7523;59,0386;58,1036;58,8668;464.783;27.288.234
2019-03-12;59,4965;60,1835;58,428;58,8668;389.302;22.981.072
2019-03-11;59,1721;59,4965;57,7983;59,4965;351.987;20.749.008
2019-03-08;59,3057;60,0499;58,0463;58,7333;527.941;31.044.424
2019-03-07;63,9807;63,9807;58,9241;59,6301;727.139;44.140.788
2019-03-06;63,7136;64,1143;63,3892;63,7899;263.473;16.811.628
2019-03-05;63,5418;64,1334;63,1984;63,9426;243.725;15.546.510
2019-03-04;63,8662;64,2097;63,5609;63,6945;234.480;14.958.886
2019-03-01;62,5878;64,1524;62,4923;63,5228;289.330;18.375.448
2019-02-28;61,1948;62,4542;61,1948;62,0344;294.845;18.287.024
2019-02-27;61,8436;62,0153;61,3665;61,5383;194.311;11.960.452
2019-02-26;61,7482;62,2634;61,5764;61,9199;224.351;13.900.001
2019-02-25;62,1298;62,6832;61,6909;61,6909;245.236;15.164.820
2019-02-22;61,71;62,3397;61,6146;61,9581;177.386;11.005.500
2019-02-21;60,8513;61,939;60,7178;61,6718;271.191;16.695.908
2019-02-20;61,252;61,5001;60,5842;60,7559;182.303;11.082.122
2019-02-19;60,6605;61,1185;60,4315;61,1185;268.175;16.348.504
2019-02-18;59,4393;60,8322;59,3057;60,8322;198.176;12.015.631
2019-02-15;59,5347;59,6301;58,8096;59,363;193.696;11.484.123
2019-02-14;61,1566;61,252;59,382;59,4202;319.723;19.102.608
2019-02-13;60,0881;61,1185;60,0117;60,7178;298.904;18.170.352
2019-02-12;58,1799;59,8972;57,8937;59,611;445.193;26.384.318
2019-02-11;58,4852;58,6188;57,3976;57,8746;353.060;20.438.102
