Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;1,13;1,15;1,13;1,14;7.370;8.406
2019-07-18;1,13;1,13;1,13;1,13;2.000;2.260
2019-07-17;1,14;1,14;1,14;1,14;640;730
2019-07-16;1,13;1,14;1,13;1,14;1.585;1.807
2019-07-15;1,17;1,17;1,14;1,14;7.665;8.781
2019-07-12;1,13;1,17;1,13;1,17;30.140;34.960
2019-07-11;1,15;1,17;1,14;1,14;11.460;13.183
2019-07-10;1,15;1,17;1,15;1,17;4.712;5.509
2019-07-09;1,15;1,16;1,15;1,16;20;23
2019-07-08;1,13;1,17;1,13;1,17;3.100;3.626
2019-07-05;1,14;1,16;1,14;1,16;15.492;17.927
2019-07-04;1,13;1,15;1,13;1,13;8.986;10.226
2019-07-03;1,13;1,17;1,13;1,17;11.793;13.545
2019-07-02;1,14;1,18;1,14;1,16;6.900;8.009
2019-07-01;1,13;1,15;1,13;1,15;4.479;5.116
2019-06-28;1,1405;1,19752;1,1405;1,17851;77.831;91.394
2019-06-27;1,12149;1,15;1,12149;1,15;3.216;3.698
2019-06-26;1,12149;1,16901;1,12149;1,16901;4.708;5.394
2019-06-25;1,09298;1,15;1,09298;1,13099;4.264;4.903
2019-06-24;1,09298;1,16901;1,09298;1,1595;7.092;8.230
2019-06-21;1,07397;1,1595;1,07397;1,1595;19.465;22.070
2019-06-20;1,07397;1,10248;1,07397;1,10248;6.839;7.540
2019-06-19;1,07397;1,09298;1,07397;1,09298;8.243;9.009
2019-06-18;1,06446;1,09298;1,06446;1,09298;11.679;12.765
2019-06-17;1,08347;1,09298;1,07397;1,07397;13.048;14.225
2019-06-14;1,08347;1,09298;1,08347;1,08347;2.359;2.576
2019-06-13;1,09298;1,09298;1,08347;1,09298;12.626;13.790
2019-06-12;1,08347;1,12149;1,08347;1,10248;10.109;11.325
2019-06-11;1,07397;1,11198;1,07397;1,07397;5.392;5.951
2019-06-07;1,04545;1,12149;1,04545;1,05496;1.179;1.321
2019-06-06;1,04545;1,11198;1,04545;1,11198;1.184;1.250
2019-06-05;1,05496;1,12149;1,04545;1,04545;14.819;15.695
2019-06-04;1,02645;1,08347;1,02645;1,03595;7.123;7.631
2019-06-03;1,02645;1,03595;1,02645;1,03595;1.000;1.036
2019-05-31;1,02645;1,03595;1,02645;1,03595;5.261;5.450
2019-05-30;1,04545;1,05496;1,04545;1,04545;1.263;1.330
2019-05-29;1,04545;1,08347;1,04545;1,08347;88;95
2019-05-28;1,02645;1,02645;1,02645;1,02645;0;0
2019-05-27;1,02645;1,03595;1,02645;1,03595;81;84
2019-05-24;1,02645;1,06446;1,02645;1,03595;1.399;1.486
2019-05-23;1,02645;1,06446;1,02645;1,02645;7.081;7.347
2019-05-22;1,00744;1,03595;1,00744;1,03595;495;512
2019-05-21;1,00744;1,00744;1,00744;1,00744;0;0
2019-05-20;1,00744;1,02645;1,00744;1,02645;84;86
2019-05-17;1,04545;1,07397;1,04545;1,06446;3.241;3.471
2019-05-16;1,04545;1,06446;1,04545;1,06446;3.603;3.788
2019-05-15;1,01694;1,05496;1,01694;1,04545;10.943;11.437
2019-05-14;1,02645;1,04545;1,02645;1,03595;14.874;15.382
2019-05-13;1,03595;1,03595;1,03595;1,03595;2.104;2.180
2019-05-10;1,02645;1,04545;1,02645;1,04545;3.151;3.285
2019-05-09;1,02645;1,03595;1,02645;1,03595;684;709
2019-05-08;1,01694;1,03595;1,01694;1,03595;3.546;3.663
2019-05-07;1,04545;1,05496;1,04545;1,04545;5.453;5.703
2019-05-06;1,05496;1,05496;1,04545;1,05496;5.656;5.924
2019-05-03;1,00744;1,05496;1,00744;1,03595;6.459;6.804
2019-05-02;1,12149;1,12149;1,04545;1,04545;69.621;74.765
2019-04-30;1,04545;1,04545;1,00744;1,04545;56.091;57.745
2019-04-29;1,03595;1,03595;1,00744;1,02645;6.913;7.066
2019-04-26;1,04545;1,04545;0,99793;1,04545;11.101;11.085
2019-04-25;1,03595;1,04545;0,97893;1,04545;21.749;22.526
2019-04-24;1,03595;1,03595;1,02645;1,02645;140;144
2019-04-23;1,02645;1,03595;0,96942;1,03595;6.418;6.588
2019-04-18;1,03595;1,03595;1,03595;1,03595;187;182
2019-04-17;0,97893;1,03595;0,96942;1,03595;52.851;52.339
2019-04-16;0,97893;0,97893;0,95041;0,97893;737;700
2019-04-15;0,96942;0,97893;0,95041;0,97893;1.552;1.495
2019-04-12;0,98843;0,98843;0,94091;0,98843;14.783;13.911
2019-04-11;0,98843;0,98843;0,95041;0,98843;6.313;6.000
2019-04-10;0,98843;0,98843;0,94091;0,98843;20.226;19.442
2019-04-09;0,97893;0,99793;0,94091;0,99793;1.968;1.892
2019-04-08;0,94091;0,97893;0,94091;0,97893;2.102;1.998
2019-04-05;0,94091;0,99793;0,94091;0,99793;3.777;3.560
2019-04-04;0,97893;0,99793;0,94091;0,99793;11.006;10.505
2019-04-03;0,98843;0,98843;0,96942;0,98843;540;523
2019-04-02;0,97893;0,98843;0,96942;0,98843;13.694;13.405
2019-04-01;0,95992;0,97893;0,95992;0,97893;105;102
2019-03-29;0,96942;0,97893;0,94091;0,97893;527;500
2019-03-28;0,97893;0,97893;0,95041;0,97893;12.699;12.320
2019-03-27;0,96942;0,97893;0,94091;0,97893;6.818;6.574
2019-03-26;0,97893;0,97893;0,95041;0,97893;284;271
2019-03-25;0,95041;0,97893;0,95041;0,96942;186;178
2019-03-22;0,97893;0,97893;0,94091;0,97893;5.726;5.446
2019-03-21;0,97893;0,98843;0,9314;0,97893;9.122;8.603
2019-03-20;0,97893;0,97893;0,96942;0,97893;70;68
2019-03-19;0,96942;0,97893;0,96942;0,97893;4.240;4.111
2019-03-18;0,95992;0,97893;0,95992;0,95992;9.070;8.706
2019-03-15;0,96942;0,98843;0,95041;0,95992;8.303;8.032
2019-03-14;0,96942;0,96942;0,95041;0,96942;100;95
2019-03-13;0,96942;0,96942;0,9314;0,96942;8.516;8.004
2019-03-12;0,96942;0,96942;0,9314;0,96942;7.402;7.055
2019-03-11;0,95992;0,96942;0,95041;0,96942;2.346;2.251
2019-03-08;0,96942;0,96942;0,9219;0,96942;385;356
2019-03-07;0,96942;0,96942;0,9219;0,96942;631;582
2019-03-06;0,96942;0,96942;0,9219;0,9219;149;141
2019-03-05;0,97893;0,97893;0,9219;0,96942;2.488;2.355
2019-03-04;0,98843;0,98843;0,9219;0,98843;11.258;10.379
2019-03-01;0,98843;0,98843;0,9314;0,98843;1.599;1.510
2019-02-28;0,9314;0,98843;0,9314;0,98843;6.313;5.980
2019-02-27;0,98843;0,98843;0,9314;0,97893;7.965;7.527
2019-02-26;0,97893;0,99793;0,94091;0,99793;5.740;5.496
2019-02-25;0,97893;0,97893;0,95041;0,97893;6.839;6.500
2019-02-22;0,9314;0,98843;0,9314;0,96942;2.288;2.172
2019-02-21;0,98843;0,98843;0,9219;0,9314;10.732;10.046
2019-02-20;0,90289;0,99793;0,90289;0,99793;39.775;37.441
2019-02-19;0,99793;0,99793;0,95992;0,99793;13.868;13.389
2019-02-18;0,97893;1,00744;0,96942;0,99793;5.496;5.329
2019-02-15;0,99793;1,02645;0,96942;1,00744;33.843;33.800
2019-02-14;1,03595;1,03595;0,96942;0,99793;3.209;3.111
2019-02-13;1,03595;1,03595;0,96942;1,03595;10.055;10.015
2019-02-12;1,00744;1,00744;0,99793;1,00744;5.269;5.308
2019-02-11;1,00744;1,00744;0,96942;1,00744;53;51
2019-02-08;1,00744;1,00744;0,95992;1,00744;10.522;10.100
2019-02-07;1,00744;1,00744;0,96942;1,00744;7.002;6.852
2019-02-06;0,99793;1,00744;0,98843;1,00744;1.778;1.760
2019-02-05;1,02645;1,02645;0,96942;1,00744;3.288;3.224
2019-02-04;1,00744;1,02645;0,96942;0,96942;27.223;26.668
2019-02-01;1,03595;1,03595;1,01694;1,02645;127;129
2019-01-31;1,03595;1,03595;1,00744;1,03595;368;371
2019-01-30;1,03595;1,03595;1,03595;1,03595;0;0
2019-01-29;1,03595;1,03595;0,98843;1,03595;358;354
2019-01-28;0,98843;1,03595;0,98843;1,03595;2.111;2.146
2019-01-25;1,02645;1,03595;0,98843;1,03595;947;944
2019-01-24;1,03595;1,03595;0,98843;1,03595;826;816
2019-01-23;1,03595;1,03595;1,02645;1,03595;189;194
2019-01-22;1,03595;1,03595;1,02645;1,03595;61;63
2019-01-21;1,04545;1,04545;1,04545;1,04545;0;0
2019-01-18;1,04545;1,04545;0,98843;1,04545;375;373
2019-01-17;1,03595;1,04545;0,98843;1,04545;11.977;12.382
2019-01-16;1,03595;1,03595;1,00744;1,03595;47.903;49.610
2019-01-15;0,98843;1,00744;0,98843;1,00744;43.477;43.400
2019-01-14;1,03595;1,03595;0,80785;0,99793;58.892;49.374
2019-01-11;1,03595;1,03595;1,03595;1,03595;0;0
2019-01-10;1,03595;1,03595;0,96942;1,03595;1.052;1.020
2019-01-09;1,04545;1,04545;0,96942;1,03595;4.031;3.953
2019-01-08;1,06446;1,06446;0,96942;0,96942;5.419;5.253
2019-01-07;0,9219;1,06446;0,9219;1,06446;42.227;43.234
2019-01-04;1,02645;1,02645;0,97893;0,98843;143;140
2019-01-03;0,99793;0,99793;0,99793;0,99793;0;0
2019-01-02;0,87438;1,04545;0,87438;0,96942;5.889;5.322
2018-12-28;0,98843;0,98843;0,98843;0,98843;0;0
2018-12-27;0,98843;0,98843;0,89339;0,98843;8.749;8.014
2018-12-21;0,96942;0,98843;0,88388;0,98843;5.771;5.456
2018-12-20;0,98843;0,98843;0,98843;0,98843;0;0
2018-12-19;0,96942;0,98843;0,94091;0,98843;3.706;3.558
2018-12-18;0,98843;0,98843;0,98843;0,98843;0;0
2018-12-17;0,98843;0,98843;0,94091;0,98843;105;99
2018-12-14;0,98843;0,98843;0,88388;0,98843;1.764;1.640
2018-12-13;0,98843;0,98843;0,90289;0,98843;1.205;1.088
2018-12-12;0,97893;0,98843;0,96942;0,98843;1.431;1.400
2018-12-11;0,97893;0,98843;0,95041;0,95041;13.989;13.419
2018-12-10;0,96942;0,98843;0,95041;0,96942;11.312;10.866
2018-12-07;0,99793;0,99793;0,96942;0,97893;2.595;2.539
2018-12-06;1,00744;1,00744;0,95992;0,99793;3.157;3.050
2018-12-05;1,01694;1,01694;1,01694;1,01694;0;0
2018-12-04;1,02645;1,02645;0,98843;1,02645;7.150;7.094
2018-12-03;1,01694;1,02645;0,95992;1,02645;679;660
2018-11-30;1,02645;1,02645;0,97893;1,02645;1.063;1.041
2018-11-29;1,02645;1,02645;1,01694;1,02645;2.115;2.151
2018-11-28;0,99793;1,02645;0,97893;1,02645;14.846;14.932
2018-11-27;1,02645;1,02645;0,97893;0,98843;1.557;1.529
2018-11-26;1,02645;1,02645;0,98843;1,02645;35.406;35.233
2018-11-23;1,02645;1,02645;0,98843;1,02645;12.577;12.551
2018-11-22;1,04545;1,04545;0,99793;1,02645;449;448
2018-11-21;1,04545;1,04545;0,99793;1,04545;15.230;15.418
2018-11-20;1,07397;1,07397;0,98843;1,04545;6.162;6.140
2018-11-19;1,07397;1,07397;1,07397;1,07397;0;0
2018-11-16;1,07397;1,07397;1,06446;1,07397;558;594
2018-11-15;1,03595;1,07397;1,02645;1,07397;5.560;5.712
2018-11-14;1,07397;1,07397;1,04545;1,07397;447;472
2018-11-13;1,07397;1,07397;1,00744;1,00744;74;74
2018-11-12;1,01694;1,07397;1,00744;1,07397;7.304;7.363
2018-11-09;1,07397;1,07397;0,99793;1,07397;6.845;7.121
2018-11-08;1,07397;1,07397;1,07397;1,07397;0;0
2018-11-07;1,07397;1,07397;1,05496;1,05496;989;1.044
2018-11-06;1,05496;1,07397;1,05496;1,05496;2.094;2.209
2018-11-05;1,07397;1,07397;1,04545;1,07397;5.093;5.406
2018-11-02;1,07397;1,07397;1,04545;1,07397;9.141;9.675
2018-11-01;1,06446;1,07397;1,06446;1,07397;1.263;1.344
2018-10-31;1,04545;1,07397;1,01694;1,07397;4.735;4.950
2018-10-30;1,07397;1,07397;1,00744;1,07397;3.125;3.152
2018-10-29;1,07397;1,07397;1,04545;1,07397;7.207;7.590
2018-10-26;1,09298;1,09298;1,05496;1,09298;15.207;16.044
2018-10-25;1,06446;1,09298;1,06446;1,09298;5.366;5.712
2018-10-24;1,09298;1,09298;1,08347;1,09298;84;91
2018-10-23;1,09298;1,09298;1,06446;1,09298;821;885
2018-10-22;1,09298;1,09298;1,05496;1,09298;12.210;12.918
2018-10-19;1,09298;1,09298;1,09298;1,09298;0;0
2018-10-18;1,09298;1,09298;1,06446;1,09298;16;17
2018-10-17;1,09298;1,09298;1,06446;1,09298;1.833;1.951
2018-10-16;1,10248;1,10248;1,06446;1,09298;3.367;3.584
2018-10-15;1,09298;1,10248;1,06446;1,10248;2.210;2.355
2018-10-12;1,10248;1,10248;1,06446;1,10248;9.552;10.261
2018-10-11;1,11198;1,11198;1,06446;1,10248;4.314;4.608
2018-10-10;1,12149;1,12149;1,06446;1,11198;4.209;4.510
2018-10-09;1,11198;1,11198;1,06446;1,11198;32.544;34.947
2018-10-08;1,10248;1,11198;1,08347;1,11198;2.851;3.142
2018-10-05;1,11198;1,11198;1,10248;1,11198;954;1.052
2018-10-04;1,11198;1,11198;1,07397;1,08347;6.890;7.503
2018-10-02;1,13099;1,13099;1,08347;1,13099;15.783;17.200
2018-10-01;1,12149;1,13099;1,10248;1,13099;12.636;14.161
2018-09-28;1,13099;1,13099;1,11198;1,13099;11.039;12.278
2018-09-27;1,13099;1,13099;1,13099;1,13099;0;0
2018-09-26;1,13099;1,13099;1,12149;1,13099;74;83
2018-09-25;1,13099;1,13099;1,12149;1,13099;789;885
2018-09-24;1,13099;1,13099;1,13099;1,13099;14.730;16.660
2018-09-21;1,1405;1,1405;1,12149;1,13099;2.104;2.360
2018-09-20;1,1405;1,1405;1,12149;1,1405;631;709
2018-09-19;1,1405;1,1405;1,13099;1,1405;1.136;1.285
2018-09-18;1,13099;1,1405;1,12149;1,1405;1.894;2.132
2018-09-17;1,12149;1,1405;1,12149;1,1405;388;437
2018-09-14;1,15;1,15;1,13099;1,15;1.227;1.399
2018-09-13;1,15;1,15;1,1405;1,15;2.525;2.880
2018-09-12;1,15;1,15;1,13099;1,1405;3.262;3.719
2018-09-11;1,15;1,15;1,10248;1,10248;5.419;6.077
2018-09-10;1,16901;1,16901;1,13099;1,15;2.078;2.353
2018-09-07;1,16901;1,16901;1,1405;1,16901;6.313;7.230
2018-09-06;1,16901;1,16901;1,15;1,16901;3.157;3.630
2018-09-05;1,1595;1,16901;1,1405;1,16901;7.428;8.589
2018-09-04;1,13099;1,1405;1,13099;1,1405;16.490;18.806
2018-09-03;1,10248;1,13099;1,10248;1,13099;231;255
2018-08-31;1,12149;1,13099;1,11198;1,13099;4.840;5.398
2018-08-30;1,1405;1,1405;1,10248;1,13099;7.102;7.880
2018-08-29;1,1595;1,1595;1,12149;1,1405;6.694;7.610
2018-08-28;1,1595;1,1595;1,1595;1,1595;0;0
2018-08-27;1,1595;1,1595;1,1405;1,1595;221;252
2018-08-24;1,1595;1,1595;1,12149;1,1595;3.188;3.657
2018-08-23;1,1595;1,1595;1,1405;1,1595;473;544
2018-08-22;1,1595;1,16901;1,1405;1,1595;10.643;12.265
2018-08-21;1,15;1,18802;1,15;1,18802;4.233;4.909
2018-08-20;1,18802;1,18802;1,1595;1,18802;11.837;13.905
2018-08-17;1,1595;1,20702;1,1405;1,18802;53.735;62.322
2018-08-16;1,19752;1,20702;1,16901;1,20702;36.635;43.036
2018-08-15;1,20702;1,20702;1,18802;1,20702;1.610;1.913
2018-08-14;1,18802;1,20702;1,18802;1,18802;805;957
2018-08-13;1,19752;1,20702;1,17851;1,17851;18.852;22.556
2018-08-10;1,16901;1,20702;1,16901;1,19752;7.186;8.605
2018-08-09;1,20702;1,20702;1,17851;1,20702;5.819;6.957
2018-08-08;1,16901;1,20702;1,16901;1,20702;6.276;7.385
2018-08-07;1,20702;1,20702;1,1595;1,19752;47.721;56.451
2018-08-06;1,18802;1,20702;1,17851;1,20702;8.041;9.536
2018-08-03;1,17851;1,18802;1,17851;1,18802;2.546;3.001
2018-08-02;1,19752;1,20702;1,19752;1,20702;2.525;3.024
2018-08-01;1,19752;1,19752;1,17851;1,17851;5.609;6.711
2018-07-31;1,17851;1,20702;1,17851;1,20702;7.891;9.300
2018-07-30;1,19752;1,20702;1,18802;1,20702;4.419;5.256
2018-07-27;1,20702;1,20702;1,19752;1,19752;15.424;18.610
2018-07-26;1,18802;1,20702;1,18802;1,20702;12.637;15.253
2018-07-25;1,1595;1,20702;1,1595;1,20702;9.996;11.775
2018-07-24;1,21653;1,21653;1,16901;1,20702;4.998;5.863
2018-07-23;1,1595;1,21653;1,1595;1,20702;172;207
2018-07-20;1,21653;1,21653;1,16901;1,21653;591;701
2018-07-19;1,15;1,21653;1,15;1,21653;30.576;36.299
2018-07-18;1,18802;1,19752;1,16901;1,16901;15.046;17.785
2018-07-17;1,23554;1,23554;1,19752;1,22603;1.847;2.219
2018-07-16;1,20702;1,22603;1,20702;1,22603;56;68
2018-07-13;1,19752;1,22603;1,19752;1,22603;15.993;19.608
2018-07-12;1,23554;1,23554;1,20702;1,20702;5.781;7.013
2018-07-11;1,26405;1,26405;1,21653;1,21653;610;742
2018-07-10;1,28306;1,28306;1,21653;1,21653;8.874;10.816
2018-07-09;1,21653;1,28306;1,21653;1,28306;3.335;4.099
2018-07-06;1,21653;1,28306;1,21653;1,28306;2.104;2.600
2018-07-05;1,28306;1,28306;1,21653;1,26405;1.473;1.812
2018-07-04;1,21653;1,28306;1,21653;1,28306;10.175;12.589
2018-07-03;1,18802;1,21653;1,18802;1,21653;18.487;22.261
2018-07-02;1,31157;1,31157;1,23554;1,23554;13.156;16.448
2018-06-29;1,24462;1,26279;1,24462;1,25371;9.323;11.714
2018-06-28;1,24462;1,27188;1,24462;1,25371;903;1.146
2018-06-27;1,26279;1,26279;1,25371;1,25371;8.410;10.571
2018-06-26;1,27188;1,27188;1,26279;1,26279;18.536;23.478
2018-06-25;1,29005;1,29005;1,28096;1,28096;2.301;2.968
2018-06-22;1,27188;1,28096;1,27188;1,28096;194;248
2018-06-21;1,26279;1,29005;1,26279;1,28096;4.403;5.674
2018-06-20;1,26279;1,29005;1,26279;1,26279;8.250;10.583
2018-06-19;1,30822;1,30822;1,27188;1,28096;21.475;27.514
2018-06-18;1,30822;1,30822;1,26279;1,30822;29.911;38.755
2018-06-15;1,30822;1,30822;1,26279;1,30822;2.269;2.905
2018-06-14;1,26279;1,29005;1,26279;1,29005;550;710
2018-06-13;1,29005;1,3173;1,27188;1,30822;17.038;22.412
2018-06-12;1,25371;1,30822;1,25371;1,30822;11.620;15.195
2018-06-11;1,25371;1,29005;1,25371;1,29005;24.079;30.745
2018-06-08;1,21737;1,26279;1,21737;1,26279;11.017;13.862
2018-06-07;1,21737;1,25371;1,21737;1,22645;4.224;5.181
2018-06-06;1,21737;1,25371;1,21737;1,25371;105;131
2018-06-05;1,21737;1,25371;1,21737;1,25371;4.198;5.150
2018-06-04;1,21737;1,25371;1,21737;1,25371;2.863;3.571
2018-06-01;1,21737;1,24462;1,20828;1,24462;18.602;22.648
2018-05-31;1,25371;1,27188;1,25371;1,27188;5.085;6.416
2018-05-30;1,26279;1,26279;1,25371;1,26279;5.941;7.458
2018-05-29;1,27188;1,28096;1,24462;1,24462;12.727;16.176
2018-05-28;1,27188;1,27188;1,27188;1,27188;6.909;8.788
2018-05-25;1,27188;1,27188;1,26279;1,26279;5.228;6.639
2018-05-24;1,27188;1,28096;1,26279;1,26279;19.070;24.249
2018-05-23;1,29005;1,29913;1,28096;1,29005;4.045;5.229
2018-05-22;1,23554;1,28096;1,23554;1,28096;7.033;8.986
2018-05-18;1,29005;1,29913;1,26279;1,29913;12.505;16.057
2018-05-17;1,23554;1,30822;1,23554;1,29005;7.989;10.308
2018-05-16;1,29005;1,3173;1,24462;1,24462;24.300;31.415
2018-05-15;1,29913;1,32639;1,29005;1,29005;5.603;7.309
2018-05-14;1,27188;1,32639;1,24462;1,3173;47.667;62.343
2018-05-11;1,29005;1,29005;1,25371;1,28096;15.023;19.151
2018-05-10;1,29005;1,29913;1,28096;1,29005;17.901;23.132
2018-05-09;1,27188;1,29913;1,24462;1,27188;71.432;90.614
2018-05-08;1,29913;1,30822;1,27188;1,27188;41.762;53.969
2018-05-07;1,25371;1,30822;1,25371;1,29913;121.578;155.492
2018-05-04;1,20828;1,23554;1,14469;1,23554;82.171;98.416
2018-05-03;1,12652;1,18103;1,11743;1,18103;50.124;58.696
2018-05-02;1,09018;1,16286;1,0811;1,14469;87.918;99.920
2018-04-30;1,07201;1,09018;1,06293;1,09018;114.595;124.699
2018-04-27;1,0811;1,0811;1,0811;1,0811;192;207
2018-04-26;1,0811;1,0811;1,0811;1,0811;2.895;3.130
2018-04-25;1,09018;1,09018;1,05384;1,09018;3.849;4.058
2018-04-24;1,09018;1,09018;1,06293;1,06293;4.266;4.535
2018-04-23;1,06293;1,0811;1,06293;1,0811;3.850;4.162
2018-04-20;1,09018;1,09018;1,05384;1,09018;14.371;15.626
2018-04-19;1,09018;1,09018;1,0811;1,0811;330;357
2018-04-18;1,04476;1,09018;1,04476;1,09018;0;0
2018-04-17;1,07201;1,07201;1,05384;1,05384;1.734;1.852
2018-04-16;1,07201;1,07201;1,05384;1,07201;7.584;7.992
2018-04-13;1,09018;1,09018;1,07201;1,07201;28;30
2018-04-12;1,05384;1,09018;1,05384;1,09018;2.201;2.320
2018-04-11;1,09018;1,09018;1,05384;1,07201;2.893;3.049
2018-04-10;1,09018;1,09018;1,05384;1,05384;103;109
2018-04-09;1,07201;1,07201;1,04476;1,05384;7.320;7.665
2018-04-06;1,04476;1,04476;1,04476;1,04476;0;0
2018-04-05;1,05384;1,0811;1,05384;1,0811;3.406;3.674
2018-04-04;1,09018;1,09018;1,04476;1,05384;18.208;19.139
2018-04-03;1,09018;1,09018;1,09018;1,09018;5.504;6.000
2018-03-29;1,03567;1,04476;1,03567;1,04476;211;221
2018-03-28;1,04476;1,05384;1,03567;1,05384;5.750;6.005
2018-03-27;0,99933;1,04476;0,99933;1,04476;44.636;45.862
2018-03-26;1,02659;1,03567;1,0175;1,03567;13.209;13.460
2018-03-23;1,03567;1,03567;1,03567;1,03567;0;0
2018-03-22;1,03567;1,03567;0,99933;1,03567;2.829;2.828
2018-03-21;1,03567;1,03567;1,00842;1,03567;1.376;1.388
2018-03-20;0,99933;1,03567;0,99933;1,03567;55;56
2018-03-19;1,02659;1,02659;1,00842;1,02659;1.503;1.522
2018-03-16;0,99933;1,04476;0,97208;1,04476;13.935;13.551
2018-03-15;1,02659;1,02659;1,00842;1,00842;3.318;3.346
2018-03-14;1,02659;1,02659;1,00842;1,02659;4.989;5.053
2018-03-13;1,0175;1,02659;1,0175;1,02659;1.101;1.130
2018-03-12;1,02659;1,02659;1,0175;1,0175;3.798;3.894
2018-03-09;1,04476;1,04476;1,03567;1,04476;2.167;2.245
2018-03-08;1,03567;1,04476;1,0175;1,04476;6.992;7.231
2018-03-07;1,03567;1,05384;1,03567;1,04476;440;460
2018-03-06;1,04476;1,05384;1,03567;1,05384;6.082;6.301
2018-03-05;1,05384;1,05384;1,04476;1,04476;955;998
2018-03-02;1,05384;1,06293;1,05384;1,05384;17.271;18.203
2018-03-01;1,0811;1,0811;1,04476;1,0811;3.805;3.982
2018-02-28;1,09018;1,09018;1,04476;1,0811;10.644;11.287
2018-02-27;1,03567;1,06293;1,03567;1,06293;2.251;2.393
2018-02-26;1,03567;1,09018;1,03567;1,09018;1.105;1.175
2018-02-23;1,05384;1,0811;1,04476;1,06293;56.248;59.095
2018-02-22;1,05384;1,05384;1,04476;1,05384;478;499
2018-02-21;1,06293;1,06293;1,06293;1,06293;0;0
2018-02-20;1,06293;1,06293;1,04476;1,04476;6.825;7.230
2018-02-19;1,07201;1,09018;1,04476;1,04476;20.694;21.921
2018-02-16;1,09018;1,10835;1,09018;1,09018;4.568;5.060
2018-02-15;1,10835;1,10835;1,06293;1,06293;1.344;1.437
