Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;5,75;5,75;5,75;5,75;0;0
2019-05-02;5,75;5,75;5,75;5,75;0;0
2019-04-30;5,75;5,75;5,75;5,75;0;0
2019-04-29;5,75;5,75;5,75;5,75;0;0
2019-04-26;5,75;5,75;5,75;5,75;0;0
2019-04-25;5,75;5,75;5,75;5,75;0;0
2019-04-24;5,75;5,75;5,75;5,75;0;0
2019-04-23;5,75;5,75;5,75;5,75;0;0
2019-04-18;5,75;5,75;5,75;5,75;0;0
2019-04-17;5,75;5,75;5,75;5,75;0;0
2019-04-16;5,80;5,80;5,80;5,80;0;0
2019-04-15;5,75;5,75;5,75;5,75;0;0
2019-04-12;5,75;5,75;5,75;5,75;0;0
2019-04-11;5,75;5,75;5,75;5,75;0;0
2019-04-10;5,75;5,75;5,75;5,75;0;0
2019-04-09;5,75;5,75;5,75;5,75;0;0
2019-04-08;5,75;5,75;5,75;5,75;0;0
2019-04-05;5,75;5,75;5,75;5,75;0;0
2019-04-04;5,75;5,75;5,75;5,75;0;0
2019-04-03;5,75;5,75;5,75;5,75;0;0
2019-04-02;5,75;5,75;5,75;5,75;0;0
2019-04-01;5,75;5,75;5,75;5,75;0;0
2019-03-29;5,75;5,75;5,75;5,75;0;0
2019-03-28;5,75;5,75;5,75;5,75;0;0
2019-03-27;5,75;5,75;5,75;5,75;0;0
2019-03-26;5,75;5,75;5,75;5,75;0;0
2019-03-25;5,75;5,75;5,75;5,75;0;0
2019-03-22;5,75;5,75;5,75;5,75;0;0
2019-03-21;5,75;5,75;5,75;5,75;0;0
2019-03-20;5,80;5,80;5,80;5,80;0;0
2019-03-19;5,75;5,75;5,75;5,75;0;0
2019-03-18;5,75;5,75;5,75;5,75;0;0
2019-03-15;5,75;5,75;5,75;5,75;0;0
2019-03-14;5,75;5,75;5,75;5,75;0;0
2019-03-13;5,75;5,75;5,75;5,75;0;0
2019-03-12;5,75;5,75;5,75;5,75;500;2.875
2019-03-11;5,75;5,75;5,75;5,75;25;144
2019-03-08;5,85;5,85;5,85;5,85;0;0
2019-03-07;5,80;5,80;5,80;5,80;0;0
2019-02-26;5,70;5,70;5,70;5,70;0;0
2019-02-25;5,75;5,75;5,75;5,75;10;58
2019-02-22;6,00;6,00;6,00;6,00;0;0
2019-02-21;6,00;6,00;6,00;6,00;0;0
2019-02-20;6,00;6,00;6,00;6,00;0;0
2019-02-19;6,00;6,00;6,00;6,00;0;0
2019-02-18;6,00;6,00;6,00;6,00;0;0
2019-02-15;6,00;6,00;6,00;6,00;0;0
2019-02-14;6,00;6,00;6,00;6,00;0;0
2019-02-13;6,00;6,00;6,00;6,00;0;0
2019-02-12;6,00;6,00;6,00;6,00;0;0
2019-02-11;6,00;6,00;6,00;6,00;0;0
2019-02-08;6,00;6,00;6,00;6,00;0;0
2019-02-07;6,00;6,00;6,00;6,00;0;0
2019-02-06;6,00;6,00;6,00;6,00;0;0
2019-02-05;6,00;6,00;6,00;6,00;0;0
2019-02-04;6,00;6,00;6,00;6,00;0;0
2019-02-01;5,95;5,95;5,95;5,95;0;0
2019-01-30;6,00;6,00;6,00;6,00;0;0
2019-01-29;5,95;5,95;5,95;5,95;0;0
2019-01-28;6,05;6,05;6,05;6,05;0;0
2019-01-25;6,05;6,20;6,05;6,20;323;2.003
2019-01-24;6,05;6,05;6,05;6,05;0;0
2019-01-23;6,05;6,05;6,05;6,05;0;0
2019-01-22;6,05;6,05;6,05;6,05;0;0
2019-01-21;6,05;6,05;6,05;6,05;0;0
2019-01-18;6,05;6,05;6,05;6,05;0;0
2019-01-17;6,05;6,05;6,05;6,05;0;0
2019-01-16;6,05;6,05;6,05;6,05;0;0
2019-01-15;6,05;6,05;6,05;6,05;0;0
2019-01-14;6,05;6,05;6,05;6,05;0;0
2019-01-11;6,05;6,05;6,05;6,05;0;0
2019-01-10;6,05;6,05;6,05;6,05;0;0
2019-01-09;6,05;6,05;6,05;6,05;0;0
2019-01-08;6,10;6,10;6,10;6,10;0;0
2019-01-07;6,10;6,10;6,10;6,10;0;0
2019-01-04;6,10;6,10;6,10;6,10;0;0
2019-01-03;6,10;6,10;6,10;6,10;0;0
2018-12-28;5,85;5,85;5,85;5,85;0;0
2018-12-27;6,05;6,05;6,05;6,05;0;0
2018-12-21;6,05;6,05;6,05;6,05;0;0
2018-12-20;6,05;6,05;6,05;6,05;0;0
2018-12-19;6,10;6,10;6,10;6,10;0;0
2018-12-18;6,10;6,10;6,10;6,10;0;0
2018-12-17;6,10;6,10;6,10;6,10;0;0
2018-12-14;6,10;6,10;6,10;6,10;0;0
2018-12-13;6,10;6,10;6,10;6,10;0;0
2018-12-12;6,05;6,05;6,05;6,05;0;0
2018-12-11;6,05;6,05;6,05;6,05;0;0
2018-12-10;6,05;6,05;6,05;6,05;0;0
2018-12-07;6,05;6,05;6,05;6,05;0;0
2018-12-06;6,05;6,05;6,05;6,05;0;0
2018-12-04;6,05;6,05;6,05;6,05;0;0
2018-12-03;6,00;6,00;6,00;6,00;0;0
2018-11-30;6,05;6,05;6,05;6,05;0;0
2018-11-29;6,05;6,05;6,05;6,05;0;0
2018-11-28;6,05;6,05;6,05;6,05;0;0
2018-11-27;6,10;6,10;6,10;6,10;10;61
2018-11-26;5,90;5,90;5,90;5,90;0;0
2018-11-23;5,90;5,90;5,90;5,90;0;0
2018-11-22;5,95;5,95;5,95;5,95;0;0
2018-11-21;5,95;5,95;5,95;5,95;0;0
2018-11-20;6,05;6,05;6,05;6,05;52;315
2018-11-19;5,95;5,95;5,95;5,95;0;0
2018-11-16;5,85;5,85;5,85;5,85;200;1.170
2018-11-15;5,75;5,75;5,75;5,75;0;0
2018-11-14;5,75;5,75;5,75;5,75;0;0
2018-11-13;5,75;5,75;5,75;5,75;0;0
2018-11-12;5,75;5,75;5,75;5,75;0;0
2018-11-09;5,75;5,75;5,75;5,75;0;0
2018-11-08;5,75;5,75;5,75;5,75;0;0
2018-11-07;5,75;5,75;5,75;5,75;0;0
2018-11-06;5,75;5,75;5,75;5,75;0;0
2018-11-05;5,75;5,75;5,75;5,75;0;0
2018-11-02;5,75;5,75;5,75;5,75;0;0
2018-11-01;5,75;5,75;5,75;5,75;0;0
2018-10-31;5,75;5,75;5,75;5,75;0;0
2018-10-30;5,75;5,75;5,75;5,75;0;0
2018-10-26;5,80;5,80;5,80;5,80;0;0
2018-10-25;5,80;5,80;5,80;5,80;0;0
2018-10-24;5,80;5,80;5,80;5,80;0;0
2018-10-23;5,85;5,85;5,85;5,85;0;0
2018-10-22;5,85;5,85;5,85;5,85;0;0
2018-10-19;5,70496;5,70496;5,70496;5,70496;0;0
2018-10-18;5,70496;5,70496;5,70496;5,70496;0;0
2018-10-17;5,70496;5,70496;5,70496;5,70496;0;0
2018-10-16;5,70496;5,70496;5,70496;5,70496;0;0
2018-10-12;5,70496;5,70496;5,70496;5,70496;0;0
2018-10-11;5,75331;5,75331;5,75331;5,75331;0;0
2018-10-10;5,70496;5,70496;5,70496;5,70496;0;0
2018-10-09;5,70496;5,70496;5,70496;5,70496;0;0
2018-10-08;5,70496;5,70496;5,70496;5,70496;0;0
2018-10-05;5,70496;5,70496;5,70496;5,70496;0;0
2018-10-04;5,70496;5,70496;5,70496;5,70496;0;0
2018-10-02;5,70496;5,70496;5,70496;5,70496;0;0
2018-10-01;5,70496;5,70496;5,70496;5,70496;0;0
2018-09-28;5,70496;5,70496;5,70496;5,70496;103;590
2018-09-27;5,70496;5,70496;5,70496;5,70496;0;0
2018-09-26;5,70496;5,70496;5,70496;5,70496;0;0
2018-09-25;5,70496;5,70496;5,70496;5,70496;0;0
2018-09-24;5,70496;5,70496;5,70496;5,70496;0;0
2018-09-21;5,70496;5,70496;5,70496;5,70496;0;0
2018-09-20;5,70496;5,70496;5,70496;5,70496;0;0
2018-09-19;5,70496;5,70496;5,70496;5,70496;0;0
2018-09-18;5,70496;5,70496;5,70496;5,70496;0;0
2018-09-17;5,70496;5,70496;5,70496;5,70496;0;0
2018-09-14;5,70496;5,70496;5,70496;5,70496;0;0
2018-09-13;5,70496;5,70496;5,70496;5,70496;0;0
2018-09-12;5,70496;5,70496;5,70496;5,70496;0;0
2018-09-11;5,75331;5,75331;5,75331;5,75331;0;0
2018-09-10;5,75331;5,75331;5,75331;5,75331;0;0
2018-09-07;5,80165;5,80165;5,80165;5,80165;0;0
2018-09-06;5,85;5,85;5,85;5,85;0;0
2018-09-05;5,89835;5,89835;5,89835;5,89835;0;0
2018-09-04;5,89835;5,89835;5,89835;5,89835;0;0
2018-09-03;5,89835;5,89835;5,89835;5,89835;0;0
2018-08-31;5,89835;5,89835;5,89835;5,89835;0;0
2018-08-30;5,89835;5,89835;5,89835;5,89835;0;0
2018-08-29;5,89835;5,89835;5,89835;5,89835;0;0
2018-08-28;5,89835;5,89835;5,89835;5,89835;0;0
2018-08-27;5,89835;5,89835;5,89835;5,89835;0;0
2018-08-24;5,89835;5,89835;5,89835;5,89835;0;0
2018-08-23;5,89835;5,89835;5,89835;5,89835;0;0
2018-08-22;5,89835;5,89835;5,89835;5,89835;0;0
2018-08-21;5,89835;5,89835;5,89835;5,89835;0;0
2018-08-20;5,89835;5,89835;5,89835;5,89835;0;0
2018-08-17;5,89835;5,89835;5,89835;5,89835;0;0
2018-08-16;5,89835;5,89835;5,89835;5,89835;0;0
2018-08-15;5,99504;5,99504;5,99504;5,99504;0;0
2018-08-14;5,99504;5,99504;5,99504;5,99504;0;0
2018-08-13;5,99504;5,99504;5,99504;5,99504;0;0
2018-08-10;5,99504;5,99504;5,99504;5,99504;0;0
2018-08-09;5,99504;5,99504;5,99504;5,99504;0;0
2018-08-08;5,99504;5,99504;5,99504;5,99504;0;0
2018-08-07;5,99504;5,99504;5,99504;5,99504;0;0
2018-08-06;5,99504;5,99504;5,99504;5,99504;0;0
2018-08-03;5,99504;5,99504;5,99504;5,99504;0;0
2018-08-02;5,99504;5,99504;5,99504;5,99504;0;0
2018-08-01;5,99504;5,99504;5,99504;5,99504;0;0
2018-07-31;5,94669;5,94669;5,94669;5,94669;0;0
2018-07-30;5,99504;5,99504;5,99504;5,99504;0;0
2018-07-27;6,04339;6,04339;6,04339;6,04339;0;0
2018-07-26;5,94669;5,94669;5,94669;5,94669;0;0
2018-07-25;5,94669;5,94669;5,94669;5,94669;0;0
2018-07-24;5,99504;5,99504;5,99504;5,99504;0;0
2018-07-23;5,99504;5,99504;5,99504;5,99504;0;0
2018-07-20;5,99504;5,99504;5,99504;5,99504;0;0
2018-07-19;5,99504;5,99504;5,99504;5,99504;0;0
2018-07-18;5,89835;5,89835;5,89835;5,89835;0;0
2018-07-17;5,89835;5,89835;5,89835;5,89835;0;0
2018-07-16;5,89835;5,89835;5,89835;5,89835;0;0
2018-07-13;5,89835;5,89835;5,89835;5,89835;0;0
2018-07-12;5,89835;5,89835;5,89835;5,89835;0;0
2018-07-11;5,89835;5,89835;5,89835;5,89835;0;0
2018-07-10;5,89835;5,89835;5,89835;5,89835;0;0
2018-07-09;5,89835;5,89835;5,89835;5,89835;0;0
2018-07-06;5,80165;5,80165;5,80165;5,80165;0;0
2018-07-05;5,80165;5,80165;5,80165;5,80165;0;0
2018-07-04;5,80165;5,80165;5,80165;5,80165;0;0
2018-07-03;5,85;5,85;5,85;5,85;0;0
2018-07-02;5,85;5,85;5,85;5,85;0;0
2018-06-29;5,85;5,85;5,85;5,85;0;0
2018-06-28;5,85;5,85;5,85;5,85;0;0
2018-06-27;5,85;5,85;5,85;5,85;0;0
2018-06-26;5,85;5,85;5,85;5,85;0;0
2018-06-25;5,85;5,85;5,85;5,85;0;0
2018-06-22;5,85;5,85;5,85;5,85;0;0
2018-06-21;5,85;5,85;5,85;5,85;0;0
2018-06-20;5,85;5,85;5,85;5,85;0;0
2018-06-19;5,85;5,85;5,85;5,85;0;0
2018-06-18;5,85;5,85;5,85;5,85;0;0
2018-06-15;5,85;5,85;5,85;5,85;0;0
2018-06-14;5,85;5,85;5,85;5,85;0;0
2018-06-13;5,89835;5,89835;5,89835;5,89835;0;0
2018-06-12;5,80165;5,80165;5,80165;5,80165;0;0
2018-06-11;5,80165;5,80165;5,80165;5,80165;0;0
2018-06-08;5,80165;5,80165;5,80165;5,80165;0;0
2018-06-07;5,80165;5,80165;5,80165;5,80165;0;0
2018-06-06;5,80165;5,80165;5,80165;5,80165;0;0
2018-06-05;5,80165;5,80165;5,80165;5,80165;0;0
2018-06-04;5,70496;5,70496;5,70496;5,70496;0;0
2018-06-01;5,85;5,85;5,85;5,85;0;0
2018-05-31;5,89835;5,89835;5,89835;5,89835;0;0
2018-05-30;5,89835;5,89835;5,89835;5,89835;0;0
2018-05-29;5,89835;5,89835;5,89835;5,89835;0;0
2018-05-28;5,89835;5,89835;5,89835;5,89835;0;0
2018-05-25;5,89835;5,89835;5,89835;5,89835;0;0
2018-05-24;5,89835;5,89835;5,89835;5,89835;0;0
2018-05-23;5,89835;5,89835;5,89835;5,89835;0;0
2018-05-22;5,89835;5,89835;5,89835;5,89835;0;0
2018-05-18;5,89835;5,89835;5,89835;5,89835;0;0
2018-05-17;5,85;5,85;5,85;5,85;0;0
2018-05-16;5,60826;5,60826;5,60826;5,60826;0;0
2018-05-15;5,60826;5,60826;5,60826;5,60826;0;0
2018-05-14;5,60826;5,60826;5,60826;5,60826;0;0
2018-05-11;5,60826;5,60826;5,60826;5,60826;0;0
2018-05-10;5,60826;5,60826;5,60826;5,60826;0;0
2018-05-09;5,60826;5,60826;5,60826;5,60826;0;0
2018-05-08;5,60826;5,60826;5,60826;5,60826;0;0
2018-05-07;5,70496;5,70496;5,70496;5,70496;0;0
2018-05-04;5,70496;5,70496;5,70496;5,70496;0;0
