Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;1,97;1,97;1,97;1,97;200;394
2019-08-13;2,22;2,22;2,08;2,08;301;626
2019-08-12;1,95;2,04;1,95;2,04;2.322;4.569
2019-08-09;1,95;2,00;1,95;2,00;1.520;3.029
2019-08-08;1,95;1,95;1,95;1,95;44;86
2019-08-06;2,04;2,16;1,96;1,96;11.890;23.888
2019-08-05;2,06;2,06;1,99;1,99;4.275;8.592
2019-08-02;2,12;2,12;2,06;2,06;1.000;2.107
2019-08-01;2,10;2,30;2,10;2,12;4.946;10.959
2019-07-31;2,08;2,10;2,06;2,10;2.002;4.164
2019-07-30;2,06;2,06;2,06;2,06;451;929
2019-07-29;2,08;2,10;2,06;2,10;2.030;4.235
2019-07-26;2,08;2,12;2,08;2,12;1.755;3.681
2019-07-25;2,16;2,16;2,06;2,06;541;1.164
2019-07-24;2,14;2,18;2,14;2,18;2.500;5.390
2019-07-23;2,18;2,18;2,18;2,18;1.100;2.398
2019-07-22;2,20;2,20;2,20;2,20;2.600;5.720
2019-07-19;2,20;2,20;2,10;2,10;4.635;9.984
2019-07-18;2,14;2,34;2,14;2,34;290;672
2019-07-17;2,28;2,38;2,28;2,36;1.610;3.788
2019-07-16;2,02;2,08;2,02;2,08;1.924;3.910
2019-07-15;2,28;2,28;1,99;1,99;8.310;17.410
2019-07-12;2,32;2,32;2,22;2,30;3.592;8.244
2019-07-11;2,30;2,30;2,30;2,30;500;1.150
2019-07-09;2,42;2,44;2,34;2,34;3.400;8.074
2019-07-08;2,36;2,36;2,32;2,32;8.000;18.693
2019-07-05;2,44;2,46;2,38;2,38;4.240;10.367
2019-07-04;2,38;2,40;2,32;2,32;5.191;12.407
2019-07-03;2,38;2,38;2,38;2,38;30;71
2019-07-02;2,30;2,42;2,30;2,42;2.163;5.222
2019-07-01;2,26;2,44;2,26;2,40;16.379;39.219
2019-06-28;2,06;2,16;2,06;2,16;2.403;5.090
2019-06-26;2,02;2,02;2,02;2,02;5;10
2019-06-25;2,20;2,20;2,04;2,04;3.700;7.711
2019-06-24;2,14;2,16;2,14;2,16;1.608;3.453
2019-06-19;2,12;2,12;2,12;2,12;85;180
2019-06-18;2,12;2,12;2,12;2,12;90;191
2019-06-17;2,30;2,30;2,12;2,12;1.580;3.526
2019-06-14;2,06;2,38;2,06;2,12;12.178;26.939
2019-06-13;2,16;2,16;2,00;2,00;7.622;15.509
2019-06-12;2,04;2,22;2,04;2,14;8.829;19.155
2019-06-11;2,02;2,02;1,96;1,96;1.013;2.045
2019-06-10;1,90;1,90;1,90;1,90;20;38
2019-06-07;1,88;1,88;1,80;1,84;7.096;13.044
2019-06-06;1,88;1,94;1,88;1,94;3.420;6.634
2019-06-05;2,00;2,00;1,89;1,94;1.580;3.091
2019-05-31;2,08;2,08;2,08;2,08;20;42
2019-05-30;2,10;2,10;2,08;2,08;3.159;6.582
2019-05-29;2,28;2,28;2,18;2,18;2.325;5.237
2019-05-28;2,30;2,30;2,28;2,28;773;1.774
2019-05-27;2,16;2,30;2,08;2,30;4.061;9.014
2019-05-24;2,06;2,14;2,06;2,08;2.041;4.353
2019-05-23;2,06;2,12;2,06;2,12;1.093;2.298
2019-05-22;2,00;2,00;1,88;1,88;596;1.180
2019-05-21;1,93;1,96;1,83;1,83;1.435;2.782
2019-05-20;1,83;2,00;1,83;1,86;2.675;5.141
2019-05-17;1,83;1,83;1,83;1,83;60;110
2019-05-16;1,99;2,00;1,89;1,89;1.712;3.297
2019-05-15;1,99;2,00;1,95;2,00;1.882;3.735
2019-05-14;1,85;1,85;1,85;1,85;80;148
2019-05-13;1,85;1,99;1,85;1,99;154;306
2019-05-10;1,85;1,85;1,85;1,85;540;999
2019-05-09;1,92;1,92;1,89;1,89;1.290;2.463
2019-05-08;2,06;2,06;2,00;2,02;1.740;3.509
2019-05-07;2,02;2,02;2,02;2,02;24;48
2019-05-06;2,12;2,12;2,06;2,06;1.980;4.161
2019-05-03;2,28;2,28;2,12;2,12;208;473
2019-05-02;2,28;2,28;2,28;2,28;300;684
2019-04-30;2,28;2,30;2,06;2,06;2.430;5.459
2019-04-29;2,24;2,28;2,06;2,06;1.435;3.196
2019-04-25;2,02;2,02;2,02;2,02;762;1.539
2019-04-23;2,10;2,10;2,10;2,10;200;420
2019-04-18;2,06;2,24;2,06;2,06;260;563
2019-04-17;2,14;2,20;2,08;2,10;7.314;15.514
2019-04-16;2,18;2,18;2,18;2,18;500;1.090
2019-04-15;2,30;2,32;2,14;2,14;10.901;24.360
2019-04-12;2,30;2,30;2,30;2,30;1.816;4.177
2019-04-10;2,32;2,32;2,26;2,26;1.021;2.368
2019-04-09;2,24;2,24;2,24;2,24;148;332
2019-04-08;2,24;2,24;2,24;2,24;1.215;2.722
2019-04-05;2,30;2,30;2,30;2,30;20;46
2019-04-04;2,22;2,22;2,22;2,22;12;27
2019-04-03;2,28;2,38;2,26;2,38;6.732;15.746
2019-04-02;2,20;2,20;2,16;2,20;5.696;12.530
2019-04-01;2,24;2,24;2,24;2,24;59;132
2019-03-28;2,30;2,30;2,30;2,30;200;460
2019-03-27;2,38;2,38;2,30;2,38;300;711
2019-03-26;2,30;2,38;2,30;2,38;1.160;2.753
2019-03-25;2,32;2,40;2,30;2,30;4.208;9.928
2019-03-22;2,40;2,50;2,40;2,50;3.023;7.475
2019-03-21;2,48;2,48;2,48;2,48;892;2.212
2019-03-20;2,46;2,46;2,46;2,46;5;12
2019-03-19;2,48;2,48;2,34;2,34;2.301;5.448
2019-03-18;2,36;2,36;2,36;2,36;53;125
2019-03-15;2,40;2,40;2,38;2,38;1.400;3.346
2019-03-14;2,48;2,48;2,40;2,40;3.395;8.340
2019-03-13;2,40;2,46;2,40;2,40;1.230;2.958
2019-03-12;2,46;2,46;2,46;2,46;450;1.107
2019-03-11;2,46;2,46;2,46;2,46;2.600;6.396
2019-03-08;2,40;2,40;2,40;2,40;38;91
2019-03-07;2,50;2,52;2,38;2,38;4.569;11.199
2019-03-06;2,48;2,54;2,48;2,54;1.700;4.266
2019-03-05;2,46;2,46;2,46;2,46;500;1.230
2019-03-04;2,36;2,50;2,34;2,44;5.666;13.652
2019-03-01;2,16;2,36;2,16;2,28;11.700;26.579
2019-02-28;2,12;2,14;2,08;2,14;1.528;3.223
2019-02-27;2,08;2,08;2,08;2,08;550;1.144
2019-02-25;2,10;2,10;2,10;2,10;871;1.829
2019-02-21;2,04;2,04;2,04;2,04;1.500;3.060
2019-02-20;2,04;2,04;1,95;1,95;3.021;6.039
2019-02-19;2,10;2,26;2,02;2,02;7.153;15.333
2019-02-18;1,87;2,30;1,87;2,08;16.582;35.113
2019-02-13;1,79;1,79;1,79;1,79;365;653
2019-02-11;1,74;1,74;1,74;1,74;116;202
2019-02-08;1,76;1,90;1,76;1,90;780;1.457
2019-02-07;1,77;1,89;1,75;1,89;1.448;2.684
2019-02-04;1,74;1,74;1,74;1,74;6;10
2019-02-01;1,88;1,88;1,74;1,74;137;249
2019-01-31;1,76;1,76;1,76;1,76;800;1.408
2019-01-30;1,77;1,77;1,77;1,77;21;37
2019-01-29;1,78;1,93;1,78;1,93;1.576;2.944
2019-01-28;1,76;1,76;1,72;1,76;155;270
2019-01-25;1,78;1,78;1,78;1,78;61;109
2019-01-24;1,77;1,77;1,77;1,77;4;7
2019-01-23;1,75;1,76;1,75;1,76;109;191
2019-01-21;1,84;1,84;1,71;1,71;309;567
2019-01-18;1,69;1,69;1,69;1,69;200;338
2019-01-17;1,67;1,67;1,67;1,67;201;336
2019-01-16;1,67;1,67;1,67;1,67;69;115
2019-01-14;1,79;1,79;1,79;1,79;2.000;3.580
2019-01-11;1,67;1,79;1,67;1,79;640;1.141
2019-01-09;1,69;1,69;1,65;1,65;511;863
2019-01-08;1,70;1,70;1,69;1,70;2.001;3.396
2019-01-04;1,72;1,72;1,57;1,57;1.400;2.273
2019-01-03;1,70;1,70;1,70;1,70;1;2
2019-01-02;1,63;1,70;1,61;1,70;1.367;2.270
2018-12-28;1,75;1,75;1,71;1,71;3.370;5.839
2018-12-27;1,75;1,75;1,75;1,75;1;2
2018-12-21;1,75;1,75;1,75;1,75;270;473
2018-12-20;2,00;2,00;1,75;1,75;33;63
2018-12-19;1,91;2,10;1,78;1,78;2.243;4.441
2018-12-18;1,79;1,79;1,79;1,79;3.198;5.724
2018-12-17;1,80;1,80;1,80;1,80;1.958;3.524
2018-12-14;1,80;1,80;1,80;1,80;20;36
2018-12-13;1,84;1,84;1,80;1,80;1.650;3.030
2018-12-12;1,80;1,80;1,80;1,80;165;297
2018-12-11;1,80;1,80;1,80;1,80;391;704
2018-12-10;1,75;1,80;1,71;1,71;3.811;6.741
2018-12-07;1,76;1,76;1,76;1,76;237;417
2018-12-03;1,78;1,78;1,71;1,71;140;247
2018-11-30;1,78;1,78;1,73;1,73;48;85
2018-11-29;1,71;1,85;1,71;1,79;614;1.105
2018-11-28;1,75;1,85;1,75;1,85;2.200;4.020
2018-11-26;1,71;1,71;1,71;1,71;64;109
2018-11-23;1,71;1,71;1,71;1,71;905;1.548
2018-11-22;1,75;1,75;1,75;1,75;7;12
2018-11-20;1,75;1,91;1,75;1,91;1.875;3.373
2018-11-19;1,80;1,80;1,80;1,80;4;7
2018-11-16;1,81;1,93;1,80;1,80;2.340;4.420
2018-11-14;1,71;1,81;1,71;1,81;1.010;1.827
2018-11-13;1,85;1,86;1,71;1,86;1.773;3.280
2018-11-09;1,71;1,71;1,71;1,71;945;1.616
2018-11-05;1,83;1,83;1,83;1,83;560;1.025
2018-11-02;1,94;1,94;1,94;1,94;614;1.191
2018-11-01;1,72;1,72;1,72;1,72;50;86
2018-10-31;1,75;1,75;1,71;1,71;1.224;2.130
2018-10-30;1,75;1,75;1,75;1,75;20;35
2018-10-29;1,75;1,75;1,75;1,75;176;308
2018-10-26;1,76;1,76;1,75;1,75;2.010;3.518
2018-10-24;1,76;1,89;1,76;1,78;133;241
2018-10-23;1,95;1,95;1,76;1,76;2.750;5.100
2018-10-22;1,85;1,85;1,85;1,85;60;111
2018-10-19;1,87;1,87;1,87;1,87;1.000;1.870
2018-10-18;1,88;1,88;1,88;1,88;254;478
2018-10-17;1,88;1,88;1,88;1,88;59;111
2018-10-16;1,86;1,86;1,86;1,86;20;37
2018-10-15;1,85;1,85;1,85;1,85;3.384;6.260
2018-10-12;1,82;1,86;1,80;1,81;2.091;3.801
2018-10-11;1,86;1,86;1,85;1,85;4.786;8.878
2018-10-10;1,86;1,86;1,86;1,86;2.252;4.189
2018-10-08;1,86;1,86;1,86;1,86;26;48
2018-10-05;1,86;1,93;1,86;1,93;917;1.769
2018-10-04;1,88;1,96;1,86;1,86;142;276
