Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2015-06-08;0,21;0,21;0,0049;0,0445;;
2015-06-07;0,21;0,21;0,21;0,21;;
2015-06-06;0,21;0,21;0,21;0,21;;
2015-06-05;0,21;0,211;0,2085;0,21;;
2015-06-04;0,21;0,211;0,2085;0,21;;
2015-06-03;0,21;0,21;0,208;0,21;;
2015-06-02;0,20;0,21;0,20;0,21;;
2015-06-01;0,20;0,20;0,198;0,20;;
2015-05-31;0,20;0,20;0,20;0,20;;
2015-05-30;0,20;0,20;0,20;0,20;;
2015-05-29;0,20;0,20;0,1935;0,20;;
2015-05-28;0,20;0,20;0,1935;0,20;;
2015-05-27;0,20;0,201;0,17;0,20;;
2015-05-26;0,20;0,20;0,1935;0,20;;
2015-05-25;0,20;0,20;0,199;0,20;;
2015-05-24;0,20;0,20;0,20;0,20;;
2015-05-23;0,20;0,20;0,20;0,20;;
2015-05-22;0,20;0,20;0,196;0,20;;
2015-05-21;0,20;0,20;0,196;0,20;;
2015-05-20;0,184;0,20;0,184;0,20;;
2015-05-19;0,20;0,201;0,184;0,184;;
2015-05-18;0,20;0,20;0,1935;0,20;;
2015-05-17;0,20;0,20;0,20;0,20;;
2015-05-16;0,20;0,20;0,20;0,20;;
2015-05-15;0,20;0,201;0,1935;0,20;;
2015-05-14;0,20;0,20;0,1935;0,20;;
2015-05-13;0,20;0,201;0,1935;0,20;;
2015-05-12;0,20;0,20;0,193;0,20;;
2015-05-11;0,20;0,20;0,1985;0,20;;
2015-05-10;0,20;0,20;0,20;0,20;;
2015-05-09;0,20;0,20;0,20;0,20;;
2015-05-08;0,20;0,201;0,1985;0,20;;
2015-05-07;0,20;0,201;0,1985;0,20;;
2015-05-06;0,20;0,201;0,1985;0,20;;
2015-05-05;0,20;0,20;0,1945;0,20;;
2015-05-04;0,21;0,216;0,1945;0,20;;
2015-04-30;0,22;0,221;0,209;0,209;;
2015-04-29;0,21;0,221;0,2095;0,221;;
2015-04-28;0,19;0,21;0,19;0,21;;
2015-04-27;0,19;0,1925;0,188;0,19;;
2015-04-26;0,19;0,19;0,19;0,19;;
2015-04-25;0,19;0,19;0,19;0,19;;
2015-04-24;0,21;0,21;0,1575;0,19;;
2015-04-23;0,22;0,22;0,197;0,21;;
2015-04-22;0,22;0,221;0,2135;0,22;;
